Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Kautsky mem4,Prague,1927.??.??,?,"Flohr, Salo","Poisl, Arnost",1-0,,,E12,d2d4 g8f6 g1f3 b7b6 c2c4 c8b7 b1c3 e7e6 a2a3 f8e7 d1c2 e8g8 e2e4 d7d6 f1d3 h7h6 h2h4 b8d7 c1f4 f6g4 c2e2 e6e5 f4d2 e5d4 f3d4 d7e5 d3c2 g4f6 f2f3 b7c8 e1c1 c8e6 d4e6 f7e6 f3f4 e5c6 e4e5 d6e5 f4e5 c6d4 e2e1 d4c2 c1c2 f6g4 d2h6 d8e8 h6e3 e8g6 c2b3 g4e3 e1e3 g6g2 h1g1 g2h2 e3h6 h2e5 d1e1 e5f6 g1g6 f6f7 e1e5 e7f6 e5h5 f7e7 c3e4 a8d8 e4f6 e7f6 h6h7
Kautsky mem4,Prague,1927.??.??,?,"Opocensky, Karel","Flohr, Salo",0-1,,,B37,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 d7d6 c2c4 g8f6 b1c3 g7g6 f1e2 f8g7 e1g1 e8g8 d4c2 f6d7 f1e1 d7c5 e2f1 c8d7 c1g5 c5e6 g5h4 g7c3 b2c3 a8c8 c2d4 c6e5 d1c1 f7f6 a1b1 b7b6 c1a3 d8c7 d4b5 d7b5 c4b5 c7c3 a3a7 e6d4 e1e3 c3c2 b1e1 c2c5 e1d1 e5g4 e3d3 c8c7 a7a4 e7e5 h2h3 g4h6 d3d4 e5d4 d1d4 c5h5 f1c4 g8h8 h4g3 f8c8 c4b3 c7c1 b3d1 h5e2 g3f4 c8c2 a4c2 e2e1 g1h2 c1c2 d1c2 e1f2 f4h6 f2d4 h6f4 d6d5
Kautsky mem4,Prague,1927.??.??,?,"Flohr, Salo","Thelen, Bedrich",0-1,,,E12,d2d4 g8f6 g1f3 e7e6 c2c4 b7b6 b1c3 c8b7 c1g5 h7h6 g5f6 d8f6 e2e3 f8b4 a1c1 e8g8 f1e2 d7d6 e1g1 b4c3 c1c3 b8d7 f3d2 e6e5 e2f3 b7f3 d1f3 e5d4 f3f6 d7f6 e3d4 f8e8 c3e3 f6g4 e3e1 e8e6 h2h3 g4f6 d4d5 e6e8 b2b3 a8b8 a2a4 f6d7 d2f3 d7c5 f3d4 a7a6 e1e3 e8e3 f2e3 b8e8 g1f2 g7g6 f2e2 g8g7 e2d2 a6a5 f1f3 h6h5 d2e2 g6g5 e2d2 g7g6 f3f1 f7f5 f1h1 h5h4 d4e2 c5e4 d2c2 e4g3 e2g3 h4g3 c2d2 f5f4 h1e1 e8e5 d2d3 f4f3 g2f3 g6h5 d3e2 h5h4 e2f1 h4h3 e3e4 e5e7 f1g1 e7f7 e1e3 f7f4 e4e5 f4d4
Kautsky mem4,Prague,1927.??.??,?,"Hromadka, Karel","Flohr, Salo",0-1,,,C08,e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 d4c5 f8c5 e4d5 e6d5 d2b3 c5b6 g1f3 g8f6 f1b5 b8c6 d1e2 f6e4 c1e3 e8g8 e1c1 c6b4 e2e1 b6e3 f2e3 b4a2 c1b1 d8b6 d1d5 e4f6 d5g5 h7h6 g5c5 a7a5 b1a2 a5a4 e1b4 a4b3 a2b3 f6e4 c5e5 c8e6 c2c4 b6e3 b4c3 e4c3 e5e3 c3b5 e3e6 f7e6 c4b5 a8a5
Kautsky mem5,Prague,1928.??.??,?,"Flohr, Salo","Dobias, Josef",0-1,,,D36,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 b8d7 e2e3 c7c6 c4d5 e6d5 f1d3 f8e7 d1c2 f6h5 g5e7 d8e7 g1e2 d7f6 e1g1 e8g8 a1e1 g7g6 c3d1 h5g7 e2g3 e7d6 f2f3 c8d7 d1f2 f8e8 c2c3 f6h5 g3h1 f7f5 d3b1 a8d8 g2g3 d7c8 f2d3 h5f6 b2b4 g7e6 h1f2 e6g5 g1g2 g5f7 a2a4 e8e7 f3f4 f6e4 f2e4 f5e4 d3f2 h7h5 h2h3 f7h6 b1c2 g8h7 f1h1 g6g5 c3c5 d6f6 h1f1 d8g8 f4f5 h6f5 c2d1 e7f7 d1h5 b7b6 c5c2 f7e7 h5g4 g8f8 g4f5 c8f5 g3g4 f5g6 f2h1 f6g7 c2c6 e7c7 c6c7 g7c7 f1f8 c7c3 e1e2 c3b4 f8d8 b4e7 d8d5 e7f7 d5g5 f7f3 g2h2 f3e2 h2g3 e2e3 g3h4 e3d4 h1g3 d4f2 g5d5 f2f6
Kautsky mem5,Prague,1928.??.??,?,"Flohr, Salo","Lustig, F.",1-0,,,D52,d2d4 d7d5 g1f3 g8f6 c2c4 e7e6 b1c3 b8d7 c1g5 c7c6 e2e3 d8a5 c4d5 f6d5 d1b3 f8b4 a1c1 h7h6 g5h4 c6c5 a2a3 b4c3 b2c3 c5d4 e3d4 e8g8 h4g3 f8e8 f1e2 a7a6 e1g1 b7b5 f3d2 d7f6 f1d1 c8d7 b3b2 e8c8 d2b3 a5d8 b3c5 d7c6 a3a4 d8a5 c5b3 a5b6 a4b5 a6b5 b3d2 a8a5 e2d3 b5b4 c3c4 d5e7 g3h4 c8a8 d4d5 a5a2 b2e5 c6a4 h4f6 g7f6 e5f6 b6d8 f6h6 e7f5 d3f5 e6f5 d1e1 a4e8 e1e3 a8a6 h6f4 e8d7 d5d6 d8f6 e3g3 g8f8 d2e4 f6h8 f4g5 f7f6 e4f6 a6d6 f6d7 d6d7 g5f5 f8e7 f5g5
Kautsky mem5,Prague,1928.??.??,?,"Flohr, Salo","Richter, Emil",1-0,,,D36,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 d7d5 g1f3 b8d7 c4d5 e6d5 c1g5 c7c6 e2e3 h7h6 g5h4 e8g8 f1d3 b4e7 e1g1 f8e8 a1e1 f6e4 h4e7 d8e7 d3e4 d5e4 f3d2 d7f6 d2c4 c8e6 c4e5 e6d5 a2a3 f6d7 f2f4 f7f5 e1c1 d7b6 g2g4 e7e6 h2h3 a8c8 g1h2 b6c4 g4f5 e6f5 c2e2 c4e5 f4e5 f5e6 f1f4 c6c5 c1g1 e8f8 e2g4 e6g4 f4g4 f8f2 h2h1 c5d4 g4g7 g8f8 c3d5 c8c2 g7g8 f8f7 g1g7 f7e6 d5f4 f2f4 g8e8 e6d5 g7d7 d5c6 d7d6 c6b5 e3f4 d4d3 e8d8
Kautsky mem5,Prague,1928.??.??,?,"Opocensky, Karel","Flohr, Salo",0-1,,,D30,d2d4 d7d5 g1f3 g8f6 c2c4 e7e6 b1d2 c7c5 c4d5 e6d5 g2g3 b8c6 f1g2 c5d4 e1g1 d4d3 e2d3 f8e7 d2b3 e8g8 f3d4 c8g4 d4c6 b7c6 d1c2 d8b6 c1e3 b6a6 f1c1 a8c8 c2d2 f8e8 b3c5 a6b5 a2a4 b5b8 a1a3 b8e5 h2h3 g4e6 d3d4 e5f5 g3g4 f5g6 c5e6 f7e6 a3b3 e7d6 b3b7 h7h5 g4g5 f6e4 d2c2 g6f5 c2d1 g7g6 d1f3 e8e7 f3f5 e6f5 b7e7 d6e7 h3h4 e7b4 c1c2 g8f7 f2f3 e4d6 g2f1 f7e6 f1a6 c8c7 g1f2 d6c4 a6c4 d5c4 e3f4 c7b7 c2c4 e6d5 b2b3 b4f8 c4c3 b7b4 f4e3 f5f4 e3f4 b4d4 f2g3 f8b4 c3c4 b4e1 g3g2 d4c4 b3c4 d5c4 f4b8 e1h4 f3f4 a7a6 b8e5 c4d5 f4f5 d5e5
Kautsky mem5,Prague,1928.??.??,?,"Thelen, Bedrich","Flohr, Salo",0-1,,,B37,c2c4 c7c5 g1f3 b8c6 b1c3 g7g6 d2d4 c5d4 f3d4 f8g7 d4c2 d7d6 e2e4 b7b6 f1e2 c8b7 e1g1 g7c3 b2c3 g8f6 f2f3 h7h5 c2b4 a8c8 b4d5 f6d7 c1g5 f7f6 g5c1 c6a5 f3f4 e7e6 d5e3 b7e4 f4f5 e4f5 e3f5 e6f5 d1d6 d8e7 d6g3 e8f7 f1e1 c8e8 c1f4 d7e5 e2f1 e7c5 g1h1 e5g4 h2h3 g4f2 h1h2 f2e4 g3f3 a5c6 a1d1 c6e5 f4e5 c5e5 h2g1 e8d8 f1d3 e5c5 g1h2 c5c7 h2g1 e4c3 d1c1 c3e4 e1e3 h8e8 c1e1 d8d3
Prague Evony,Prague,1928.??.??,8,"Prokes, Ladislav","Flohr, Salo",1-0,,,B25,e2e4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 g1e2 d7d6 d2d3 g8f6 e1g1 h7h5 h2h4 c8g4 f2f3 g4d7 c1e3 c6e5 e2f4 b7b5 d1e2 f6h7 e2f2 d8c8 a1d1 h7f8 f4e2 b5b4 c3d5 e7e6 d5f4 f7f6 d3d4 e5c4 d4c5 c4e3 f2e3 c8c5 e3c5 d6c5 f4d3 g7h6 g1f2 a8c8 c2c4 h8h7 f3f4 c8c7 e4e5 f6f5 e2c1 d7a4 b2b3 a4d7 d1d2 d7c8 a2a3 f8d7 a3b4 c5b4 d2a2 h6f8 f1d1 d7c5 d3c5 f8c5 f2e2 c8d7 c1d3 c5b6 d3b4 a7a5 b4a6 c7a7 a6b8 d7c8 b8c6 a7c7 c6a5 c7a7 d1a1 h7c7 g2c6 e8f7 c6b5 c7c5 b3b4 c5c7 c4c5
