Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
URS-ch sf,Sverdlovsk,1947.??.??,?,"Geller, Efim P","Ilivitzki, Georgi A",1-0,,,B62,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1g5 e7e6 f1e2 a7a6 e1g1 f8e7 d1d3 e8g8 a1d1 d8b6 d4c6 b7c6 d3g3 a8a7 d1d3 a7d7 g3h4 f8e8 d3g3 b6d8 f2f4 d6d5 e4e5 f6e4 c3e4 d5e4 g5f6 e7f6 e5f6 g7g6 g3b3 h7h6 g2g4 d7d2 g4g5 d8d4 g1h1 h6h5 e2h5 e4e3 h5f3
URS-ch sf,Sverdlovsk,1947.??.??,?,"Geller, Efim P","Saigin, Vladimir",0-1,,,B62,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1g5 e7e6 f1e2 a7a6 e1g1 f8e7 d1d3 h7h6 g5e3 c6e5 d3d1 d8c7 f2f4 e5c4 e2c4 c7c4 e4e5 f6d5 c3d5 c4d5 d4f5 d5d1 f5g7 e8f8 a1d1 d6e5 g7h5 e5f4 h5f4 f8e8 f4d3 f7f6 d3f4 e8f7 d1d2 b7b5 f4h5 f7g6 h5f4 g6h7 f1f3 h8d8 d2d8 e7d8 f4h5 h7g6 h5f4 g6f7 f4d3 c8b7 f3h3 b7e4 e3h6 e6e5 d3e1 d8a5 c2c3 a8h8 h3h4 e4d5 a2a3 a5b6 g1h1 b6f2
URS-ch sf,Sverdlovsk,1947.??.??,?,"Geller, Efim P","Dubinin, Peter Vasilievich",1-0,,,C79,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 d7d6 c2c3 f8e7 d2d4 b7b5 a4c2 c8g4 d4d5 c6b8 a2a4 b5a4 c2a4 b8d7 d1d3 e8g8 b2b4 d7b8 b1d2 c7c6 d5c6 d8c7 h2h3 g4e6 f3g5 e6c8 d3c4 h7h6 g5f7 f8f7 a4b3 d6d5 e4d5 e7d6 c4e2 c8f5 c1a3 g8h8 b4b5 f6e8 d2c4 d6a3 b5b6 c7e7 a1a3 e7c5 e2e3 c5e3 f2e3 f7f6 g2g4 f5c8 f1f6 g7f6 b3a4
URS-ch sf,Sverdlovsk,1947.??.??,?,"Furman, Semen Abramovich","Geller, Efim P",1-0,,,D46,d2d4 d7d5 g1f3 g8f6 c2c4 c7c6 e2e3 e7e6 f1d3 b8d7 b1d2 f8d6 e3e4 d5e4 d2e4 f6e4 d3e4 e8g8 e1g1 h7h6 c1d2 e6e5 d4e5 d7e5 d2c3 d8f6 f3d2 f6h4 g2g3 h4g4 c4c5 d6c7 f2f4 e5g6 d2c4 f8e8 e4f3 g4f5 d1d4 f7f6 a1d1 e8d8 d4e3 f5e6 d1d8 c7d8 e3d4 d8e7 f1e1 e6f7 f3h5 f7f8 c4d6 e7d6 c5d6 c8f5 g3g4 f5c2 d6d7 a8d8 e1e8 d8e8 d7e8q f8e8 f4f5 e8e2 h5g6
URS-ch sf,Sverdlovsk,1947.??.??,?,"Geller, Efim P","Koblencs, Aleksandrs",1/2-1/2,,,D44,g1f3 d7d5 d2d4 g8f6 c2c4 e7e6 b1c3 c7c6 c1g5 d5c4 e2e4 b7b5 e4e5 h7h6 g5f6 g7f6 a2a4 f8b4 e5f6 d8f6 f3e5 c8b7 f1e2 c6c5 e1g1 e8g8 c3b5 c5d4 d1d4 f8d8 d4g4 g8h7 g4h5 b8c6 f2f4 c6d4 b5d4 d8d4 e5f7 a8g8 f7g5 h7g7 g5f3 d4f4 h5b5 b7f3 e2f3 f6b2 b5d7 f4f7 d7e6 b2d4 g1h1 g8f8 a1d1 b4d2 f3e2 c4c3 f1f7 f8f7 e2h5 d4d7
URS-ch17,Moscow,1949.??.??,?,"Petrosian, Tigran V","Geller, Efim P",0-1,,,E94,d2d4 g8f6 g1f3 g7g6 c2c4 f8g7 b1c3 e8g8 e2e4 d7d6 f1e2 e7e5 d4d5 b8d7 e1g1 d7c5 f3d2 a7a5 d1c2 g7h6 d2b3 h6c1 b3c5 c1h6 c5d3 f6d7 a2a3 f7f5 b2b4 d7f6 d3b2 f5e4 c4c5 a5b4 a3b4 a8a1 f1a1 c8f5 c2b3 e4e3 f2f3 e5e4 b2c4 e4f3 e2f3 f6g4 g2g3 d8f6 f3g2 f5d3 h2h3 f6f2 g1h1 f2g3
URS-ch17,Moscow,1949.??.??,?,"Lilienthal, Andor","Geller, Efim P",1-0,,,E92,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 g1f3 e8g8 e2e4 d7d6 f1e2 e7e5 d4d5 f6h5 g2g3 c7c6 c1g5 d8c7 d1d2 h5f6 h2h3 b8d7 e1c1 c6d5 e4d5 a7a6 g3g4 b7b5 d2c2 b5c4 f3d2 c8b7 d2c4 f8c8 g5e3 d7c5 g4g5 f6d7 b2b4 c5e6 d5e6 f7e6 c3e4 b7e4 c2e4 d6d5 e4g4 d7f8 e3c5 e5e4 g4g3 c7g3 f2g3 f8d7 c4d6 c8c7 c1d2 d7c5 b4c5 c7c5 e2g4 g7c3 d2e3 c3e5 g4e6 g8g7 e6d5 a8d8 d6b7 c5c3 e3e4 d8e8 b7d8 e8d8 e4e5 c3g3 e5f4 g3c3 d5e6 d8f8 f4e5 c3e3 e5d6 f8b8 d6c7 b8e8
URS-ch17,Moscow,1949.??.??,?,"Ragozin, Viacheslav","Geller, Efim P",0-1,,,C59,e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 f3g5 d7d5 e4d5 c6a5 c4b5 c7c6 d5c6 b7c6 b5e2 h7h6 g5f3 e5e4 f3e5 d8d4 f2f4 f8c5 h1f1 d4d8 d2d4 c5b6 c1e3 f6d5 e3g1 e8g8 c2c4 d5b4 d1d2 b4d3 e2d3 e4d3 d2d3 f8e8 b1c3 f7f6 e1c1 f6e5 f4e5 e8f8 g1e3 c8g4 d1e1 d8d7 b2b3 g4f5 d3d2 a8d8 d4d5 c6d5 e3b6 a7b6 c4d5 a5b7 e5e6 d7e7 e1e5 f5g6 f1f8 d8f8 c1b2 f8a8 a2a4 a8c8 e5e3 e7b4 e6e7 b7a5 b2a2 b4b3 a2a1 b3a3 c3a2 a5b3 e3b3 a3b3
URS-ch17,Moscow,1949.??.??,?,"Levenfish, Grigory","Geller, Efim P",0-1,,,D48,d2d4 d7d5 c2c4 e7e6 b1c3 c7c6 e2e3 g8f6 g1f3 b8d7 f1d3 d5c4 d3c4 b7b5 c4d3 a7a6 a2a4 b5b4 c3e4 c8b7 e1g1 c6c5 e4f6 d7f6 d1e2 c5d4 e3d4 f8e7 c1f4 e8g8 f4e5 d8a5 f3d2 f6d7 d3e4 b7e4 e2e4 a8c8 d2b3 a5d5 e4d5 e6d5 f1e1 f8e8 b3c1 e7f8 c1d3 c8c4 e1d1 f7f6 e5f4 c4d4 f4e3 d4e4 d3f4 d7e5 f4d5 e5c4 b2b3 c4e3 f2e3 f8c5 g1f2 c5e3 f2f3 e4e5 g2g4 f6f5 d5b4 f5g4 f3g3 h7h5 d1d5 g7g5 d5e5 e8e5 b4d3 e3f4 g3f2 e5e3 a1d1 e3h3 d3f4 g5f4 d1d4 h3h2 f2g1 h2b2 d4f4 g8g7 f4b4 g7g6 b4b6 g6g5 b6a6 b2b3 g1f1 h5h4 a6a8 g5f4 a8e8 b3a3
URS-ch17,Moscow,1949.??.??,?,"Kotov, Alexander","Geller, Efim P",0-1,,,E68,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 g2g3 e8g8 f1g2 d7d6 g1f3 b8d7 e1g1 e7e5 e2e4 e5d4 f3d4 d7c5 f2f3 f6d7 c1e3 c7c6 d1d2 a7a5 a1d1 d7e5 b2b3 a5a4 d4e2 a4b3 e3c5 e5c4 d2c1 b3a2 c3a2 d8a5 c1c4 c8e6 c4c1 d6c5 a2c3 b7b5 c3b1 b5b4 e2f4 e6b3 d1d6 c5c4 d6c6 c4c3 f4d5 b3d5 e4d5 a5d5 f3f4 d5d4 g1h1 a8a2 g2f3 a2b2 f4f5 g7e5 c1e1 f8d8 f3e4 g8g7 f5f6 g7g8 c6a6 h7h5 a6a5 h5h4 e4g6 b2h2 h1h2 e5g3 e1g3 h4g3 h2h3 f7g6
