Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
BUL-ch,Sofia,1981.??.??,1,"Georgiev, Kiril","Toshkov, Tihomir",1/2-1/2,2200,2385,D37,g1f3 d7d5 d2d4 g8f6 c2c4 e7e6 b1c3 f8e7 c1f4 e8g8 e2e3 b7b6 c4d5 e6d5 f1d3 c7c5 e1g1 c8g4 h2h3 g4h5 d4c5 b6c5 d3e2 b8c6 f3e5 h5e2 d1e2 d8b6 f1d1 f8d8 a1c1 c6e5 f4e5 b6e6 e5f6 e7f6 e2f3 d5d4 c3e4 d4e3 e4f6 g7f6 f3e3 e6a2 d1d8 a8d8 e3e7 d8c8 e7f6 a2e6 f6g5 e6g6 g5e7 g8h8 c1c5 c8g8 g2g3 g6b6 g1h2 a7a6 c5f5 b6e6 f5f7 e6e7 f7e7 g8b8 e7e2 h8g7 h2g2 g7f6 g2f3 h7h5 h3h4 b8b3 f3e4 a6a5 e2c2 b3b4 e4d3 a5a4 c2e2 f6f5 d3c2 b4b3 e2e8 b3f3 c2b1 f5g4 e8e4 g4h3 e4a4 f3f2 a4a5 h3g3 a5h5 f2f8 b1a2 g3g4 h5c5 g4h4 b2b4 h4g4 b4b5 g4f4 a2b3 f4e4 b3b4 f8b8 b4a5 e4d4 c5c7 d4d5 b5b6 b8a8 a5b5 d5d6 b6b7 a8a5 b5b6 a5b5
BUL-ch,Sofia,1981.??.??,2,"Ermenkov, Evgenij","Georgiev, Kiril",1/2-1/2,2490,2200,D91,g1f3 c7c5 c2c4 g7g6 e2e3 f8g7 d2d4 c5d4 e3d4 g8f6 b1c3 d7d5 c1g5 f6e4 g5h4 b8c6 c4d5 e4c3 b2c3 d8d5 f1e2 e8g8 e1g1 e7e5 c3c4 d5e4 d4d5 c6d4 f3d4 e4h4 d4c2 c8d7 a2a4 h4e7 a4a5 e7c5 d1b1 e5e4 a1a2 b7b6 c2b4 e4e3 f2e3 d7f5 b1b3 f8e8 b4a6 c5e3 b3e3 e8e3 f1f3 e3e7 d5d6 e7d7 a6c7 a8d8 a5b6 a7b6 c7b5 g7e5 f3b3 f5e4
BUL-ch,Sofia,1981.??.??,3,"Georgiev, Kiril","Donchev, Dimitar I",1/2-1/2,2200,2425,B78,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 c1e3 f8g7 f2f3 e8g8 d1d2 b8c6 f1c4 c8d7 h2h4 a8c8 c4b3 c6e5 e1c1 e5c4 b3c4 c8c4 h4h5 f6h5 g2g4 h5f6 e3h6 f6e4 c3e4 c4d4 d2h2 g7e5 f3f4 d4d1 h1d1 d7g4 d1g1 g4f5 e4g3 e5b2
BUL-ch,Sofia,1981.??.??,4,"Inkiov, Ventzislav","Georgiev, Kiril",1-0,2475,2200,D93,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 c1f4 e8g8 e2e3 c7c5 d4c5 c8e6 f3d4 b8c6 d4c6 b7c6 f4e5 d8a5 d1a4 a5c5 b2b4 c5b6 c4c5 b6b7 f1a6 b7d7 e1g1 f6g4 e5g7 d7c7 f2f4 g8g7 a4d1 e6f5 h2h3 g4f6 d1d4 h7h5 b4b5 c6b5 c3d5 c7c6 d5b4 c6e6 c5c6 a8d8 d4c3 d8d6 a1d1 f8d8 d1d6 d8d6 f1c1 f5h3 c6c7 e6g4 a6b7 g4g3 c3e1 g3e1 c1e1 h3g4 e1c1 a7a5 b4c6 f6d5 c6e5 g4e6 b7d5 d6d5 c7c8q e6c8 c1c8 d5d1 g1h2 d1d2 c8c7 g7f6 a2a3 d2a2 c7c3 b5b4 a3b4 a5b4 c3c6 f6f5 e5f7 a2e2 c6c5 f5f6 f7e5 e2e3 c5b5 b4b3 e5f3 e3c3 f3d2 c3e3 b5b3 e3b3 d2b3 e7e5 h2g3 f6f5 f4e5 g6g5 b3d2 f5e5 g3f3 e5f5 d2e4 g5g4 f3e3 f5e5 e4f2 e5f5 f2d3 h5h4 d3f2 g4g3 f2h3 f5e5 e3f3 e5f5 h3g1 f5g5 f3e4
BUL-ch,Sofia,1981.??.??,5,"Georgiev, Kiril","Gochev, Mladen",1-0,2200,2250,A31,d2d4 g8f6 c2c4 c7c5 g1f3 c5d4 f3d4 e7e5 d4b5 d7d5 c4d5 f8c5 b5c3 e8g8 e2e3 e5e4 f1e2 f8e8 b1d2 c8f5 e1g1 a7a6 a2a3 b7b5 d2b3 c5d6 b3d4 f5g6 d1b3 d8e7 c1d2 e7e5 g2g3 g6h5 b3d1 h5e2 d1e2 d6c5 a1d1 b8d7 d2c1 c5d4 d1d4 d7b6 f1d1 e5f5 g1g2 b6c4 d5d6 a8d8 a3a4 e8e6 a4b5 c4e5 c3d5 f6d5 d4d5 e6h6 h2h4 f5e6 e2c2 e5d3 d1d3 e4d3 c2d3 a6b5 e3e4 h6g6 h4h5 g6f6 c1g5 d8d6 g5f6 d6d5 d3d5 e6d5 e4d5 g7f6 g2f3 g8f8 f3f4 f8e7 h5h6
BUL-ch,Sofia,1981.??.??,6,"Kirov, Nino","Georgiev, Kiril",1/2-1/2,2430,2200,D79,g1f3 c7c5 g2g3 g7g6 c2c3 f8g7 d2d4 c5d4 c3d4 g8f6 f1g2 e8g8 e1g1 d7d5 f3e5 e7e6 b1c3 f6d7 e5f3 b8c6 c1f4 d8b6 c3a4 b6b4 a2a3 b4b5 e2e3 d7b6 b2b3 b6a4 b3a4 b5a6 f1e1 b7b5 a4b5 a6b5 g2f1 b5a5 f3d2 e6e5 d2b3 a5d8 f4e5 c6e5 d4e5 g7e5 b3d4 d8d6 f1g2 c8d7 d1b3 e5d4 e3d4 d7e6 b3b4
BUL-ch,Sofia,1981.??.??,7,"Georgiev, Kiril","Spassov, Liuben",1/2-1/2,2200,2430,D35,g1f3 d7d5 d2d4 g8f6 c2c4 e7e6 b1c3 c7c6 c4d5 e6d5 c1g5 f8e7 e2e3 c8f5 g5f6 e7f6 f1d3 f5d3 d1d3 b8d7 e1g1 e8g8 b2b4 a7a6
BUL-ch,Sofia,1981.??.??,8,"Popov, Luben","Georgiev, Kiril",1-0,2445,2200,B38,c2c4 c7c5 g1f3 g7g6 d2d4 c5d4 f3d4 f8g7 e2e4 b8c6 c1e3 g8f6 b1c3 e8g8 f1e2 b7b6 e1g1 c8b7 f2f3 f6h5 a1c1 h5f4 f1e1 f4e2 e1e2 f7f5 e4f5 g6f5 d4c6 b7c6 e3g5 g7f6 g5f6 f8f6 c3d5 f6f7 c1c3 e7e6 d5b4 d8f8 b4c6 f8c5 c6d4 e6e5 b2b4 c5d6 c3d3 e5d4 a2a3 a7a5 d3d4 d6f8 d1e1 a5b4 a3b4 f8g7 e1g3 g7g3 h2g3 a8a1 g1f2 g8f8 e2e5 a1a2 f2g1 a2a1 g1h2 a1b1 b4b5 b1c1 d4f4 f8g8 e5d5 f7f6 g3g4 f6h6 h2g3 f5g4 f4g4 g8f7 d5d7 f7e6 d7c7 e6e5 g4e4 e5f5 c7f7 f5g5 e4g4
BUL-ch,Sofia,1981.??.??,9,"Georgiev, Kiril","Velikov, Petar",0-1,2200,2460,A06,g1f3 d7d5 b2b3 g8f6 c1b2 c8f5 c2c4 e7e6 c4d5 e6d5 e2e3 f8d6 f1e2 e8g8 e1g1 b8d7 d2d3 c7c6 b1d2 h7h6 b2c3 d8e7 b3b4 d6b4 c3b4 e7b4 f3d4 f5h7 a1b1 b4d6 b1b7 d7c5 b7b2 c5d3 b2b3 d3e5 d1c1 c6c5 c1a3 f8d8 d4b5 d6c6 f1c1 c5c4 b3b4 c6d7 b5d4 a8b8 b4a4 b8b7 a4a6 d8c8 d2f3 e5f3 e2f3 f6e4 h2h3 e4f6 a6d6 d7e7 a3a6 c8b8 f3d5 f6d5 d6d5 h7e4 a6c4 e4d5 c4d5 b7b1 c1b1 b8b1 g1h2 g7g6 g2g3 b1b2 h2g1 g8g7 d4f3 e7f6 g1g2 b2c2 g3g4 f6b2 g2g3 c2f2 f3d4 f2f6 d4f3 b2b8 g3g2 b8d6
BUL-ch,Sofia,1981.??.??,10,"Georgiev, Kiril","Stefanov, Krasimir",0-1,2200,2315,E68,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 g1f3 d7d6 g2g3 b8d7 f1g2 e7e5 e1g1 e8g8 e2e4 a7a5 h2h3 f8e8 c1e3 e5d4 f3d4 d7c5 f2f3 a5a4 e3f2 c7c6 d1c2 d8a5 a1b1 a5b4 b2b3 f6h5 f1d1 a4b3 a2b3 g6g5 d4e2 g7e5 c3a2 b4a3 a2c1 a3b4 g1h2 h7h6 f2e1 b4b6 b3b4 c5e6 c1d3 e5g7 e1f2 b6c7 c2b3 e6f8 d1d2 c8e6 b3c2 f8g6 c4c5 d6d5 e4d5 e6d5 e2c3 d5e6 b1e1 e6f5 c3e4 f5e4 e1e4 e8e4 f3e4 g6e5 c2d1 e5c4 d2c2 c4e3 d1h5 e3c2 e4e5 a8d8 g2e4 c2d4 h3h4 c7e7 h4g5 e7g5 h5g5 h6g5 h2h3 d4f3 b4b5 c6b5 d3b4 g5g4 h3g4 f3e5 g4f5 d8d2 f2e3 d2b2 b4d5 e5c6 d5f4 b5b4 e4d3 b4b3 f5e4 b2h2 e3g1 h2h1 f4e2 h1h5 e2c1 b3b2 c1e2 c6b4 d3b1 h5e5 e4f3 e5d5
