Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Chigorin CC,St Petersburg RUS,2005.05.16,1,"Giri,A","Butylkin,A",0-1,,2181,B31,e2e4 c7c5 g1f3 b8c6 f1b5 g7g6 e1g1 f8g7 c2c3 e7e5 f1e1 g8e7 b1a3 e8g8 a3c2 d7d6 d2d3 h7h6 b5c4 g8h7 h2h4 f7f5 g2g3 f5f4 d3d4 c5d4 c3d4 f4g3 f2g3 d8d7 g1f2 d7h3 c4f1 h3h2 f1g2 c8g4 e1e3 e5d4 e3d3 g7e5 c1f4 e5f4 f3h2 g4d1 a1d1 f4e3 f2e1 f8f2 d3e3 d4e3 c2e3 f2b2 d1d6 a8f8 h2g4 h7g7 d6d7 f8d8 d7d8 c6d8 e4e5 b2a2 g2e4 e7c6 e4c6 d8c6 e3c4 b7b5 c4d6 b5b4 e5e6 b4b3 d6c4 b3b2 c4d2 a2a1 e1e2 b2b1q d2b1 a1b1 e2d2 b1g1 g4e3 g1g3 h4h5 g3e3 d2e3 g6h5 e3e4 g7f6 e4d5 c6d8 d5d6 d8e6
Chigorin CC,St Petersburg RUS,2005.05.17,2,"Penkov,A","Giri,A",0-1,2076,,A02,f2f4 g8f6 b2b3 e7e6 c1b2 b7b6 g1f3 c8b7 e2e3 f8e7 f1e2 e8g8 e1g1 c7c5 c2c4 b8c6 b1c3 d7d5 c4d5 e6d5 d2d4 f6g4 d1d2 g4e3 d2e3 c5d4 f3d4 c6d4 e2d3 e7c5 e3h3 d8h4 h3h4 d4f3 g1h1 f3h4 f4f5 c5d4 f1f4 d4c3 b2c3 h4g2 f4d4 g2h4 a1f1 f8e8 c3d2 e8e4 d3e4 d5e4 d2e3 a8e8 d4d7 b7c8 d7a7 h4f5 e3b6 e4e3 h1g2 g7g5 g2f3 f5h4 f3g3 f7f5 h2h3 f5f4 f1f4 g5f4 g3h4 e3e2 b6f2 e2e1q f2e1 e8e1 a7a8 e1c1 b3b4 c1c3 b4b5 g8g7 h4g5 f4f3 a8a7 g7g8 a7a4 c3c5 g5h6 f3f2 a4f4 c5f5
Chigorin CC,St Petersburg RUS,2005.05.18,3,"Giri,A","Malofeev,A",1/2-1/2,,2336,B15,e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 g8f6 e4f6 e7f6 g1f3 f8d6 f1d3 e8g8 e1g1 c8g4 f1e1 b8d7 c2c3 d8c7 h2h3 g4h5 d1c2 h5g6 f3h4 c6c5 h4g6 h7g6 c2b3 f8d8 c1e3 f6f5 e3g5 d7f6 e1e2 a8c8 g5f6 g7f6 b3c4 g8g7 b2b3 c5d4 c4c7 c8c7 c3d4 d6f8 d3c4 d8d4 a2a4 f5f4 e2e1 f8c5 a1d1 c7d7 d1d4 d7d4 g1f1 f6f5 e1e2 g6g5 e2e5 b7b6 e5f5 d4d2 f1e1 d2b2 f5g5 g7f6 g5d5 c5f2 e1f1 f2e3 h3h4 a7a6 h4h5 f6g7 d5f5 f7f6 f5d5 g7h6 c4e2 b2b3 e2a6 b3b1 f1e2 b1b2 e2f3 b2f2 f3e4 f2g2 d5f5 h6g7 a6b5 g2h2 e4f3 h2h3 f3e4 e3c1 e4d4 c1b2 d4d5 b2c1 d5d4 g7f7 b5c4 f7e7 f5d5 c1b2 d4e4 b2e5 a4a5 b6a5 d5a5 h3h5 c4e2 h5h1 a5a6 h1b1 a6a7 e7d6 a7a6 d6c5 a6a5 c5b6 a5a6 b6b7 a6a3 b1b2 e2c4 b7c6 a3b3 b2c2 c4d3 c2c1 d3e2 c1e1 e4f3 c6d5 b3d3
Chigorin CC,St Petersburg RUS,2005.05.19,4,"Nikolaev,V RUS","Giri,A",1-0,2201,,E32,d2d4 e7e6 c2c4 g8f6 b1c3 f8b4 d1c2 e8g8 a2a3 b4c3 c2c3 b7b6 f2f3 d7d5 e2e3 c8b7 f1d3 d8e7 g1e2 f8c8 c4c5 b6c5 d4c5 e6e5 d3f5 c8d8 e1g1 g7g6 f5h3 b7a6 f1e1 a6c8 h3c8 d8c8 b2b4 c7c6 e2g3 b8d7 e3e4 d5d4 c3d3 g8g7 f3f4 c8d8 f4f5 f6g8 e1f1 f7f6 h2h4 e7e8 f5g6 h7g6 d3f3 e8e6 c1d2 g8e7 f1f2 d8h8 h4h5 g6g5 a1f1 a8f8 f3d3 a7a5 d3c2 h8h7 b4a5 e6g4 f2f3 f8h8 a5a6 g4e6 d2a5 g5g4 f3f5 e7f5 g3f5 g7f7 h5h6 h7h6 f5h6 h8h6 a6a7 h6h8 f1f5 g4g3 a5c7 h8a8 c7b6 a8h8 c2d3 e6a2 f5f3 a2a1 f3f1 a1c3 d3c3 d4c3 f1c1 h8a8 c1c3 d7f8 c3g3 f8e6 g3d3 e6d4 g1f2 f7g6 d3g3 g6f7 a3a4 d4e6 f2e3 e6g5 e3d3 f7e7 g3e3 g5e6 d3c4 e6d8 c4b4 d8b7 e3h3
Chigorin CC,St Petersburg RUS,2005.05.20,5,"Giri,A","Gaprindashvili,N2",1/2-1/2,,2074,E16,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 d7d5 f3e5 c7c5 d1a4 b8d7 c4d5 b7d5 g2d5 f6d5 e2e4 d5f6 d4c5 f8c5 e1g1 c5d6 e5c4 d6c7 b1c3 e8g8 f1d1 d8e7 c1e3 a7a6 a4c6 f8c8 c4d6 c7d6 c6d6 e7d6 d1d6 d7e5 d6b6 e5c4 b6b3 c4e3 f2e3 a8b8 b3b8 c8b8 a1b1 g8f8 b2b4 b8c8 b1b3 c8c4 a2a4 f6e4 c3e4 c4e4 b4b5 a6b5 a4b5 e4c4 b5b6 c4c8 g1f2 f8e7 f2f3 e7d6 f3e4 c8b8 b6b7 d6c6 e4e5 c6c7 g3g4 c7c6 g4g5 c6c7 h2h4 c7d7 h4h5 d7e7 h5h6 f7f6 e5d4 f6g5 h6g7 e7f7 d4e5 h7h5 g7g8q f7g8 e5e6 g5g4 b3b5 g4g3 b5g5 g8f8 g5f5 f8g8 f5g5 g8f8 g5g3 b8b7 g3f3 f8e8 f3h3 b7h7 e3e4 h7h6 e6f5 e8e7 f5g5 h6h8 g5f5 h5h4 h3a3 h4h3 a3a7 e7f8 f5g6 h8h4 a7f7 f8e8 f7f1
Chigorin CC,St Petersburg RUS,2005.05.21,6,"Bagrunov,V","Giri,A",0-1,2093,,E98,g1f3 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 d2d4 e8g8 f1e2 e7e5 e1g1 b8c6 d4d5 c6e7 f3e1 f6d7 c1g5 h7h6 g5h4 f7f5 f2f3 g6g5 h4f2 f5f4 e1d3 d7f6 c4c5 h6h5 c5d6 c7d6 c3b5 a7a6 b5a7 c8d7 d1b3 d8b8 b3b6 g5g4 a1c1 f6e8 c1c3 g7h6 f3g4 h5g4 d3e5 d6e5 b6h6 f8f7 d5d6 b8d6 h6d6 e8d6 f1d1 f4f3 d1d6 f3e2 d6d7 a8f8 c3f3 g4f3 g2g3 e7c8 d7f7 g8f7 a7c8 f8c8
Chigorin CC,St Petersburg RUS,2005.05.23,7,"Giri,A","Toporov,V",1-0,,2107,C16,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 b7b6 d1g4 b4f8 g1f3 d8d7 f1e2 g8e7 h2h4 c8b7 h4h5 h7h6 c1e3 b8c6 e1g1 e7f5 f3h4 e8c8 e2d3 f5h4 g4h4 f8e7 h4g4 f7f5 g4g3 d8g8 a2a3 d7e8 g3h3 g7g5 h5g6 e8g6 c3d5 e7g5 f2f4 g5d8 c2c4 c8b8 f1f3 h8h7 d5c3 h7d7 d4d5 c6e7 d3c2 e6d5 c4d5 e7d5 c3d5 b7d5 c2f5 g6g7 f5d7 d5f3 h3f3 g7d7 f4f5 d7b5 e3d4 d8e7 a1e1 b5c4 d4f2 e7h4 f2h4 c4h4 f3f2 h4g4 e5e6 g8e8 f5f6 e8e6 e1e6 g4e6 f6f7
Chigorin CC,St Petersburg RUS,2005.05.24,8,"Zamyshlyaev,V","Giri,A",1-0,2227,,C15,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 f1d3 c7c5 g1f3 b8c6 e4d5 e6d5 e1g1 c5c4 f1e1 g8e7 d3f1 e8g8 a2a3 b4d6 c1g5 f7f6 g5h4 c8g4 f1e2 e7f5 h4g3 f5g3 h2g3 d6c7 d1d2 f8e8 a1d1 d8d7 f3h2 g4e2 e1e2 c7a5 h2f1 e8e2 d2e2 a5c3 b2c3 a8e8 e2f3 e8e4 f1e3 d7e6 d1b1 b7b6 a3a4 c6e7 a4a5 g7g5 a5b6 a7b6 f3h5 g8g7 b1a1 e6f7 h5f7 g7f7 a1a7 f7e8 g3g4 h7h6 g1f1 e4e6 g2g3 e6e4 f1g2 e4e6 g2f3 e8d8 a7a8 d8d7 a8h8 b6b5 h8h6 e6a6 f3e2 a6e6 e2d2 d7c7 f2f4 c7d7 h6h7 d7e8 h7h5 b5b4 c3b4 g5f4 g3f4 e6e4 c2c3 e4f4 d2e2 e7g6 h5d5 f4g4 d5f5 g4f4 f5f4 g6f4 e2f3 f4e6 e3c4 e6c7 c4e3 c7b5 e3d5 e8f7 f3e3 f7e6 c3c4 b5d6 e3d3 d6c8 b4b5 c8a7 d5b4 a7c8 c4c5 e6d7 b4d5 f6f5 d5b6 c8b6 c5b6 d7c8 d4d5 c8b7 d5d6 b7b6 d3e3 b6b7 e3f4 b7c8 b5b6
Chigorin CC,St Petersburg RUS,2005.05.25,9,"Giri,A","Vorobiov,D",0-1,,2099,B40,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 d8b6 d4b3 a7a6 c1e3 b6c7 g2g3 g8f6 f1g2 b8c6 e1g1 f8e7 b1c3 d7d6 f2f4 c8d7 d1e2 b7b5 a2a3 a8b8 g3g4 b5b4 a3b4 c6b4 g4g5 f6g4 e3c1 c7a7 g1h1 h7h5 h2h3 a7b6 g2f3 b8c8 h1g2 d7b5 c3b5 c8c2 c1d2 g4e3 g2h1 e3f1 e2f1 a6b5 a1a8 e7d8 d2b4 e8g8 f1d1 b6f2 b3d2 d8b6 a8f8 g8f8 e4e5 c2b2 d1c1 g7g6 b4c3 b2c2 c1a1 c2c3 e5d6 f2d2
St Petersburg vs Moscow,St Petersburg RUS,2005.06.14,1,"Giri,A","Dolbnja,Dmitry",1/2-1/2,,,B85,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f1e2 e7e6 c1e3 f8e7 e1g1 e8g8 a2a4 b8c6 f2f4 d8c7 e2f3 c6a5 g1h1 a5c4 e3c1 f8e8 d4e2 a8b8 b2b3 c4a5 c1d2 e7f8 g2g4 g7g6 g4g5 f6d7 f4f5 e6f5 c3d5 c7d8 e4f5 f8g7 f5g6 f7g6 d5f6 d7f6 g5f6 g7f6 f3d5 c8e6 d5e6 e8e6 e2f4 e6e8 d1f3 a5c6 f4g6 h7g6 f3f6 c6e5 d2c3 d8d7 c3e5 d7c6 h1g1 d6e5 f6c6 b7c6 f1f6 b8c8 f6g6 g8f7 g6g3 f7e6 a1f1 c8d8 g3g6 e6d5 f1d1
