Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
JUG-ch,Novi Sad,1945.??.??,1,"Gligoric, Svetozar","Kulzinski, Nikolaj",0-1,,,E33,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 b8c6 g1f3 d8e7 c1g5 h7h6 g5f6 e7f6 a2a3 b4c3 c2c3 d7d6 e2e3 e8g8 f1d3 e6e5 d4d5 c6e7 e1g1 c8f5 f3d2 f6g6 d3f5 g6f5 e3e4 f5d7 c4c5 e7g6 g2g3 f7f5 f2f3 a8c8 a1c1 g6e7 c3b4 b7b6 c5d6 c7d6 d2c4 c8c5 b2b3 f8c8 a3a4 c8c7 c1d1 c7c8 f1f2 f5e4 f3e4 d7g4 d1e1 c8d8 a4a5 b6a5 c4a5 e7d5 b4d2 d5f4 f2f1 f4h3 g1g2 d8d7 a5c4 h3g5 d2d3 g5e6 h2h3 g4g6 g2h2 e6d4 e1a1 c5c7 a1a6 g6e6 a6a4 d7f7 f1f7 c7f7 h2g2 f7f3 c4e3 e6g6 g3g4 g6f7 a4d4 e5d4 d3d4 f3f2 g2g3 f7f3 g3h4 g8h7 g4g5 f3f4 e3g4 h6g5
JUG-ch,Novi Sad,1945.??.??,2,"Gligoric, Svetozar","Tomovic, Vasilje",1-0,,,B76,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 c1e3 f8g7 f2f3 e8g8 d1d2 b8c6 e1c1 c8d7 g2g4 a8c8 d4b3 c6e5 d2f2 a7a6 e3b6 d8e8 b3a5 d7c6 h2h4 h7h5 g4h5 f6h5 f1h3 c6d7 f3f4 e5c4 a5c4 c8c4 h3f1 c4c6 f1e2 h5f4 b6d4 f4e2 f2e2 f7f5 d4g7 g8g7 d1g1 f5e4 h4h5 d7f5 h5g6 f8h8 h1h7 g7f6 c3e4 f5e4 e2e4 e7e5 e4h4
JUG-ch,Novi Sad,1945.??.??,3,"Preinfalk, Anton","Gligoric, Svetozar",0-1,,,D48,d2d4 d7d5 c2c4 e7e6 b1c3 c7c6 e2e3 g8f6 g1f3 b8d7 f1d3 d5c4 d3c4 b7b5 c4d3 a7a6 e1g1 c6c5 a2a4 b5b4 c3b1 c5d4 e3d4 f8e7 b1d2 c8b7 a4a5 d8c7 d1e2 f6d5 d2c4 d5f4 c1f4 c7f4 f3e5 f4d4 e5d7 d4d7 f1d1 d7c6 e2g4 e8g8 c4b6 f7f5 g4h3 a8d8 d3c4 f8f6 c4f1 f6h6 h3b3 e7d6 b6c4 d6h2 g1h1 d8d1 a1d1 c6c7 f1d3 c7f4 b3c2 f4h4
JUG-ch,Novi Sad,1945.??.??,4,"Gligoric, Svetozar","Kostic, Boris",0-1,,,C83,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 c2c3 f8e7 c1e3 e8g8 b1d2 e4d2 d1d2 d8d7 b3c2 c6a5 f3d4 c7c5 d2d3 g7g6 d4e6 f7e6 h2h4 e7h4 e3c5 h4e7 c5e3 a5c4 e3h6 f8f7 d3g3 e7f8 h6c1 f8g7 f2f4 d7a7 g1h2 c4e5 f1e1 e5c4 b2b3 c4d6 e1e6 a7d7 g3h3 d6f5 e6e1 a8c8 c1d2 b5b4 c3c4 g7a1 e1a1 d5c4 d2b4 d7d4 a1f1 c4c3 a2a3 d4d7 c2d3 c3c2 f1c1 f5d4 d3c4 d7h3 h2h3 c8c4 b3c4 f7f4 a3a4 d4f5 g2g4 f5d4 c1e1 d4e2 b4d2 f4e4 e1f1 e4c4 d2h6 c4c8 f1f6 c2c1q h6c1 c8c1 f6a6 g6g5 h3g2 c1c3 a6a7 c3a3 a4a5 e2d4 a5a6 d4c6 a7a8 g8g7 g2f2 c6e5 a6a7 e5g4 f2g2 h7h5
JUG-ch,Novi Sad,1945.??.??,5,"Subaric, Mladen","Gligoric, Svetozar",0-1,,,D48,d2d4 d7d5 c2c4 e7e6 b1c3 c7c6 e2e3 g8f6 g1f3 b8d7 f1d3 d5c4 d3c4 b7b5 c4d3 a7a6 e1g1 c6c5 c3e4 c5d4 f3d4 c8b7 e4g3 f8e7 b2b3 d7c5 d3c2 e8g8 c1b2 d8d5 f2f3 d5d8 d1e2 d8b6 a1c1 f8d8 e2f2 a8c8 c2b1 a6a5 g3e2 b5b4 e2f4 f6e8 f2g3 g7g6 b1g6 h7g6 f4g6 e7f6 g6e7 g8f8 e7c8 b7c8 g3h3 e6e5 h3h6 f8e7 f1d1 e5d4 b2d4 d8d4 d1d4 c5e6 d4e4 c8b7 e4e6 b6e6 h6f4 f6e5 f4h4 e8f6 h4c4 f6d5 c4b5 b7a6 b5a5 e5d6 e3e4 e6h6
JUG-ch,Novi Sad,1945.??.??,6,"Gligoric, Svetozar","Vidmar, Milan Jr",0-1,,,B05,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 c8g4 f1e2 c7c6 e1g1 g4f3 e2f3 d6e5 d4e5 e7e6 d1e2 b8d7 c2c4 d5e7 f3g4 d8c7 f2f4 e8c8 c1e3 e7f5 g4f5 e6f5 e2f2 b7b6 b1d2 d7c5 d2f3 c5e4 f2c2 f8e7 a2a3 c6c5 a1d1 c7c6 c2b3 h7h6 d1d5 g7g5 f3d2 e4d2 e3d2 g5g4 b3d3 c6e6 f1d1 h6h5 d2e3 h5h4 b2b4 c5b4 a3b4 h4h3 g2g3 c8b8 d3a3 e6c6 a3d3 d8c8 d3f5 c6c4 d5d2 e7b4 d2f2 h8g8 f5d3 c4c6 f4f5 g8d8 d3e2 d8d1 e2d1 c6e4 d1e2 b8a8 e2a6 c8c3 f2e2 c3c1
JUG-ch,Novi Sad,1945.??.??,7,"Milic, Borislav","Gligoric, Svetozar",0-1,,,D75,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 g2g3 f8g7 f1g2 d5c3 b2c3 c7c5 g1f3 b8c6 e2e3 e8g8 e1g1 c5d4 c3d4 c8f5 f3h4 f5d7 a1b1 a8b8 c1a3 c6a5 d1d3 a7a6 d3e4 f8e8 f1c1 b7b5 g2f1 d7e6 a3b4 e6a2 b1a1 a2d5 b4a5 d5e4 a5d8 e8d8 a1a6 g6g5 h4g2 b5b4 g2e1 b4b3 f1d3 e4d3 e1d3 e7e5 a6a4 e5d4 e3d4 g7d4 c1b1 d4g7 d3b4 b3b2 b4c6 b8a8 a4b4 d8d2 c6e7 g8f8 e7f5 g7f6 g1g2 g5g4 b4b6 f6e5 f5e3 e5d4 b6b3 d4e3 b3e3 a8a1 e3e1 a1b1 e1b1 d2c2 h2h3 h7h5
JUG-ch,Novi Sad,1945.??.??,8,"Gligoric, Svetozar","Pirc, Vasja",1/2-1/2,,,B18,e2e4 c7c6 b1c3 d7d5 d2d4 d5e4 c3e4 c8f5 e4g3 f5g6 h2h4 h7h6 g1h3 g8f6 h3f4 g6h7 f1c4 b8d7 c2c3 e7e5 f4h5 d8e7 h5f6 e7f6 c1e3 f6e7 d4e5 d7e5 c4e2 e7e6 d1b3 e6b3 a2b3 e5d3 e2d3 h7d3 a1a7 a8a7 e3a7 f8d6 e1d2 d3g6 a7e3 d6g3 f2g3
JUG-ch,Novi Sad,1945.??.??,9,"Popovic, Vojislav","Gligoric, Svetozar",0-1,,,D02,g1f3 d7d5 g2g3 c7c5 f1g2 b8c6 d2d4 g8f6 e1g1 d8b6 c2c3 e7e6 e2e3 f8d6 b1d2 e8g8 b2b3 e6e5 d4e5 c6e5 f3e5 d6e5 c1b2 c8f5 d2f3 e5c7 d1e2 f8e8 f1d1 a8d8 h2h3 h7h6 b3b4 c5c4 a2a4 f5d3 e2e1 a7a5 b4b5 c7g3 d1d3 c4d3 c3c4 d5c4 a1c1 f6e4 f2g3 d3d2 f3d2 e4d2 c1d1 b6e3 e1e3 e8e3 g2b7 c4c3 b2c1 e3e7 b7c6 d2f3 c6f3 d8d1 f3d1 e7e1 g1f2 e1d1
JUG-ch,Novi Sad,1945.??.??,10,"Gligoric, Svetozar","Rabar, Braslav",1-0,,,D51,d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c1g5 b8d7 e2e3 c7c6 a2a3 f8e7 d1c2 d5c4 f1c4 f6d5 g5e7 d8e7 g1f3 d5f6 e1g1 e8g8 c4a2 e6e5 d4e5 d7e5 f3e5 e7e5 a1e1 c8f5 e3e4 f5e6 a2e6 e5e6 f2f4 f6e8 e4e5 f7f5 e1d1 g7g5 c3e2 g5f4 c2c3 e8g7 e2f4 e6e7 f1f3 a8d8 d1e1 g8h8 e5e6 f8f6 f3g3 d8g8 e1d1 g8d8 d1d7 d8d7 e6d7 f6d6 c3g7 e7g7 g3g7 h8g7 f4e6 g7f6 d7d8q d6d8 e6d8 f6e5 g1f2 e5d5 d8b7
