Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
URS Cup,URS,1984.??.??,?,"Goldin, Alexander","Ratkovic, Milorad",1-0,,,A41,d2d4 g8f6 g1f3 d7d6 b1c3 c8g4 e2e4 e7e6 h2h3 g4h5 d4d5 e6d5 c3d5 b8d7 d5f4 h5f3 g2f3 g7g6 c1e3 f8g7 d1d2 e8g8 e1c1 d7e5 f1e2 f6d7 f4d5 d7b6 e3g5 f7f6 g5e3 b6c4 c2c3 c4e3 f2e3 c7c6 d5f4 d8e7 b2b3 g8h8 d2d6 f8e8 d6e7 e8e7 d1d6 e5f7 d6e6 e7e6 f4e6 g7h6 e6f4 a8d8 h3h4 d8d6 h4h5 h6f4 e3f4 g6g5 e2c4 h8g7 h1g1 h7h6 c4f7 g7f7 f4f5 f7e7 g1d1 d6d1 c1d1 e7d6 d1d2 d6e5 d2e3 c6c5 c3c4 a7a6 a2a3 b7b5 a3a4 b5a4 b3a4 a6a5 f3f4 e5d6 f4g5 f6g5
URS Cup,URS,1984.??.??,?,"Goldin, Alexander","Khalifman, Alexander",1/2-1/2,,,D01,d2d4 g8f6 b1c3 d7d5 c1g5 c7c5 g5f6 g7f6 e2e4 d5e4 d4c5 d8a5 d1d5 a7a6 e1c1 b8c6 f1c4 c8e6 d5e4 f6f5 e4e2 e6c4 e2c4 e7e6 c3a4 a5b5 c4b3 c6d4 b3b5 a6b5 a4c3 f8c5 a2a3 e8e7 g1h3 b5b4 a3b4 c5b4 h3f4 b4c3 b2c3 d4b5 c1d2 a8a3 d1b1 h8d8 f4d3 b5d6 f2f3 d6c4 d2e2 b7b6 b1b3 a3a2 h1c1 e6e5 b3b4 e5e4 f3e4 f5e4 d3f4 b6b5 b4b5 d8d2 e2e1 d2c2 c1c2 a2c2 b5b4 c4d6 b4d4 f7f5
URS Cup,URS,1984.??.??,?,"Goldin, Alexander","Jailjan, M.",1/2-1/2,,,E16,d2d4 g8f6 c2c4 e7e6 g1f3 f8b4 c1d2 b4d2 d1d2 e8g8 g2g3 b7b6 b1c3 c8b7 f1g2 f6e4 d2c2 e4c3 f3g5 c3e4 g2e4 b7e4 c2e4 d8g5 e4a8 b8c6 a8b7 c6d4 a1d1 c7c5 e2e3 d4c2 e1d2 g5f5 f2f3 c2b4 d2e2 f5c2 d1d2 c2c4 e2f2
URS Cup,URS,1984.??.??,?,"Dautov, Rustem","Goldin, Alexander",0-1,2215,,D58,d2d4 g8f6 g1f3 d7d5 c2c4 e7e6 b1c3 f8e7 c1g5 h7h6 g5h4 e8g8 e2e3 b7b6 f1d3 c8b7 e1g1 b8d7 d1e2 c7c5 f1d1 f6e4 h4g3 c5d4 e3d4 e4g3 h2g3 d7f6 f3e5 d5c4 d3c4 a8c8 a2a3 f6d5 c3e4 c8c7 c4d3 d5f6 e4c3 d8a8 d1e1 a7a6 d3c2 f8d8 c2b3 d8d6 a1d1 b6b5 g1h2 e7f8 f2f3 a8a7 e2d3 b7d5 c3d5 f6d5 h2h1 g7g6 e5g6 f7g6 e1e6 d6e6 b3d5 g8f7 d5e6 f7e6 d3g6 e6d7 d1e1 f8e7 d4d5 a7c5 g6e6 d7d8 e6g8 d8d7 g8f7 d7c8 e1e6 c8b7 h1h2 e7f8 f7f5 b5b4 a3b4 c5b4 e6e4 b4c5 e4e6 a6a5 f5e4 c7d7 e4d3 d7d5 d3h7 b7c8 e6e8 d5d8 e8e4 d8d7 h7g8 c8b7 g8b3 b7a7 b3a4 d7b7 g3g4 f8d6 f3f4 b7b2 e4d4 b2b7 d4d6 c5d6 a4a5 a7b8 a5f5 b7b4
URS Cup,URS,1984.??.??,?,"Ruban, Vadim","Goldin, Alexander",1/2-1/2,,,E09,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8a6 b2b3 f8e7 f1g2 e8g8 e1g1 c7c6 b1d2 d7d5 d1c2 b8d7 e2e4 a8c8 c1b2 c6c5 e4d5 e6d5 f1d1 f8e8 c2f5 d5c4 d2c4 a6c4 b3c4 c5d4 f3d4 c8c5 f5c2 d8c8 a1c1 e7f8 g2h3 c5h5 h3g2 a7a6 d4f5 c8c5 f5h4 c5c7 b2d4 f8c5 h4f5 c5d4 d1d4 c7e5 d4f4 d7c5 f5e3 c5e6 f4f5 h5f5 c2f5 e5f5 e3f5 g7g6 f5e3 e8d8 c1b1 d8d6 g1f1 g8f8 f1e2 e6c5 e3d5 f6d5 g2d5 f8e7 e2e3 h7h6 e3d4 c5e6
Andropov,Andropov,1986.??.??,?,"Goldin, Alexander","Ruban, Vadim",1-0,2390,,D36,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 b8d7 c1g5 c7c6 c4d5 e6d5 d1c2 f8e7 e2e3 e8g8 f1d3 f8e8 e1g1 d7f8 a2a3 a7a5 f3e5 f6g4 g5e7 d8e7 e5g4 c8g4 a1e1 a8d8 f2f4 g4c8 c3a4 h7h6 c2c3 e7c7 b2b4 a5b4 a3b4 c7e7 b4b5 c6b5 d3b5 c8d7 c3b3 d7c6 a4c5 d8d6 c5d3 e8a8 d3e5 f7f6 b5c6 b7c6 e5d3 d6d8 d3b4 e7d6 b3c3 d8c8 e1a1 a8a1 f1a1 f8g6 b4d3 g6e7 d3c5 c8e8 c3d3 e7c8 d3b3 g8h8 b3b7 d6e7 b7e7 c8e7 g2g4 h6h5 h2h3 h5g4 h3g4 g7g6 g1f2 h8g7 a1a7 g7f7 a7d7 e8c8 f2f3 g6g5 f4f5 c8b8 d7d6 b8a8 c5d7 a8d8 d7e5 f7e8
Andropov,Andropov,1986.??.??,?,"Goldin, Alexander","Baburin, Alexander",1/2-1/2,2390,,D52,d2d4 d7d5 c2c4 e7e6 b1c3 c7c6 g1f3 g8f6 c1g5 b8d7 e2e3 d8a5 c4d5 f6d5 d1d2 d7b6 f1d3 d5c3 b2c3 b6d5 e1g1 a5c3 d2e2 f8e7 g5e7 d5e7 a2a4 e8g8 a4a5 c3b4 h2h4 e7d5 h4h5 b4e7 h5h6 g7g6 g2g3 c8d7 e3e4 d5b4 d3c4 b7b5 c4b3 a8c8 e2b2 f7f6 f1d1 g8h8 a5a6 c8d8 b2c3 d7c8 d1d2 f8e8 d4d5 c6d5 e4d5 e6d5 a1e1 e7f8 e1e8 d8e8 d2d4 b4a6 b3d5 a6c5 d5c6 b5b4 c3b4 c8d7
URS-FL,Irkutsk,1986.??.??,?,"Ivanchuk, Vassily","Goldin, Alexander",1/2-1/2,2475,2390,C92,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c8b7 d2d4 f8e8 b1d2 e7f8 a2a4 d8d7 a4b5 a6b5 a1a8 b7a8 d4d5 c6e7 d2f1 h7h6 f1g3 c7c6 d5c6 a8c6 f3h4 d6d5 h4f3 e7g6 e4d5 c6d5 g3h5 e8d8 h5f6 g7f6 b3c2 d5b7 d1d7 d8d7 f3h2 h6h5 e1d1 b7c6 d1d7 c6d7 c2d1 h5h4 h2g4 f8g7 g4h6 g7h6 c1h6 f6f5 h6d2 f5f4 d1e2 e5e4 b2b4 g8f8 c3c4 f4f3 g2f3 e4f3 e2f1 b5c4 f1c4 g6e5 c4f1 f7f6 b4b5 d7c8 d2a5 f8e7 a5c7 c8b7 b5b6 e5f7 f1d3 e7e6 d3c4 e6e7 c7f4 f7g5 g1h2 e7d7 f4e3 d7d6 e3d4 d6e7 d4c5 e7d7 c4b5 d7d8 c5e3 d8e7 b5d3 g5e4 d3c4 e4g5 e3d4 g5e6 d4b2 e6g5 c4d3 g5e4 h2g1 e7e6 d3c4 e6d6 b2d4 d6e7 c4d3 e7e6 d4e3 e4g5 g1h2 g5e4 d3c4 e6e7 c4g8 e4g5 e3d4 g5e6 d4e3 e6g5 g8a2 g5e4 e3d4 e4g5 a2b3 g5e4 b3c2 e7e6 c2d3 e6e7 d3c2 e7e6 c2b3 e6e7 b3d1 e4g5 d1c2 g5e4 c2a4 e4g5 d4c5 e7d8 a4c2 g5e4 c5e3 d8e7 c2b1 e7e6 b1d3 e6e7 d3f1 e7e6 h2g1 e4g5 e3d4 e6e7 d4c5 e7e6 g1h2 g5e4 f1c4 e6d7 c5d4 d7e7 c4b3 e4g5 b3c2 g5e4 c2d3 e7e6 d3b5 e6e7
URS-FL,Irkutsk,1986.??.??,?,"Goldin, Alexander","Vyzmanavin, Alexey",0-1,2390,2480,E11,d2d4 g8f6 c2c4 e7e6 g2g3 f8b4 c1d2 b4e7 f1g2 d7d5 g1f3 e8g8 e1g1 c7c6 d1b3 b7b6 d2f4 c8a6 b1d2 b8d7 f1d1 f6h5 f4e3 f7f5 b3a4 a6b7 c4d5 e6d5 f3e5 d7e5 d4e5 g7g6 f2f4 h5g7 a1c1 d8d7 e3f2 f8d8 e2e4 c6c5 a4b3 d7e6 e4f5 g6f5 b3d3 a7a5 d2b1 d8d7 b1c3 d5d4 b2b3 b7g2 g1g2 e6c6 d3f3 c6f3 g2f3 g8f7 a2a4 g7e6 c3b5 a8g8 d1d3 h7h5 h2h3 g8g6 c1g1 d7d8 d3d1 d8g8 g1g2 f7e8 d1g1 e8d7 b5a3 d7c6 a3c4 g6h6 g1d1 e6c7 f2e1 c7e6 e1d2 g8f8 d1g1 h6h7 d2c1 e7d8 c1d2 c6d5 d2c1 d8c7 g1d1 f8h8 c4e3 d5c6 e3c4 h7f7 d1d3 h8b8 c4a3 c6d5 d3d1 h5h4 g3g4 f5g4 g2g4 c7e5 d1e1 e5c7 g4h4 b8g8 h4h5 g8g5 h5g5 e6g5 f3g4 g5e4 a3c4 f7g7 g4f5 g7g8 e1d1 e4g3 f5f6 g3h5 f6e7 g8g7 e7e8 h5f6 e8f8 g7g3 f8e7 f6e4 c4e3 d5c6 e3f5 g3h3 e7e6 c7d6 d1e1 e4g3 f5d6 h3h6 e6e7 h6d6 e1e5 d4d3 f4f5 d3d2 c1d2 d6d2 f5f6 d2f2 e7e6 g3e2
URS-FL,Irkutsk,1986.??.??,?,"Goldin, Alexander","Romanishin, Oleg M",0-1,2390,2560,A63,d2d4 g8f6 c2c4 e7e6 g1f3 c7c5 d4d5 e6d5 c4d5 d7d6 b1c3 g7g6 g2g3 f8g7 f1g2 e8g8 e1g1 f8e8 f3d2 b8d7 d2c4 d7b6 c4b6 d8b6 d1c2 c8d7 a1b1 b6c7 a2a4 a7a6 c1d2 a8c8 e2e4 b7b5 b2b3 c5c4 a4b5 a6b5 b3b4 f6g4 b1a1 c8a8 g2f3 g4e5 f3e2 f7f5 a1a8 e8a8 f2f4 e5f7 e2f3 a8a3 g1h1 c7b6 c2c1 b6a6 f1e1 f5e4 f3e4 f7h6 e4g2 h6g4 c3e4 a3a1 c1c2 d7f5 h2h3 g4e3 e1a1 a6a1 c2c1 a1c1 d2c1 e3g2 e4d6 g2e1
