Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Capablanca mem-A,Cienfuegos,1985.??.??,1,"Palatnik, Semon","Granda Zuniga, Julio E",1/2-1/2,2455,2440,E11,d2d4 g8f6 c2c4 e7e6 g2g3 f8b4 c1d2 a7a5 f1g2 d7d5 d1c2 e8g8 g1f3 b8c6 e1g1 f8e8 d2g5 b4e7 f1d1 h7h6 g5f6 e7f6 b1c3 d5c4 c3b5 c6b4 c2c4 c7c6 b5c3 b7b6 c4b3 c8a6 d1d2 d8c7 a1c1 a8c8 a2a3 b4d5 c3a4 f6d8 e2e4 d5f6 f3e5 c6c5 f2f4 c5c4 b3d1 d8e7 a4c3 b6b5 a3a4 b5b4 c3b5 a6b5 a4b5 c4c3 b2c3 b4c3 d2d3 c3c2 d1e2 c7b6 d3d2 e7b4 d2c2
Capablanca mem-A,Cienfuegos,1985.??.??,2,"Granda Zuniga, Julio E","Ivkov, Borislav",1/2-1/2,2440,2510,C45,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 g8f6 d4c6 b7c6 f1d3 d7d5 d1e2 d5e4 d3e4 f6e4 e2e4 d8e7 e4e7 f8e7 e1g1 c8f5 c1f4 e8c8 b1d2 e7f6 c2c3 d8d5 d2b3 h8d8 f4e3 a7a5 b3c5 f6e7
Capablanca mem-A,Cienfuegos,1985.??.??,3,"Sunye Neto, Jaime","Granda Zuniga, Julio E",1-0,2510,2440,A11,c2c4 c7c6 g1f3 g8f6 b2b3 d7d5 c1b2 g7g6 g2g3 f8g7 f1g2 e8g8 e1g1 b8d7 d1c2 f8e8 b1c3 d7c5 d2d3 c8f5 c4d5 c6d5 b3b4 c5e6 h2h3 g6g5 c2d2 h7h6 c3b5 d8d7 a2a4 e8c8 h3h4 a7a6 h4g5 h6g5 b5d4 e6d4 f3d4 g5g4 d4f5 d7f5 e2e4 d5e4 d3e4 f6e4 g2e4 f5e4 b2g7 g8g7 f1e1 c8c2 e1e4 c2d2 e4e7 a8c8 e7e4 f7f5 e4e7 g7f6 e7b7 c8c2 a1f1 c2b2 b7b6 f6e5 b6a6 b2b4 f1e1 b4e4 a6a5 e5d6 e1e4 f5e4 a5g5 d2a2 a4a5 d6e6 g5g4 e6e5 g4g5 e5d4
Capablanca mem-A,Cienfuegos,1985.??.??,4,"Granda Zuniga, Julio E","Vilela, Jose Luis",1-0,2440,2415,B59,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 f1e2 e7e5 d4b3 f8e7 c1g5 e8g8 d1d2 a7a5 a2a4 c8e6 e1g1 c6b4 e2b5 d8c7 f2f4 f8d8 d2e2 a8c8 a1c1 h7h6 g5f6 e7f6 f4f5 e6d7 b5d7 d8d7 c1d1 b7b6 f1f2 c7c4 g2g3 g8f8 h2h4 c4e2 f2e2 c8c4 b3d2 c4c5 d2b1 d6d5 e4d5 b4d5 c3e4 c5c7 e2d2 f8e7 d2d5 d7d5 d1d5 c7c2 b1c3 c2b2 d5d6 b2b3 c3d5 e7e8 d6b6 b3a3 b6b7
Capablanca mem-A,Cienfuegos,1985.??.??,5,"Velez, Nestor","Granda Zuniga, Julio E",0-1,2385,2440,A05,g1f3 g8f6 b2b3 g7g6 c1b2 f8g7 g2g3 e8g8 f1g2 c7c5 e1g1 b8c6 d2d3 d7d5 b1d2 d5d4 c2c3 f6d5 c3d4 c5d4 a1c1 c8f5 d2b1 a8c8 d1d2 d8d7 c1c5 d7d6 c5b5 a7a6 b2a3 d6d8 b5b7 c6a5 b7a7 d8b6 a7e7 d5e7 a3e7 f8e8 e7a3 a5b7 a3b2 b7d6 b1a3 a6a5 a3c4 d6c4 b3c4 b6c5 f1e1 c8b8 d2c1 a5a4 b2a3 c5a5 a3d6 b8c8 c1a3 g7f8 d6f8 e8f8 a3c1 f8d8 g1f1 c8b8 c1h6 f7f6 h6f4 a5b6 e1c1 b6b2 c4c5 b2a2 g3g4 b8b1 g4f5 g6g5 f3g5 d8b8 f1g1 b1c1 f4c1 g8h8 g5f7 a2f7 c5c6 f7b3 c6c7 b8c8 h2h4 b3b6 g2d5 b6c7 d5c4 c8g8 g1h1 g8g4
Capablanca mem-A,Cienfuegos,1985.??.??,6,"Granda Zuniga, Julio E","Pinal, Nelson Borges",1/2-1/2,2440,2405,B34,e2e4 c7c5 g1f3 b8c6 b1c3 g7g6 d2d4 c5d4 f3d4 f8g7 c1e3 g8f6 d4c6 d7c6 d1d8 e8d8 e1c1 f6d7 f1c4 f7f6 f2f4 d8c7 d1d2 e7e5 g2g3 d7b6 c4b3 c8h3 c3d1 a8d8 d1f2 d8d2 e3d2 h3c8 h1f1 b6d7 f2d3 e5f4 d2f4 c7b6 f4e3 b6c7 d3f4 d7e5 b3e6 h8e8
Capablanca mem-A,Cienfuegos,1985.??.??,7,"Sygulski, Artur","Granda Zuniga, Julio E",1/2-1/2,2445,2440,D13,d2d4 d7d5 g1f3 g8f6 c2c4 c7c6 c4d5 c6d5 b1c3 b8c6 c1f4 d8b6 d1b3 e7e6 b3b6 a7b6 e2e3 f8b4 f1d3 e8g8
Capablanca mem-A,Cienfuegos,1985.??.??,8,"Granda Zuniga, Julio E","Vera, Reynaldo",0-1,2440,2480,B86,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 a2a4 b8c6 f1c4 e7e6 e1g1 f8e7 c1e3 e8g8 d1e2 c8d7 a1d1 d8c7 d4c6 d7c6 e3f4 a8c8 c4b3 f8d8 f1e1 c7a5 d1d3 b7b5 f4d2 a5b6 a4b5 a6b5 d3g3 d8e8 d2h6 g7g6 e4e5 f6d7 e5d6 e7d6 g3h3 d7c5 e2e3 c5a4 c3e4 d6e7 e3f4 c6e4 f4e5 e7f8 h6f8 e8f8 e5e4 a4b2 e4f4 b6a5 g1f1 c8c3 h3h4 h7h5 f4e5 a5c7 e5b5 b2d3 c2d3 f8b8 b5g5 c3b3 h4h5 b3b1
Capablanca mem-A,Cienfuegos,1985.??.??,9,"Rodriguez, Amador","Granda Zuniga, Julio E",1-0,2505,2440,D17,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 f3e5 e7e6 f2f3 f8b4 e5c4 b8a6 c1g5 h7h6 g5h4 e8g8 e2e4 f5h7 f1e2 c6c5 d4c5 d8d1 e1d1 f8d8 d1c2 b4c5 c4a5 a6b4 c2b3 b4c6 a5c6 b7c6 h1d1 a8b8 b3a2 c5d4 a1c1 b8b4 b2b3 b4b8 h4e1 f6h5 e2a6 h5f4 c3e2 f4e2 a6e2 c6c5 e1a5 d8f8 a5c7 b8b4 c7d6 f8c8 e2a6 b4b6 a6c8 b6d6 c8b7 g7g5 a4a5 g8g7 c1c4 d4e5 d1d6 e5d6 g2g3 g7f6 a2a3 f6e5 a3a4
Capablanca mem-A,Cienfuegos,1985.??.??,10,"Granda Zuniga, Julio E","Garcia Martinez, Silvino",1/2-1/2,2440,2430,B19,e2e4 c7c6 d2d4 d7d5 b1d2 d5e4 d2e4 c8f5 e4g3 f5g6 g1f3 b8d7 h2h4 h7h6 h4h5 g6h7 f1d3 h7d3 d1d3 g8f6 c1d2 e7e6
