Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Wch U10,Duisburg,1992.??.??,1,"Grischuk, Alexander","Simons, Rudi",1-0,,,C70,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 b7b5 a4b3 g8f6 f3g5 f8e7 g5f7 h8f8 f7d8 e7d8 e1g1 f6e4 d1h5 g7g6 h5h7 e4g5 h7g6 g5f7 d2d3 a6a5 c1h6 f8g8 g6f7
Wch U10,Duisburg,1992.??.??,2,"Azarov, Sergei","Grischuk, Alexander",1/2-1/2,,,C05,e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 c2c3 b8c6 g1f3 g8f6 e4e5 f6d7 f1d3 c5d4 c3d4 d8b6 d2b3 f8b4 c1d2 a7a5 d2c3 a5a4 b3d2 f7f6 e1g1 e8g8 f3h4 b4c3 b2c3 f6e5 d4e5 c6e5 d3c2 g7g6 d2f3 e5f3 h4f3 b6c6 f3d4 c6d6 c2a4 d7c5 a4c2 e6e5 d4b5 d6c6 a2a4 c8f5 c2b3 c5b3 d1b3 f5d3 f1e1 c6c5 b3b2 f8f5 a1d1 a8f8 d1d2 d3e4 b2a2 g8g7 b5d6 c5d6 e1e4 d6c5 e4e1 c5c3 e1b1 g7h8 a2d5 e5e4 d5d4 c3d4 d2d4 f5f2 d4e4 f2a2 h2h3 f8f7
Wch U10,Duisburg,1992.??.??,3,"Grischuk, Alexander","Tatarliev, G.",1-0,,,C10,e2e4 e7e6 d2d4 d7d5 b1d2 d5e4 d2e4 b8d7 g1f3 g8f6 f1d3 f6e4 d3e4 d7f6 e4d3 f8e7 e1g1 e8g8 c2c4 b7b6 b2b3 c8b7 c1b2 a8c8 d1e2 c7c5 a1d1 d8c7 d3b1 f8d8 f1e1 c5d4 f3d4 a7a6 d4e6 c7c6 e6f4 e7d6 f4d5 f6d5 c4d5 c6c5 d1d4 a6a5 e2h5 g7g6 h5h7
Wch U10,Duisburg,1992.??.??,4,"Geanta, Horia","Grischuk, Alexander",0-1,,,C02,e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 b8c6 g1f3 d8b6 f1e2 c5d4 c3d4 g8e7 b1a3 e7g6 a3c2 f7f6 h2h4 f6e5 h4h5 g6f4 d4e5 f4e2 d1e2 f8c5 e1g1 e8g8 c1e3 d5d4 b2b4 d4e3 b4c5 b6c5 c2e3 c6e5 f3g5 h7h6 g5e4 c5e7 e2b5 e5c6 a1c1 e6e5 e3d5 e7h4 b5c4 g8h8 e4g3 c6d4 f1e1 b7b5 d5e7 h4f6 c4d3 f6f2 g1h1 c8b7 e7g6 h8g8 g3e4 b7e4 d3e4 d4f5 e4d5 g8h7 g6f8 a8f8 d5e5 f2h4 h1g1 f5g3
Wch U10,Duisburg,1992.??.??,5,"Grischuk, Alexander","Mohsin, Basim A",1-0,,2205,B25,e2e4 c7c5 b1c3 b8c6 g2g3 d7d6 f1g2 g8f6 d2d3 g7g6 f2f4 f8g7 g1f3 e8g8 e1g1 c8e6 h2h3 d8d7 g3g4 d7c7 f4f5 e6d7 c1e3 a8b8 a2a4 a7a6 c3e2 b7b5 a4b5 a6b5 d1d2 f8c8 e2g3 d6d5 e3f4 c7b7 f4b8 b7b8 d2f2 d5e4 d3e4 f6e8 c2c3 b5b4 a1d1 b8c7 f5g6 h7g6 f2c5 d7g4 h3g4 c7g3 c5d5 e8f6 d5g5 g8h7 g5h4 g3h4 f3h4 f6g4 g2h3 c6e5 h3g4 e5g4 f1f7 b4c3 b2c3 c8c3 f7e7 c3g3 g1f1 g4e3 f1f2 g3h3 d1d7 e3g4 f2g2 h3h4 e7g7 h7h8 g2g3
Wch U10,Duisburg,1992.??.??,6,"McShane, Luke J","Grischuk, Alexander",1-0,,,C09,e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 e6d5 g1f3 b8c6 f1b5 f8d6 e1g1 g8e7 d4c5 d6c5 d2b3 c5d6 c1g5 e8g8 c2c3 c8g4 b5e2 d8c7 h2h3 g4h5 f3d4 h5e2 d1e2 f8e8 e2h5 d6f4 a1d1 h7h6 g5f4 c7f4 h5f3 f4g5 f3d3 c6e5 d3b5 e7g6 d4e2 e5f3 g1h1 f3h4 f1g1 g5f5 b3d4 f5f2 d1f1 f2e3 b5b7 g6e5 b7b3 e5d3 b3d5 d3f2 h1h2 a8d8 d5h5 e8e4 e2g3 e3f4 f1f2 f4f2 g3e4
Wch U10,Duisburg,1992.??.??,7,"Grischuk, Alexander","Aronov, L.",1-0,,,C54,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 d2d3 d7d6 b1d2 g8f6 c2c3 a7a6 c4b3 e8g8 e1g1 c8e6 b3c2 c5a7 h2h3 f6d7 d2c4 h7h6 c4e3 d8f6 g2g4 h6h5 e3f5 e6f5 c1g5 f6e6 g4f5 e6e8 g1h2 g7g6 g5h6 e8e7 f3g5 g8h8 d1f3 a8e8 f1g1 f8g8 c2b3 c6d8 f5g6 f7g6 g5f7 d8f7 f3f7 e7f7 b3f7 a7f2 g1g2 f2h4 f7e8 g8e8 g2g6 d7c5 h6g5 h4g5 g6g5 c5d3 g5h5 h8g7 a1g1 g7f6 h5h6 f6f7 h6h7 f7f8 h7h8 f8f7 h8e8 f7e8 h3h4 d6d5 h4h5 d5d4 h5h6 d4c3 h6h7
Wch U10,Duisburg,1992.??.??,8,"Ortega Ruiz, Jose Migues","Grischuk, Alexander",1/2-1/2,,,E92,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 d4e5 d6e5 d1d8 f8d8 c1g5 d8e8 a1d1 h7h6 g5f6 g7f6 c3d5 f6d8 f3e5 e8e5 d5b6 a7b6 d1d8 g8g7 d8c8 e5e4 f2f3 e4e5 e1f2 e5a5 h1d1 b8c6 c8a8 a5a8 a2a3 a8d8 d1d8 c6d8 b2b4 g7f6 f2e3 g6g5 e2d3 f6e5 g2g3
Wch U10,Duisburg,1992.??.??,9,"Ganguly, Surya Shekhar","Grischuk, Alexander",1/2-1/2,,,E68,g1f3 g8f6 g2g3 g7g6 f1g2 f8g7 e1g1 e8g8 d2d4 d7d6 c2c4 b8d7 b1c3 e7e5 e2e4 e5d4 f3d4 f8e8 h2h3 d7c5 f1e1 a7a5 c1f4 a5a4 a1c1 c7c6 d4c2 g7f8 d1d2 f6h5 f4e3 d8a5 c2d4 c8d7 c1d1 a8d8 g3g4 h5g7 c3d5 a5d2 d5f6 g8h8 d1d2 e8e7 d4c2 e7e6 e3c5 e6f6 e4e5 f6f4 c5d6 d7e6 c4c5 e6a2 e1d1 a2b3 e5e6 f8d6 e6e7 d8d7 c5d6 g7e8 g4g5 f7f6 h3h4 h8g7 g2f1 g7f7 c2d4 b3d5 g1h2 e8d6 h2g3 f4d4 d2d4 d6f5 g3f4 f5d4 d1d4 d7e7 d4a4 f6f5 f1d3 f7e6 a4a1 e6d6 h4h5 c6c5 a1d1 d6c6 h5g6 h7g6 d1d2 c5c4 d3b1 c6c5 f2f3 b7b5 f4g3 e7e3 d2f2 b5b4 b1c2 b4b3 c2d1 c5b4 f2d2 d5e6 g3f2 e3d3 f2e2 d3d2 e2d2 f5f4 d1e2 e6f5 e2f1 c4c3 d2c1 c3c2 c1d2 b4c5 f1e2 c5d4 e2b5 d4e5 b5e8 e5d4 e8f7 f5e4 f7b3 c2c1q d2c1 e4f3 c1d2 f3g4 b3c2 g4h5 c2d3 f4f3
Wch U10,Duisburg,1992.??.??,10,"Grischuk, Alexander","Bacrot, Etienne",1-0,,,B01,e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 d2d4 g8f6 g1f3 b8c6 f1e2 c8g4 h2h3 a5h5 c1f4 e8c8 e1g1 g4f3 e2f3 h5h4 f3c6 h4f4 c6f3 d8d4 d1e2 c7c6 a1d1 d4d1 f1d1 f4c7 b2b4 e7e6 b4b5 f8b4 c3e4 f6d5 b5c6 b7c6 a2a3 b4e7 d1b1 c7a5 c2c4 d5b6 c4c5 b6d5 e2b2 a5b5 b2c2 b5a5 a3a4 f7f5 c2b2 f5e4 b2b7 c8d8 f3g4 h8f8 g4e6 a5c7 b7a8
