Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Burevestnik-ch sf,Moscow,1965.??.??,?,"Volovich, Anatoly A","Gulko, Boris F",0-1,,,A09,g1f3 d7d5 g2g3 b8c6 c2c4 d5d4 d2d3 e7e5 f1g2 c8g4 h2h3 g4f5 e1g1 d8d7 g1h2 g8f6 b1a3 f8e7 a3c2 a7a5 b2b3 e8g8 a2a3 h7h6 c1d2 e5e4 f3e1 f8d8 d3e4 f5e4 f2f3 e4h7 e1d3 e7d6 d2e1 d8e8 e1f2 d7e7 f1e1 a8d8 d1d2 h6h5 h2g1 h5h4 g3g4 d6g3 f2g3 h4g3 d2f4 a5a4 b3a4 c6a5 f4g3 a5c4 g4g5 f6d5 f3f4 d5c3 g2f3 c4e3 c2e3 e7e3 g3f2 h7d3 e2d3 e3d3 f3b7 e8e3 b7g2 d8e8 a4a5 d3b5 f4f5 b5a5 g5g6 a5e5 g6f7 g8f7 e1e3 e5e3 f2e3 e8e3 g1f2 e3e5 g2f1 e5f5 f2e1 f7e6 a3a4 f5a5 f1c4 e6d6 c4b3 d6c5 e1d2 c5b4 b3c2 a5e5 a1f1 e5e2 d2d3 c7c5 f1f7 c5c4 d3d4 e2d2 d4e5
WchTJ U26 fin-A,Oerebro,1966.??.??,1,"Schoeneberg, Manfred","Gulko, Boris F",1-0,,,B07,e2e4 g7g6 d2d4 f8g7 b1c3 d7d6 c1e3 g8f6 f2f3 c7c6 d1d2 b7b5 g2g4 d8a5 g1e2 h7h5 g4g5 f6d7 e2c1 e8g8 f1d3 b5b4 c3d1 c6c5 c1b3 a5c7 d2e2 b8c6 c2c3 b4c3 b2c3 c5d4 c3d4 a7a5 a1c1 a5a4 b3d2 c7b6 d4d5 c6d4 e2f2 d7c5 d3c4 e7e5 d5e6 d4e6 e1g1 c8a6 d1c3 b6b2 c3d5 c5d3 c4d3 a6d3 d2c4 b2f2 f1f2 e6d4 c4b6 a8a5 c1d1 d4e2 g1f1 e2f4 f1e1 f4d5 b6d5 a5d5 e4d5 g7c3 f2d2 f8b8 e1f2 c3d2 d1d2 d3c4 e3f4 b8b6 f2e3 g8f8 e3d4 f8e8
WchTJ U26 fin-A,Oerebro,1966.??.??,2,"Gulko, Boris F","Aijala, Jouko",1-0,,,A44,d2d4 c7c5 d4d5 e7e5 e2e4 d7d6 b1c3 g7g6 f1b5 c8d7 a2a4 f8g7 g1f3 g8f6 b5e2 b8a6 f3d2 e8g8 e1g1 f6e8 d2c4 a6c7 f2f4 f7f6 f4f5 g6g5 h2h4 h7h6 c4e3 g8f7 e2d3 f8h8 c3e2 f7e7 c1d2 g7f8 c2c3 e8g7 b2b4 b7b6 g1f2 g7h5 g2g3 d7e8 f1h1 f8g7 e2c1 e8f7 d3e2 d8e8 b4c5 d6c5 e3c4 e7d7 d2e3 a8d8 a4a5 b6b5 c4b6 d7d6 c1b3 a7b6 a5b6 c7a8 e3c5 d6d7 a1a7 d7c8
WchTJ U26 prel,Oerebro,1966.??.??,3,"Hankipohja, Antti","Gulko, Boris F",0-1,,,B24,e2e4 g7g6 b1c3 f8g7 g2g3 c7c5 f1g2 b8c6 d2d3 e7e6 c1e3 b7b6 g1e2 g8e7 d3d4 c5d4 e2d4 c8a6 g2f1 a6f1 e1f1 e8g8 d4c6 e7c6 a1b1 f7f5 e4f5 f8f5 c3e2 d7d5 c2c3 e6e5 d1d3 d5d4 d3c4 g8h8 c3d4 e5d4 b1d1 a8c8 e3f4 g6g5 f4c1 d8d7 c1e3 d7b7
WchTJ U26 fin-A,Oerebro,1966.??.??,4,"Gat, I.","Gulko, Boris F",1/2-1/2,,,E61,c2c4 e7e5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 e2e3 d7d6 g1e2 g8f6 e1g1 e8g8 d2d4 f8e8 d4d5 c6b8 e3e4 b8d7 h2h3 a7a5 c1e3 d7b6 b2b3 f6d7 e2c1 f7f5 c1d3 f5f4 e3d2 d7c5 d3c5 d6c5 c3b5 c8d7 a2a4 e8f8 g1h2 b6c8 d2c3 h7h5 a1a2 g6g5 g3g4 h5g4 h3g4 a8a6 f2f3 a6h6 g2h3 g8f7 f1h1 f8h8 h2g2 h8h7 h1h2 b7b6 d1h1 f7e7 g2g1 c7c6 d5c6 d7c6 a2d2 c8d6 h3f1 c6b5 a4b5 d8a8 h2h6 h7h6 d2h2
WchTJ U26 fin-A,Oerebro,1966.??.??,6,"Gulko, Boris F","Kolbak, Jens",1-0,,,D34,g2g3 d7d5 g1f3 c7c5 f1g2 b8c6 d2d4 g8f6 e1g1 e7e6 c2c4 f8e7 c4d5 e6d5 b1c3 e8g8 d4c5 d5d4 c3a4 c8f5 c1f4 f5e4 a1c1 d8d5 e2e3 a8d8 e3d4 c6d4 d1d4 e4f3 d4d5 f3d5 f1e1 d5g2 g1g2 f6d5 g2f3 g7g5 f4d2 f7f5 c1d1 e7f6 d2a5 g5g4 f3e2 d8d7 d1d3 f6d8 a5d8 f8d8 e1d1 g8f7 f2f4 g4f3 e2f3 f7f6 a4c3 d5b6 d3d7 b6d7 d1d6 f6f7 d6d5 f7e6 f3f4 d8f8 d5d6 e6e7 c3d5 e7e8 d5c7 e8e7 c7d5 e7e8 b2b4 a7a5 a2a3 a5b4 a3b4 f8f7 d5e3 f7e7 e3f5 e7e2 h2h4 e2b2 d6d4 d7f8
WchTJ U26 fin-A,Oerebro,1966.??.??,7,"Gulko, Boris F","Spassov, Liuben",1/2-1/2,,,C67,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 d2d4 e4d6 b5c6 d7c6 d4e5 d6f5 d1d8 e8d8 b2b3 d8e8 c1a3 f8a3 b1a3 a7a5 a3b1 c8e6 b1c3 e6d5 c3d5 c6d5 a1d1 c7c6 a2a4 h7h5 f1e1 e8e7 f3d4 f5d4 d1d4 a8d8 d4d3 d5d4 d3g3 g7g6 e5e6 d8d6 e6f7 e7f7 e1e5 h8d8 h2h3 b7b6 h3h4 d8d7
WchTJ U26 fin-A,Oerebro,1966.??.??,10,"Gulko, Boris F","Poutrus, W.E.",1-0,,,A65,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e8g8 c1g5 c7c5 d4d5 h7h6 g5e3 e7e6 d1d2 e6d5 c4d5 g8h7 g1e2 a7a6 a2a4 b8d7 e2g3 f6g8 f3f4 d8e7 f1d3 f8e8 e1g1 d7f8 a1e1 g8f6 g1h1 f6g4 e3g1 e7h4 d3e2 h6h5 e4e5 d6e5 g3e4 e5f4 d2f4 h7h8 e4g5 f7f6 g5f7 h8g8 g2g3 h4h3 f7g5 f6g5 f4f7 g8h7 f7e8 c8f5 e8a8 g7c3 b2c3
WchTJ U26 fin-A,Oerebro,1966.??.??,11,"Nagy, Bela","Gulko, Boris F",0-1,,,E12,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 b1c3 c8b7 a2a3 d7d5 c4d5 f6d5 e2e3 f8e7 f1b5 c7c6 b5d3 e8g8 c3d5 e6d5 e1g1 c6c5 b2b3 b8d7 c1b2 e7d6 f3e5 d8e7 e5d7 e7d7 d4c5 b6c5 a1c1 a8b8 a3a4 d7e6 d1h5 f7f5 g2g4 e6g6 h5g6 h7g6 b2a3 b8c8 f1d1 f5g4 d3e4 d6h2 g1h2 d5e4 h2g3 f8f3 g3g2 g4g3 f2g3 f3e3 c1c5 c8c5 a3c5 e3b3 c5a7 e4e3 g2h3 b7f3 d1e1 e3e2 h3h2 b3a3 h2g1 a3a4 a7b6 a4a3 g1f2 f3g4 b6e3 a3d3
URS-chT,URS,1966.??.??,?,"Gulko, Boris F","Geller, Efim P",1-0,,,D47,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 g1f3 b8d7 e2e3 c7c6 f1d3 d5c4 d3c4 b7b5 c4d3 c8b7 e1g1 b5b4 c3e4 c6c5 e4f6 g7f6 c1d2 c5d4 e3d4 f8d6 d1e2 d7b6 a1c1 h8g8 d3b5 e8e7 b5c6 b7c6 c1c6 a8c8 c6c8 d8c8 e2e4 g8h8 f3h4 b6d5 h4f5 e7d7 f1c1 c8a6 f5e3 a6a2 e4c2 d5e7 d2b4 h8c8 b4c5 f6f5 e3c4 d6f4 c1d1 e7d5 g2g3 f4b8 d1c1 a2a6 c2e2 d7c7 b2b4 a6b5 e2h5 b5d7 c4d6 a7a6 b4b5 a6b5 c5a3 c7b6 d6c8 b6b7 h5f3
