Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
URS-ch sf,Leningrad,1954.??.??,?,"Chekhover, Vitaly","Gurevich, Dmitry",1/2-1/2,,,D32,c2c4 e7e6 b1c3 d7d5 d2d4 c7c5 c4d5 c5d4 d1a4 c8d7 a4d4 e6d5 d4d5 b8c6 a2a3 g8f6 d5d1 f8c5 e2e3 d8e7 g1f3 e8c8 d1c2 g7g5 f1e2 g5g4 f3d2 c8b8 e1g1 c5b6 f1d1 c6e5 d2f1 h7h5 e3e4 d8g8 c1e3 b6c7 a1c1 h5h4 c3d5 f6d5 e4d5 c7d6 c2c3 d7c8 c3a5 b7b6 e3b6 a7b6 c1c8 g8c8 a5b6 b8a8 b6a6 a8b8 a6b6 b8a8
WchT U26,Graz,1981.??.??,?,"Lau, Ralf","Gurevich, Dmitry",1/2-1/2,,,D50,d2d4 g8f6 g1f3 c7c5 c2c4 e7e6 b1c3 c5d4 f3d4 d7d5 c1g5 e6e5 d4b3 d5d4 c3d5 c8e6 e2e4 e6d5 c4d5 f8b4 b3d2 e8g8 f1d3 h7h6 g5h4 b8d7 e1g1 b4d2 h4f6 d8f6 d1d2 a8c8 f1c1 f6b6 b2b4 b6f6 c1c8 f8c8 a1c1 f6d8 a2a4 d7b6 c1c8 d8c8 d2c2 c8c2 d3c2 g8f8 g1f1 f7f5 a4a5 b6c4 f1e2 f5e4 c2e4 c4b2 d5d6 b7b6 a5b6 a7b6 e4d5 b2a4 e2d3 a4c3 d5c6 g7g5 h2h3 f8f7 g2g3 f7e6 d6d7 e6e7 f2f4 c3a2 d3c4 e5f4 g3f4 d4d3 f4g5 h6g5 c4b3
WchT U26,Graz,1981.??.??,?,"Douven, Rudy C","Gurevich, Dmitry",1/2-1/2,,,A43,d2d4 g8f6 g1f3 c7c5 d4d5 e7e6 b1c3 e6d5 c3d5 f6d5 d1d5 b8c6 e2e4 c6b4 d5b3 f8e7 f1c4 e8g8 c1f4 b7b5 c4e2 c5c4 b3c3 d7d5 a2a3 d5d4 f3d4 d8d4 a3b4 d4e4 c3e3 c8b7 e3e4 b7e4 c2c3 e4g2 h1g1 g2e4 f4e5 f7f6 e5d4 e7d6 g1g4 e4b7 h2h4 a7a6 e1d2 g7g6 a1g1 g8f7 h4h5 f8g8 f2f4 b7e4 g4h4 a8e8 h5g6 h7g6 h4h7 f7e6 d2e3 e6d5 e2f3 g6g5 f4f5 g5g4 f3e4 e8e4 e3d2 g8e8 d4f6 e8f8 f6h4 f8f5 h7g7 f5h5 h4g3 d6g3 g1g3 h5h2 d2d1 h2h1 d1d2 h1h2 d2d1 e4f4 g7g5 d5e6 g3g1 h2h4 g5g8 e6f7 g8g5 f7f6 g5g8 f6e6 g8g5 e6f7 d1c1 f7e6 c1d1 e6f7 d1c1 f7f6 g5g8 f6e5 g1e1 e5d6 g8g6 d6d7
WchT U26,Graz,1981.??.??,?,"Orso, Miklos","Gurevich, Dmitry",1/2-1/2,,,A60,d2d4 g8f6 g1f3 c7c5 d4d5 e7e6 c2c4 e6d5 c4d5 g7g6 b1c3 f8g7 e2e4 e8g8 f1e2 b7b5 e4e5 f6g4 c1f4 f8e8 e1g1 g4e5 f3e5 g7e5 f4e5 e8e5 e2b5 d7d6 d1d2 a7a6 b5a4 c8d7 a4c2 d7b5 f1e1 e5e1 a1e1 a8a7 d2f4 a7e7 e1e4 g8g7 h2h4 f7f5 e4e6 e7e6 d5e6 d8e7 c2b3 b8c6 a2a4 b5d3 b3d5 c6b4 f4e3 f5f4 e3f4 b4d5 c3d5 e7e6 d5c7 e6e7 c7d5 e7e6 d5c7
WchT U26,Graz,1981.??.??,?,"Wittwer, Moritz","Gurevich, Dmitry",1-0,,,A48,d2d4 g8f6 g1f3 g7g6 c2c3 f8g7 c1f4 e8g8 e2e3 c7c5 d4c5 a7a5 d1a4 b8a6 a4c4 f6h5 f4e5 g7e5 f3e5 d8c7 e5d3 b7b6 c4e4 a6c5 e4e7 c8b7 d3c5 b6c5 e7g5 a8e8 b1d2 a5a4 f1e2 e8e5 g5g4 a4a3 b2b3 f7f5 g4h3 f5f4 e1g1 g8g7 a1d1 d7d5 e2g4 f4e3 f2e3 f8f1 d2f1 h5f6 g4f3 e5e7 h3h4 f6e4 f3e4 e7e4 h4g3 c7e7 g3h3 b7c6 h3c8 e7f6 c8a6 g7h6 a6a3 d5d4 c3d4 e4g4 d4d5 f6g5 g2g3 c6b7 a3c5 g5f5 d1d2 f5e5 c5f8 h6h5 f8f7
WchT U26,Graz,1981.??.??,?,"Gurevich, Dmitry","Orseth, Dag S",1-0,,,B70,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g7g6 b1c3 f8g7 d4e2 g8f6 g2g3 e8g8 f1g2 d7d6 e1g1 c6e5 h2h3 c8d7 a2a4 d8a5 c3d5 f6d5 e4d5 b7b5 c1d2 a5c7 a4b5 e5c4 d2c3 c4b2 d1d2 d7b5 c3g7 g8g7 f1b1 b5e2 b1b2 e2c4 b2b4 a8c8 a1a4 c4d5 g2d5 c7c2 d2c2 c8c2 a4a7 c2e2 a7c7 e2e5 d5f3 f8d8 g1f1 h7h6 f3g2 e7e6 b4b7 d8f8 g2f3 g7f6 c7d7 d6d5 d7c7 f6g7 b7a7 g7f6 c7e7 f6g7 f3d1 g7f6 d1a4 f6g7 a4e8
WchT U26,Graz,1981.??.??,?,"Gurevich, Dmitry","Tomaszewski, Roman",1-0,,,B05,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 c8g4 f1e2 e7e6 e1g1 f8e7 h2h3 g4h5 c2c4 d5b6 b1c3 e8g8 c1e3 d6d5 c4d5 b6d5 d1b3 d5e3 f2e3 b8d7 b3b7 a8b8 b7a7 b8b2 a1b1 b2c2 f1c1 c2c1 b1c1 h5f3 g2f3 d7b6 f3f4 c7c5 c1d1 b6c8 a7a6 c5d4 d1d4 d8c7 a6c4 c7b6 g1g2 b6a5 e2f3 e7c5 d4d3 a5a7 c3b5 a7b6 b5d4 c8e7 d3b3 b6a5 b3b5 a5d2 c4e2 d2e2 f3e2 c5d4 e3d4 e7d5 g2f3 d5c3 b5a5 c3e2 f3e2 g7g5 f4g5 g8g7 e2f3 g7g6 f3g4 f8d8 a5a4 d8c8 h3h4 c8c1 h4h5
Lone Pine op,Lone Pine,1981.??.??,?,"Gurevich, Dmitry","Hebert, Jean",1/2-1/2,2425,2405,B88,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e6 f1c4 a7a6 c4b3 f8e7 f2f4 b8c6 c1e3 e8g8 d1e2 d8c7 f4f5 e6f5 e4f5 d6d5 e1c1 e7c5 e2f3 c5d4 e3d4 c6d4 d1d4 c7e5 f3d3 c8f5 d3d2 f5e6 c3d5 f6d5
Lone Pine op,Lone Pine,1981.??.??,?,"Gurevich, Dmitry","Dzindzichashvili, Roman",1-0,2425,2490,E48,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 c7c5 f1d3 b8c6 g1e2 c5d4 e3d4 d7d5 a2a3 d5c4 d3c4 b4e7 e1g1 e8g8 c4a2 b7b6 d1d3 c8b7 f1d1 f8e8 d3h3 e7f8 c1g5 h7h6 d4d5 e6d5 a2d5 h6g5 d5c6 b7c6 d1d8 a8d8 h3g3 d8d2 g3c7 c6a8 b2b4 f8d6 c7a7 d6e5 a1c1 e5c3 e2c3 d2c2 c1d1 c2c3 h2h3 b6b5 a3a4 b5a4 a7a4 g8h7 b4b5 h7g6 d1d6 e8e1 g1h2 a8e4 b5b6 c3c1 a4d4 g6h5 f2f3 e1d1 d4d1 c1d1 d6d1 e4b7 d1d8 h5g6 d8b8 b7d5 b8f8 f6d7 f8d8 d7b6 d8d6
Lone Pine op,Lone Pine,1981.??.??,?,"Gurevich, Dmitry","McCambridge, Vincent",0-1,2425,2335,E42,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 c7c5 g1e2 c5d4 e3d4 d7d5 a2a3 b4e7 c4c5 e8g8 b2b4 b7b6 c1b2 a7a5 c3a4 b6c5 d4c5 a5b4 a3b4 b8a6 e2d4 a6b4 b2c3 a8b8 a1b1 e6e5 b1b4 b8b4 c3b4 e5d4 f1e2 c8d7 a4b6 f8e8 e1g1 e7f8 f1e1 d7c6 f2f3 d8e7 e2f1 e7b7 e1e8 f6e8 d1d4 e8c7 f1d3 c7e6 d4e3 b7e7 d3b1 g7g6 b1a2 e7h4 b4a3 f8g7 g1h1 g7d4 g2g3 d4e3 g3h4 e6f4 b6c8 g8g7 c8e7 c6a8 c5c6 d5d4 a3c5 g7f6 h2h3 f6e5 c6c7 a8f3 h1h2 f4e2 e7d5 e3g1
