Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
URS-ch sf,Severodonetsk,1982.??.??,?,"Gavrikov, Viktor","Gurevich, Mikhail",1-0,2430,2315,A87,d2d4 d7d6 g1f3 g7g6 c2c4 f7f5 b1c3 g8f6 g2g3 f8g7 f1g2 e8g8 d4d5 b8a6 f3d4 d8e8 e1g1 c8d7 e2e3 c7c6 a1b1 a6c7 b2b4 c6d5 c4d5 a8c8 a2a4 c7a8 d1b3 f6e4 c3e4 f5e4 b4b5 g7d4 e3d4 d7g4 c1h6 f8f7 g2e4 a8b6 f2f3 g4d7 b1c1 e7e6 c1e1
URS-ch sf,Severodonetsk,1982.??.??,?,"Vitolinsh, Alvis","Gurevich, Mikhail",1-0,2470,2315,B08,e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 g1f3 f8g7 f1e2 e8g8 e1g1 c8g4 c1e3 b8c6 f3d2 g4e2 d1e2 e7e5 d4d5 c6d4 e2d3 c7c6 d5c6 b7c6 d2b3 d4e6 f1d1 f6g4 e3c1 f7f5 d1f1 f5e4 d3e4 g4f6 e4c6 a8c8 c6a6 d8d7 a6b5 d7f7 c1e3 e6c7 b5e2 d6d5 e3g5 f6h5 a1d1 h7h6 g5c1 f8d8 g2g3 d8e8 c3b5 c7b5 e2b5 h5f6 c2c3 f7e6 f1e1 c8c4 b3d2 a7a6 b5b3 e6h3 d2f1 c4c7 b3a4 h3c8 f1e3 e8d8 e3g2 d8e8 a4c2 g8h7 g2h4 c8g4 f2f3 g4h5 c2f2 g6g5 h4f5 g7f8 g3g4 h5f7 h2h4 g5h4 f2h4 f7g6 g1g2 e5e4 e1h1 e4f3 g2f3 c7c4 d1d4 c4d4 c3d4 e8e4 f5h6 e4d4 h6f5 h7g8 c1g5 d4g4 h4h8 g8f7 h8f6 g6f6 g5f6 g4a4 f6d4 a4a2 f3f4 a6a5 h1h7 f7e6 d4e5 d5d4 f4e4 f8c5 h7c7
URS-ch sf,Severodonetsk,1982.??.??,?,"Tseshkovsky, Vitaly","Gurevich, Mikhail",0-1,2595,2315,B07,e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 g2g3 f8g7 f1g2 e8g8 h2h3 b8d7 g1e2 e7e5 e1g1 e5d4 e2d4 f8e8 d4b3 d7b6 a2a4 a7a5 f2f4 c8d7 d1d3 d7e6 f1d1 f6d7 b3d4 d7c5 d3f1 e6d7 b2b3 f7f5 e4f5 d7f5 c1b2 c5e4 c3e4 f5e4 a1b1 d8d7 d1e1 e4g2 e1e8 a8e8 f1g2 c7c6 d4f3 g7b2 b1b2 b6d5 b2b1 d5e3 g2f2 d7h3 b1e1 h3e6 c2c3 g8f8 f3h2 b7b5 f4f5 e6f5 e1e3 e8e3 f2e3 f5b1 g1g2 b1b3 a4b5 b3b5 h2f3 a5a4 f3d4 b5d5 g2h2 a4a3 d4e6 f8g8 e6d8 d5h5 h2g2 h5e5 e3f2 e5d5 g2h2 a3a2 f2b2 d5h5 h2g2 h5a5 d8c6 a5a4 b2b8 g8g7 b8b7 g7h6 c6e7 a4e8 b7e4 h6g7 e4d4 g7f7 d4c4 f7e7 c4a2 e8c6 g2h2 c6c3 a2a7 e7e6 a7h7 c3c2 h2h3 c2f5 h3g2 f5e4 g2f2 d6d5 h7g8 e6f5 g8c8 f5g5 c8d8 g5g4 d8h4 g4f5 h4h3 e4g4 h3h8 g4e4 h8c8 f5g5 c8d8 g5g4 d8h4 g4f5 h4d8 d5d4 d8d7 f5g5 d7a4 e4e3 f2g2 e3e2 g2h3 e2f1 h3h2 f1f2 h2h3 f2f3 h3h2 d4d3 a4a5 g5f6 g3g4 f3e2 h2h3 e2e3 h3g2 d3d2 a5d8 f6e5 d8c7 e5d5 c7d7 d5c4 d7a4 c4c3 a4a3 c3d4 a3a7 d4e4 a7e7 e4d3 e7a3 d3e2 a3a6 e3d3 a6e6 e2d1 e6b6 d3e4 g2g3 d1e2 b6b2 g6g5 g3h2 e4f4 h2h1 f4f1 h1h2 f1f2
URS-ch sf,Severodonetsk,1982.??.??,?,"Gurevich, Mikhail","Vasilev, Nikolai",1-0,2315,,A07,g2g3 d7d5 d2d3 g8f6 f1g2 c7c6 b1d2 g7g6 g1f3 f8g7 e1g1 e8g8 e2e4 d5e4 d3e4 c8e6 d1e2 b8a6 h2h3 h7h6 c2c3 a6c5 f3d4 e6c8 e4e5 f6d5 f2f4 d8b6 g1h2 b6a6 c3c4 d5b4 d2e4 c5d3 c1e3 a6c4 a2a3 b4d5 e3g1 d3e5 f4e5 c4e2 d4e2 g7e5 e2c3 d5c3 e4c3 f8d8 a1d1 c8e6 g1c5 d8d1 f1d1 g8f8 g2f3 e5c7 h2g2 a7a6 c5e3 h6h5 c3e4 a8d8 d1d8 c7d8 e4c5 e6c8 h3h4 d8c7 e3d4 e7e5 d4c3 f7f6 c3b4 f8g7 c5e4 c8e6 b4e7 f6f5 e4d6 e5e4 f3e2 e6d5 d6b7 e4e3
URS-ch sf,Severodonetsk,1982.??.??,?,"Gurevich, Mikhail","Tseitlin, Mark D",1-0,2315,2455,A07,g2g3 d7d5 f1g2 e7e5 d2d3 g8f6 g1f3 b8c6 e1g1 h7h6 c2c4 d5d4 b2b4 c6b4 f3e5 f8d6 a2a3 b4a6 e5f3 e8g8 b1d2 c7c5 a1b1 a6b8 d2b3 d8c7 e2e3 d4e3 c1e3 f6g4 e3d2 b8c6 d3d4 c5d4 c4c5 d6e7 d2f4 c7d8 h2h3 g4f6 f3e5 f6d5 e5c6 b7c6 b3d4 d5f4 d4c6 d8c7 c6e7 c7e7 g3f4 c8f5 f1e1 e7f6 g2a8 f5b1 a8g2 b1f5 c5c6 f8d8 d1c1 f6d6 e1e5 g7g6 e5d5 d6c7 d5d8 c7d8 c6c7 d8c8 c1c5 c8a6 c5e7 a6c4 g2d5
URS-ch sf,Severodonetsk,1982.??.??,?,"Gurevich, Mikhail","Panchenko, Alexander N",1/2-1/2,2315,,D26,c2c4 g8f6 b1c3 e7e6 g1f3 d7d5 d2d4 d5c4 e2e3 a7a6 f1c4 b7b5 c4e2 c8b7 e1g1 b8d7 a2a4 b5b4 c3b1 c7c5 b1d2 f8e7 b2b3 e8g8 c1b2 a8c8 a1c1 f6d5 d2c4 c5d4 f3d4 d7c5 e2f3 e7f6 d1c2 e6e5 d4e2 e5e4 f3g4 c8c7 b2f6 d8f6 c1d1 d5c3 d1d4 f6g5 e2c3 g5g4 f2f3 g4g6 c3e4 c5e4 f3e4 f8e8 c2d2 h7h6 e4e5 g8h7 h2h3 b7c8 g1h1 c8e6 d2b4 e6c4 b3c4 e8e5 b4b8 c7e7 d4d8 g6g5 d8h8 h7g6 b8g8 f7f5 f1f3 g6h5 g8c8 g7g6 h8f8 e7e6 c8b7 e5e3 h1h2 e3e2 f3g3 g5f4 b7f3 f4f3 g3f3 e6e3 f3e3 e2e3 f8f6 a6a5 f6a6 e3c3 a6a5 c3c4 h2g3 c4c3 g3f2 c3a3 g2g3 a3a2
URS-ch sf,Severodonetsk,1982.??.??,?,"Gurevich, Mikhail","Filipenko, Alexander V",1-0,2315,2320,D45,c2c4 c7c6 d2d4 d7d5 b1c3 g8f6 g1f3 e7e6 e2e3 b8d7 d1c2 f8d6 c1d2 e8g8 e1c1 c6c5 e3e4 c5d4 f3d4 d5c4 f1c4 a7a6 c4e2 d6c5 d4b3 c5f2 h1f1 d8b6 c1b1 b6a7 d2f4 e6e5 f4g5 b7b5 d1d3 b5b4 c3d1 f2b6 d3g3 g8h8 d1e3 c8b7 e3d5 f6d5 e4d5 b7d5 g3h3 g7g6 e2f3 d5f3 h3f3 f7f5 f3d3 d7c5 d3d5 c5b3 a2b3 a8c8 c2d2 b6d4 d2b4 a7a8 b4a5 a8b7 g5h6 f8e8 b1a2 c8c2 f1b1 c2g2 d5d8 b7e7 a5c7 d4b2 d8e8
URS-ch sf,Severodonetsk,1982.??.??,?,"Gurevich, Mikhail","Butnorius, Algimantas",0-1,2315,,A03,g2g3 d7d5 f1g2 g8f6 d2d3 c7c5 f2f4 b8c6 g1f3 g7g6 e1g1 f8g7 b1c3 d5d4 c3a4 f6d7 c2c4 e8g8 e2e4 d4e3 c1e3 a8b8 d3d4 c5d4 f3d4 c6d4 e3d4 b7b5 c4b5 b8b5 g2c6 b5b4 d4g7 g8g7 a2a3 b4c4 c6b5 c4e4 f1e1 e4e1 d1e1 d7f6 a1d1 d8c7 e1c3 c7b8 b5e2 c8h3 b2b4 h7h5 a4c5 f8d8 a3a4 d8d1 e2d1 b8d6 c3d3 d6b6 d3c3 a7a5 b4a5 b6b1
URS-ch sf,Severodonetsk,1982.??.??,?,"Gurevich, Mikhail","Andrianov, Nikolai",1-0,2315,2435,D45,c2c4 e7e6 b1c3 d7d5 d2d4 c7c6 e2e3 g8f6 g1f3 b8d7 d1c2 f8d6 e3e4 d5e4 c3e4 f6e4 c2e4 d6b4 c1d2 b4d2 f3d2 e8g8 e1c1 c6c5 d2f3 c5d4 d1d4 d8e7 f1d3 f7f5 e4e3 e6e5 h1e1 e5e4 d3c2 d7c5 d4d5 b7b6 f3d4 f5f4 e3c3 c8b7 d4f5 e7g5 h2h4 g5f6 c3f6 f8f6 d5e5 g8f8 e1d1 a8c8 f5d6 c5d3 d1d3 e4d3 d6c8 d3c2 c8a7 b7g2 a7b5 g2f1 b2b3 f1d3 b5d4 f6h6 d4e6 f8f7 e6f4 d3f1 e5f5 f7e8 h4h5 h6d6 c1c2 g7g6 h5g6 h7g6 f5e5 e8d8 e5d5 d6d5 f4d5 b6b5 d5e3 f1e2 c2d2
URS-ch sf,Severodonetsk,1982.??.??,?,"Anikaev, Yuri N","Gurevich, Mikhail",0-1,2465,2315,E66,d2d4 g7g6 g1f3 f8g7 g2g3 g8f6 c2c4 d7d6 f1g2 e8g8 e1g1 b8c6 b1c3 a7a6 d4d5 c6a5 f3d2 c7c5 d1c2 a8b8 b2b3 b7b5 c1b2 g7h6 f2f4 b5c4 b3c4 e7e5 d5e6 c8e6 c3d5 b8b2 c2b2 h6g7 b2c1 f6g4 a1b1 g7d4 g1h1 g4e3 d5e3 d4e3 c1c2 e3d2 c2d2 a5c4 d2d3 d6d5 f1c1 f8e8 b1b3 d8c7 g2d5 e8d8 e2e4 c4b6 b3b6 c7b6 d3c4 e6d5 e4d5 b6b2 c4c5 b2a2 c1d1 d8e8 h1g1 e8e2 c5c8 g8g7 c8c3 g7h6 c3f3 a2c2 f3f1 e2g2 f1g2 c2d1 g2f1 d1f1 g1f1 h6g7 f1e2 g7f6
