Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Wch U10,Menorca,1996.??.??,2,"Gashimov, Vugar","Harikrishna, Penteala",1-0,2250,,B07,e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 c1g5 f8g7 e4e5 f6g8 g1f3 c8g4 h2h3 g4f3 d1f3 d8c8 f1c4 e7e6 e1c1 b8d7 e5d6 c7d6 c3b5 g7f8 h1e1 a7a6 b5c3 b7b5 c4d5 a8a7 d5c6 g8f6
Wch U10,Menorca,1996.??.??,4,"Torma, Robert","Harikrishna, Penteala",0-1,,,B09,e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 f2f4 f8g7 g1f3 e8g8 e4e5 f6d7 f1c4 d7b6 c4b3 c8g4 e1g1 c7c5 c3d5 d6e5 d4c5 b6d7 c1e3 g4f3 d1f3 d7c5
Wch U10,Menorca,1996.??.??,5,"Harikrishna, Penteala","Radjabov, Teimour",1-0,,,A10,c2c4 f7f5 b1c3 g8f6 d2d3 e7e6 e2e4 d7d6 g2g3 b7b6 f1g2 c8b7 g1e2 g7g6 e1g1 d8d7 c1g5 f8e7 e2f4 c7c6 e4f5 e6e5 f4e6 g6f5 e6g7 e8f7 g7h5 f6g8 g5e7 g8e7 f2f4 h8f8 f4e5 d6e5 d1g4 f7e8 g4g7 d7d4 g1h1 b8d7 c3e4 e8d8 e4g5 d4d6 g7f8 d7f8 g5f7 d8d7 f7d6 d7d6 h5g7 b7c8 g2h3 f8g6 h3f5 e7f5 g7f5 c8f5 f1f5
Wch U10,Menorca,1996.??.??,6,"Guseinov, Kadir","Harikrishna, Penteala",0-1,,,E87,e2e4 d7d6 d2d4 g8f6 f2f3 g7g6 c2c4 f8g7 b1c3 e8g8 c1e3 e7e5 d4d5 f6e8 d1d2 f7f5 e1c1 f5f4 e3f2 a7a6 g2g3 c8d7 c1b1 d8c8 h2h4 b7b5 c4c5 f4g3 f2e3 d6c5 e3c5 e8d6 d2g5 a6a5 c5d6 c7d6 c3b5 d7b5 f1b5 c8c5 a2a4 b8a6 g5g3 f8c8 g3g2 a6b4 g1h3 c5e3 b2b3 c8c3 b5c4 c3c4 b3c4 a8b8 g2b2 b4a6 h1h2 e3f3
Wch U10,Menorca,1996.??.??,7,"Harikrishna, Penteala","Alavi, Sayed Javad",1-0,,2280,A26,c2c4 g8f6 b1c3 g7g6 g2g3 f8g7 f1g2 e8g8 e2e4 d7d6 g1e2 e7e5 e1g1 b8c6 d2d3 f6h5 h2h3 f7f5 e4f5 g6f5 c3d5 h5f6 c1g5 c6e7 e2c3 c7c6 d5e7 d8e7 d1d2 c8e6 a1e1 e7f7 b2b3 f6h5 g1h2 f5f4 g2f3 f7g6 g5h4 g6h6 h2g2 a8e8 g3g4 h5f6 h4f6 h6f6 f1h1 f6h4 e1g1 e8d8 g2f1 d6d5 d2c2 e6f7 g4g5 f7h5 f3g4 f8e8 c3e2 f4f3 e2g3 h5g4 h3g4 h4g4 g3h5 g4e6 h5f6 g7f6 g5f6 g8h8 g1g7 e6f5 c2d2 d5c4 h1h7 f5h7 g7h7 h8h7 d2g5 d8d7
Wch U10,Menorca,1996.??.??,8,"Harikrishna, Penteala","Hera, Imre Jr",1-0,,2065,A26,c2c4 b8c6 b1c3 e7e5 g2g3 g7g6 f1g2 f8g7 d2d3 g8e7 e2e4 d7d6 g1e2 e8g8 e1g1 c8e6 h2h3 d8d7 g1h2 a8e8 f2f4 f7f5 c1e3 c6d4 d1d2 e7c6 a1e1 d4e2 e1e2 c6d4 e2e1 g8h8 b2b3 c7c6 c3e2 d4e2 e1e2 b7b5 c4b5 c6b5 d2a5 f8f7 e2c2 f5e4 d3e4 d7b7 f1c1 e8c8 c2c8 e6c8 a5d8 f7f8 d8d6 e5f4 e3f4 b7b6 d6b6 a7b6 c1c6 g7d4 b3b4 f8e8 f4d6 d4f2 e4e5 h8g7 g2d5 h7h6 e5e6 g7f6 h2g2 f2d4 d5b3 d4e3
Wch U10,Menorca,1996.??.??,9,"Erwich, Marc","Harikrishna, Penteala",1/2-1/2,,,B08,e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 f1e2 f8g7 g1f3 e8g8 e1g1 c7c6 a2a4 c8g4 c1e3 d8c7 d1d2 b8d7 h2h3 g4f3 e2f3 f8d8 a1d1 d7f8 f1e1 e7e5 d4e5 d6e5 d2e2 f8e6 c3b1 f6d7 c2c3 c7a5 e2c2 a5c7 b1a3 d7f8 b2b4 c7e7 d1d8 a8d8 e3a7 e6f4 a7e3 f8e6 e3f4 e6f4 e1d1 d8d1 c2d1 e7g5 g1h2 g5h4 d1f1 h4f6 f3d1 g7h6 d1c2 f4h5 c2d3 h5f4 d3c4 f4h5 a3c2 f6f4 g2g3 f4d2 f1e2 d2c3 e2d3 c3d3 c4d3 h6d2 h2g2 h5f6 g2f3 f6d7 f3e2 d2h6 a4a5 h6f8 e2d2 f8d6 d2c3 g8f8 c2e3 f8e7
Wch U10,Menorca,1996.??.??,10,"Yakimov, V.","Harikrishna, Penteala",0-1,,,B07,e2e4 d7d6 d2d3 g7g6 g2g3 f8g7 f2f4 e7e5 b1c3 g8e7 g1f3 b8c6 f1g2 e8g8 e1g1 f7f5 c1e3 h7h6 d1d2 g8h7 a1e1 c8e6 f4e5 d6e5 e3c5 f8f7 f3h4 d8d7 f1f2 f5f4 g3f4 e5f4 h4f3 g6g5 d3d4 g5g4 d4d5 g4f3 d5e6 d7d2 f2d2 g7c3 b2c3 f7g7
Wch U10,Menorca,1996.??.??,11,"Harikrishna, Penteala","Murariu, Andrei",1/2-1/2,,,A23,c2c4 e7e5 b1c3 g8f6 g2g3 c7c6 d2d4 e5d4 d1d4 d7d5 c1g5 f8e7 c4d5 c6d5 e2e3 c8e6 f1g2 b8c6 d4d2 e8g8 g1e2 d8a5 e1g1 f8d8 a2a3 h7h6 b2b4 a5b6 g5f6 e7f6 a1b1 d5d4 c3e4 f6e7 e3d4 c6d4 e2d4 d8d4 d2e3 a8d8 e4c5
Wch U12 Disney,Paris,1996.??.??,2,"Harikrishna, Penteala","Bhat, Vinay S",1/2-1/2,,2225,A25,c2c4 e7e5 b1c3 f7f5 g2g3 g8f6 f1g2 b8c6 d2d3 f8b4 g1f3 e8g8 e1g1 b4c3 b2c3 d7d6 d1b3 g8h8 c1g5 h7h6 g5f6 d8f6 f3d2 c6d8 a2a4 d8e6 a4a5 f6g5 b3c2 c7c6 a5a6 g5e7 f1b1 e6c5 a6b7 c8b7 d2b3 f8b8 b3a5 e5e4 d3d4 c5e6 a5b3 e6d8 g2h3 b7c8
