Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
CSR-ch,Bratislava,1959.??.??,1,"Opocensky, Karel","Hort, Vlastimil",1/2-1/2,,,A46,d2d4 g8f6 c1g5 e7e6 b1d2 h7h6 g5f6 d8f6 g1f3 d7d5 e2e4 c7c5 e4e5 f6d8 d4c5 f8c5 d2b3 c5e7 f1d3 b8c6 c2c3 d8c7 d1e2 c8d7 b3d4 e8c8 e1c1 c8b8 c1b1 c7b6 h2h4 f7f6 h4h5 h8f8 d4c6 b7c6 c3c4 b8a8 d1d2 d8b8 d3g6 d7c8 h1c1 c8a6 g6d3 f6e5 c4d5 a6d3 d2d3 e5e4 d3b3 e4f3 e2e6 e7b4 d5c6 b6c7 g2f3 b4d2 b3b8 f8b8 c1c2 b8d8 a2a3 d2g5 b1a2 g5f6 f3f4 a7a6 e6c4 a8a7 c4c5 c7b6 c5f5 b6c7 f5c5 c7b6 c5f5
CSR-ch,Bratislava,1959.??.??,2,"Hort, Vlastimil","Ivanvco, Imrich",1-0,,,B24,e2e4 c7c5 b1c3 g7g6 g2g3 f8g7 g1e2 b8c6 f1g2 a8b8 d2d3 b7b5 e1g1 b5b4 c3d5 e7e6 d5e3 g8e7 f2f4 c8b7 c2c3 d7d5 f4f5 d5e4 f5e6 f7e6 g2e4 b4c3 b2c3 h8f8 c1a3 f8f1 g1f1 e7d5 e4d5 e6d5 a3c5 g7c3 e2c3 d8f6 f1g1 f6c3 a1c1 c3e5 d1f3 d5d4 f3f8 e8d7 f8f7 d7c8 e3g4 e5g5 f7e6 c8c7 c5d6 c7d8 c1f1
CSR-ch,Bratislava,1959.??.??,3,"Jares, J.","Hort, Vlastimil",0-1,,,C78,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 b7b5 a4b3 f8e7 a2a4 c8b7 a4b5 a6b5 a1a8 d8a8 b1c3 a8a5 d2d3 d7d6 c1d2 a5b6 c3d5 f6d5 b3d5 e8g8 d2e3 b6a6 e3g5 e7g5 f3g5 h7h6 g5f3 b7c8 f3h4 c6e7 d5b3 c7c5 c2c3 g7g5 h4f3 c8g4 h2h3 g4f3 d1f3 g8g7 d3d4 c5c4 b3c2 e7g6 g2g3 a6a2 f1b1 b5b4 c3b4 e5d4 f3d1 d4d3 c2a4 f8b8 b4b5 g6e5 g1g2 b8a8 b1a1 a2b2 a1b1 b2d4 b5b6 c4c3 b6b7 a8b8 f2f3 e5c4
CSR-ch,Bratislava,1959.??.??,4,"Hort, Vlastimil","Pachman, Ludek",1/2-1/2,,,B84,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f1e2 e7e6 c1e3 d8c7 f2f4 f8e7 e1g1 e8g8 g2g4 d6d5 e4d5 f6d5 c3d5 e6d5 e2f3 b8c6 c2c3 f8e8 d1d2 c8d7 h2h3 a8d8 f1e1 d7c8
CSR-ch,Bratislava,1959.??.??,5,"Ujtelky, Maximilian","Hort, Vlastimil",0-1,,,E80,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e7e5 d4d5 c7c5 c1g5 h7h6 g5e3 c8d7 g1e2 b8a6 d1d2 d8a5 e2c1 f6h5 c1b3 a5d8 g2g4 h5f4 c3e2 d8h4 e3f2 h4e7 h2h4 e8c8 e1c1 h6h5 g4g5 f7f6 e2f4 e5f4 d2f4 f6g5 h4g5 g7e5 f4h4 h8f8 f1e2 f8f4 h4h2 f4e4 f3e4 e5h2 h1h2 e7e4 f2g1 a6b4 c1d2 e4f4
CSR-ch,Bratislava,1959.??.??,6,"Hort, Vlastimil","Fichtl, Jiri",1/2-1/2,,,C45,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 d8f6 c1e3 f8c5 c2c3 g8e7 f2f4 d7d6 d1d2 c8d7 b2b4 c5b6 b1a3 f6g6 f1d3 f7f5 e4f5 d7f5 d4f5 e7f5 e3b6 a7b6 a3b5 e8d7 e1c1 g6f7 h1e1 g7g6 c1b1 h8e8 g2g4 e8e1 d1e1 f5g7 d3e4 a8e8 b1b2 f7f6 e4c6 b7c6 e1e8 g7e8 b5d4
CSR-ch,Bratislava,1959.??.??,7,"Fabian, J.","Hort, Vlastimil",1-0,,,C97,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 c6a5 b3c2 c7c5 d2d4 d8c7 h2h3 e8g8 b1d2 c8d7 d4e5 d6e5 f3h2 a8d8 d1f3 d7e6 d2f1 a5c4 b2b3 c4d6 c1g5 g8h8 g5f6 e7f6 f1e3 c7e7 h2g4 d6c8 e3d5 e6g4 h3g4 e7e6 f3h3 h7h6 g2g3 c8b6 f2f4 h8g8 a1d1 b6d5 e4d5 d8d5 c2f5 d5d1 e1d1 e6b6 g4g5 c5c4 g1g2 b6e3 h3h5 f6e7 g5h6 e5f4 g3f4 e3f4 h6g7 g8g7 h5h7 g7f6 d1f1 f4d2 f1f2 d2c3 h7h6 f6e5 h6g7
CSR-ch,Bratislava,1959.??.??,8,"Hort, Vlastimil","Podgorny, Jiri",1/2-1/2,,,D02,d2d4 d7d5 g1f3 c8g4 f3e5 g4h5 g2g3 f7f6 e5d3 b8c6 d3f4 h5f7 f1g2 g7g5 f4h3 d8d7 f2f4 f7e6 h3f2 g5f4 c1f4 e6f5 e2e4 d5e4 f2e4 e8c8 d4d5 e7e5 b1c3 c6b4 f4e3 b4d5 c3d5 d7d5 d1d5 d8d5 e1g1 f5e4 g2e4 d5d8 e4f5 c8b8 a1d1 d8d1 f1d1 f8d6 c2c4 g8e7 f5e6 b7b6 d1f1 f6f5 e6f5 e7f5 f1f5 h8f8 f5f8 d6f8 g1f2 b8c8 f2f3 c8d7 f3e4 d7e6 g3g4 f8e7 g4g5 c7c6 h2h4 e7d6 b2b3 d6e7 a2a4 e7b4 h4h5 b4e1 h5h6 e1h4
CSR-ch,Bratislava,1959.??.??,9,"Ratolistka, Josef","Hort, Vlastimil",0-1,,,B88,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f1c4 e7e6 e1g1 a7a6 c4b3 d8c7 f2f4 b7b5 d4c6 c7c6 d1e2 f8e7 e4e5 d6e5 f4e5 f6d7 c1f4 c8b7 a1d1 g7g5 f4e3 d7e5 e3d4 e5g6 d4h8 g6h8 d1d2 h8g6 e2g4 g6f4 f1f4 g5f4 g4g8 e7f8 d2e2 c6c5 g1f1 c5f5 e2d2 e8e7 g8h8 f4f3 g2g4 f5f4 h8d4 f4d4 d2d4 f8g7 d4d3 a8c8 c3d1 a6a5 c2c3 c8c5 f1f2 c5g5 h2h3 h7h5 d1e3 h5g4 h3g4 b7e4 d3d2 g5g6 b3c2 e4c2 d2c2 g7h6 f2f3 h6e3 f3e3 g6g4 b2b3 a5a4 e3f3 a4b3 a2b3 g4h4 f3g3 h4h5 c3c4 h5c5 g3f4 f7f5 f4e3 c5e5 e3d4 e5e4 d4c5 b5c4 b3b4 e7d7 b4b5 d7c7 b5b6 c7b7 c2h2 e4e5 c5d6 e5b5 d6e6 b7b6 h2c2 b5c5 e6d6 c4c3
CSR-ch,Bratislava,1959.??.??,10,"Blatny, Frantisek","Hort, Vlastimil",0-1,,,C14,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 g5e7 d8e7 f2f4 f7f5 f1d3 d7b6 g1f3 c8d7 e1g1 c7c5 c3b5 d7b5 d3b5 b8c6 g1h1 e8g8 b5c6 b7c6 d4c5 e7c5 f3d4 f8e8 f1f3 b6a4 a1b1 c5b6 f3b3 b6c7 d1e1 a8c8 b3h3 h7h6 e1g3 g8h7 g3a3 a4b6 a3d3 b6d7 d4e6 e8e6 d3f5 e6g6 h3g3 d7f8 b1e1 c8e8 e1e3 c7d7 f5d3 d7f7 g3f3 h7h8 f4f5 g6g5 h2h4 g5g4 g2g3 f7c7 d3a3 f8d7 f5f6 g7f6 e5e6 d7e5 f3f6 c7g7 f6f4 g4f4 g3f4 e8g8
CSR-ch,Bratislava,1959.??.??,11,"Hort, Vlastimil","Augustin, Josef",1/2-1/2,,,A40,d2d4 d7d5 g2g3 e7e6 f1g2 c7c6 g1f3 f8d6 b2b3 b8d7 c1b2 g8f6 b1d2 e8g8 e1g1 f8e8 c2c4 b7b6 d1c2 c8b7 e2e4 d5e4 f3g5 d6e7 g5e4 f6e4 d2e4 d7f6 f2f4 d8c8 a1d1 c6c5 d4d5 e6d5 e4f6 e7f6 b2f6 g7f6 c4d5 c8d7 f1e1 a8d8 g2e4 f6f5
