Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
WYb10,Heraklio GRE,2004.11.04,1,"Hou,Y","Khvan,Boris",1-0,2153,,B71,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 f2f4 b8c6 d4c6 b7c6 e4e5 c8g4 f1e2 g4e2 d1e2 d6e5 f4e5 f6d5 e5e6 f7f5 e2e5 d5f6 c1f4 f8g7 e5c5 e8g8 c5c6 a8c8 c6f3 d8a5 e1g1 a5b6 g1h1 b6b2 f4e5 f6g4 e5g7 g8g7 c3d5 b2e5 d5f4 c8c3 f3b7 c3c7 b7f3 f8c8 a1e1 e5f6 f3g3 c7c2 h2h3 c8c3 f1f3 c3f3 g3f3 f6h4 e1b1 c2f2 f3c3 h4f6 c3c7 f6h4 c7c3 h4f6 c3c7 g4e3 b1e1 f6g5 g2g3 e3c4 h3h4 g5g4 c7e7 g7g8 e7f7 g8h8 f7f8
WYb10,Heraklio GRE,2004.11.05,2,"Galymzhanov,Alymzhan","Hou,Y",0-1,,2153,B50,e2e4 c7c5 g1f3 d7d6 d2d3 b8c6 c1f4 g7g6 b1c3 f8g7 d1d2 a7a6 f1e2 b7b5 h2h3 e7e5 f4e3 g8e7 e3h6 e8g8 h6g7 g8g7 a2a4 b5b4 c3d5 c8e6 d5e3 d6d5 e4d5 e7d5 e3g4 f7f6 d2h6 g7g8 e1g1 d5f4 e2d1 d8d7 h6h4 d7g7 h4h6 g7h6 g4h6 g8g7 h6g4 b4b3 c2b3 f4d3 d1c2 c6b4 c2d3 b4d3 f1d1 e5e4 f3e1 e6b3 d1d2 a8d8 a1a3 c5c4 g4e3 d3e1 d2d8 f8d8 a3a1 e1d3 g1f1 d3b2 a4a5 c4c3 a1c1 c3c2 e3c2 d8c8 f1e2 c8c2 c1c2 b3c2 f2f3 e4f3 e2f3 b2c4 f3e2 c4a5 e2d2 c2e4 g2g3 a5c6 d2c1 a6a5 c1b2 g6g5 b2b3 f6f5 b3c4 f5f4 g3f4 g5f4 c4c5 f4f3 c5c4 f3f2 c4c3 f2f1q c3b3 f1d3 b3b2 d3c2 b2a3 c6b4 h3h4 c2a2
WYb10,Heraklio GRE,2004.11.06,3,"Hou,Y","De la Rosa Lara,Armando Antonio",1-0,2153,,B92,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f1e2 e7e5 d4b3 f8e7 c1e3 c8e6 c3d5 e6d5 e4d5 b8d7 d1d3 e5e4 d3d4 d7c5 b3d2 b7b5 b2b4 c5a4 d2e4 f6e4 d4e4 a4c3 e4d3 c3e2 d3e2 e8g8 e1g1 e7f6 a1c1 f6c3 a2a3 f8e8 f1d1 a8c8 d1d3 d8f6 c1d1 c8c4 e2h5 c4h4 h5g5 f6g5 e3g5 h4e4 f2f3 e4c4 g5f4 c3e5 f4e5 e8e5 c2c3 g8f8 g1f2 c4h4 h2h3 h4h5 f3f4 h5f5 g2g3 g7g5 f2f3 g5f4 g3f4 e5e7 a3a4 e7a7 d1a1 a7b7 a4b5 a6b5 a1a8 f8e7 f3g4 f5f6 f4f5 h7h5 g4g5
WYb10,Heraklio GRE,2004.11.06,4,"Bortnyk,Mykola","Hou,Y",1/2-1/2,,2153,B22,e2e4 c7c5 c2c3 g8f6 e4e5 f6d5 d2d4 c5d4 g1f3 e7e6 c3d4 b7b6 b1c3 d5c3 b2c3 d8c7 c1d2 d7d6 f1d3 b8d7 d3b5 a7a6 b5d7 c8d7 e1g1 f8e7 f1e1 e8g8 d1c2 d7c6 f3g5 e7g5 d2g5 d6e5 d4e5 c7b7 f2f4 h7h6 g5h4 b6b5 e1e3 b7a7 a1e1 a7c5 g1h1 c5c4 c2f2 a8d8 h4d8 f8d8 f2h4 d8d2 e3g3 g8h7 h4e7 c4f4 e7c5 c6d5 a2a3 h6h5 c5b4 f4b4 a3b4 h5h4 g3g4 h4h3 h1g1 h3g2 g4g3 g7g6 g3e3 g6g5 e3e2 d2d3 e2e3 d3e3 e1e3 h7g6 e3e1 g6f5 g1f2 d5e4 e1a1 e4b7 a1d1 b7d5 d1a1 d5b7 a1d1 b7d5 d1a1 d5b7 a1d1
WYb10,Heraklio GRE,2004.11.07,5,"Hou,Y","Srinath,N",1-0,2153,2042,B85,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f1e2 a7a6 e1g1 f8e7 f2f4 e8g8 g1h1 b8c6 c1e3 d8c7 a2a4 f8e8 e2d3 c6d4 e3d4 e6e5 d4g1 e5f4 f1f4 c8e6 c3d5 e6d5 e4d5 h7h6 d1f3 c7a5 a1f1 e7d8 g1d4 e8e1 f3g3 e1f1 f4f1 f6e8 c2c4 a5d2 g3f3 e8f6 h2h4 d2b4 f3f5 g8f8 g2g4 b4d2 f5f3 d2a5 g4g5 h6g5 h4g5 a5d2 g5f6 d2h6 h1g1 g7f6 f3g3 d8e7 d4e3 h6h8 f1f2 h8h5 d3e2 h5h7 f2h2 h7b1 e2f1 f8e8 h2h8 e7f8 e3h6 e8d7 h6f8 a8e8 g3d6 d7c8 h8g8 b1e1 d6c5 c8d7 c5f2 e1e5 f1h3 d7c7 f2c5
WYb10,Heraklio GRE,2004.11.08,6,"Zhao,P","Hou,Y",1/2-1/2,1975,2153,A46,d2d4 g8f6 g1f3 c7c5 c2c3 e7e6 c1g5 f8e7 e2e3 h7h6 g5h4 b7b6 b1d2 c8b7 f1d3 d7d6 e1g1 b8d7 e3e4 c5d4 c3d4 e8g8 f1e1 e6e5 d4e5 d6e5 d2b3 f6h5 d3b5 e7h4 d1d7 d8d7 b5d7 h4f6 g2g3 g7g6 a1c1 h5g7 c1c7 a8b8 b3d2 f6d8 c7c1 f7f6 d7c6 d8e7 d2b1 f8d8 c6b7 b8b7 b1c3 d8d3 g1g2 e7b4 e1d1 d3d1 c3d1 g8f7 d1e3 b4c5 e3d5 a7a5 a2a3 f7e6 b2b4 a5b4 a3b4 c5d6 f3d2 b6b5 d2b3 g7e8 b3c5 d6c5 c1c5 e8d6 f2f3 f6f5 d5c3 b7a7 c5c6 a7b7 c6c5 b7a7 c5c6 a7b7 c6c5 b7a7 c3b5 a7a2 g2g1 d6f7 c5c6 e6e7 c6c7 e7f6 c7c6 f6e7 c6c7 e7f6 b5c3 a2b2 c3d5 f6g7 c7b7 b2b1 g1f2 b1b2 f2e3 b2b3 e3d2 b3f3 e4f5 g6f5 b4b5 e5e4 d2e2 f3b3 b5b6 g7g6 d5f4 g6f6 f4h5 f6e6 h5f4 e6f6 f4h5 f6e6
WYb10,Heraklio GRE,2004.11.10,7,"Hou,Y","Moussard,J",0-1,2153,2008,B76,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 c1e3 f8g7 f2f3 e8g8 d1d2 b8c6 g2g4 c8d7 e1c1 a8c8 c1b1 c6e5 h2h4 d8a5 h4h5 e5f3 d4f3 c8c3 d2c3 a5c3 b2c3 d7g4 f1g2 f6e4 d1d3 e4c3 d3c3 g7c3 h5g6 h7g6 h1h4 g4d7 h4c4 c3a5 f3g5 b7b5 c4h4 a5b6 e3d2 b6f2 h4h1 f2d4 h1e1 e7e6 c2c3 d4g7 g5e4 d7c6 b1c2 c6e4 g2e4 f8c8 e1b1 d6d5 e4d3 a7a6 c2b3 f7f5 a2a4 b5a4 b3a4 g7c3 d3a6 c8c5 b1b8 g8g7 d2g5 c5c7 b8e8 c3f6 g5f4 c7e7 e8e7 f6e7 a4b3 g7f6 b3c2 g6g5 f4c1 f5f4 c2d1 e6e5 d1e2 g5g4 a6c8 f6g5 c8b7 d5d4 b7e4 g5h4 e2f2 h4h3 f2g1 e7b4 g1h1 b4e1 c1a3 f4f3 a3d6 e1g3 h1g1 g3f4 e4f5 h3g3 f5e4 f4e3 g1f1 g3f4 e4b7 g4g3 d6e5 f4e5 b7f3 d4d3 f1e1 e5d4 f3b7 e3f4 e1f1 d4e3 f1g2 d3d2 b7f3 e3d3 f3d1 d3c3 g2f3 c3b2 f3e2 b2c1 d1a4 f4e5 a4b3 e5d4 e2f3 d4f2 f3e2 f2e1 e2f1 d2d1q b3d1 c1d1 f1g2 d1e2 g2h1 e2f3
WYb10,Heraklio GRE,2004.11.10,8,"Shahinyan,Davit","Hou,Y",0-1,,2153,C02,e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 b8c6 g1f3 d8b6 f1d3 c8d7 e1g1 c5d4 c3d4 c6d4 f3d4 b6d4 b1c3 d4b6 g1h1 g8e7 f2f4 g7g6 f1e1 f8g7 c1e3 b6d8 g2g4 e8g8 e3c5 a8c8 c5d6 f7f6 e5f6 g7f6 f4f5 d5d4 c3e4 d7c6 d6e7 d8e7 h1g1 c6d5 f5g6 h7g6 e4g3 f6g5 g3f1 g5h4 f1g3 h4g3 h2g3 e7d6 d3e4 d6g3 g1h1 f8f2
WYb10,Heraklio GRE,2004.11.11,9,"Khachykian,David","Hou,Y",0-1,,2153,A37,c2c4 c7c5 g2g3 b8c6 f1g2 g7g6 g1f3 f8g7 e1g1 e7e6 b1c3 g8e7 d2d4 c6d4 f3d4 c5d4 c3b5 e7f5 g3g4 a7a6 d1a4 a8b8 g4f5 a6b5 a4a7 g7e5 f2f4 e5c7 a7d4 e8g8 f5e6 d7e6 d4d8 f8d8 c4b5 c7b6 g1h1 b6c5 a1b1 c8d7 b2b4 c5e7 a2a4 b8a8 g2b7 a8a4 b7c6 d7c6 b5c6 a4b4 b1b4 e7b4 c1e3 d8c8 f1c1 g8f8 h1g2 b4d6 g2f3 f8e7 e3d4 c8b8 c1a1 b8c8 a1a6 d6c7 e2e4 e7d6 f3g4 h7h6 d4f6 d6c5 e4e5 c7b6 a6a3 c5c4 a3h3 h6h5 g4g5 c8c6 g5h6 c6c7 h6g7 c7a7 h3f3 c4d4 f3b3 b6c5 b3b8 d4e4 f6g5 e4f5 b8b5 f7f6 g7g8 f6g5 b5c5 g5f4 c5b5 g6g5 b5b2 f5e5 b2e2 e5f5 g8f8 f4f3 e2f2 g5g4 f2b2 e6e5 f8e8 e5e4 b2b5 f5f4
WYb10,Heraklio GRE,2004.11.12,10,"Hou,Y","Heung,Christopher",1-0,2153,,B31,e2e4 c7c5 g1f3 b8c6 f1b5 g7g6 b5c6 d7c6 d2d3 f8g7 h2h3 e7e5 c1e3 b7b6 b1d2 g8e7 e1g1 e8g8 a2a3 f7f5 e4f5 g6f5 e3g5 d8e8 g5e7 e8e7 f1e1 c8a6 f3e5 g7e5 d2f3 e7g7 f3e5 f5f4 d1g4 f8f6 e1e4 a6c8 g4g7 g8g7 a1e1 a8b8 e5c4 b8b7 e4e7 b7e7 e1e7 f6f7 e7f7 g7f7 c4d6
