Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
FRG-ch,Bad Aibling,1965.??.??,1,"Huebner, Robert","Delander, Adolf",1-0,,,B12,e2e4 c7c6 d2d4 d7d5 e4e5 c8f5 c2c4 d5c4 f1c4 e7e6 b1c3 g8e7 g1e2 e7d5 e1g1 b8d7 e2g3 g7g6 c3e4 h7h6 c1d2 d7b6 c4b3 d8h4 f1e1 f8e7 a2a4 a7a5 a1c1 e8g8 e4c5 a8a7 g3e4 d5b4 g2g3 h4h3 d2b4 a5b4 a4a5 f5e4 e1e4 b6d5 b3d5 e6d5 e4e1 a7a5 c5b7 a5b5 b7d6 b5b6 c1a1 h3d7 d6f7 d7h3 e5e6 c6c5 a1a7 b6e6 a7e7 e6e1 d1e1 f8f7 e7e8 g8h7 e1e5 f7g7 e5b8 g6g5 e8h8 h7g6 b8d6 g6f5 h8h6 h3h6 d6h6 g7f7 h6d6 c5d4 d6d5 f5g6 d5d4
FRG-ch,Bad Aibling,1965.??.??,2,"Eisinger, Max Jr","Huebner, Robert",1-0,,,B43,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 a7a6 b1c3 b7b5 f1d3 c8b7 e1g1 g8e7 e4e5 e7c6 d4f3 d7d6 e5d6 f8d6 c3e4 d6e7 c1g5 f7f6 g5d2 b8d7 a2a4 b5b4 f1e1 e6e5 f3h4 g7g6 h4f5 d7c5 f5e7 d8e7 e4c5 e7c5 d2h6 c5e7 d1g4 a8d8 a1d1 d8d4 g4e2 e7d8 d3c4 e8e7 c2c3 b4c3 b2c3 d4d1 e1d1 d8a5 e2b2 a5c7 h6g7 c6a5 b2b4 e7e8 g7h8 a5c4 h8f6 a6a5 b4b5 c7c6 d1d8 e8f7 d8d7 f7f6 b5b7 c6a4 b7f3 f6g5 h2h4 g5h6 f3f8
FRG-ch,Bad Aibling,1965.??.??,3,"Huebner, Robert","Degenhardt, Norbert",0-1,,,B90,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f1c4 a7a6 d4c6 b7c6 e4e5 f6d7 e5d6 e7d6 c1f4 d7f6 e1g1 f8e7 c3e2 e8g8 e2d4 d8b6 f1e1 a8a7 e1e3 c6c5 e3b3 b6c7 d4e2 c8e6 c4e6 f7e6 c2c4 c7c6 e2g3 d6d5 d1e2 f6e4 b3b8 f8b8 f4b8 a7b7 b8e5 e4g3 h2g3 e7d6 c4d5 e6d5 e5d6 c6d6 e2e8 d6f8 e8e6 g8h8 b2b3 d5d4 e6a6 b7f7 a1f1 h7h6 a6e6 f7a7 a2a4 f8d8 f1e1 h8h7 e6f5 g7g6 f5c5 a7c7 c5a5 d4d3 a5d2 d8d6 e1d1 c7d7 b3b4 d6d5 d1a1 d5b3 a4a5 b3c2 a1d1 c2c4 d1c1 c4a6 g1h2 h6h5 c1d1 a6c4 d2f4 d7d4 f4e3 d4d7 e3f4 d7d4 f4e3 d4d7 e3c5 c4g4 f2f3 g4e6 d1d2 e6e1 c5f2 e1f2 d2f2 d3d2
FRG-ch,Bad Aibling,1965.??.??,4,"Huebner, Robert","Eising, Johannes",1-0,,,D93,d2d4 g8f6 c2c4 c7c6 b1c3 d7d5 g1f3 g7g6 c1f4 f8g7 e2e3 e8g8 f1e2 d5c4 e2c4 c8g4 h2h3 g4f3 d1f3 b8d7 e1g1 a7a5 f1d1 d7b6 c4f1 f6d5 f4h2 f7f5 c3e2 e7e6 e2c1 d8e7 f3e2 e6e5 h2e5 g7e5 d4e5 e7e5 c1d3 e5e7 e2c2 b6d7 c2b3 d7f6 d3f4 g8g7 f4d5 f6d5 d1d4 f5f4 e3e4 d5f6 a1d1 a5a4 d4a4 a8a4 b3a4 e7e4 d1d7 f8f7 d7f7 g7f7 a4b3 f7f8 b3b7 f4f3 b7b8 f8e7 b8a7 e7f8 a7a3 f8f7 a3f3 e4f3 g2f3 f7e6 g1h2 e6e5 a2a4 f6d5 a4a5
FRG-ch,Bad Aibling,1965.??.??,5,"Schroeder, Hannes","Huebner, Robert",1/2-1/2,,,D25,d2d4 d7d5 g1f3 g8f6 e2e3 c8g4 h2h3 g4h5 c2c4 d5c4 f1c4 b8d7 e1g1 e7e6 b2b3 f8d6 c1b2 e8g8 b1d2 d8e7 c4e2 e6e5 f3e5 h5e2 d1e2 d7e5 d4e5 d6e5 b2e5 e7e5 d2c4 e5e7 a1d1 f8d8 d1d8 a8d8 f1d1 d8d7 d1d7 e7d7 e2d2 b7b5 d2d7 f6d7 c4a3 a7a6 g1f1 f7f6 f1e2 g8f7 e3e4 f7e6 e2e3 c7c5 f2f4 d7b8 a3c2 b8c6 e3d3 e6d6 d3c3 c6d8 c3d3
FRG-ch,Bad Aibling,1965.??.??,6,"Huebner, Robert","Troeger, Paul",1/2-1/2,,,A25,c2c4 e7e5 b1c3 b8c6 g2g3 d7d6 f1g2 c8e6 c3d5 g7g6 b2b4 f8g7 c1b2 d8d7 d1b3 g8e7 f2f4 f7f6 g1f3 e8g8 e1g1 b7b5 d2d3 a8b8 a2a3 b5c4 d5e7 d7e7 b3c2 a7a5 b4a5 c6a5 b2c3 a5b3 a1b1 c4d3 e2d3 b3c5 c3b4 c5a6 b4d2 c7c5 f4e5 d6e5 c2c3 e7d6 d2e3 f8d8 a3a4 g7f8 b1b8 d6b8 f3d2 b8b4 c3c2 f8e7 d2c4 b4b8 f1d1 a6b4 c2e2 g8g7 a4a5 b8b5 d1a1 b5a6 g2e4 d8b8 e3d2 b8b5 e2e3 e6f7 e3h6 g7g8 d2c3 e7f8 h6d2 f8g7 g3g4 h7h6 c4b6 b5a5 a1a5 a6a5 b6d5 a5a7 d5e3 a7d7 c3b4 c5b4 d2b4 g7f8 b4b6 g8g7 g1g2 f7e6 e4f3 f8e7 h2h3 g7f7 f3e2 d7c8 b6a7 c8c5 a7c5 e7c5 e3f1 f6f5 g4f5 g6f5 f1d2 f7f6 e2d1 c5e3 d2f3 e6d5 d1a4 d5b7 a4b5 e5e4 d3e4 f5e4 f3h2 e3f4 h2g4 f6g5 g2f2 h6h5 g4e3 f4c7 e3g2 c7b6 f2e2 b7c8 b5c6 c8a6 e2d2 a6d3 c6a4 h5h4 a4c2 b6a5 d2d1 d3c2 d1c2 a5d8 c2d2 g5f5 d2e2
FRG-ch,Bad Aibling,1965.??.??,7,"Hodakowsky, Georg","Huebner, Robert",0-1,,,A89,d2d4 f7f5 g2g3 g8f6 f1g2 g7g6 c2c4 f8g7 b1c3 e8g8 g1f3 d7d6 e1g1 b8c6 d4d5 c6e5 f3e5 d6e5 e2e4 f5f4 g3f4 e5f4 c1f4 f6e4 f4g3 e4g3 h2g3 e7e6 d1e2 e6d5 c3d5 c7c6 d5e7 g8h8 e7c8 a8c8 a1d1 g7d4 g2e4 d8f6 g1g2 c8d8 b2b3 d8d7 e2g4 d7g7 f2f3 d4e3 d1d3 f6b2 g2h3 e3b6 a2a4 b6c7 f1d1 b2e5 d3d4 c7b6 d4d7 h7h5 g4h4 g7d7 d1d7 e5e6
FRG-ch,Bad Aibling,1965.??.??,8,"Huebner, Robert","Kestler, Hans Guenther",0-1,,,A53,d2d4 g8f6 c2c4 d7d6 b1c3 e7e5 d4e5 d6e5 d1d8 e8d8 c1g5 b8d7 e1c1 c7c6 g1f3 d8c7 g5h4 f8b4 c3b1 a7a5 a2a3 b4d6 f3d2 a5a4 b1c3 d7c5 f2f3 h7h6 h4f2 c8e6 g2g4 f6d7 c1c2 d6e7 e2e3 h6h5 f1e2 h5g4 f3g4 e7h4 f2g1 h8h7 d2e4 c5e4 c3e4 h4e7 g1f2 a8h8 f2g3 e7h4 h1e1 h4g3 h2g3 h7h2 d1d2 f7f6 c2c3 h2g2 e2d1 g2d2 e4d2 d7c5 g4g5 f6f5 d1f3 h8h3 e1g1 b7b6 d2f1 h3h8 g1g2 h8h1 f3e2 c5e4 c3b4 c6c5 b4a4 b6b5 c4b5 h1h8 b5b6 c7b6
FRG-ch,Bad Aibling,1965.??.??,9,"Hecht, Hans Joachim","Huebner, Robert",0-1,,,B42,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 a7a6 f1d3 f8c5 d4b3 c5a7 e1g1 b8c6 d1e2 d7d6 c1e3 a7e3 e2e3 g8f6 a2a4 e6e5 d3c4 c8e6 b1a3 e8g8 a1d1 d8c7 c4d5 e6d7 c2c4 c6e7 a4a5 d7a4 d1d3 a8b8 f2f4 e5f4 e3f4 f6d5 e4d5 e7g6 f4d4 g6e5 d3e3 a4b3 e3b3 c7a5 d4b6 a5c5 b6c5 d6c5 f1e1 f8e8 g1f1 g8f8 e1c1 e8e7 a3b1 b7b5 c4b5 c5c4 b3e3 a6b5 c1e1 f7f6 b2b3 e7a7 b1d2 b8d8 b3c4 b5c4 d2f3 e5f3 g2f3 d8d5 e3e8 f8f7 e8c8 d5d2
FRG-ch,Bad Aibling,1965.??.??,10,"Huebner, Robert","Pfleger, Helmut",1/2-1/2,,,D30,g1f3 g8f6 c2c4 e7e6 g2g3 d7d5 b2b3 c7c5 c4d5 e6d5 f1g2 b8c6 e1g1 f8e7 d2d4 e8g8 c1b2 c8g4 b1d2 a8c8 f3e5 g4f5 d2f3 f5e4 a1c1 c5d4 e5c6 b7c6 g2h3 f6d7 f3d4 c6c5 d4b5 d5d4 b5d4 e7f6 d4f3 f6b2 d1d7 d8d7 h3d7 c8c7 c1d1 e4f3 e2f3 f8b8 f1e1 b2d4 d7b5 g7g6 b5c4 a7a5 a2a4 g8g7 e1e4 b8d8 d1e1 g7f8 f3f4 d4f6 f4f5
