Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
URS-sf Russia-ch,Gorky,1989.??.??,?,"Tunik, Gennady","Ibragimov, Ildar",1/2-1/2,2470,,D94,c2c4 g8f6 b1c3 c7c6 d2d4 d7d5 e2e3 g7g6 g1f3 f8g7 h2h3 e8g8 f1d3 c6c5 e1g1 b8a6 a2a3 c5d4 e3d4 d5c4 d3c4 a6c7 f1e1 c8e6 c4f1 f8e8 c1g5 c7d5 c3a4 e6f5 a4c5 b7b6 c5d3 a8c8 a1c1 c8c1 d1c1 d8c8 f3e5 f6e4 g5h6 c8c1 h6c1 e4d6 e5c6 e8c8 d3b4 g8f8 c6a7 c8a8 b4d5 a8a7 c1f4 f5e6 d5b4 a7c7 d4d5 e6d7 e1c1 c7c1 f4c1 d7a4 f1d3 f8e8 d3c2 a4c2 b4c2 e8d7 b2b3 b6b5 g1f1 d6e8 c1f4 g7c3 f1e2 e8f6 c2e3 c3d4 f4g5 d4e3 e2e3 f6d5 e3d4 d7d6 g5d2 e7e5 d4d3 f7f5 g2g3 d6c5 f2f3 d5c7 d2h6 c7e6 d3c3 c5d5 a3a4 b5a4 b3a4 e6d4 a4a5 d4f3 a5a6 d5c6 h6e3 g6g5 c3d3 h7h5 d3e2 e5e4 e2f2 c6c7 e3c5 c7c6 f2e3 h5h4 g3h4 f3h4 c5e7 h4f3 e7d8
URS-sf Russia-ch,Gorky,1989.??.??,?,"Dreev, Alexey","Ibragimov, Ildar",1-0,2570,,D27,d2d4 d7d5 c2c4 d5c4 g1f3 g8f6 e2e3 e7e6 f1c4 c7c5 e1g1 a7a6 a2a4 b8c6 d1e2 c5d4 f1d1 f8e7 b1c3 f6d5 e3d4 e8g8 e2e4 d5f6 e4f4 c6b4 f3e5 d8c7 c4b3 b7b6 f4g3 c8b7 c1h6 f6e8 h2h4 c7d8 h4h5 g8h8 h6f4 e8f6 h5h6 g7g6 f4g5 f6d5 g5d2 a8c8 d1e1 h8g8 a1d1 d8c7 c3e4 c7d8 e4g5 e7d6 g3h3 c8c7 e1e2 a6a5 g5e4 d6e7 b3c4 b7a6 b2b3 a6b7 h3g3 g8h8 d2c1 e7h4 g3h3 f7f5 e4c3 h4g5 c3b5 g5c1 b5c7 d5f4 h3c3 d8g5 c3g3 f4e2 c4e2 g5g3 f2g3 c1h6 c7e6 f8f6 e6f4 b4d5 e2f3 d5f4 f3b7 f4e2 g1f2 e2c3 d1d3 c3e4 f2e2 e4d6 b7d5 f6f8 d3c3 f8c8 c3c8 d6c8 e5c4 h6f8 d5e6 c8d6 c4b6 d6e4 g3g4 f5g4 e6g4 f8e7 b6d5 e7d8 g4f3 e4f6 d5f4 d8c7 f4e6 c7d6 e2d3 f6e8 d3c4 e8c7
URS-sf Russia-ch,Gorky,1989.??.??,?,"Kuporosov, Viktor","Ibragimov, Ildar",1/2-1/2,2445,,C92,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 f8e8 d2d4 c8b7 b1d2 e7f8 a2a3 g7g6 b3a2 f8g7 b2b4 a6a5 d4d5 c6e7 c1b2 f6h5 d2b3 a5b4 c3b4 b7c8 b3a5 h5f4 b2c1 g7h6 a1b1 g8h8 b1b3 f7f5 a2b1 e8f8 g1h2 e7g8 a5c6 d8e8 c1b2 h6g7 b2c1 g7h6 c1b2 h6g7 b2c1 g7h6
URS-sf Russia-ch,Gorky,1989.??.??,?,"Ibragimov, Ildar","Dvoirys, Semen I",0-1,,2520,A22,c2c4 e7e5 b1c3 g8f6 g2g3 f8b4 f1g2 e8g8 e2e4 b4c3 b2c3 a7a6 a2a4 d7d6 d2d3 f6d7 g1e2 d8e8 d1c2 a6a5 c1e3 b8a6 e1g1 d7c5 d3d4 e5d4 c3d4 a6b4 c2b1 c5a4 c4c5 d6c5 d4c5 c8d7 f1c1 b7b6 e3f4 a4c5 f4c7 d7b5 e2f4 e8c6 c7e5 a8d8 f4d5 f8e8 e5d4 b4d3 c1c3 c6d7 d4c5 d3c5 d5b6 d7d4 c3e3 b5d3 b1e1 d3e4 e1c3 d4b4 c3b4 a5b4 a1e1 e8e6 g2e4 e6b6 e4b1 g7g6 e1c1 c5e6 g1g2 b4b3 c1c3 b3b2 c3b3 d8b8 b3b6 b8b6 g2f1 b6c6
URS-sf Russia-ch,Gorky,1989.??.??,?,"Ibragimov, Ildar","Fokin, Sergey",1-0,,2380,A85,d2d4 e7e6 c2c4 f8b4 b1c3 f7f5 e2e3 g8f6 f1d3 e8g8 d1c2 b7b6 g1e2 c8b7 f2f3 b8c6 c1d2 f8f7 a2a3 b4f8 e1g1 g7g6 b2b4 f8g7 b4b5 c6e7 a3a4 f7f8 a4a5 b6a5 a1a5 a7a6 f1a1 a6b5 a5a8 b7a8 c3b5 a8c6 c2a4 f6e8 a1b1 e8d6 a4a7 c6b5 c4b5 g7h6 e2c3 d6c8 a7a2 c8b6 e3e4 h6g7 d2e3 d8a8 b1a1 a8b7 a2b3 f5e4 f3e4 d7d5 a1a6 b7c8 b3b4 c8d7 b4c5 d5e4 d3e4 e7d5 c3d5 b6d5 e3f2 d5f4 a6a2 f8d8 a2d2 e6e5 d4d5 d8f8 f2g3 f4h5 c5c6 d7f7 d2f2 f7e7 f2f8 g7f8 d5d6 c7d6 b5b6 h5g3 e4d5 g8h8 h2g3 e7g5 c6c8
URS-sf Russia-ch,Gorky,1989.??.??,?,"Ibragimov, Ildar","Kharitonov, Andrei Y",1/2-1/2,,2505,D55,d2d4 g8f6 g1f3 d7d5 c2c4 e7e6 b1c3 f8e7 c1g5 h7h6 g5f6 e7f6 e2e3 e8g8 a1c1 c7c6 f1d3 b8d7 e1g1 a7a6 a2a4 f6e7 e3e4 d5c4 d3c4 b7b5 c4a2 c8b7 d4d5
URS-sf Russia-ch,Gorky,1989.??.??,?,"Ibragimov, Ildar","Khasin, Alexander",1-0,,2445,B36,g1f3 c7c5 c2c4 g7g6 d2d4 c5d4 f3d4 b8c6 e2e4 g8f6 b1c3 d7d6 f1e2 c6d4 d1d4 f8g7 c1e3 e8g8 d4d2 c8e6 a1c1 a7a6 f2f3 d8a5 c3d5 a5a2 d5e7 g8h8 e1g1 a2b3 e2d1 b3a2 e3d4 f8e8 e7d5 e6d5 e4d5 f6h5 d4g7 h5g7 d2c3
URS-sf Russia-ch,Gorky,1989.??.??,?,"Ibragimov, Ildar","Kron, Valentin",1-0,,,A57,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 b5b6 d8b6 b1c3 d7d6 g1f3 g7g6 e2e4 c8g4 f1e2 g4f3 e2f3 b8d7 e1g1 f8g7 f3e2 e8g8 a2a4 f8b8 a4a5 b6d8 d1c2 f6e8 c1d2 e8c7 f1b1 c7b5 c3b5 a6b5 a1a2 b5b4 c2a4 a8a7 a5a6 d7f6 f2f3 f6e8 d2e3 b8b6 a4b3 e8c7 a2a5 d8b8 e2c4 c7b5 b3d3 b5d4 b2b3 b8c8 g1h1 c8d7 b1d1 b6b8 e3d4 g7d4 d3e2 d4e5 e2e3 d7d8 a5a2 d8f8 f3f4 f8h6 g2g3 e5c3 a2e2 h6g7 e4e5 g7f8 h1g2 f8c8 e3d3 b8a8 d1f1 c8f8 e2e4 f8g7 d3e2 a8f8 h2h4 h7h6 e5d6 e7d6 e2a2 g7f6 f1f2 f6d8 f2e2 g8g7 a2a4 c3f6 e4e8 f8e8 e2e8 d8c7 a4a2 c7d7 a2e2 f6d4 e8b8 h6h5 e2e8 d7e8 b8e8 g7f6 g2f3 d4g1 e8e1 g1d4 e1e8 d4g1 e8b8 a7d7 c4b5 d7c7 b8b7 c7c8 b7d7 c5c4 d7d6 f6g7 b5c4 c8c7 d6c6
URS-sf Russia-ch,Gorky,1989.??.??,?,"Ibragimov, Ildar","Umansky, Mikhail",1-0,,,A01,b2b3 e7e5 c1b2 b8c6 c2c4 g8f6 e2e3 f8e7 a2a3 e8g8 d1c2 f8e8 d2d3 d7d5 c4d5 f6d5 g1f3 c8g4 f1e2 f7f5 e1g1 e7f6 h2h3 g4h5 f3e5 h5e2 e5c6 b7c6 c2e2 d5f4 e2c2 d8d3 c2d3 f4d3 b2f6 g7f6 b1d2 a7a5 f1d1 e8d8 d2c4 d8d5 a1b1 a5a4 b3b4 a8d8 d1d2 c6c5 b4b5 g8f7 b1d1 f7e6 f2f4 e6e7 b5b6 c7b6 c4b6 d5d6 b6c4 d6d5 g1f1 d3b2 d2d5 b2d1 d5f5 d1c3 f1f2 d8d1 f5h5 d1c1 f2f3 e7e6 h5c5 c1f1 f3g4 c3e4 c5b5 f1f2 g2g3 f2f1 f4f5 e6d7 b5d5 d7c6 d5d4 h7h5 g4h4 e4g5 h4h5 f1f5 h5g6 f5f3 h3h4 g5e6 d4d6 c6c5 d6e6 f3g3 g6f6 c5c4 e6b6 g3e3 b6b4 c4d5 b4a4 e3f3 f6g6 f3g3 g6f6 g3f3 f6g6 f3g3 g6f5 g3f3 f5g5 d5e5 h4h5 f3g3 g5h6 e5f6 a4f4 f6e5 f4a4 e5f6 a4a6
URS-sf Russia-ch,Gorky,1989.??.??,?,"Ibragimov, Ildar","Vyzmanavin, Alexey",0-1,,2555,A29,c2c4 e7e5 b1c3 g8f6 g2g3 d7d5 c4d5 f6d5 f1g2 d5b6 d2d3 f8e7 c1e3 e8g8 a1c1 f7f5 a2a3 g8h8 g1f3 b8c6 e1g1 f5f4 e3d2 c8g4 c3e4 e7d6 e4c5 d6c5 c1c5 d8d6 c5c1 a8d8 d2c3 d6e7 d1c2 b6d5 f1e1 f8f6 b2b4 a7a6 c3b2 e7e8 c2b3 e8h5 c1c5 g4e6 b3c2 f6h6 c5c6 b7c6 b2e5 e6g4 c2b2 d8d7 h2h4 h6e6 d3d4 h7h6 f3h2 f4g3 f2g3 d5e3 g2f3 g4f3 e2f3 e3f5 g1f2 h5g6 h2f1 d7f7 b2c3 e6e8 f3f4 f7d7 e1e2 e8d8
