Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Wch U12,Menorca,1996.??.??,1,"Sakinis, Robertas","Inarkiev, Ernesto",0-1,,,B26,e2e4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 g1e2 e7e6 e1g1 g8e7 d2d3 e8g8 c1e3 d7d6 d1d2 c6d4 c3d1 d6d5 e2d4 c5d4 e3h6 e6e5 h6g7 g8g7 f2f4 d5e4 d3e4 f7f6 c2c3 e7c6 d1f2 c8e6 a2a3 c6a5 d2c2 e6b3 c2b1 b3c4 f1d1 a5b3 a1a2 c4e2 d1e1 d4d3 a3a4 a7a5 a2a3 d8b6 g2h1 a8d8 g1g2 e2f3 g2g1 f3h1 g1h1 b3d2 b1c1 b6f2 e1g1 d2f3 g1g2 d3d2
Wch U12,Menorca,1996.??.??,3,"Inarkiev, Ernesto","Jianu, Vlad",1/2-1/2,,2225,A16,g1f3 g8f6 c2c4 g7g6 g2g3 f8g7 f1g2 e8g8 e1g1 d7d6 b1c3 b8d7 d2d4 a8b8 b2b4 d7b6 d1b3 c8e6 d4d5 e6d7 c1b2 c7c6 a1c1 b8c8 f3d2 f6g4 h2h3 g4f6 e2e4 b6a8 a2a4 a7a6 a4a5 b7b5 c4b5 a6b5 d5c6 d7c6 c3d5 f6d5 e4d5 c6b7 b2g7 g8g7 d2f3 a8c7 f3d4 d8d7 f2f4 b7a8 f4f5 c7e8 c1c8 d7c8 f5g6 h7g6 d4b5 e8f6 b3b2 c8a6 b5c7 a6a7 g1h2 a7c7 g3g4 g7g8 b2d4 f8b8 d4f4 b8f8 f4d2 f8c8 b4b5 c7c2 f1f2 c2d2 f2d2 c8c5 d2b2 a8d5 g2d5 f6d5 b5b6 d5b6 a5b6 c5c8 h2g3 g8g7 g3f4 g7f6 h3h4 e7e6 h4h5 g6h5 g4h5 c8c4 f4g3 c4c3 g3g4 c3c4
Wch U12,Menorca,1996.??.??,4,"Inarkiev, Ernesto","Baimoldinov, Aidar",1/2-1/2,,,E65,g1f3 g8f6 c2c4 g7g6 g2g3 f8g7 f1g2 e8g8 e1g1 d7d6 d2d4 b8d7 b1c3 c7c5 e2e4 c5d4 f3d4 d7c5 h2h3 c5e6 c1e3 c8d7 a1c1 f8e8 g1h2 e6c5 b2b4 c5e6 c3d5 f6d5 e4d5 e6d4 e3d4 a7a5 d4g7 g8g7 c4c5 d7b5 f1e1 a5b4 d1d4 g7g8 d4b4 b5a6 c5c6 b7c6 d5c6 d8c7 a2a4 e7e6 f2f4 a8c8 h3h4 e8d8 h4h5 d6d5
Wch U12,Menorca,1996.??.??,5,"Drozdovskyi, Yuri","Inarkiev, Ernesto",1/2-1/2,,,E65,d2d4 g8f6 c2c4 g7g6 g1f3 f8g7 g2g3 e8g8 f1g2 c7c5 b1c3 d7d6 e1g1 b8d7 b2b3 a7a6 c1b2 a8b8 d4c5 d7c5 f3d4 e7e5 d4c2 b7b5 c4b5 a6b5 c2b4 c8b7 g2b7 b8b7 c3d5 f6e4 f2f3 e4g5 b4d3 f7f5 a1c1 g5e6 b2a3 e5e4 d3f4 f8e8 f4e6 c5e6 f3e4 f5e4 a3b4 e8f8 b4c3 f8f1 d1f1 b7f7 f1e1 d8a8 e1d2 g7d4 c3d4 a8d5 c1c8 f7f8 c8f8 g8f8 d4e3 d5d2 e3d2 d6d5 a2a4 b5a4 b3a4
Wch U12,Menorca,1996.??.??,6,"Inarkiev, Ernesto","Aleskerov, Faik",1/2-1/2,,,B22,e2e4 c7c6 c2c4 d7d5 c4d5 c6d5 e4d5 d8d5 b1c3 d5d8 g1f3 g8f6 d2d4 e7e6 f1b5 c8d7 d1b3 f8e7 e1g1 e8g8 b5d7 d8d7 f3e5 d7c8 c1g5 b8c6 f1d1 f8d8 e5c6 b7c6 g5f6 e7f6 b3c4 c8d7 d1d2 f6d4 a1d1 e6e5 c3e2 c6c5 c4c5 d4c5 d2d7 d8d7 d1d7 c5b6 d7d5 a8c8 d5e5 f7f6 e5b5 c8d8 g2g3 d8d2 g1f1 d2d1 f1g2 d1d2 g2f1 d2d1 f1g2 d1d2 g2f3 d2d3 f3e4 d3d2 e2f4 b6f2 b5b8 g8f7 b8b7 f7g8 f4h5 f6f5 e4e5 f2d4 e5e6 d2e2 e6d5 e2b2 b7d7 b2a2 d7d8 g8f7 d8d7 f7e8 d7b7 a2h2 h5g7 d4g7 b7g7 a7a5 g7a7 h7h5
Wch U12,Menorca,1996.??.??,8,"Inarkiev, Ernesto","Stojanovski, Dejan",1/2-1/2,,,B23,e2e4 c7c5 b1c3 b8c6 f2f4 g7g6 g1f3 f8g7 f1c4 e7e6 e1g1 g8e7 d2d3 e8g8 e4e5 e7f5 c3e4 d7d5 e5d6 f5d6 e4d6 d8d6 f3g5 b7b6 g5e4 d6c7 g1h1 c8b7 a2a4 f8d8 d1e1 c6a5 e4d2 a5c4 d2c4 d8d5 a1b1 c7c6 c4e3 d5h5 b2b3 g7d4 e1g3 a8e8 e3g4 e8d8 c1b2 d4b2 b1b2 g8g7 b2b1 d8d4 b1e1 h5f5 g4e5 c6d5 e1e2 d5d8 e5g4 d8c7 e2e5 d4d5 f1e1 a7a6 e5f5 d5f5 e1e5 b6b5 a4b5 a6b5 g4e3 f5f6 h2h4 c7d6 h1h2 b7c8 e3g4 f6f5 g3e3 f7f6 e5f5 e6f5 g4f2 c8e6 c2c4 b5c4 d3c4 d6b6 e3c3 g7f7 f2d3 b6c6 c3a5 c6d6 a5c3 e6c8 h2g3
Wch U12,Menorca,1996.??.??,10,"Inarkiev, Ernesto","Glinert, Stephen",1-0,,,E18,g1f3 g8f6 g2g3 e7e6 f1g2 d7d5 e1g1 f8e7 c2c4 e8g8 c4d5 e6d5 d2d4 b7b6 b1c3 c8b7 c1f4 c7c5 f3e5 b8a6 a1c1 a6c7 d4c5 b6c5 d1b3 d8c8 f1d1 f8d8 e2e4 a8b8 e4d5 c7d5 e5f7 c5c4 c3d5 f6d5 c1c4 c8d7 f7d8 b8d8 c4c7
Elista ol (Men),Elista,1998.10.01,3,"Babula, Vlastimil","Inarkiev, Ernesto",1/2-1/2,2575,2300,E97,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 e8g8 g1f3 d7d6 f1e2 e7e5 e1g1 b8c6 d4d5 c6e7 b2b4 a7a5 c1a3 a5b4 a3b4 f6d7 a2a4 g7h6 a4a5 f7f5 f3d2 d7f6 c4c5 h6d2 d1d2 f5e4 c3b5 e7f5 c5d6 f5d6 a1c1 f8f7 f1d1 c8g4 b5c3 d8d7 h2h3 g4e2 d2e2 d7f5 d1d2 f5f4 b4d6 c7d6 c1a1 f7c7 c3b5 c7d7 b5c3 d7c7 c3b5 c7d7 b5c3
Elista ol (Men),Elista,1998.10.02,4,"Inarkiev, Ernesto","Dasaolu, Rotimi",1-0,2300,2105,A57,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 f2f3 g7g6 e2e4 d7d6 c1d2 f8g7 d2c3 e8g8 b1a3 a6b5 f1b5 d8b6 b5c4 c8a6 g1e2 b8d7 e1g1 b6b7 b2b3 d7b6 c4a6 b7a6 a3c2 f8c8 d1d2 a8b8 f1c1 b6a8 c2e3 a8c7 e3c4 c7b5 c3b2 f6d7 b2g7 g8g7 f3f4 g7g8 c4a5 c8e8 a5c6 b8a8 a2a4 b5a7 c6a5 a7c8 a5c4 c8b6 c4e3 a6a5 d2d3 e8c8 c1c3 a5a6 d3c2 a6a5 a1f1 d7f6 f4f5 a5b4 e3c4 b6c4 c3c4 b4b7 f5g6 h7g6 f1f3 f6d7 c2d2 g8g7 c4c1 d7e5 f3g3 c8h8 e2f4 h8h4 c1e1 a8h8 h2h3 h8b8 f4d3 h4h5 d2e2 e5d3 e2d3 b7b4 e1f1 h5e5 f1f4 b4e1 g1h2 b8b4 d3f3 f7f6 f4g4 g6g5 h3h4 b4d4 f3e3 d4e4 e3e1 e4e1 h4g5 f6f5 g4h4 e5d5 g5g6 d5d1 h4h7 g7g8 g3f3 e1h1 h2g3 h1h7 g6h7 g8h7 f3f5 h7g6 f5f8 d1b1 f8f3 g6g5 f3d3 g5f5 g3f3 b1f1 f3e2 f1b1 e2f3 b1f1 f3e2 f1c1 e2d2 c1g1 g2g3 g1g2 d2c3 f5e4 d3d1 g2g3 c3c4 g3g4 d1e1 e4f5 c4d5 g4b4 a4a5 b4b3 e1a1 b3b8 a5a6 c5c4 a1f1 f5g6 d5c4 e7e6 f1d1 b8b6 d1a1 b6b8 a6a7 b8a8 c4b5 g6f5 b5c6 d6d5 c6b7 a8a7 a1a7 d5d4 b7c6 f5f4 c6c5 e6e5 c5c4 f4e3 a7a3 e3e2 a3a5 d4d3 a5e5
Elista ol (Men),Elista,1998.10.06,8,"Inarkiev, Ernesto","Agopov, Mikael",1-0,2300,2350,E70,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1e2 e8g8 e2g3 e7e5 d4d5 c7c6 f1e2 a7a6 a2a4 c6d5 c4d5 b8d7 e1g1 f6e8 c1e3 h7h5 d1d2 h5h4 g3h1 f7f5 e4f5 g6f5 e3g5 g7f6 g5f6 d8f6 f2f4 a6a5 h1f2 d7c5 f4e5 d6e5 d2e3 c5d7 f2g4 f6b6 f1f5 f8f5 g4h6 g8f8 h6f5 b6e3 f5e3 d7f6 e3c4 e5e4 a1f1 f8e7 f1f4 h4h3 c4b6 a8b8 c3e4 f6d7 b6c4 h3g2 e2g4 b7b6 d5d6 e7d8 e4g5 e8f6 g4e6 c8a6 f4h4 d8c8 c4e5
Elista ol (Men),Elista,1998.10.07,9,"Irzhanov, Ruslan","Inarkiev, Ernesto",1/2-1/2,2535,2300,E66,d2d4 g8f6 c2c4 g7g6 g1f3 f8g7 g2g3 e8g8 f1g2 d7d6 b1c3 b8c6 d4d5 c6a5 f3d2 c7c5 e1g1 e7e5 a2a3 b7b6 b2b4 a5b7 e2e4 f6g4 d2f3 c8d7 d1e2 d8e7 h2h3 g4h6 c1d2 a8c8 a1c1 f7f5 e4f5 h6f5 c3e4 h7h6 e2d3 b6b5 g3g4 f5d4 f3d4 e5d4 b4c5 d6c5 d3b3 b7d6 e4d6 e7d6 c4b5 c8b8 a3a4 a7a6 b3a3 a6b5 a3c5 d6c5 c1c5 b5a4
Elista ol (Men),Elista,1998.10.09,10,"Inarkiev, Ernesto","Kupreichik, Viktor D",1-0,2300,2505,B06,d2d4 g7g6 e2e4 f8g7 f1c4 c7c6 d1f3 e7e6 g1e2 g8e7 c1g5 d7d5 c4b3 h7h6 g5f4 g6g5 f3g3 b8a6 b1c3 d5e4 c3e4 e8g8 f4d2 e7f5 g3f3 f5h4 f3g3 h4f5 g3f3 d8c7 e1c1 f5h4 f3h5 f7f6 g2g3 h4f5 h2h4 c7f7 h5g4 h6h5 g4f3 g5g4 f3d3 f8d8 f2f3 c6c5 f3g4 f5d4 e2d4 c5d4 d1f1 h5g4 d2g5 a6b4 d3d2 b4d5 b3d5 d8d5 e4f6 g7f6 f1f6 f7g7 h1f1 c8d7 g5h6 g7e7 f6g6 g8h7 d2d3 h7h8 h6g5 d5g5 h4g5
Elista ol (Men),Elista,1998.10.10,11,"San Segundo, Pablo","Inarkiev, Ernesto",1/2-1/2,2490,2300,A49,g1f3 g8f6 d2d4 g7g6 g2g3 f8g7 f1g2 e8g8 e1g1 d7d6 a2a4 a7a5 c2c3 b8d7 b1a3 c7c6 f1e1 f6e4 f3g5 e4g5 c1g5 h7h6 g5d2 d6d5 e2e4 d5e4 e1e4 e7e5 d4e5 d7e5 d2h6 g7h6 e4e5 c8e6 d1e2 d8b6 g1h1 e6b3 a3c2 a8d8 c2e3 h6g7 e5e7 b3e6 g2e4 f8e8 e7e8 d8e8 e4g2 e6b3 e2g4 b6d8 h2h4 d8d2 a1f1 b3e6 g4g5 d2b2 h4h5 g6h5 e3f5 e6f5 g5f5 b2c3 f5h5 e8e6 h5g4 c3d4 g2f3 d4g4 f3g4 e6e4 g4c8 b7b5 c8d7 e4a4 d7c6 a4b4 f1d1 a5a4 d1d7 b4b2 d7a7 g7d4 a7a5 b5b4 c6a4 b2f2 a5b5 f2b2 b5b7 g8f8 a4c6 d4c5 c6d5 b2f2 b7b5 c5d6 b5b6 d6e7 d5e4 f8g7 g3g4 f2d2 b6b7 e7d6 h1g1 g7f6 b7b5 d2e2 b5f5 f6e7 e4d5 f7f6 g4g5 f6g5 f5g5 d6c5
