Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
URS Spartakiad,Moscow,1963.??.??,?,"Ivanov, Alexander","Berezov, L.",0-1,,,D00,g1f3 g8f6 b1c3 d7d5 d2d4 c7c5 c1f4 a7a6 e2e3 b8c6 d4c5 c8g4 f1e2 e7e6 c3a4 f6d7 e1g1 d7c5 a4c5 f8c5 c2c3 e8g8 d1c2 d8e7 f1e1 g4f5 c2d1 f5g6 f4g3 f8d8 e2d3 b7b5 d3g6 h7g6 f3d4 a8c8 d1e2 e7b7 a1c1 c6d4 c3d4 c5b4 e1d1 c8c6 c1c2 c6c2 e2c2 d8c8 c2b3 c8c4 a2a3 b4e7 g1f1 a6a5 d1d2 a5a4 b3d3 b7c6 d2d1 g8f8 f2f3 c4c2 d1d2 c2c1 d2d1 f8e8 g3e1 c1d1 d3d1 c6c4 d1e2 e8d7 e1c3 d7c6 f1e1 b5b4 a3b4 c6b5 e2c4 b5c4 b4b5 c4b5 e1d2 b5c4 d2c2 g6g5 c3a5 e7d6 h2h3 d6b4 a5c7 b4e1 c2d1 e1f2 d1e2 f2g1 c7d6 c4b3 d6a3 b3c2 g2g3 f7f6 h3h4 g5h4 g3h4 g7g6
URS Spartakiad,Moscow,1963.??.??,?,"Ivanov, Alexander","Norkin, V.",1-0,,,C17,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4a5 b2b4 c5d4 c3b5 a5b6 d1h5 g7g6 h5f3 b6c7 c1g5 d8d7 f1d3 c7e5 g5f4 b8c6 g1e2 a7a6 e1g1 a6b5 d3b5 e5g7 a1d1 e6e5 e2d4 e5f4 d4c6 b7c6 d1d5 a8a3 f1e1 d7e6 b5c6 e8e7 e1e6 f7e6 f3a3 e6d5 c6d5 g8f6 b4b5 e7d8 a3d6 c8d7 b5b6 h8e8 g1f1 f6d5 b6b7
Riga-ch,Riga,1965.??.??,?,"Izschenko, Olga","Ivanov, Alexander V",1-0,,,B41,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 a7a6 c2c4 d8c7 b1c3 g8f6 c1e3 f8b4 f1d3 b7b5 c4b5 b4c3 b2c3 c7c3 e1e2 e8g8 d1b3 c3b3 a2b3 c8b7 f2f3 d7d5 e4e5 f6d7 f3f4 d7c5 b3b4 c5d3 e2d3 b8d7 h1c1 f8c8 d4c6 g8f8 c6a5 c8c1 a1c1 d5d4 e3d4 b7g2 b5b6 a8b8 b6b7 f8e7 c1c8 b8b7 a5b7 g2b7 d4c5 d7c5 c8c5 e7d7 d3d4 b7c6 c5c1 c6b5 c1g1 g7g6 d4c5 d7c7 h2h4 h7h5 g1d1 b5e2 d1d2 e2f1 d2d6 f1b5 d6d4 b5e2 d4e4 e2d3 e4e3 d3b5 e3g3 b5e2 g3g1
Moscow-Leningrad m,Leningrad,1967.??.??,?,"Ivanov, Alexander V","Gulko, Boris F",0-1,,,A24,c2c4 g7g6 b1c3 f8g7 g2g3 e7e5 f1g2 d7d6 d2d3 g8f6 f2f4 e5f4 c1f4 f6h5 f4d2 b8c6 g1f3 e8g8 e1g1 c8g4 b2b4 d8d7 b4b5 c6e7 a1c1 a8e8 d1a4 e7f5 e2e4 f5d4 a4a7 e8a8 a7b7 d4f3 g2f3 g7d4 g1h1 h5g3 h2g3 g4f3 h1h2 d7g4 b7d5 d4e5 f1f3 g4f3 c1g1 f3h5 h2g2 h5g4 a2a4 g4g3 g2f1 g3f3 f1e1 e5c3 d2c3 f3e3 e1f1 a8a4 d5d4 e3d4 c3d4 f7f5 e4f5 f8f5 f1e2 d6d5 g1c1 d5c4 d3c4 f5f4 e2d3 a4a3 d4c3 g8f7 c4c5 a3b3
URS-chT Moscow,Moscow,1972.??.??,?,"Ivanov, Alexander","Kivlan, Ivars",1-0,2380,2200,E92,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 d4e5 d6e5 d1d8 f8d8 c1g5 d8e8 e1c1 b8d7 c3b5 e8f8 b5c7 a8b8 f3d2 d7c5 f2f3 b7b6 b2b4 c5e6 c7e6 c8e6 c1b2 f8c8 d1c1 f6d7 d2f1 a7a5 a2a3 a5b4 a3b4 b8a8 g5d2 g7f8 f1e3 b6b5 h1d1 a8a4 c4c5 a4a2 b2b1 e6b3 e2d3 c8a8 d3c2 b3c2 e3c2 d7b8 d2c3 b8c6 d1d7 f8g7 c1d1 c6d4 c2d4 e5d4 c3d4 a2a4 d4g7 g8g7 d1d2 a4b4 d2b2 b4c4 b2b5 a8c8 b5b7 c4c5 d7f7 g7h6 h2h4 c5c1 b1b2 c1c2 b2b3 c2c3 b3b4
URS-chT Moscow,Moscow,1972.??.??,?,"Ivanov, Alexander","Kozlov, V.",1/2-1/2,2380,2360,B06,e2e4 g7g6 d2d4 f8g7 b1c3 d7d6 c1e3 c7c6 d1d2 b7b5 f2f3 b8d7 g1h3 d7b6 h3f2 a8b8 b2b3 a7a5 f1d3 g8f6 e1g1 e8g8 c3e2 a5a4 e3h6 e7e5 h6g7 g8g7 f3f4 b6d7 b3a4 b5a4 d2c3 d8c7 a1b1 b8b1 f1b1 c6c5 f4e5 d6e5 d4d5 c7a7 c3c4 c8b7 e2c3 f8a8 c3b5 a7a5 c4c3 a5c3 b5c3 b7a6 d3a6 a8a6 b1b7 a6b6 b7b6 d7b6 f2d3 f6d7 a2a3 b6c4 c3a4 c4a3 a4c5 d7c5 d3c5 a3c2 g1f2 c2d4 f2e3 d4b5 c5b7 g7f8 e3d3 f8e7 d3c4 b5d6 b7d6 e7d6 g2g4 h7h6 h2h3 f7f6 h3h4 h6h5 g4h5
URS-chT Moscow,Moscow,1972.??.??,?,"Mikhalchishin, Adrian","Ivanov, Alexander",1/2-1/2,2200,2380,C86,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 d1e2 b7b5 a4b3 f8e7 e1g1 e8g8 c2c3 d7d6 d2d4 c8g4 d4d5 c6a5 b3c2 c7c6 d5c6 d8c7 c1g5 a5c6 c2d3 f6d7 g5e3 d7c5 e3c5 d6c5 b1d2 c5c4 d3c2 e7c5 f1d1 c6d8 h2h3 g4h5 g2g4 h5g6 f3h4 d8e6 d2f1 e6f4 e2f3 c7b6 f1e3 a8d8 h4g2 f4g2 g1g2 c5e3 f3e3 b6e3 f2e3 f8e8 g2f3 g8f8 a2a4 d8d1 c2d1 e8d8 a4b5 a6b5 d1e2 d8d2 a1a8 f8e7 a8b8 d2b2 e2c4 b2h2 b8b5 h2h3 f3f2 h3h2 f2g3 h2c2 b5e5 e7d6
URS-chT Moscow,Moscow,1972.??.??,?,"Ivanov, Alexander","Gorchakov, A.",1/2-1/2,2380,2355,B51,e2e4 c7c5 g1f3 b8c6 f1b5 d7d6 e1g1 c8d7 c2c3 a7a6 b5a4 g8f6 f1e1 c5c4 a4c2 d7g4 h2h3 g4h5 d2d4 c4d3 d1d3 e7e6 f3d4 d8c7 f2f4 d6d5 e4d5 c6d4 c3d4 f6d5 c2b3 d5b4 d3e4 h5g6 f4f5 g6f5 e4f5 c7c1 f5e4 c1c6 d4d5 c6b6 g1h1 e8c8 d5e6 f7e6 b1c3 b4d3 e4e6 b6e6 b3e6 c8b8 e1e2 d3f4 e2e4 f4e6 e4e6 f8b4 e6e2 b4c3 b2c3 d8d7 h1g1 h8c8 a1c1 d7d3 e2e7 c8c7 e7c7 b8c7 c1c2 c7c6 g1f2 h7h5 h3h4 b7b5 f2e2 d3g3 e2f2 g3g4 g2g3 g4c4 c2e2 c6d6 e2d2 d6e6 d2e2 e6f5 e2e7 g7g6 e7f7 f5e6 f7b7 c4a4 f2f3 e6e5 b7e7 e5f6 e7e2 a4a3 e2e3 a3a2 f3e4 a2d2 e3f3 f6e6 f3f8 d2d6 f8g8 e6f6 g8e8 d6b6 e8f8 f6e7 f8a8 e7f6 a8f8 f6g7 f8c8 a6a5 c8a8 b6c6 a8a5 c6c3 e4f4 b5b4 a5b5 c3c4 f4e5 c4g4 b5b7 g7f8 e5d5 f8e8 d5c5 g4g3 b7b4 e8f7 c5d5 g6g5 b4b7 f7g6 h4g5 g3e3 d5d4 e3e6 b7b3 g6g5 b3e3 e6d6 d4e5 d6d8 e3g3 g5h4 g3g1 h4h3 e5f4 d8f8 f4e3 h5h4 e3e2 h3h2 g1g4 h4h3 g4g7
URS-chT Moscow,Moscow,1972.??.??,?,"Zaichik, Gennadi","Ivanov, Alexander",0-1,2200,2380,A12,g1f3 g8f6 g2g3 d7d5 f1g2 c7c6 e1g1 c8f5 b2b3 h7h6 c1b2 e7e6 d2d3 f8e7 b1d2 e8g8 c2c4 b8d7 d1c2 f5h7 a1c1 a7a5 a2a3 d8b6 c2b1 b6a6 b1a1 b7b5 c4b5 c6b5 c1c7 f8c8 f1c1 e7c5 c1c5 d7c5 c7c8 a6c8 b2f6 g7f6 a1f6 c8f8 f3e5 f8g7 f6f4 a8c8 h2h4 h6h5 b3b4 f7f6 e5c6 c8c6 b4c5 c6c5 f4d6 c5c1 g1h2 g7f7 d2b3 c1c7 b3d4 f7e7 d6b6 c7b7 b6a5 g8g7 a5a6 h7g8 d4b5 e7d7 a3a4 b7b8 b5d4 b8b4 d4c6 b4b1 a4a5 g8f7 g2h3
EU-ch U20 fin-B,Groningen,1974.??.??,1,"Dominte, Marian","Ivanov, Alexander",1/2-1/2,,,E14,d2d4 g8f6 g1f3 e7e6 c2c4 b7b6 e2e3 c8b7 f1d3 f8e7 e1g1 c7c5 d1e2 b8c6 b1c3 e8g8 f1d1 c5d4 e3d4 d7d5 a2a3 c6a5 c4d5 f6d5 d3c2 a8c8 e2d3 g7g6 c1h6 f8e8 c3e4 a5c4 a1b1 b7a6 c2a4 b6b5 a4b3
