Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Spartak-ch,Sochi,1969.??.??,?,"Kaminsky, Oleg M","Ivanov, Igor V",1-0,,,B03,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 f2f4 d6e5 f4e5 b8c6 c1e3 c8f5 b1c3 e7e6 d1d2 c6b4 e1c1 b6a4 c4c5 a4c3 b2c3 b4d5 e3g5 f7f6 g5h4 f8e7 g1f3 g7g5 e5f6 d5f6 h4g5 e8g8 f1d3 b7b6 g5h6 f6g4 h6f8 e7f8 d3f5 f8h6 f5g4 h6d2 d1d2 b6c5 g4e6 g8h8 f3e5 d8f6 e6c4 c5d4 c3d4 c7c5 h1f1 f6h4 d2d3 h4h2 d3h3 h2g2 f1h1 g2g5 c1d1 g5g7 e5f7 h8g8 f7g5
Spartak-ch,Sochi,1969.??.??,?,"Feldman, Steven","Ivanov, Igor V",0-1,,,B64,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1g5 e7e6 d1d2 f8e7 e1c1 e8g8 f2f4 d6d5 e4e5 f6d7 g5e7 d8e7 c1b1 d7b6 c3b5 c8d7 b5d6 f7f6 d6b7 f6e5 d4c6 d7c6 b7a5 f8c8 f1a6 c8c7 f4e5 a8b8 h1f1 c6a4 b2b3 a4e8 b1a1 e7a3 c2c4 e8g6 d1c1 d5d4 g2g4 a3c5 c1e1 d4d3 f1f4 b6d7 d2c3 b8b6 a6b7 b6b7 a5b7 c7b7 h2h4 h7h6 h4h5 g6h7 f4d4 b7b3 c3b3 c5d4 b3b2 d3d2 e1d1 d4e5 b2e5 d7e5 c4c5 e5f3 c5c6 h7e4 c6c7 e4b7 a1b2 g8f7
URS-ch otbor,Cheliabinsk,1975.??.??,?,"Ivanov, Igor V","Vladimirov, Boris T",1-0,2365,2200,D94,d2d4 d7d5 c2c4 d5c4 g1f3 g8f6 e2e3 g7g6 f1c4 f8g7 b1c3 e8g8 e1g1 c7c5 d4d5 f6e8 f1e1 e8d6 c4f1 e7e5 e3e4 c8g4 h2h3 g4f3 d1f3 a7a6 a2a4 b7b6 c3d1 b8d7 d1e3 b6b5 a4b5 a6b5 c1d2 f7f5 e4f5 g6f5 e3c2 b5b4 a1a8 d8a8 e1a1 a8b8 a1a6 d7b6 d2e3 b8c7 b2b3 g8h8 g2g3 d6c8 a6a5 b6d7 a5a6 c8b6 e3g5 c7b7 c2e3 f5f4 f1d3 f8c8 g5e7 d7f8 e7f8 g7f8 f3e4 f4e3 a6b6 e3f2 g1f1 b7g7 d5d6 c8d8 b6b7 d8d7 b7b8 g7h6 e4e5 h8g8 d3c4 d7f7 c4f7 g8f7 e5f5 f7g8
URS-ch otbor,Cheliabinsk,1975.??.??,?,"Ivanov, Igor V","Sturua, Zurab",1-0,2365,2200,E23,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1b3 c7c5 d4c5 b8c6 c1g5 b4c5 e2e3 e8g8 g1f3 c5e7 f1e2 d8a5 e1g1 f8d8 f1d1 d7d6 d1d2 a7a6 a1d1 a5c7 b3c2 c8d7 g5f6 g7f6 c3d5 e6d5 c4d5 c7a5 d5c6 b7c6 f3d4 a8c8 e2d3 h7h6 d3f5 d7f5 d4f5 e7f8 d2d4 a5e5 d4g4 g8h8 g4g3 c8b8 d1d4 c6c5 f5h6
URS-ch otbor,Cheliabinsk,1975.??.??,?,"Ivanov, Igor V","Doroshkievich, Vladimir K",1/2-1/2,2365,2425,D47,d2d4 d7d5 c2c4 e7e6 b1c3 c7c6 e2e3 g8f6 g1f3 b8d7 f1d3 d5c4 d3c4 b7b5 c4e2 c8b7 e1g1 b5b4 c3a4 c6c5 d4c5 d7c5 f3d4 d8d5 f2f3 e8c8 d1c2 c8b8 f1d1 d8c8 c1d2 b4b3 a2b3 c5a4 e2c4 a4b6 c4d5 c8c2 d5b7 c2d2 d1d2 b8b7 d2c2 f8d6 d4c6 d6b8 b3b4 f6d5 e3e4 d5c7 c6a7 b8a7 a1a7 b7a7 c2c7 a7a6 c7f7 h8g8 f7e7 a6b5 e7e6 b6c4 e6e7 c4b2 f3f4 b2d3 f4f5 d3b4 g1f2 b4c6 e7d7 c6b8 d7e7 b8c6
URS-ch otbor,Cheliabinsk,1975.??.??,?,"Kapengut, Albert Z","Ivanov, Igor V",0-1,2460,2365,C88,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 a2a4 b5b4 d2d3 d7d6 b1d2 a8b8 a4a5 g8h8 c2c3 f6h5 d3d4 e7f6 d4d5 c6e7 d2f1 c7c6 c3b4 c6d5 e4d5 b8b4 c1d2 b4b5 b3c4 b5b2 d2c3 b2b8 f3e5 h5f4 e5c6 e7c6 c3f6 d8f6 d5c6 b8b2 d1f3 f4h3 g1h1 h3f2 h1g1 f6d4 f1e3 b2d2 a1b1 f2g4 b1b8 h7h5 c4a6 d2f2 f3d1 f2g2 g1g2 g4e3 e1e3 d4d1 b8c8 d1g4 e3g3 g4e4
URS-ch otbor,Cheliabinsk,1975.??.??,?,"Ivanov, Igor V","Bagirov, Vladimir",1-0,2365,2490,D30,d2d4 d7d5 c2c4 e7e6 g1f3 g8f6 c1g5 c7c6 e2e3 d8a5 f3d2 f6e4 g5h4 c6c5 b1c3 e4c3 b2c3 a5c3 c4d5 e6d5 f1b5 c8d7 a1c1 c3a5 b5d7 b8d7 e1g1 c5c4 c1b1 f8b4 d1g4 b4d2 b1b7 e8g8 b7d7 a5b6 h4e7 f8e8 e7d6 b6c6 g4f5 f7f6 f1b1 a8d8 d7c7 c6d6 b1b7 d6f8 f5g4 g8h8 c7g7 f8g8 g7g8 e8g8 g4f4
URS-ch otbor,Cheliabinsk,1975.??.??,?,"Timoshchenko, Gennadi A","Ivanov, Igor V",1-0,2450,2365,C92,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 h2h3 c8b7 d2d3 d7d6 c2c3 c6a5 b3c2 c7c5 b1d2 f8e8 d2f1 a5c6 f1g3 e7f8 d3d4 c5d4 c3d4 a8c8 d4d5 c6b4 c2b1 d8c7 c1g5 b4c2 b1c2 c7c2 g5f6 g7f6 g3h5 g8h8 f3h4 c2d1 a1d1 c8c2 d1b1 e8c8 h4f5 c8c7 h5f6 b7c8 f6e8 c7c5 e8d6 f8d6 f5d6 h8g7 e1e3 f7f6 b2b4 c5c3 e3c3 c2c3 b1b3 c3c1 g1h2 c8d7 b3a3 g7f8 a3a6 f8e7 d6b7
URS-ch otbor,Beltsy,1977.??.??,?,"Ivanov, Igor V","Arbakov, Valentin",1-0,2420,2200,E94,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 d4d5 b8d7 e1g1 d7c5 d1c2 a7a5 c1g5 h7h6 g5e3 f6g4 e3c5 d6c5 h2h3 g4f6 f3e5 f6d5 c4d5 g7e5 f2f4 e5d4 g1h2 d8h4 e4e5 c7c6 d5d6 g8g7 a1d1 f7f6 c3a4 f6e5 a4c5 f8d8 f4f5 c8f5 e2d3 e5e4 d3e4 d4e5 h2g1 f5e4 c5e4 d8d7 g1h1 a8d8 c2e2 b7b6 d1d3 d8e8 e4f6 h4f6 f1f6 g7f6 e2f3 f6g7 f3c6 e8d8 c6b6 d7d6 b6c7 g7f6 d3f3 f6g5 c7e7
URS-ch otbor,Beltsy,1977.??.??,?,"Ivanov, Igor V","Faibisovich, Vadim Z",1-0,2420,2440,B25,e2e4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 d2d3 d7d6 g1h3 g8f6 e1g1 e8g8 f2f4 c8g4 d1d2 c6d4 g1h1 d8c8 h3g1 g4d7 c3d1 b7b5 c2c3 d4c6 g1f3 a8b8 d1e3 b5b4 c3c4 f6g4 e3g4 d7g4 f3h4 h7h6 f4f5 g6g5 h2h3 g5h4 h3g4 h4g3 d2e3 e7e5 g4g5 h6g5 f5f6 c8g4 e3g5 g4g5 c1g5 c6d4 f6g7 g8g7 g5f6 g7g6 g2h3 d4e2 h1g2 e2f4 f1f4 e5f4 f6e7 f8h8 h3f5 g6g7 g2f3 b8b6 e7g5 h8h2 g5f4 h2b2 f4g3 b2d2 e4e5 d6e5 g3e5 g7f8 e5f4 d2c2 f4e3 b6c6 f3e4
