Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
JUG-ch,Zagreb,1949.??.??,1,"Ivkov, Borislav","Kostic, Boris",1/2-1/2,,,D38,c2c4 e7e6 g1f3 d7d5 d2d4 g8f6 b1c3 f8b4 c1g5 h7h6 g5f6 d8f6 d1a4 b8c6 e2e3 c8d7 a4b3 d5c4 f1c4 e8g8 e1g1 f6e7 a2a3 b4d6 c3e4 c6a5 b3c3 a5c4 c3c4 d7c6 e4d6 c7d6 c4e2 a8c8 e3e4 c8c7 a1c1 f8c8 c1c3 c6a4 f1c1 c7c3 c1c3 c8c3 b2c3 d6d5 e4d5 e7a3 d5e6 a3c1 e2e1 c1e1 f3e1 f7e6 f2f4 a4b3 g1f2 g8f7 f2e3 f7e7 g2g4 e7d6 e1f3 b7b5 f3d2 b3c2 d2f1 c2d1 g4g5 h6h5 e3d2 d1g4 f1e3 g7g6 d2c2 g4e2 c2b3 a7a5 b3a3 e2d3 a3b3 d6c6 h2h4
JUG-ch,Zagreb,1949.??.??,2,"Gligoric, Svetozar","Ivkov, Borislav",1/2-1/2,,,C90,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 d2d3 b7b5 a4b3 d7d6 c2c3 e8g8 f1e1 c6a5 b3c2 c7c5 b1d2 a5c6 d2f1 d6d5 e4d5 d8d5 d1e2 c8b7 f1g3 a8e8 c1g5 d5d7 g5d2 e7d8 f3g5 f6d5 e2h5 d8g5 h5g5 h7h6 g5f5 d7f5 g3f5 e8d8 a1d1 b7c8 f5g3 f7f5 g3e2 f5f4 e2c1 c8f5 c1b3 c5c4 b3c5 d5f6 d2c1 c4d3 c2d3 f5d3 d1d3 d8d3 c5d3 f8d8 d3c5 a6a5 f2f3 g8f7 g1f2 g7g5 g2g3 d8d5 c5a6 f6e8 g3f4 g5f4 c1f4 e5f4 e1e8 d5h5
JUG-ch,Zagreb,1949.??.??,3,"Ivkov, Borislav","Trifunovic, Petar",1/2-1/2,,,C06,e2e4 e7e6 d2d4 d7d5 b1d2 g8f6 e4e5 f6d7 f1d3 c7c5 c2c3 b8c6 g1e2 d8b6 d2f3 c5d4 c3d4 f7f6 e5f6 d7f6 e1g1 f8d6 e2g3 e8g8 f1e1 c8d7 c1g5 d6g3 h2g3 f6g4 g5e3 h7h6 d3c2 b6a6 a2a3 f8f7 c2g6 f7f6 g6d3 a6b6 f3e5 g4e3 e1e3 c6e5 e3e5 b6b2 e5e2 b2c3 e2c2 c3a5 c2c5 a5d8 a1c1 d8f8 f2f3 f8d6 f3f4 d7c6 d3b1 d6e7 c5c3 a8f8 c3e3 e7d6 d1d3 g7g6 e3e5 d6d7 c1e1 d7f7 b1a2 g8g7 d3e2 f8e8 a2d5 c6d5 e5d5 e6d5 e2e8 f7e8 e1e8 g7f7 e8d8 f6a6 g3g4 a6a3 d8d7 f7f6 d7d6 f6f7 d6d7 f7e6 d7b7 a3a4 g2g3 a4d4 b7a7 g6g5
JUG-ch,Zagreb,1949.??.??,4,"Germek, Milan","Ivkov, Borislav",1/2-1/2,,,A90,d2d4 d7d5 g1f3 c7c6 c2c4 e7e6 b1c3 f7f5 g2g3 g8f6 f1g2 f8d6 e1g1 e8g8 b2b3 f6e4 d1c2 b8d7 c1b2 d8e8 c3d1 e8h5 f3e5 f8f6 g2f3 h5e8 d1e3 e4g5 f3g2 e8h5 h2h4 g5e4 g2f3 h5e8 e3g2 h7h6 h4h5 e4g5 g2f4 d7f8 f3g2 c8d7 e2e3 e8d8 c2c1 d7e8 b2a3 g5f7 a3d6 d8d6 c1b2 f8d7 e5g6 f7g5 g6e5 f6f8 a1d1 d7f6 b2e2 e8f7 d1c1 a7a5 f1d1 a5a4 c4c5 d6c7 b3b4 f6d7 f4d3 d7f6 d3f4 f6d7 f4d3 d7f6 d3f4 f6d7 e5f7 f8f7 f4g6 g5h7 e2b2 h7f6 g6f4 e6e5 d4e5 d7e5 d1d4 f6e4 c1e1 c7e7 d4d1 a8e8
JUG-ch,Zagreb,1949.??.??,5,"Ivkov, Borislav","Janosevic, Dragoljub",1-0,,,D99,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 d1b3 d5c4 b3c4 e8g8 e2e4 c8g4 c1e3 f6d7 c4b3 g4f3 g2f3 b8c6 e1c1 e7e5 d4e5 c6e5 f1h3 c7c5 h3d7 e5d7 b3b5 g7d4 e3d4 a7a6 b5d3 c5d4 d3d4 d8g5 d4d2 g5d2 d1d2 d7e5 f3f4 e5c4 d2d7 b7b5 c3d5 f8d8 d7d8 a8d8 b2b3 c4a5 c1b2 g8g7 h1c1 d8d6 c1c7 a5c6 b2c3 c6d8 c3b4 d8e6 c7a7 d6c6 f4f5 g6f5 e4f5 e6d4 f5f6 c6f6 d5f6 d4c6 b4c5 c6a7 f6e8 g7g6 e8d6 g6f6 c5b6 f6e6 b6a7 e6d6 a7a6 d6c5 a6a5 b5b4 a5a4 f7f5 f2f4 h7h5 h2h4
JUG-ch,Zagreb,1949.??.??,6,"Ivkov, Borislav","Fuderer, Andrija",0-1,,,C81,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 d1e2 f8c5 c1e3 e8g8 b1d2 e4d2 e2d2 d5d4 e3g5 d8d7 a1d1 e6g4 d2f4 a8e8 f1e1 g4f3 g2f3 d7h3 b3d5 c6e5 f4g3 h3g3 h2g3 e5c4 b2b3 c4a3 d5e4 c5b4 e1f1 c7c5 g1g2 f7f5 e4d5 g8h8 f1h1 a3c2 d1c1 c2e1 g2h3 h7h6 h3h2 e8e5 d5b7 h6g5 h2g1 h8g8 f3f4 f8f7 f4e5 f7b7 f2f4 d4d3 g1f2 d3d2 c1d1 c5c4
JUG-ch,Zagreb,1949.??.??,7,"Avirovic, Djordje","Ivkov, Borislav",0-1,,,D03,g1f3 g8f6 d2d4 g7g6 c2c3 f8g7 c1g5 e8g8 b1d2 d7d5 e2e3 f6e4 g5f4 c8f5 f1e2 c7c5 e1g1 b8c6 d1b3 d8d7 f1d1 c5c4 b3a3 f8c8 d2e4 d5e4 f3d2 g7f8 d4d5 e7e5 d5e6 f5e6 a3a4 c6d4 a4d7 d4e2 g1f1 e6d7 f1e2 d7g4 f2f3 e4f3 g2f3 g4f5 e3e4 f5e6 d2f1 f7f5 e4e5 f8e7 f1e3 g8f7 e3d5 e6d5 d1d5 c8d8 a1d1 f7e6 d5d8 a8d8 d1d8 e7d8 f4e3 a7a6 f3f4 h7h6 e3d4 g6g5 e2f3 b7b5 d4c5 d8e7 c5e7 e6e7 a2a4 b5a4 f3e3 g5f4 e3f4 e7e6 h2h3 a6a5 h3h4 h6h5 f4g5 e6e5 g5h5 f5f4
JUG-ch,Zagreb,1949.??.??,8,"Ivkov, Borislav","Karaklajic, Nikola",1/2-1/2,,,C42,e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5f3 f6e4 d1e2 d8e7 d2d3 e4f6 c1g5 e7e2 f1e2 f8e7 b1c3 h7h6 g5h4 c8d7 e1c1 d7c6 h1e1 f6d5 c3d5 c6d5 h4e7 e8e7 f3d4 e7f6 e2f3 d5f3 d4f3 b8c6 e1e3 h8e8 d1e1 e8e3 e1e3 c6e5 f3e5 d6e5 e3e4 b7b6 c1d2 a8d8
JUG-ch,Zagreb,1949.??.??,9,"Milic, Borislav","Ivkov, Borislav",1-0,,,E62,g1f3 g8f6 c2c4 g7g6 g2g3 f8g7 f1g2 e8g8 e1g1 d7d6 d2d4 b8c6 b1c3 e7e5 d4d5 c6b8 f3e1 f6h5 e2e4 a7a5 c1e3 b8a6 a2a3 c8d7 a1c1 d8e8 g2f3 d7h3 e1g2 h5f6 f3e2 f6d7 c3b5 f7f5 f2f3 f5f4 e3d2 b7b6 f1f2 g7h6 b2b4 a5a4 g3f4 e5f4 d1a4 d7e5 a4b3 g6g5 c1e1 e8g6 b5d4 a6b8 d2c1 b8d7 e2d1 h6g7 c1b2 h7h5 g1h1 f8f7 e1g1 g6f6 d4c6 g5g4 f3g4 h5g4 g2f4 f6h4 f4h3 f7f2 h3f2 h4f2 c6e5 d7e5 b2e5 d6e5 d1g4 f2f4 g4f5 g8f8 c4c5 a8b8 b3d3 b6c5 g1f1 f4h4 d5d6 c7c6 b4c5 b8b2 d3g3
JUG-ch,Zagreb,1949.??.??,10,"Ivkov, Borislav","Pirc, Vasja",1/2-1/2,,,B50,e2e4 d7d6 b1c3 c7c5 g1f3 c8g4 h2h3 g4f3 d1f3 b8c6 f1b5 a8c8 e1g1 g7g6 d2d3 f8g7 c1g5 g8f6 c3d5 e8g8 b5c6 b7c6 d5f6 e7f6 g5h4 c8b8 b2b3 d8e7 a1e1 e7e6 f3d1 f8e8 g2g4 e6d7 f2f4 d6d5 f4f5 g6g5 h4g3 b8d8 e4d5 c6d5 e1e8 d8e8 f1e1 e8d8 d1d2 g7f8 d2c3 g8g7 c3f6 g7f6 g3e5 f6e7 e5c7 e7f6
