Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Wch U10,Bratislava,1993.??.??,1,"Jakovenko, Dmitrij","Ladjouze, H.",1-0,,,C01,e2e4 e7e6 d2d4 d7d5 e4d5 e6d5 g1f3 b8c6 f1b5 c8d7 e1g1 g8f6 f1e1 f8e7 c2c3 e8g8 b1d2 a7a6 b5d3 f8e8 d2f1 e7d6 f1e3 f6e4 e3d5 e4f6 d5f6 d8f6 e1e8 a8e8 c1g5 f6e6 d4d5 e6g4 d5c6 d7c6 h2h3 g4h5 g5e3 e8e6 f3g5 e6g6 d1h5 h7h6 g5e4
Wch U10,Bratislava,1993.??.??,2,"Jakovenko, Dmitrij","Kovchan, Alexander",0-1,,,B28,e2e4 c7c5 g1f3 a7a6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5 d4f3 b8c6 c1g5 f8b4 f1d3 e8g8 e1g1 b4c3 b2c3 d7d6 f3d2 h7h6 g5h4 c8e6 c3c4 a8c8 a1b1 g7g5 h4g3 d8e7 c2c3 c6a5 d1a4 e7c7 a4b4 a5c4 d2c4 e6c4 d3c4 c7c4 b4d6 f6e4 d6h6 c8c6 h6h3 e4d2 g3e5 c4h4 h3h4 g5h4 b1b7 d2f1 g1f1 f8e8 e5d4 c6c4 b7b4 c4c6 a2a4 a6a5 b4b5 e8a8 b5h5 f7f6 h5h4 c6c4 d4f6 c4h4 f6h4 a8c8 f1e2 c8c3 h4d8 c3c2 e2e3 c2c4 e3d2 c4c5 d8b6 c5h5 h2h3 g8f7 d2d3 f7e6 d3c4 e6d6 f2f4 d6c6 b6f2 h5h8 h3h4 h8e8 c4d3 c6d5 h4h5 e8e4 f4f5 e4f4 d3e3 f4a4 h5h6 a4e4 e3f3 e4e8 f2e3 e8c8 g2g4 a5a4 e3g5 d5e5 g5e7 a4a3 g4g5 e5f5 e7f6 f5g6 f3e2 a3a2 e2d2 c8b8
Wch U10,Bratislava,1993.??.??,3,"Kurobasa, B.","Jakovenko, Dmitrij",0-1,,,A00,g2g3 d7d5 f1g2 e7e5 b2b3 c7c5 c1b2 b8c6 d2d3 f7f6 e2e3 c8e6 b1d2 f8d6 g1e2 d8d7 h2h4 g8e7 d2f3 e8g8 c2c4 e5e4 d3e4 d5e4 f3d2 f6f5 e2f4 d6f4 e3f4 c6d4 e1g1 a8d8 b2c3 e7c6 a2a3 a7a5 f1e1 e6f7 a1b1 d7e8 c3d4 c6d4 f2f3 e4e3 d1c1 e3e2 g1f2 d8d6 c1c3 b7b6 g3g4 e8e7 g4g5 e7c7 b3b4 d6d7 b4b5 c7f4 e1h1 d4c2 c3c2 d7d2 f2e1 d2c2
Wch U10,Bratislava,1993.??.??,4,"Claviere, R.","Jakovenko, Dmitrij",0-1,,,C45,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 g8f6 d4c6 b7c6 e4e5 d8e7 d1e2 f6d5 c2c4 c8a6 e2e4 d5b6 b2b3 e8c8 c1b2 f7f6 f2f4 f6e5 f4e5 e7g5 h2h4 g5g3 e1d1 d7d5 e4f5 c8b7 c4d5 d8d5 d1c2 f8b4 f1a6 b7a6 f5f3 d5c5 c2d3 h8d8 d3e3 b6d5 e3e4 g3g6 f3f5 d5f6 e4f4 f6h5
Wch U10,Bratislava,1993.??.??,5,"Jakovenko, Dmitrij","Grigoriants, Sergey",1-0,,,B78,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 c1e3 f8g7 f2f3 e8g8 f1c4 b8c6 d1d2 c8d7 h2h4 a8c8 c4b3 c6e5 e1c1 e5c4 b3c4 c8c4 h4h5 f6h5 g2g4 h5f6 c3d5 d7g4 d5f6 g7f6 f3g4 f6e5 h1h6 d8b6 d1h1 e5d4 e3d4 b6d4 d2d4 c4d4 h6h7 f7f6 h7e7 f8f7 e7e6 d6d5 e6e8 f7f8 e8e7 f8f7 e7f7 g8f7 e4d5 d4d5 h1h7 f7e6 h7b7 a7a5 b7b6 e6e5 g4g5 f6g5 b6g6 e5f4 c2c4 d5c5 b2b3 g5g4 c1d2 f4f3 d2d3 g4g3 a2a3 f3f2 b3b4 c5c8 c4c5 g3g2 d3c4 a5b4 a3b4 g2g1q g6g1 f2g1 b4b5 g1f2 c5c6 f2e3 c4c5
Wch U10,Bratislava,1993.??.??,6,"Jakovenko, Dmitrij","Kuliev, S.",0-1,,,B50,e2e4 c7c5 g1f3 d7d6 c2c3 g8f6 f1d3 b8c6 d3c2 c8g4 h2h3 g4h5 d2d4 c5d4 c3d4 e7e6 d4d5 e6d5 e4d5 c6e5 c2a4 f6d7 g2g4 e5f3 d1f3 h5g6 e1g1 a7a6 f1e1 f8e7 c1g5 f7f6 g5f6 g7f6 f3f6 h8f8 f6d6 b7b5 a4b3 f8f6 d6g3 d7c5 b1c3 c5b3 a2b3 e8f7 c3e4 g6e4 e1e4 d8d5 a1e1 a8a7 b3b4 d5d6 g3b3 f7f8 e1d1 d6b6 e4d4 a7c7 b3d3 c7c4 d3e3 c4b4 e3e5 b4d4 d1d4 b6c5 e5e3 c5c6 d4f4 f6f4 e3f4 c6f6 f4b8 f8f7 b8b7 f6b2 b7a6 b2b1 g1g2 b1e4 g2g1 b5b4 a6a2 e4e6 a2b1 f7g8 b1a1 b4b3 a1a8 e7f8 a8b7 e6f7 b7b5 g8h8 b5b8 f7g8 b8b7 f8g7 b7b5 b3b2 b5b7 h7h6 b7b5 g8e6
Wch U10,Bratislava,1993.??.??,7,"Azarov, Sergei","Jakovenko, Dmitrij",1/2-1/2,,,C90,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 d2d3 b7b5 a4b3 f8e7 e1g1 d7d6 c2c3 e8g8 f1e1 f8e8 b1d2 e7f8 d2f1 d6d5 c1g5 d5e4 d3e4 c8e6 b3e6 e8e6 d1c2 g7g6 f1e3 f8g7 e3d5 d8c8 a1d1 f6d7 h2h3 f7f6 g5e3 c6d8 d1d2 d8f7 c2b3 c7c5 e1d1 d7f8 b3a3 g7h6 e3h6 f7h6 f3e1 h6f7 e1d3 f8d7 d3c1 a8a7 b2b3 c8c6 c1e2 g8g7 a3c1 f7d6 f2f3 g7f7 e2g3 d7f8 f3f4 a7d7 c3c4 e6e8 f4e5 e8e5 d2f2 d6e8 d1f1 d7d6 c1f4 f8d7 f4h6 d7f8 h6f4 f8d7 f4c1 f7g7 c1b2 e5e6 d5f4 e6e7 f4d5 e7e5 f2f3 c6a8 f3f4 a8d8 f4g4
Wch U10,Bratislava,1993.??.??,8,"Akobian, Varuzhan","Jakovenko, Dmitrij",0-1,,,D55,g1f3 d7d5 d2d4 g8f6 c2c4 e7e6 b1c3 f8e7 c1g5 e8g8 e2e3 b7b6 c4d5 f6d5 c3d5 e6d5 g5e7 d8e7 a2a3 c8e6 f1d3 c7c5 d4c5 b6c5 e1g1 b8d7 d1c2 g7g6 a1c1 a8b8 f1d1 b8b6 f3d2 c5c4 d3e2 f8b8 c1b1 d7c5 e3e4 c5e4 d2e4 e6f5 c2c3 f5e4 c3e3 b6b3 e3d2 e4b1 d1b1 e7e4 b1e1 b3b2 d2d1 b2e2 e1e2 b8b1
Wch U10,Bratislava,1993.??.??,9,"Jakovenko, Dmitrij","Ganguly, Surya Shekhar",0-1,,2115,C70,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 f7f5 d2d3 f5e4 d3e4 g8f6 a4b3 c6a5 f3e5 a5b3 a2b3 d8e7 d1d4 c7c5 d4c3 f6e4 c3e3 e7e5 b1d2 d7d5 f2f3 f8d6 f3e4 c8g4 d2f3 e5e4 e3e4 d5e4 f3g5 e8g8 a1a4 a8e8 c1e3 h7h6 g5e4 b7b5
Wch U10,Bratislava,1993.??.??,10,"Pareshishvili, Giorgi","Jakovenko, Dmitrij",0-1,,,C93,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 c2c3 d7d6 h2h3 c8b7 d2d4 f8e8 b1d2 e7f8 b3c2 h7h6 d1e2 e5d4 c3d4 c6b4 c2b1 f6e4 d2e4 b7e4 b1e4 d6d5 e2d1 d5e4 f3e5 d8d5 a2a3 b4c6 e5c6 d5c6 c1f4 a8d8 a1c1 c6f6 f4e3 c7c5 d4d5 f6b2 e3c5 b2e5 c5f8 d8d5 f8g7 d5d1 g7e5 d1e1 c1e1 e8e5 g1f1 a6a5 e1b1 f7f5 f1e2 g8f7 e2e3 f7e6 e3f4 b5b4 a3b4 e5b5 f4e3 a5b4 b1b3 e6e5 g2g3 h6h5 h3h4 b5b8 e3d2 e5d4 d2c2 d4c4 b3e3 b8d8 e3e2 d8d3 c2b2 b4b3 b2b1 c4c3 b1c1 c3b4 e2b2 b4a3 b2e2 d3d4 f2f4 e4f3 e2f2 d4d3 f2h2 b3b2 h2b2 d3c3 b2c2 c3c2 c1c2 f3f2 g3g4 f5g4 c2c3 g4g3 c3d2 f2f1q d2c2 g3g2
Wch U10,Bratislava,1993.??.??,11,"Jakovenko, Dmitrij","Szymanski, Marcin",1-0,,,B42,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 a7a6 f1d3 d8c7 e1g1 b7b5 a2a4 b5b4 c2c4 b4c3 b1c3 c8b7 c1e3 g8f6 a1c1 b8c6 d1e2 f8d6 f2f4 c6d4 e3d4 d6f4 c3d5 f4h2 g1h1 c7b8 d4f6 b7d5 f6c3 h2f4 e4d5 f4c1 d5e6 d7e6 f1c1 b8b6 c1f1 f7f6 a4a5 b6d6 f1d1 e8e7 d3c4 d6c6 c4d5 c6c8 d5a8 c8a8 c3b4 e7f7 d1d7 f7g6 e2g4 g6h6 g4g7 h6h5 d7d3
St Ingbert op,St Ingbert,1994.??.??,2,"Jakovenko, Dmitrij","Passaier, H.",1-0,,,B09,e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 f2f4 f8g7 g1f3 e8g8 f1d3 c7c5 d4c5 d6c5 c1e3 b8c6 e3c5 d8a5 c5g1 f6h5 g1e3 g7c3 b2c3 a5c3 e3d2 c3c5 d1e2 c8g4 d2e3 c5c3 e1f2 g4f3 e2f3 c6d4 e3d4 c3d4 f3e3 f8d8 e3d4 d8d4 f2e3 a8d8 h1d1 h5f6 e4e5 f6e4 d3e2 d4d1 a1d1 d8d1 e2d1 e4c5 e3d4 c5e6 d4e4 g8f8 d1g4 e6c7 g4c8 b7b6 e5e6 f7f5 e4e5 f8e8 c8d7 e8d8 a2a3 c7a6 e5d5 d8c7 h2h3 a6c5 d7b5 c5e4 d5e5 e4f6 g2g3 c7b7 b5e2 h7h5 e2f3 b7a6 c2c4 a6a5 f3c6 a5a6 e5d4 a6a5 h3h4 a5a6 c4c5 a6a5 c6d7 b6c5 d4c5 f6e4 c5c6 e4f6 c6c7 f6d5 c7b7 a7a6 d7e8
