Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Wch U14,Cannes,1997.??.??,1,"Jobava, Baadur","Leal, Joao Victor",1-0,,,A76,d2d4 g8f6 c2c4 c7c5 d4d5 g7g6 b1c3 f8g7 g1f3 d7d6 e2e4 e7e6 f1e2 e6d5 c4d5 e8g8 e1g1 f8e8 d1c2 b8a6 f3d2 a6b4 c2d1 b7b6 f1e1 c8a6 e2a6 b4a6 d2c4 d8d7 a2a4 f6g4 c3b5 g7f8 b5d6 f8d6 c4d6 d7d6 d1g4 d6d5 c1g5 d5e5 g4h4 e8e6 a1d1 e5b2 f2f4 c5c4 f4f5 e6c6 e4e5 c4c3 g5h6 a8e8 h4e7 c6c8 e7f6
Wch U14,Cannes,1997.??.??,2,Zhang Zhuoya,"Jobava, Baadur",1/2-1/2,,,E60,d2d4 g8f6 c2c4 g7g6 g1f3 f8g7 g2g3 e8g8 f1g2 d7d6 e1g1 b8d7 d1c2 e7e5 d4e5 d6e5 f1d1 d8e7 e2e4 d7c5 b1c3 c8g4 c1e3 c7c6 b2b3 f8d8 h2h3 g4f3 g2f3 c5e6 c3e2 b7b6 a2a3 d8d1 c2d1 a8d8 d1c2 e6d4 e3d4 e5d4 a1d1 f6d7 f3g2 d7e5 e2d4 e7d7 f2f4 e5g4 h3g4 g7d4 g1f1 d7g4 d1d3 c6c5 c2e2 g4e6 e4e5 d8e8 g2d5 e6f5 d5e4 f5h3 e2g2 h3h5 g2h1 h5g4 h1f3 g4h3 f3g2 h3c8 e4b7 c8b8 b7c6 e8e7 a3a4 b8c8 c6d5 g8g7 g2f3 h7h5 f1g2 c8d7 d5c6 d7c8 c6d5 a7a6 d5a8 f7f6 e5f6 d4f6 d3d2 h5h4 g3h4 f6h4 a8e4 e7f7 d2d6 f7f6 d6f6 h4f6 f3g3 c8e8 e4d3 e8f7 g3g4 f7b7 g4f3 b7d7 f3g3 d7c6 g3f3 c6d7 f3g3 d7e6 g3f3 e6d6 f3g3 f6d8 f4f5 d6g3 g2g3 g6g5 g3f3 g7f6 f3e4 g5g4 e4f4 g4g3 f4g3 f6e5 g3f3 e5d4 d3e4
Wch U14,Cannes,1997.??.??,3,"Jobava, Baadur","Nunez, Daniel",1-0,,,E69,d2d4 d7d6 c2c4 g8f6 b1c3 g7g6 g1f3 f8g7 g2g3 e8g8 f1g2 c7c6 e2e4 d8c7 e1g1 e7e5 h2h3 b8d7 c1e3 f8e8 f1e1 e5d4 f3d4 d7c5 d1c2 a7a5 a1d1 c8d7 f2f4 e8e7 d4b3 c5a6 c4c5 d6d5 e4e5 f6e8 c2d2 d7e6 c3a4 a6b8 a4b6 a8a7 b3a5 h7h5 b2b4 b8d7 a5b3 f7f6 b4b5 c7d8 b5c6 b7c6 b3d4 d7b8 d4e6 e7e6 e3d4 f6e5 d4e5 g7e5 f4e5 d8e7 d2f2 a7a5 b6d5 c6d5 g2d5 e8c7 d5b3 g8g7 d1d6 b8d7 b3e6 c7e6 f2d2 a5a7 c5c6 d7c5 d2f2 a7a3 e1f1 e7g5 f2f6 g5f6 f1f6 e6c7 f6g6 g7h7 g6h6 h7g7 d6g6 g7f7 g6f6 f7g7 h6g6 g7h7 g6g5 c5e4 f6f7 h7h6 g5g8 c7d5 c6c7
Wch U14,Cannes,1997.??.??,4,"Neiksans, Arthur","Jobava, Baadur",1-0,,,B84,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f1e2 e7e6 e1g1 b8d7 f2f4 b7b5 e2f3 c8b7 e4e5 b7f3 d4f3 d6e5 f4e5 f6g4 d1e1 f8c5 g1h1 h7h5 h2h3 d8c7 h3g4 h5g4 f3h2 f7f5 c1f4 e8c8 a1d1 d8g8 c3d5 c7b7 b2b4 c5f8 e1c3 c8b8 h1g1 b7c8 c3d4 b8b7 d5e7 f8e7 d4d7 c8c7 d7e6 g8d8 e6f5 c7b6 g1h1 b6f2 d1d7
Wch U14,Cannes,1997.??.??,5,"Jobava, Baadur",Lim Chuin Hoong,1-0,,,E68,d2d4 g8f6 c2c4 d7d6 b1c3 g7g6 g1f3 f8g7 g2g3 e8g8 f1g2 b8d7 e1g1 e7e5 e2e4 f8e8 h2h3 e5d4 f3d4 d7c5 f1e1 a7a5 d1c2 f6d7 c1e3 d7e5 c2e2 c7c6 a1d1 d8e7 f2f4 e5d7 e3f2 a5a4 e2f1 e7d8 d4e2 d8a5 f2d4 g7d4 d1d4 c5e6 d4d2 a5c5 f1f2 c5c4 d2d6 c4b4 e1d1 e6f8 d1d2 d7b6 e4e5 c8e6 c3e4 g8h8 d6d4 b4e7 e4d6 e8d8 d4b4 b6d5 b4b7 d8d7 b7d7 e7d7 e2c3 a8a5 c3e4 d7e7 g3g4 e7a7 f4f5 a7f2 d2f2 g6f5 g4f5 e6d7 d6f7 h8g7 e5e6 f8e6 f5e6 d7e6 f7d8 e6g8 d8c6 a5a6 c6d4 d5e3 f2e2
Wch U14,Cannes,1997.??.??,6,"Jobava, Baadur","Miton, Kamil",1/2-1/2,,2280,A86,d2d4 f7f5 g2g3 g8f6 f1g2 g7g6 g1h3 f8g7 h3f4 e8g8 c2c4 d7d6 d4d5 b8a6 b1c3 a6c5 e1g1 e7e5 d5e6 c7c6 c1e3 c5e6 d1b3 d8e7 a1d1 f6g4 e3c1 g4e5 f1e1 e6f4 g3f4 e5g4 h2h3 g4f6 b3b4 c8e6 e2e4 e7f7 b4d6 f5e4 c3e4 f6e4 e1e4 f8e8 b2b3 g7f6 d6b4 e8d8 e4e1 e6f5 c1e3 d8d7 g1h2 a8d8 d1d7 f7d7 e1e2 d7e7 e2d2 d8d2 b4d2 a7a6 c4c5 e7d7 d2b4 f5e6 b4b6 g8f7 g2f1 e6d5 b6a7 d5e6 a7b8 d7c8 b8a7 c8d7 b3b4 f6d8 a2a3 d8c7 a7a8 d7e8 a8e8
Wch U14,Cannes,1997.??.??,7,"Drozdovsky, Yuri","Jobava, Baadur",1-0,,,A57,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 g1f3 b5c4 b1c3 d7d6 e2e4 c8a6 f3d2 g7g6 f1c4 a6c4 d2c4 f8g7 e1g1 e8g8 f2f4 f6d7 d1e2 d7b6 c4b6 d8b6 e4e5 d6e5 f4e5 b8d7 c1f4 e7e6 a1d1 a8b8 d5e6 b6e6 d1d6 e6e8 e5e6 f7e6 d6e6 e8f7 e6e7 g7d4 g1h1 f7f5 g2g4 f5f6 e2c4 g8h8 e7d7 b8b4 c4d5 b4b2 c3e4 b2b7 d7h7 h8h7 e4f6
Wch U14,Cannes,1997.??.??,8,"Jobava, Baadur","Cernousek, Lukas",1-0,,,D18,d2d4 d7d5 c2c4 c7c6 b1c3 g8f6 g1f3 d5c4 a2a4 c8f5 e2e3 e7e6 f1c4 f8b4 e1g1 b8d7 f3h4 f5g4 f2f3 g4h5 g2g4 h5g6 h4g6 h7g6 d1c2 b4d6 f1f2 d8e7 a4a5 f6d5 c3e4 d6c7 a5a6 d5b4 a6b7 a8b8 c2a4 b8b7 c1d2 e8g8 a1c1 f8c8 a4a3 c8b8 c4a6 b7b6 d2b4 b6b4 c1c6 e7d8 f2c2 b4b3 a3a2 c7h2 g1h2 d8h4 h2g2 b3e3 c6c8 b8c8 c2c8 g8h7 c8c1 e3e1 c1e1 h4e1 a2c4 d7b6 c4c7 b6d5 c7h2 h7g8 h2b8 g8h7 e4g5
Wch U14,Cannes,1997.??.??,9,"Smerdon, David","Jobava, Baadur",1/2-1/2,,,B22,e2e4 c7c5 c2c3 d7d6 d2d4 g8f6 f1d3 g7g6 g1f3 f8g7 e1g1 e8g8 h2h3 b8d7 c1e3 b7b6 b1d2 c8b7 d1e2 e7e5 a2a4 d8c7 b2b4 d6d5 f3e5 d7e5 d4e5 d5e4 e5f6 e4d3 e2d3 g7f6 b4c5 a8d8 d3c4 b6c5 d2e4 b7e4 c4e4 f6c3 a1c1 c7a5 e4c4 c3d4 e3d4 c5d4 f1d1 f8e8 c4b5 a5b5 a4b5 e8e5 c1c7 e5b5 c7a7 b5d5 f2f3 g8g7 g1f2 g6g5 a7a6 f7f6 d1d3 g7g6 g2g4 d8c8 d3d2 c8c3 a6a4 d5b5 a4d4 b5b3 f3f4 c3f3 f2e2 g5f4 h3h4 f3h3 d4f4 h3h4 e2f1 b3b1 f1g2 h4h1 d2f2 b1g1 g2f3 h1h6 f3e2 g6g7 f2f1 g1g2 f1f2 g2g3 f2f3 g3g2 f3f2 g2g1 f2f1 g1f1 f4f1 h6h3 e2f2 g7g6 f2g2 h3e3 f1f3 e3e5 f3a3 g6g5 g2g3 e5e4 a3a5 e4e5 a5a3 h7h6 a3b3 g5g6 g3f4 e5g5 b3b8
Wch U14,Cannes,1997.??.??,10,"Jobava, Baadur","Manesh Chandran, P.",1-0,,,E06,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8a6 d1a4 f8e7 f1g2 c7c6 b1c3 e8g8 e1g1 d7d5 f3e5 a6b7 c1f4 b8d7 f1d1 d7e5 f4e5 f6d7 e5f4 f7f5 a1c1 g8h8 c1c2 d7f6 f4e5 f6g4 c4d5 c6d5 c3b5 g4e5 d4e5 e7c5 b2b4 b7c6 b4c5 a7a6 c5b6 d8b6 a4d4 b6b5 d1c1 b5a4 d4b6 c6d7 b6d6 a8e8 e2e3 d7b5 g2f1 b5f1 g1f1 e8d8 d6e6 d5d4 e6c4 a4c4 c2c4 d4e3 f2e3 f8e8 c4c5 g7g6 f1e2 d8b8 c1c2 b8b4 c5a5 e8e6 a5d5 h8g7 e2d3 b4e4 c2c5 g7h6 c5a5 h6h5 h2h3 h5g5 d3e2 e6c6 d5d4 c6e6 d4d5 e6c6 d5d4 c6e6 d4e4 f5e4 e2d2 e6c6 g3g4 h7h5 g4h5 g6h5 e5e6 g5f6 a5h5 c6d6 d2e2 d6b6 h5h6 f6e7 h6h7 e7e8 e2f2 b6e6 h7h4 e8f7 f2g3 e6e5 a2a4 f7g6 h4f4 g6g5 h3h4 g5h5 g3h3 h5g6 h3g4 g6h7 h4h5 h7g7 f4f5 e5e6 g4g5 e6e7 a4a5 e7c7 f5e5 c7c1 g5f5 g7h6 f5e4 c1a1 e5e6 h6h5 e6a6 h5g5 e4e5 a1b1 a6b6 b1a1 a5a6 a1a5 e5d6 a5f5 a6a7
