Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
IBM-B,Amsterdam,1978.??.??,1,"Hartoch, Robert G","Jussupow, Artur",1-0,2405,2450,A11,g2g3 d7d5 g1f3 g8f6 f1g2 c7c6 e1g1 c8g4 c2c4 b8d7 c4d5 c6d5 d2d4 e7e6 c1f4 d8b6 d1b3 a8c8 b1c3 f8e7 f1c1 e8g8 f3e5 d7e5 b3b6 a7b6 f4e5 f6d7 e5f4 c8c4 h2h3 g7g5 g2d5 c4c3 c1c3 g4h3 d5b7 g5f4 g3f4 h3f5 c3c7 f8d8 a1c1 g8f8 e2e4 f5g6 c7c8 d7f6 f2f3 f6h5 f4f5 e6f5 e4e5 h5f4 c8d8 e7d8 c1c8 f8e7 d4d5 f4d3 f3f4 d3f4 b7c6 f4d5 c6d5 e7d7 c8c6 d8c7 g1g2 g6h5 a2a4 f5f4 c6f6 c7e5 f6b6 h5d1 a4a5 e5d4 b6b7 d7d6 d5f3
IBM-B,Amsterdam,1978.??.??,2,"Jussupow, Artur","Ligterink, Gert",1/2-1/2,2450,2440,E81,e2e4 d7d6 d2d4 g8f6 f2f3 g7g6 c2c4 c7c5 d4d5 f8g7 b1c3 e8g8 c1g5 e7e6 d1d2 e6d5 c3d5 c8e6 g1e2 e6d5 c4d5 b8d7 e2c3 a7a6 a2a4 d8c7 f1e2 c5c4 e1g1 b7b5 a4b5 a6b5 g5e3 c7b7 f1b1 f8c8 b2b4 f6e8 e3d4 e8c7 f3f4 a8a1 b1a1 c8a8 a1a8 b7a8 d4g7 g8g7 d2d4 f7f6 e2g4 a8a1 g1f2 a1b2 f2g3 d7b6 g4f3 b6a4 d4a7 a4c3 a7c7 g7g8 c7d8 g8g7 d8e7 g7g8 e7e6 g8g7 e6e7 g7g8 e4e5 f6e5 e7e6 g8g7 e6e7 g7g8 e7e6 g8g7 f4e5 c3e2 f3e2 b2e2 e6f6 g7g8 f6d8 g8g7 d8f6 g7g8 e5d6 e2e3 g3h4 e3e4 h4h3 e4d5 f6d8 g8g7 d8e7 d5f7 e7c7 g7f6 d6d7 f7e6
IBM-B,Amsterdam,1978.??.??,3,"Rodriguez, Amador","Jussupow, Artur",0-1,2470,2450,B33,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 d4b5 d7d6 c1f4 e6e5 f4g5 a7a6 b5a3 b7b5 g5f6 g7f6 c3d5 f6f5 c2c3 f8g7 e4f5 c8f5 a3c2 e8g8 c2e3 f5e6 g2g4 b5b4 c3b4 a8b8 a2a3 a6a5 b4b5 c6d4 a3a4 f7f5 g4f5 e6d5 e3d5 f8f5 d1g4 e5e4 d5e3 d4f3 e1d1 f5e5 f1g2 d8b6 g2f3 b6d4 d1e1 d4b2 a1d1 e4f3 g4f3 b2c3 e1e2 c3c4 d1d3 c4a2 d3d2 a2a4 h1d1 a4b5 e2e1 b8f8 f3e2 b5c6 d2d6 c6h1 e1d2 h1b7 d2e1 e5g5 e2c4 g8h8 d6d5 b7f7 f2f4 f7e7 e1f2 g5d5 d1d5 e7h4 f2g2 h4e1 e3f5 f8b8 f5g7 b8b2 g2h3 e1e3 h3g4 e3g1 g4f5 g1g6 f5e5 g6g7 e5e4 g7g6 e4e5 g6e8 e5f5 e8f7 f5g4 f7e6 g4g3 e6g8 g3h3 g8e6 h3g3 e6g8 g3h3 g8g2 h3h4 g2h2 h4g4 h2g2 g4f5 g2g6 f5e5 g6e8 e5f5 e8g6 f5e5 b2b8 d5d6 g6g7 e5e4 g7e7 d6e6 e7b4 c4d4 h8g8 e6d6 b4d4 e4d4 b8a8 d4e5 a5a4 d6d2 a4a3 d2a2 g8f7 e5f5 a8a5 f5e4 f7f6 e4e3 f6f5 a2g2 a5a7 g2a2 a7a4
IBM-B,Amsterdam,1978.??.??,4,"Jussupow, Artur","De Roode, Peter",1-0,2450,2200,E81,c2c4 g8f6 b1c3 g7g6 e2e4 d7d6 d2d4 f8g7 f2f3 e8g8 c1g5 c7c5 d4d5 e7e6 d1d2 e6d5 c3d5 c8e6 g1e2 e6d5 c4d5 f8e8 e2c3 a7a6 a2a4 b8d7 f1e2 d8c7 e1g1 a8b8 g1h1 c5c4 f1c1 b7b5 a4b5 a6b5 b2b4 f6e4 f3e4 g7c3 c1c3 e8e4 e2f3 e4e8 h2h4 f7f6 g5e3 b8a8 c3a3 c4c3 d2c1 a8a3 a1a3 c3c2 f3e2 e8e4 e2b5 e4h4 h1g1 h4b4 a3a7 c7a7 e3a7 b4b1 a7e3 d7c5 b5c4 g6g5 g1f2 b1c1 e3c1 h7h5 f2e3 h5h4 e3d2 g5g4 d2c2 h4h3 g2h3 g4h3 c1f4 g8f7 c4f1 f7e7 f1h3 c5e4 h3f5 e4c5 c2c3 c5a6 c3c4 a6c7 f4e3 c7e8 f5g6 e8c7 e3b6 c7a6 c4b5 a6b8 g6f5
IBM-B,Amsterdam,1978.??.??,5,"Van der Sterren, Paul","Jussupow, Artur",0-1,2400,2450,A45,d2d4 g8f6 c1g5 c7c5 d4d5 f6e4 g5f4 d8b6 d1c1 g7g5 f4e5 f7f6 e5g3 f8g7 c2c3 f6f5 e2e3 e8g8 b1d2 e4g3 h2g3 b6f6 c1c2 d7d6 g1f3 e7e5 g3g4 e5e4 f3h2 h7h5 g4f5 c8f5 e1c1 g5g4 d2e4 f6g6 f2f3 g4g3 f1d3 g3h2 c2e2 b8d7 h1h2 d7e5 d3c2 c5c4 c1b1 e5d3 e4d2 d3b2
IBM-B,Amsterdam,1978.??.??,6,"Jussupow, Artur","Kirov, Nino",1/2-1/2,2450,2465,A16,c2c4 g8f6 b1c3 d7d5 c4d5 f6d5 g2g3 g7g6 f1g2 d5c3 b2c3 f8g7 a1b1 b8d7 g1f3 e8g8 e1g1 d7b6 f3g5 a8b8 g5e4 c8e6 d1c2 e6d5 d2d3 h7h6 c3c4 d5c6 c1b2 e7e5
IBM-B,Amsterdam,1978.??.??,7,"Janosevic, Dragoljub","Jussupow, Artur",0-1,2455,2450,B33,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 d4b5 d7d6 c1f4 e6e5 f4g5 a7a6 b5a3 b7b5 c3d5 f8e7 g5f6 e7f6 f1e2 e8g8 e1g1 f6g5 c2c3 c6e7 c3c4 e7d5 d1d5 c8e6 d5d3 b5b4 a3c2 d8b6 b2b3 a6a5 a2a3 b4a3 a1a3 a8b8 c2e3 b6c5 f1a1 g5d8 e2g4 d8b6 a3a2 g7g6 a1d1 b8d8 e3d5 e6g4 d5f6 g8g7 f6g4 f7f5 e4f5 f8f5 d3d5 d8f8 d5c5 b6c5 d1e1 f5f7 g4e3 h7h5 g2g3 f8b8 e1b1 f7b7 a2a5 b7b3 b1b3 b8b3 a5b5 b3d3 b5b7 g7f6 e3d5 f6f5 g1g2 d3d2 b7f7 f5e4 h2h4 e4d3 d5e7 e5e4 g2f1 d2d1 f1g2 d1d2 g2f1 d3c4 e7g6 c5d4 g6f8 d6d5 f8e6 d4b6 f7f4 c4c3 f4f5 c3c2 e6g5 c2d1 g5h3 d5d4 f5b5 b6c7 b5b1 d1c2 b1b7 c7a5 h3g5 d2d1 f1g2 d1e1 g5e6 a5c3 b7c7 d4d3 e6d4 c2b2 c7b7 b2a2 b7a7 a2b1 d4b5 b1b2 b5c3 b2c3 a7c7 c3b3 c7d7 b3c2 d7c7 c2d1 g3g4 h5g4 h4h5 d1e2 h5h6 e1f1 c7e7 f1f2 g2g3 e4e3
IBM-B,Amsterdam,1978.??.??,8,"Jussupow, Artur","Balshan, Amikam",1-0,2450,2415,A40,c2c4 b7b6 d2d4 e7e6 c1f4 c8b7 e2e3 d7d6 g1f3 b8d7 b1c3 g8f6 h2h3 g7g6 f1e2 f8g7 e1g1 e8g8 f4h2 d8e7 a1c1 f6e8 b2b4 f7f5 d1b3 a7a5 c4c5 a5b4 c5d6 c7d6 b3b4 g6g5 f3e5 f5f4 e5d7 e7d7 b4b6 f4f3 g2f3 f8f3 d4d5 g5g4 h3g4 f3h3 g1g2 h3h6 e2f3 e6d5 c3d5 g8h8 c1c7 e8c7 b6b7 a8a4 b7c7 a4g4 h2g3 d7c7 d5c7 g4a4 f3d5 g7e5 c7e6 h6g6 f2f4 e5f6 f1b1 a4a5 b1b8 g6g8 b8g8 h8g8 e3e4 g8f7 g3e1 a5a7 e1b4 f6e7 a2a4 f7g6 a4a5 h7h5 f4f5 g6h6 b4d2 h6h7 d2c3 e7h4 g2h3 h4f2 f5f6 h7h6 a5a6 f2b6 d5b7 h6g6 e6f4
IBM-B,Amsterdam,1978.??.??,9,"Bohm, Hans","Jussupow, Artur",1/2-1/2,2410,2450,A45,d2d4 g8f6 c1g5 c7c5 d4d5 f6e4 g5f4 d8b6 f4c1 e7e6 f2f3 e4f6 d5e6 f7e6 e2e4 b8c6 b1c3 f8e7 f3f4 e8g8 e4e5 f6d5 c3d5 e6d5 d1d5 g8h8 c2c3 d7d6 e5e6 e7h4 e1d1 c8e6 d5e6 a8e8 e6c4 d6d5 c4b5 e8e1 d1c2 b6b5 f1b5 h4f2 a1b1 e1g1 h1g1 f2g1 h2h3 f8e8 c1d2 g1h2 b2b3 a7a6 b5d3 b7b5 a2a4 c5c4 b3c4 b5c4 d3f5 c6a5 b1b6 a5b3 b6a6 g7g6 f5g4 b3d2 c2d2 h2f4 d2c2 e8e3 a6a5 e3d3 g4f3 d3d2 c2b1 d5d4 a5d5 d4c3 d5d2 c3d2 a4a5
IBM-B,Amsterdam,1978.??.??,10,"Borm, Franciscus WM","Jussupow, Artur",0-1,2260,2450,B45,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 f1e2 f8b4 d1d3 e8g8 e1g1 b4c3 b2c3 d7d5 e4d5 e6d5 c1f4 f8e8 a1e1 c8d7 e2f3 d8a5 h2h3 a5a2 e1a1 a2c4 d3c4 d5c4 d4b5 e8f8 b5d6 d7e6 f1d1 a8d8 d6b7 d8d1 a1d1 c6e7 f4e5 f6d5 b7a5 f8c8 e5d4 h7h6 d1b1 a7a6 b1b7 e7f5 b7a7 f5d4 c3d4 c4c3 f3d5 e6d5 a7a6 d5e4 f2f3 e4c2 a6c6 c8c6 a5c6 c2b3 c6b4 c3c2 b4d3 b3c4 d3c1 f7f6 g1f2 g8f7 g2g3 f7e6 f2e3 e6d5 h3h4 f6f5 h4h5 c4b5
