Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Dubna,Dubna,1979.??.??,?,"Kaidanov, Grigory S","Plachetka, Jan",1/2-1/2,,2445,B89,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 b1c3 d7d6 f1c4 g8f6 c4b3 f8e7 c1e3 e8g8 d1e2 a7a6 e1c1 d8c7 h1g1 b7b5 g2g4 b5b4 d4c6 b4c3 c6e7 c7e7 e3d4 c8b7 e4e5 f6e4 e5d6 e7d6 e2e3 c3b2 d4b2 d6e7 g4g5 f8c8 h2h4 e7c5 d1d4 c5f5 h4h5 e4c5 b3c4 b7e4 g5g6 f7f6 g6h7 g8h7 e3g3 a8a7 g3g6 h7h8 g6f5 e4f5 h5h6 e6e5 d4d6 c5e4 d6a6 a7c7 h6g7 c7g7 g1g7 h8g7 c4d3 f5g6 f2f3 e4c5 a6a7 g7h6 d3g6 h6g6 c1d2 g6f5 a2a4 f5f4 a7f7 f6f5
Dubna,Dubna,1979.??.??,?,"Kaidanov, Grigory S","Razuvaev, Yuri S",0-1,,2470,C02,e2e4 c7c5 c2c3 e7e6 d2d4 d7d5 e4e5 b8c6 g1f3 c8d7 f1d3 a8c8 a2a3 g8e7 e1g1 e7g6 g2g3 c5d4 c3d4 f7f6 f1e1 f8e7 e5f6 e7f6 b1c3 e8g8 c1e3 d7e8 h2h4 h7h6 d1c2 g6e7 g3g4 e6e5 d4e5 f6e5 d3e2 e8g6 c2d1 d5d4 f3e5 d4e3 e5f3 e3f2 g1f2 d8b6 f2g3 c8d8 e2c4 g8h8 d1e2 b6c7 g3h3 f8f4 h4h5 f4g4 e1g1 g4g1 a1g1 g6h5 e2e4 h5f3 e4f3 c6e5 f3g3 e7f5 g3f4 c7c4 f4f5 c4d3
Dubna,Dubna,1979.??.??,?,"Kaidanov, Grigory S","Suetin, Alexey S",0-1,,2535,C02,e2e4 c7c5 g1f3 e7e6 c2c3 d7d5 e4e5 b8c6 d2d4 d8b6 f1d3 c8d7 d4c5 f8c5 e1g1 a7a5 b1d2 f7f6 d1e2 f6e5 f3e5 c6e5 e2e5 g8f6 d2f3 e8g8 e5e2 c5d6 f3e5 b6c7 f1e1 a8e8 c1g5 d7c8 g5h4 f6d7 e2h5 d7f6 h5e2 g7g6 d3b5 e8e7 c3c4 c7b6 a1c1 e7c7 a2a4 f6e4 e5f3 d6c5 e1f1 c7f7 e2d3 f7f5 c4d5 e6d5 d3c2 g6g5 h4g5 c5f2 f1f2 f5g5 g1f1 c8g4 b5d3 g4f3 g2f3 e4f2 c2f2 b6f6 c1c7 f6f3 d3h7 g8h8 f2f3 f8f3 f1e2 f3h3
Dubna,Dubna,1979.??.??,?,"Kaidanov, Grigory S","Lukacs, Peter",1-0,,2420,C54,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d3 d7d6 c4b3 c5b6 e1g1 e8g8 c1g5 h7h6 g5h4 g7g5 f3g5 h6g5 h4g5 g8g7 d1f3 f8h8 g1h1 d8e7 f3g3 h8h6 g5h6 g7h6 b3d1 c8d7 b1d2 a8g8 g3h4 h6g7 d2c4 f6g4 h4e7 c6e7 c4b6 a7b6 h2h3 g4h6 d1b3 g8h8 f2f4 e5f4 f1f4 e7g6 f4f1 f7f5 e4f5 h6f5 h1h2 g6e5 d3d4 e5g4 h2g1 g4f6 f1f3 f5e7 a1f1 h8f8 g2g4 d7c6 f3f2 e7g6 g1h2 f6h7 f2f7 g7h6 f7f8 h7f8 h2g3 f8h7 h3h4 h6g7 f1f7
URS-ch sf,Irkutsk,1983.??.??,?,"Chekhov, Valery A","Kaidanov, Grigory S",1/2-1/2,2510,2345,D85,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 f8g7 g1f3 c7c5 a1b1 e8g8 f1e2 d8a5 b1b5 a5c3 c1d2 c3a3 b5a5 a3b2 a5c5 b2a2 d1c1 b8c6 e2c4 a2a4 c4b5 a4a2 b5c4 a2a4 c4b5 a4a2 b5c4 a2a4
URS-ch sf,Irkutsk,1983.??.??,?,"Bykhovsky, Avigdor","Kaidanov, Grigory S",1/2-1/2,2445,2345,E04,c2c4 g8f6 g1f3 e7e6 d2d4 d7d5 g2g3 d5c4 f1g2 a7a6 f3e5 c7c5 b1a3 c5d4 a3c4 a8a7 c1d2 b7b6 d1b3 c8b7 g2b7 a7b7 c4a5 b7c7 b3b6 f8c5 b6b3 e8g8 e1g1 d8d5 b3d5 f6d5 f1c1 f8c8 e5d3 c5b6 c1c7 c8c7 a1c1 c7c1 d3c1 g8f8 a5c4 b6a7 c1d3 f8e7 d3b4 d5b4 d2b4 e7d8 g1g2 b8c6 b4f8 g7g6 f2f4 f7f6 g2f3 c6b8 f3e4 d8d7 c4a5 b8c6 a5c6 d7c6 f8g7 f6f5 e4e5 c6d7 g7f8 d4d3 e2d3 a7g1 h2h3 g1f2 g3g4 f5g4 h3g4 h7h5 g4h5 g6h5 e5e4 f2g1 b2b4 d7c6 f8e7 g1f2 a2a4 f2e1 e4f3 e1c3 f3g3 c3e1 g3h3 e1f2 h3g2 f2e1 g2f3 e1c3 f3e4 c3e1 f4f5 e6f5 e4f5 c6d5 b4b5 a6b5 a4b5 e1a5 e7f6 d5c5
URS-ch sf,Irkutsk,1983.??.??,?,"Chernin, Alexander","Kaidanov, Grigory S",1-0,2475,2345,A13,c2c4 e7e6 g2g3 d7d5 f1g2 g8f6 g1f3 d5c4 d1a4 b8d7 a4c4 c7c5 c4b3 a8b8 d2d3 f8d6 f3d2 e8g8 d2c4 d6c7 a2a4 d7e5 b1a3 c8d7 c4e5 c7e5 e1g1 d8e7 c1d2 f8c8 d2c3 e5c3 b2c3 e6e5 c3c4 d7c6 a3b5 c6g2 g1g2 b7b6 f2f3 f6e8 f1b1 a7a6 b5c3 e8c7 b1b2 e7e6 a1b1 a6a5 c3d5 c7a6 b3b6 b8b6 b2b6 e6e8 b6a6 h7h5 a6a5 g8h7 a5a7 e8e6 b1b6 c8c6 a4a5 e6h6 a7f7 h5h4 b6c6 h4h3 g2f2 h6c6 f7f5 c6a4 f5e5 a4a5 e5h5 h7g6 h5h3 a5a1 h3h4 g6f7 h4f4 f7e6 f2g2 a1e1 f4e4 e6f7 h2h4 e1d2 d5f4
URS-ch sf,Irkutsk,1983.??.??,?,"Kaidanov, Grigory S","Kharitonov, Andrei Y",1/2-1/2,2345,2430,D60,d2d4 d7d5 g1f3 g8f6 c2c4 e7e6 c1g5 f8e7 b1c3 b8d7 e2e3 e8g8 c4d5 f6d5 c3d5 e6d5 g5e7 d8e7 a1c1 c7c6 f1e2 d7f6 e1g1 c8g4 a2a3 f6e4 f3d2 g4e2 d1e2 e4d2 e2d2
URS-ch sf,Irkutsk,1983.??.??,?,"Kaidanov, Grigory S","Pigusov, Evgeny",1/2-1/2,2345,2430,D35,d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c4d5 e6d5 c1g5 f8e7 e2e3 e8g8 f1d3 b8d7 d1c2 f8e8 g1f3 d7f8 e1g1 a7a6 a2a3 c7c6 h2h3 c8e6 b2b4 a6a5 b4b5 c6c5 d4c5 e7c5 f3d4 a8c8 c2b3 c5d4 e3d4 h7h6 g5e3 d8d6 c3e2 d6d7 e2f4 e6f5 a1c1 f5e4 d3e2 f8g6 f4g6 e4g6
URS-ch sf,Irkutsk,1983.??.??,?,"Kaidanov, Grigory S","Polovodin, Igor A",1/2-1/2,2345,2435,E05,d2d4 d7d5 c2c4 e7e6 g1f3 g8f6 g2g3 f8e7 f1g2 e8g8 e1g1 d5c4 d1c2 a7a6 a2a4 c8d7 f1d1 d7c6 b1c3 c6f3 g2f3 b8c6 f3c6 b7c6 a4a5 a8b8 c2a4 e7b4 c3a2 b4e7 a2c3 e7b4 c3a2 b4e7 a2c3 e7b4
