Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Kautsky mem9,Prague,1934.??.??,12,"Opocensky, Karel","Karjakin, Sergei",0-1,,,D02,d2d4 d7d5 g1f3 c7c6 e2e3 e7e6 f1d3 b8d7 b1d2 f7f5 c2c4 d8f6 a1b1 a7a5 b2b3 f8d6 c1b2 g8h6 d1c2 e8g8 d2f1 g7g6 f1g3 h6g4 g3e2 g4h6 b2c3 d6c7 b3b4 a5b4 c3b4 f8e8 e2c3 d7b6 e1g1 b6c4 d3c4 d5c4 e3e4 b7b5 a2a4 c8d7 e4e5 f6g7 a4b5 c6b5 d4d5 c7e5 f1e1 h6f7 c2d2 e6d5 c3d5 d7c6 f3e5 f7e5 f2f4 a8d8 d5e7 g7e7 b4e7 d8d2 e1e5 d2g2 g1f1 g2h2 b1b4 e8a8
Kautsky mem12,Prague,1935.??.??,3,"Karjakin, Sergei","Petkevic, B.",1-0,,,A47,d2d4 g8f6 g1f3 e7e6 b1d2 c7c5 e2e3 b8c6 c2c3 b7b6 f1d3 c8b7 d1e2 d7d6 e1g1 d8c7 e3e4 e6e5 d4e5 d6e5 d2c4 g7g6 c1g5 f8g7 c4e3 c6e7 d3b5 b7c6 a1d1 f6e4 g5e7 e8e7 b5c6 e4c3 b2c3 c7c6 f3e5 g7e5 e3d5 e7e6 f2f4
Kautsky mem12,Prague,1935.??.??,9,"Dobias, Josef","Karjakin, Sergei",1-0,,,A83,d2d4 f7f5 e2e4 f5e4 b1c3 g8f6 c1g5 c7c6 g5f6 e7f6 c3e4 d7d5 e4g3 g7g6 f1d3 d8b6 d1e2 e8f7 e1c1 f8h6 c1b1 h8e8 e2f3 b8d7 h2h4 d7f8 h4h5 h6g7 h5g6 h7g6 g1h3 c8h3 h1h3 e8e7 g3e2 g6g5 e2g3 a8e8 c2c3 e7e1 f3h5 f7g8 h3h1 e1d1 h1d1 b6d8 d3g6 e8e7 g3f5 e7d7 d1h1 f8g6 h5g6 d8c7 f5g7
Kautsky mem12,Prague,1935.??.??,10,"Opocensky, Karel","Karjakin, Sergei",1-0,,,A11,g1f3 d7d5 c2c4 c7c6 e2e3 g8f6 b2b4 c8g4 h2h3 g4h5 c4d5 h5f3 d1f3 c6d5 c1b2 d8d6 b1c3 a7a6 f1e2 d6b4 a1b1 b4d6 e3e4 d5e4 c3e4 f6e4 f3e4 b8c6 e1g1 e7e6 b2c3 a8b8 e2f3 f7f6 f1e1 e6e5 e4c4 e8d7 d2d4 b7b5 f3c6 d6c6 c4f7 f8e7 d4e5 b8e8 e5f6 g7f6 c3b4
Keres mem op,Tallin,1998.06.14,1,"Karjakin, Sergei","Miezis, Normunds",1/2-1/2,,2505,A60,d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 f8d6 e2e4 e8g8 g1f3 f8e8 f1d3 d6c7 e1g1 d7d6 h2h3 a7a6 a2a4 b8d7 c1f4 d7f8 d1c2 f8g6 f4h2 a8b8 f1e1 c8d7 a1d1 b7b5 a4b5 a6b5 e4e5 d6e5 d5d6 c7a5 f3e5 b5b4 e5d7 e8e1 d1e1 f6d7 c3d5 b4b3 c2e2 a5e1 d5e7 g8h8 e2e1 b8a8 h2g3 a8a2 d3g6 f7g6 e1e6 a2b2 e7c6 d8a8 e6d7 b2e2 g3e5 e2e5 c6e5 a8a1 g1h2 a1e5 g2g3 h7h5 d7c8 h8h7 d6d7 e5f5 d7d8q f5f2 h2h1 f2f1 h1h2
Keres mem op,Tallin,1998.06.15,2,"Krupenski, Juri","Karjakin, Sergei",1/2-1/2,,,A32,d2d4 g8f6 c2c4 c7c5 g1f3 c5d4 f3d4 e7e6 b1c3 d7d5 g2g3 e6e5 d4f3 d5d4 c3b1 b8c6 f1g2 f8c5 e1g1 e8g8 f3g5 h7h6 g5e4 f6e4 g2e4 c8e6 b2b3 d8d7 c1a3 b7b6 e2e3 a8d8 e3d4 e5d4 a3b2 c6e5 b1d2 f7f5 e4g2 e5d3 d1c2 d3b2 c2b2 a7a5
Keres mem op,Tallin,1998.06.16,3,"Karjakin, Sergei","Koskela, Niina",0-1,,2190,D94,e2e4 g7g6 d2d4 d7d6 c2c4 f8g7 g1f3 g8f6 b1c3 e8g8 f1e2 c7c6 e1g1 d6d5 e4d5 c6d5 c4d5 f6d5 d1b3 d5b6 f1d1 b8a6 c1e3 d8d6 a2a3 c8f5 a1c1 a6c7 d4d5 f8d8 c3b5 c7b5 b3b5 f5d7 b5a5 g7b2 e3c5 d6f4 c1b1 b6a4 c5e7 d8e8 e7g5 f4d6 a5d2 b2c3 d2a2 c3g7 e2c4 a4c3 a2d2 c3d1 d2d1 a8c8 d1b3 b7b5 c4f1 a7a6 g5d2 d7f5 d2b4 d6d7 f1d3 f5g4 f3d2 c8d8 d3e4 g4f5 e4f3 d8c8 b1f1 f5c2 b3a2 c2d3 g2g3 g7h6 f1a1 d7a7 f3g4 c8c2 a2b3 a7d4
Keres mem op,Tallin,1998.06.17,4,"Martonov, Anatoli","Karjakin, Sergei",0-1,,,B22,e2e4 c7c5 c2c3 d7d5 e4d5 d8d5 d2d4 g8f6 g1f3 c8g4 f1e2 e7e6 c1e3 c5d4 c3d4 b8c6 b1c3 f8b4 e1g1 d5d6 a2a3 b4a5 b2b4 a5b6 d1a4 e8g8 f1d1 a8c8 a1c1 f8d8 b4b5 c6e7 e3g5 e7d5 c3d5 d6d5 g5f6 g7f6 h2h3 g4h5 a4b4 c8c1 d1c1 h5f3 e2f3 d5d4 b4e1 d4b2 c1c4 b2d2 e1f1 d2a2 c4g4 g8f8 g4h4 d8d2 f1c4 b6f2 g1h2 a2a1 c4c8 f8e7 c8c7 d2d7 c7d7 e7d7
Keres mem op,Tallin,1998.06.18,5,"Karjakin, Sergei","Raud, Rainer",1-0,,2385,A41,e2e4 g7g6 d2d4 f8g7 g1f3 d7d6 c2c4 c8g4 f1e2 c7c6 e1g1 g4f3 e2f3 d8b6 c1e3 b6b2 b1d2 b2b6 a1b1 b6c7 d1b3 b7b6 c4c5 d6c5 d4c5 b6b5 f1d1 b8d7 f3e2 g8f6 f2f4 e8g8 e2f3 e7e5 f4f5 f8e8 g2g4 g7f8 b1c1 a7a5 g4g5 f6h5 f3h5 g6h5 b3d3 c7a7 d3e2 a5a4 e2h5 b5b4 g1h1 a7b7 d1g1 f8g7 f5f6 g7h8 g5g6
Keres mem op,Tallin,1998.06.19,6,"Svirjov, Igor","Karjakin, Sergei",1-0,2355,,E61,d2d4 g8f6 c2c4 g7g6 g1f3 f8g7 b1c3 e8g8 c1g5 d7d6 e2e3 b8d7 f1e2 h7h6 g5h4 e7e5 d1c2 c7c6 e1g1 g6g5 h4g3 f6h5 d4e5 h5g3 h2g3 d6e5 g3g4 h6h5 c3e4 h5g4 f3g5 f7f5 g5e6 d8h4 g2g3 h4h5 e6f8 d7f8 e4d6 e5e4 c4c5 g7e5 f1d1 c8e6 e2c4 g8g7 c2b3 f8d7 b3b7 a8h8 d6f5 e6f5 d1d7 f5d7 b7d7 g7f6 d7e6 f6g7 e6e7 g7h6 e7e6 h6g7 e6e7 g7h6 a1d1 h8e8 e7f7 h5f7 c4f7 e8b8 b2b3 b8b5 d1c1 b5b8 c1c4
Keres mem op,Tallin,1998.06.20,7,"Karjakin, Sergei","Shevtshenko, Robert",1-0,,,B33,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5 d4b5 d7d6 c1g5 a7a6 b5a3 b7b5 c3d5 f8e7 g5f6 e7f6 c2c3 e8g8 a3c2 f6g5 a2a4 b5a4 c2e3 c8d7 a1a4 a6a5 f1c4 a8b8 b2b3 g8h8 e1g1 g7g6 d1d3 f7f5 f2f3 g5h6 f1d1 d8h4 a4a2 h4d8 e3c2 h6g7 d5e3 f5f4 e3d5 g6g5 b3b4 g5g4 b4b5 c6a7 c2e1 g4g3 d1b1 g3h2 g1h1 g7f6 b5b6 a7c6 d5c7 f6h4 c4d5 h4e1 d5c6 e1h4 c6d7 d8d7 a2a5 h4f2 c7d5 h7h5 a5a7 d7e6 d3e2 f2c5 e2e1 f8g8 e1h4 g8g7 h4h5 h8g8 a7g7 g8g7 b1a1
Keres mem op,Tallin,1998.06.21,8,"Tsiganova, Monika","Karjakin, Sergei",1-0,2305,,A65,d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 e2e4 g7g6 f1d3 f8g7 g1e2 e8g8 e1g1 a7a6 a2a4 b8d7 h2h3 d7e5 d3c2 f6h5 f2f4 e5d7 g2g4 h5f6 e2g3 a8b8 c1e3 b7b5 a4b5 a6b5 d1f3 b5b4 c3d1 d8c7 g4g5 f6e8 e4e5 d6e5 f4f5 f7f6 f5g6 f6g5 g3f5 e5e4 f3h5 e8f6 g6h7 g8h8 h5g5 d7e5 d5d6 c7f7 g5g7 f7g7 f5g7 c8h3 f1f4 h8g7 d1f2 h3e6 a1a7 g7h8 f2e4 f6g4 f4f8 b8f8 e3c5 e5f3 g1h1 f3e1 c5d4
Keres mem op,Tallin,1998.06.22,9,"Karjakin, Sergei","Mueuetnik, Valdo",1/2-1/2,,,B89,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f1c4 e7e6 c4b3 b8c6 c1e3 c6a5 d1e2 f8e7 e1c1 d8c7 g2g4 a5b3 a2b3 f6d7 g4g5 b7b5 h2h4 b5b4 d4f5 b4c3 f5g7 e8d8 e3d4 e6e5 d4c3 e7f8 g7f5 d7c5 b3b4 c5d7 e2h5 c8b7 h1e1 d8e8 f2f4 a8c8 f5h6 d7b6 e1f1 f8h6 h5h6 b6c4 f1f2 c4e3 d1d2 e3g4 h6g7 h8f8 f2g2 f7f5 g5f6 g4f6 f4e5 d6e5 c3e5 c7g7 g2g7 b7e4 d2e2 e4f3 e2e1 f6e4 g7h7 c8c6 c2c3 c6e6 e5d4 f8g8 e1e3 g8g1 c1c2 f3d1 c2d3 g1g2 d3c4 e4d2 c4c5 d2b3 c5d5 b3d4 e3e6 d4e6 d5e6 g2e2 e6d6 e2b2 h7e7 e8d8 e7a7 b2d2 d6c5 d1e2 h4h5 e2h5 a7a6 d8c7 a6a7 c7b8 a7h7 h5f3 c3c4 d2g2 h7e7 f3e2 e7e4 b8b7 b4b5 g2g7 c5b4
