Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
URS-ch U18,Alma-Ata,1991.??.??,?,"Kasimdzhanov, Rustam","Appolonov, Sergei",0-1,,,B40,e2e4 e7e6 d2d3 c7c5 g1f3 b8c6 b1d2 d7d6 g2g3 g7g6 f1g2 f8g7 e1g1 a8b8 c2c3 b7b5 a2a4 a7a6 f1e1 g8e7 d2f1 e8g8 c1g5 b5b4 d1c2 h7h6 g5e3 c8d7 e4e5 d8c7 e5d6 c7d6 f1d2 e7d5 d2c4 d5e3 e1e3 d6c7 a1e1 c6e7 f3e5 b4b3 c2e2 d7a4 e5f7 f8f7 e3e6 b8d8 e6e7 c7e7 e2e7 f7e7 e1e7 d8d3 g2e4 d3d1 g1g2 a4b5 c4e3 d1d6 e4d5 d6d5 e3d5 b5c6 c3c4 g7b2 g2f1 b2d4 e7e1 c6d7 f1e2 a6a5 e2d2 a5a4 d5b6 a4a3 b6d7 a3a2 d7c5 d4c5 d2c3 c5b4 c3b3 b4e1 b3a2 e1f2 a2b3 g8f7 b3c3 f7e6 c3d3 e6e5 d3e2 f2c5 e2f3 e5f5 h2h3 c5d6 g3g4 f5e5 h3h4 d6c5 h4h5
Wch U16,Bratislava,1993.??.??,1,"Kasimdzhanov, Rustam","Komora, Andrej",1-0,,,C18,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 g8e7 a2a3 b4c3 b2c3 c7c5 d1g4 d8c7 f1d3 c5d4 g1e2 b8c6 c3d4 c8d7 e1g1 e8c8 g4g7 h8g8 g7f7 d8f8 f7h5 e7f5 c2c3 d7e8 h5h3 c7g7 e2f4 c6d8 g2g3 e8g6 f4h5 g6h5 h3h5 d8c6 g1h1 f8f7 c1g5 g7f8 g5f6 c6e7 a1b1 f5g7 h5h3 e7f5 b1b3 h7h5 f1b1 c8b8 d3a6 b7b6 a3a4 g7e8 a4a5 e8f6 e5f6 f7f6 a5b6 f5g3 f2g3 f6f2 b6a7 b8a7 a6e2
Wch U16,Bratislava,1993.??.??,2,"Bonstingl, Georg","Kasimdzhanov, Rustam",0-1,,,A05,g1f3 d7d5 g2g3 b7b6 f1g2 e7e6 e1g1 g8f6 d2d3 b8d7 b1d2 c8b7 e2e4 d5e4 f3g5 d7c5 g5e4 f6e4 d3e4 f8e7 f1e1 e8g8 h2h4 a7a5 h4h5 h7h6 d1g4 g8h8 d2f1 c5e4 g2e4 f7f5 g4g6 b7e4 g6e6 e7f6 c1f4 f6b2 a1d1 d8f6 e6b3 a5a4 b3e3 f6f7 f2f3 e4c2 d1d2 a8e8 e3f2 e8e1 d2c2 e1f1 g1f1 a4a3 c2c7 f7a2 f1g2 a2b3 c7c6 a3a2
Wch U16,Bratislava,1993.??.??,3,"Kasimdzhanov, Rustam","Mirzoev, Azer",0-1,,,B70,e2e4 c7c5 b1c3 b8c6 g1e2 g7g6 d2d4 c5d4 e2d4 f8g7 d4b3 g8f6 f1e2 e8g8 e1g1 d7d6 c1g5 c8d7 f1e1 a8c8 e2f1 f8e8 c3d5 f6d5 e4d5 c6e5 c2c3 b7b5 d1d2 a7a5 a2a3 d8b6 g5e3 b6c7 e3d4 c8b8 a1d1 e5c4 d2c1 g7f8 b3d2 f8h6 f1c4 b5c4 d4e3 h6g7 d2e4 b8b5 a3a4 b5b3 e3d4 d7a4 e4f6 e7f6
Wch U16,Bratislava,1993.??.??,4,"Asrian, Karen","Kasimdzhanov, Rustam",0-1,,,B83,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 b1c3 d7d6 f1e2 g8f6 e1g1 f8e7 c1e3 e8g8 f2f4 e6e5 f4e5 d6e5 d4f5 c8f5 f1f5 d8a5 g1h1 a8d8 d1e1 c6d4 e3d4 d8d4 e2d3 g7g6 f5f1 g8g7 c3b5 a5e1 a1e1 d4d7 e1e2 e7c5 b5c3 c5d4 c3d1 f8c8 b2b3 a7a6 a2a4 c8c5 b3b4 c5c7 d1e3 d7d6 b4b5 d4e3 e2e3 f6d7 e3f3 d7c5 d3c4 f7f6 c4d5 c5a4 b5a6 b7a6 c2c4 d6b6 g2g4 g6g5 h1g2 a4c5 g2g3 a6a5 h2h4 g5h4 g3h4 h7h6 g4g5 h6g5 h4g4 c7c8 g4f5 c8h8 f1d1 a5a4 d1a1 b6b4
Wch U16,Bratislava,1993.??.??,5,Dao Thien Hai,"Kasimdzhanov, Rustam",1/2-1/2,2560,,D45,d2d4 d7d5 c2c4 e7e6 b1c3 c7c6 e2e3 g8f6 g1f3 b8d7 d1c2 f8d6 a2a3 e8g8 b2b4 e6e5 c4d5 c6d5 c3b5 d6b8 d4e5 d7e5 c1b2 d8e7 a1c1 e5f3 g2f3 b8e5 b2e5 e7e5 c2c3 e5h5 b5d6 c8e6 f1e2 b7b6 c3d4 f8d8 d6b5 a8c8 c1c8 d8c8 e1d2 e6f5 b5c3 f5g6 h1c1 h5h2 c3d5 c8c1 d5e7 g8f8 e7g6 h7g6 d2c1 h2f2 d4d8 f6e8 c1d2 f2g3 f3f4 g3g2 d8b8
Wch U16,Bratislava,1993.??.??,6,"Kasimdzhanov, Rustam","Tzoumbas, Anastasios",0-1,,2215,B99,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1g5 e7e6 f2f4 d8c7 d1f3 b8d7 e1c1 b7b5 f1d3 c8b7 h1e1 f8e7 f3h3 e8c8 g5f6 d7f6 c3d5 f6d5 e4d5 b7d5 a2a4 e7f6 d3f1 c7c5 d4b3 d5b3 h3b3 c8c7 a4b5 d8b8 f4f5 c5f5 b3a3 b8b6 d1d3 f5b5 d3c3 f6c3 a3c3 b5c6 c3g7 c6e8 f1c4 e8f8 g7f6 h7h5 c1b1 h8h6 f6c3 c7b7 c3a3 h6h8 a3a4 f8e8 a4a5 e8c6 c4b3 c6g2
Wch U16,Bratislava,1993.??.??,7,"Ovsejevitsch, Sergei","Kasimdzhanov, Rustam",1-0,,,D47,d2d4 d7d5 c2c4 e7e6 b1c3 c7c6 e2e3 g8f6 g1f3 b8d7 f1d3 d5c4 d3c4 b7b5 c4e2 a7a6 e3e4 b5b4 e4e5 b4c3 e5f6 d7f6 b2c3 f8d6 e1g1 e8g8 c1g5 d8c7 g5f6 g7f6 e2d3 g8h8 c3c4 c6c5 d4d5 f8g8 g1h1 c8b7 d3c2 g8g7 d1d3 a8g8 a1d1 c7e7 f1g1 d6b8 d3e3 e7d6 e3h6 d6f4 h6f4 b8f4 c2b3 f4d6 f3d2 f6f5 g2g3 g7g4 g1e1 g4d4 d2f3 d4d1 e1d1 e6d5 c4d5 g8g4 d1c1 g4b4 h1g1 a6a5 f3h4 a5a4 b3c4 b7c8 h4g2 h8g7 g2e1 g7f6 e1d3 b4b6 f2f4 c8d7 g1f2 b6b7 c1c2 b7b1 c2b2 b1d1 f2e3 d1h1 b2e2 h1b1 e3d2 a4a3 e2e1 b1b7 e1c1 b7a7 c1b1 d7a4 d2c3 h7h6 b1b6 f6e7 d3e5 f7f6 e5f7 a7d7 f7h6
Wch U16,Bratislava,1993.??.??,8,"Kasimdzhanov, Rustam","Mulyar, Michael A",1/2-1/2,,,C14,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 g5e7 d8e7 f2f4 a7a6 g1f3 c7c5 d4c5 b8c6 f1d3 d7c5 e1g1 b7b5 c3e2 c8b7 e2d4 c5d3 d1d3 g7g6 d4c6 b7c6 f3d4 c6d7 a1d1 h7h5 f1e1 a8c8 a2a3 c8c4 c2c3 e8d8 d3e3 d8c8 d4b3 d7e8 b3d4 e7c7 g1h1 e8d7 e3f2 c8b8 d1d3 h8c8 e1c1 c7b6 f2d2 a6a5 c1d1 c8c7 d2f2 b8c8 f2e1 b6c5 h2h3 b5b4 a3b4 a5b4 c3b4 c5b4 e1b4 c4b4 b2b3 d7b5 d3e3 c8b7 g2g3 b7b6 h1g2 c7a7 d1d2 a7a1 e3c3 b5d7 g2f2 a1h1 f2g2 h1e1 g2f2 e1h1 f2g2 h1a1 g2f2 h5h4 g3h4 a1h1 f2g3 h1e1 d4c2 e1c1 c3e3 b4b5 c2d4 b5b4 d4c2 b4b5 c2d4 b5b4 d4c2 b4b5 c2d4 b5b4
Wch U16,Bratislava,1993.??.??,9,"Kelly, Bryan","Kasimdzhanov, Rustam",1/2-1/2,,,D31,d2d4 d7d5 c2c4 e7e6 c4d5 e6d5 b1c3 c7c6 g1f3 c8f5 c1g5 d8b6 d1d2 b8d7 e2e3 g8f6 g5f6 d7f6 a2a3 a7a5 f3h4 f5g6 h4g6 h7g6 f1d3 f8d6 h2h3 e8g8 e1g1 f8e8 f1c1 d6b8 a1b1 b6c7 g2g3 f6e4 c3e4 d5e4 d3c4 c7d7 g1g2 a5a4 d2c2 b8d6 c1d1 e8e7 b1c1 g6g5 c2e2 g7g6 e2g4 d7g4 h3g4 g8g7 d1h1 e7e8 h1h2 f7f6 c1h1 e8h8 h2h8 a8h8 h1h8 g7h8
Wch U16,Bratislava,1993.??.??,10,"Kasimdzhanov, Rustam","Luna, Mariano",1/2-1/2,,,B16,e2e4 c7c6 b1c3 d7d5 d2d4 d5e4 c3e4 g8f6 e4f6 g7f6 f1e2 c8f5 e2f3 e7e5 g1e2 f5g6 e1g1 b8a6 c2c3 d8d7 e2g3 e8c8 c1e3 c8b8 d1b3 f8d6 f1d1 d7c7 d4d5 c6c5 f3e4 g6e4 g3e4 f6f5 e4d6 c7d6 f2f4 e5e4 a2a3 h8g8 c3c4 g8g4 d1d2 h7h5 b3c3 f7f6 a1b1 b7b6 b2b4 d8c8 b4b5 a6c7 a3a4 b8b7 a4a5 h5h4 b1e1 h4h3 g2g3 g4g8 e1a1 g8d8 c3c1 c8a8 d2a2 d8f8 c1d1 f8h8 d1f1 h8h7 f1f2 h7h8 a2a3 h8h6 a3a4 h6h8 f2a2 h8f8 a2b2 f8d8 b2e2 d8h8 a1a2 h8h7 e2f1 h7h6 f1a1 h6h8 g1f2 d6e7 e3d2 h8e8 f2e3 e7f7 d2c3 f7h5 a1f1 e8f8 a2f2 a8d8 f1e2 h5e2 f2e2 d8d6 e2a2 f8b8 e3e2 b8g8 e2f2 b7b8 c3d2 g8h8 a2a1 h8g8 d2e3 g8g7 a5b6 a7b6 f2e2 g7g6 e2d2 b8b7 d2c2 b7b8
