Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Cerveny Kostelec,Cerveny Kostelec,1959.??.??,?,"Blatny, Frantisek","Kavalek, Lubomir",1-0,,,B26,e2e4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 d2d3 d7d6 c1e3 c6d4 d1d2 c8d7 c3d1 d7a4 a1c1 e7e5 f2f4 g8e7 g1f3 e8g8 e1g1 f7f5 e3d4 c5d4 f3g5 d8d7 c2c3 h7h6 g5f3 a4d1 c1d1 d4c3 b2c3 a8c8 f4e5 d6e5 d3d4 f5e4 f3e5 f8f1 g1f1 g7e5 d4e5 d7b5 f1g1 b5e5 d2h6 e4e3 g2d5 e7d5 h6g6 g8h8 d1d4 e5d4 c3d4
Cerveny Kostelec,Cerveny Kostelec,1959.??.??,?,"Marsalek, Josef","Kavalek, Lubomir",1-0,,,A43,d2d4 g8f6 b1c3 c7c5 d4d5 d7d6 e2e4 b8a6 f1a6 b7a6 g1e2 g7g6 e1g1 f8g7 a1b1 a8b8 b2b3 e8g8 c1b2 e7e5 d5e6 f7e6 e2g3 d6d5 c3a4 d8e7 e4d5 f6d5 b2g7 g8g7 d1e2 e7f6 b1e1 d5c3 a4c3 f6c3 g3e4 c3e5 e4d2 e5e2 e1e2 a6a5 e2e5 f8f5 f1e1 a5a4 e5f5 g6f5 e1e5 a4b3 a2b3 b8b5 f2f4 g7f6 d2c4 c8d7 g1f2 a7a5 g2g3 a5a4 b3a4 b5b1 e5c5 d7a4 c5c7 b1c1 c4e3 h7h5 c7c5 f6e7 c5c7 e7f6 c7c4 a4d7 c4d4 d7c6 d4d1 c1d1 e3d1 e6e5 f2e3 c6a4 e3d3 e5e4 d3c3 f6e6 d1e3 a4d7 c3d4 e6d6 e3c4 d6c7 d4d5 d7c8 c4e3 c7b6 h2h3 c8d7 g3g4 f5g4 h3g4 h5g4 d5d6 d7a4 f4f5 g4g3 f5f6 a4e8 c2c4 b6b7 c4c5 b7c8 c5c6
Cerveny Kostelec,Cerveny Kostelec,1959.??.??,?,"Kavalek, Lubomir","Jansa, Vlastimil",0-1,,,B02,e2e4 g8f6 e4e5 f6d5 c2c4 d5b6 c4c5 b6d5 f1c4 e7e6 b1c3 f8c5 d2d4 c5b4 d1g4 e8f8 g1e2 b8c6 a2a3 b4c3 b2c3 d7d6 f2f4 c6e7 e1g1 e7f5 g4f3 f5h4 f3f2 h7h5 f4f5 h4f5 e2g3 d5c3 c1d2 h5h4 g3f5 c3e4 f2f4 e6f5 e5e6 d8f6 d4d5 f6d4 d2e3 d4c4 f4f5 e4f6 a1d1 h8h5 e3g5 c7c6 d5c6 c8e6 c6b7 a8b8 f5a5 c4c5
Cerveny Kostelec,Cerveny Kostelec,1959.??.??,?,"Kavalek, Lubomir","Herink, Miroslav",1/2-1/2,,,C35,e2e4 e7e5 f2f4 e5f4 g1f3 f8e7 b1c3 e7h4 e1e2 d7d5 c3d5 c8g4 d2d4 g8f6 d5f6 d8f6 c2c3 b8c6 e2d3 e8c8 d3c2 h8e8 f1d3 h4f2 d1f1 g4f3 g2f3 f2d4 c3d4 c6b4 c2b1 d8d4 d3c2 b4c2 b1c2 f6c6 c2b1 d4e4 a2a3 e4e2 a1a2 c6c2 b1a1 g7g5 f1d1 c2c6 h1f1 h7h5 b2b3 c6f6 c1b2 f6f5 b2c3 e2e3 d1d4 b7b6 a2d2 e3e1 d2d1 e1f1 d1f1 e8d8 d4e4 f5e4 f3e4 d8d3 a1b2 f4f3 b2c2 d3e3 c3d2 e3e4 f1f3 e4e2 f3f7 e2h2 c2d3 h2h3 d3c4 h3g3 f7g7 h5h4 g7g5 g3g5 d2g5 h4h3 g5f4 c7c6 c4d4 c8d7 d4e5 a7a5 e5f5 c6c5 f5e4 d7c6 f4h2 c6b5 e4d3 a5a4 d3c3 b5a5 h2c7
Cerveny Kostelec,Cerveny Kostelec,1959.??.??,?,"Kavalek, Lubomir","Fabian, Jaroslav",1-0,,,C02,e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 d1g4 c5d4 g1f3 f7f5 g4g3 g8e7 b1d2 e7c6 f1d3 b8d7 d2b3 f8b4 e1e2 e8g8 c1f4 d7c5 b3c5 b4c5 a2a3 a7a5 h2h4 g8h8 h4h5 c5e7 g3h3 b7b6 g2g4 c8a6 h1g1 a6d3 c2d3 a8c8 a1c1 d8d7 h3g3 e7d8 g4f5 f8f5 f4h6 f5f7 c1c6 c8c6 f3d4 c6c7 f2f4 d7e8 h6g5 d8g5 g3g5 h7h6 g5g4 f7e7 e2e3 e8c8 g4h4 c7c1 h4e7 c1g1 d4e6 c8c1 e3d4 c1b2 d4d5 b2b5 d5d6 b5d3 d6c7 d3c2 c7b7 c2e4 b7a7 e4h7 e6f8 h7g8 e5e6 b6b5 e7f7 b5b4 f8g6 h8h7 g6f8 h7h8 f7f5 b4a3 e6e7 a3a2 e7e8q a2a1q f5h7
Cerveny Kostelec,Cerveny Kostelec,1959.??.??,?,"Zita, Frantisek","Kavalek, Lubomir",1/2-1/2,,,A81,g1f3 f7f5 d2d4 d7d6 g2g3 g8f6 f1g2 g7g6 b2b3 f8g7 c1b2 e8g8 e1g1 c7c6 b1d2 b8a6 f3e1 d8c7 e1d3 c8d7 e2e4 f5e4 d2e4 f6e4 g2e4 e7e5 d4e5 d6e5 f1e1 a8e8 h2h4 c7c8 d1e2 f8f7 e2e3 a6c7 e3a7 c7b5 a7b6 d7f5 e4f5 c8f5 b6e3 b5d6 b2c3 e5e4 d3f4 g7c3 e3c3 f5g4 c3d2 d6f5 f4g2 e8f8 d2e2 f5h6 e2g4 h6g4 e1e4 g4f2 e4e2 f7f3 e2e3 f2g4 e3f3 f8f3 a1d1 f3c3 d1d8 g8g7 d8d7 g7h6 d7b7 c3c2 g2f4 c2a2 f4e6 g4e5 e6g5 h6h5 b7e7
Cerveny Kostelec,Cerveny Kostelec,1959.??.??,?,"Kavalek, Lubomir","Rejfir, Josef",1/2-1/2,,,B41,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 a7a6 c2c4 g8f6 b1c3 f8b4 f1d3 b8c6 d3c2 d7d5 c4d5 e6d5 d4c6 b7c6 e4e5 f6g4 e1g1 e8g8 d1d4 d8e7 c1f4 b4c5 d4d3 g7g6 c3a4 c5a7 a1e1 e7h4 f4g3 h4e7 d3d2 g8g7 h2h3 g4h6 g3f4 h6g8 g1h2 h7h6 d2c3 c8e6 f4e3 a7e3 e1e3 f8d8 c3d4 a8b8 a4c5 a6a5 a2a3 b8b5 b2b4 a5b4 a3b4 d8b8 e3b3 h6h5 f1b1 g8h6 c2d3 b5b6 b1b2 g7h7 h2g1 e6f5 d3e2 e7g5 f2f4 g5h4 d4f2 h4f2 g1f2 h7g7 f2e3 f5c8
Leningrad tt,Leningrad,1960.??.??,1,"Kavalek, Lubomir","Weinstein, Raymond Allen",0-1,,,B99,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1g5 e7e6 f2f4 h7h6 g5h4 f8e7 d1f3 b8d7 e1c1 d8c7 f1d3 a8b8 h1e1 g7g5 f4g5 d7e5 f3e2 f6g4 h2h3 h6g5 h4g3 g4f6 d4f3 f6h5 f3e5 d6e5 e2f3 b7b5 e1f1 h5f4 g3f4 e5f4 e4e5 c7e5 f1e1 e5c7 e1e2 c8b7 d3e4 e8f8 e2d2 f7f5 e4b7 b8b7 d1e1 b5b4 c3e2 e7f6 e2d4 f6d4 d2d4 f8f7 d4d6 b7b6 d6b6 c7b6 c1b1 a6a5 f3d3 h8e8 d3c4 e8e7 b2b3 b6f2 e1e2 f2f1 b1b2 f4f3 g2f3 f1f3 e2e5 f3h3 e5a5 h3c3 c4c3 b4c3 b2c3 e7d7 a5a4 g5g4 a4d4 d7a7 c3d2 a7a2 d4a4 a2a4 b3a4 f7e7 d2e3 e7d6
Leningrad tt,Leningrad,1960.??.??,2,"Radev, Nikolai","Kavalek, Lubomir",0-1,,,E93,d2d4 g8f6 g1f3 g7g6 c2c4 f8g7 b1c3 e8g8 e2e4 d7d6 f1e2 e7e5 d4d5 b8d7 c1g5 h7h6 g5h4 g6g5 h4g3 f6h5 f3d2 h5f4 e1g1 d7c5 b2b4 c5d3 e2d3 f4d3 d1b1 d3f4 f2f3 h6h5 c4c5 g5g4 f3g4 c8g4 b1c2 g7h6 a1e1 a7a5 b4a5 a8a5 d2b3 a5a8 c3d1 h5h4 g3f4 h6f4 d1e3 f4e3 e1e3 f7f5 h2h3 f5f4 e3c3 g4h5 b3d2 g8h8 f1b1 f4f3 d2f3 h5f3 c3f3 f8f3 g2f3 d8g5 g1h1 a8g8 c2f2 d6c5 a2a4 c5c4 f3f4 e5f4 e4e5 g5g3
Leningrad tt,Leningrad,1960.??.??,4,"Olsson, Ake","Kavalek, Lubomir",1/2-1/2,,,B16,e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 g8f6 e4f6 g7f6 c1e3 c8f5 g1f3 e7e6 f3h4 f5g6 g2g3 f8d6 f1g2 b8d7 e1g1 d8c7 c2c4 c6c5 b2b4 c5d4 e3d4 e8g8 c4c5 d6e7 f2f4 f6f5 h4g6 h7g6 d1f3 a8b8 a1d1 f8d8 f3c3 a7a5 a2a3 a5b4 a3b4 b8a8 d1a1 a8a1 f1a1 d7b8 d4h8 e7f8 h8f6 d8c8 a1d1 b8a6 g1h1 b7b6 c3c4 a6b8 f6e5 c7a7 e5b2 a7a4 d1e1 c8c5 c4d4 e6e5 f4e5 b8c6 d4f2 c5c2 e1e2 c2e2 f2e2 c6b4 e5e6 a4b3 e6f7 b3f7 g2f3 g8h7 e2b5 f7b3 b5e2 b3d3 h1g2 d3e2 f3e2 f8c5 h2h4 b4c2 g2h3 c5d4 e2d1
