Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
EST m,EST,1935.??.??,2,"Keres, Paul","Friedemann, Gunnar",1-0,,,C96,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c6a5 b3c2 c7c5 d2d3 d8c7 b1d2 a5c6 d2f1 c8d7 f1e3 e7d8 e3d5 f6d5 e4d5 c6e7 d3d4 c5d4 c3d4 a8c8 c2b3 e5d4 f3d4 g8h8 c1f4 e7g6 a1c1 c7b6 c1c8 d7c8 f4h2 d8f6 d4c6 b6c7 d1d2 g6e7 e1c1 c7d7 d2b4 f6b2 c1c2 b2f6 h2d6 a6a5 b4c5 a5a4 c6e7 f6e7 d6e7 a4b3 a2b3 f8e8 d5d6 h7h6 c5c6 h8h7 c6d7 c8d7 c2c7 d7e6 d6d7 e6d7 c7d7 e8a8 d7b7 a8a5 b3b4
EST m,EST,1935.??.??,3,"Friedemann, Gunnar","Keres, Paul",0-1,,,D36,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 c7c6 c1g5 b8d7 c4d5 e6d5 e2e3 f8e7 f1d3 e8g8 d1c2 f8e8 e1g1 d7f8 h2h3 f6e4 g5e7 d8e7 d3e4 d5e4 f3d2 c8f5 a1e1 e7e6 f2f3 e6g6 f3e4 f5h3 d2f3 h3e6 c2f2 e6c4 f3h4 g6h5 h4f5 c4f1 e1f1 h5g6 e4e5 f7f6 f2h4 g6g5 h4g5 f6g5 c3e4 f8d7 e4g5 d7e5 f5d6 e5g4 d6e8 a8e8 e3e4 h7h6 f1f4 g4f6 g5f3 e8e4 f4e4 f6e4 f3e5 g8f8 g1f1 f8e7 f1e2 e7e6 e2e3 e4d6 b2b3 e6d5 e3d3 d6f5 e5f3 h6h5 b3b4 b7b5 a2a3 a7a6 f3e5 f5d4 e5g6 d4e6 g6e7 d5d6 e7g6 c6c5 b4c5 d6c5 d3c3 a6a5 g2g3 b5b4 a3b4 a5b4 c3b2 c5b5 b2b1 b4b3 b1b2 b5a4 g6e5 e6c5 e5c6 g7g5 c6d4 h5h4 g3h4 g5h4 d4f3 h4h3 f3h2 a4b4 h2g4 c5a4 b2b1 h3h2 g4h2 b4a3 h2f3 a4c3 b1c1 b3b2 c1c2 b2b1q c2c3 b1b3 c3d4 b3f3
Warsaw ol,Warsaw,1935.??.??,?,"Keres, Paul","Rasmusson, Birger",0-1,,,D26,e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 c2c4 g8f6 b1c3 e7e6 g1f3 f8e7 c1f4 d5c4 f1c4 e8g8 e1g1 b8d7 c3b5 d8a5 f4c7 d7b6 a2a3 c8d7 d1e2 f6d5 b2b4 a5a4 c7b6 a7b6 c4d5 d7b5 d5c4 b5c4 e2c4 f8c8 c4d3 a4c2 d3b5 c2c6 b5e5 e7f6 e5f4 h7h6 h2h4 c6d5 f1d1 c8c3 a3a4 c3c4 a4a5 b6a5 b4a5 a8a5 a1a5 d5a5 f4b8 a5d8 b8b7 c4c7 b7e4 c7d7 d1a1 d8c7 g2g4 g7g6 g4g5 h6g5 h4g5 f6g7 f3e5 g7e5 a1a8 g8g7 d4e5 c7c1 g1h2 c1g5 a8a3 d7d2 a3f3 d2a2 e4d4 a2a8 f3h3 a8d8 d4e3 g5e3 h3e3 g6g5 h2g3 d8d4 g3g2 g7g6 g2g3 d4c4 g3g2 c4h4 g2g3 h4b4 g3g2 b4a4 g2g3 g6h6 e3f3 h6g7 f3e3 g7g6 g3g2 a4f4 g2g3 g6f5 g3g2 f4e4 e3f3 f5g6 f3a3 e4e5 a3a7 e5b5 a7a8 g6f5 a8a3 f7f6 g2f3 e6e5 a3c3 b5b4 c3a3 g5g4 f3g3 f5g5 a3a8 b4b3 g3g2 g5f4 a8a4 e5e4 a4a6 f6f5 a6a4 g4g3
Warsaw ol,Warsaw,1935.??.??,?,"Keres, Paul","Porath, Yosef",1-0,,,C02,e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 g1f3 b8c6 d4c5 f8c5 f1d3 d8c7 c1f4 g8e7 f4g3 e7g6 e1g1 g6e5 f3e5 c6e5 b1c3 f7f6 g3e5 c7e5 g1h1 e8g8 f2f4 e5c7 f4f5 c5b4 d1h5 b4c3 f5e6 g7g6 h5d5 c7e7 b2c3 c8e6 d5d4 g8g7 a1e1 e7d7 d4b4 a8e8 d3b5 d7f7 b5e8 f8e8 e1e3 e8c8 f1d1 h7h5 d1d6 e6d5 b4d4 c8e8 d6f6 f7f6 e3e8 f6d4 c3d4 g7f7 e8d8 f7e6 a2a3 b7b5 h1g1 a7a5 g1f2 h5h4 d8e8 e6d7 e8h8 b5b4 a3b4 a5a4 h8h7 d7c6 h7a7 c6b5 a7a5 b5c4 a5a4
Warsaw ol,Warsaw,1935.??.??,?,"Keres, Paul","Petrovs, Vladimirs",1-0,,,D66,c2c4 e7e6 b1c3 d7d5 d2d4 g8f6 c1g5 b8d7 g1f3 f8e7 e2e3 e8g8 a1c1 c7c6 f1d3 d5c4 d3c4 b7b5 c4d3 a7a6 a2a4 c8b7 e1g1 a8c8 d1e2 b5b4 c3e4 f6e4 g5e7 d8e7 d3e4 a6a5 f1d1 d7f6 f3d2 e6e5 e4f5 c8d8 d2b3 e5d4 d1d4 d8d4 b3d4 f8d8 e2c2 g7g6 f5d3 f6g4 c2e2 c6c5 e2g4 c5d4 e3e4 e7e5 g4g3 e5g3 h2g3 d8c8 c1c8 b7c8 d3c4 g8g7 g1f1 c8b7 f2f3 f7f5 e4e5 g6g5 f1e2 g5g4 c4e6 g7g6 f3g4 f5g4 e6g4 b7c6 e2d3 c6a4 d3d4 a4e8 d4c4 g6g5 g4c8 h7h5 g3g4 h5h4 e5e6 g5f6 c8d7 e8d7 e6d7 f6e7 c4b5 e7d7 b5a5 b4b3 a5b4 d7e6 b4b3 e6f6 b3c2 f6g5 c2d2 g5g4 d2e2 g4g3 e2f1 h4h3 g2h3 g3h3 b2b4
Warsaw ol,Warsaw,1935.??.??,?,"Keres, Paul","Reilly, Brian Patrick",1-0,,,B14,e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 c2c4 g8f6 b1c3 e7e6 g1f3 f8e7 c1f4 e8g8 c4c5 c8d7 b2b4 b7b6 f1d3 a7a5 a2a3 a5b4 a3b4 a8a1 d1a1 b8c6 a1b2 b6c5 b4c5 e7c5 d4c5 e6e5 f3e5 f8e8 c3e2 d8a5 e1f1 c6e5 f4e5 a5a4 e2c3
Warsaw ol,Warsaw,1935.??.??,?,"Keres, Paul","Andersen, Erik Sr",1-0,,,C73,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 d7d6 a4c6 b7c6 d2d4 f7f5 b1c3 g8f6 d4e5 f6e4 c3e4 f5e4 f3d4 c6c5 d4e2 c8b7 e2g3 g7g6 d1g4 d8e7 e5d6 c7d6 c1g5 e7d7 g4f4 f8g7 g3e4 d7e6 e1c1 b7e4 h1e1 g7e5 f4e4 e8g8 f2f4 e6g4 g5h6 e5f4 c1b1 g4f5 h6f8 f5e4 e1e4 a8f8 d1f1 f4h2 f1f8 g8f8 e4h4 h2e5 h4h7 e5g7 h7h4 f8e7 h4a4 g7e5 a4a6 e7f6 a2a4 f6f5 a4a5 g6g5 a6a8 f5g4 a5a6 c5c4 a8c8
Warsaw ol,Warsaw,1935.??.??,?,"Ichim, Trajan","Keres, Paul",0-1,,,D36,c2c4 e7e6 b1c3 d7d5 d2d4 g8f6 c1g5 b8d7 c4d5 e6d5 e2e3 f8e7 f1d3 e8g8 g1e2 c7c6 d1c2 f8e8 e2g3 d7f8 h2h4 a7a5 e1c1 b7b5 c1b1 a5a4 g3f5 c8f5 d3f5 d8a5 c3e2 a8a6 g2g4 b5b4 g5f6 e7f6 c2d2 f6e7 h4h5 a5d8 d1c1 e7d6 c1g1 d8g5 f2f4 g5e7 h1h3 c6c5 d4c5 d6c5 e2d4 e7a7 g4g5 e8e3 h3e3 c5d4 g1e1 d4e3 e1e3 a4a3 b2b3 a7c5 f5d3 a6e6 e3e6 f8e6 d3c2 c5d4 d2d4 e6d4 c2d1 d4b5 d1c2 h7h6 c2d3 b5c3 b1a1 f7f6 g5h6 g7h6 d3f5 g8f7
Warsaw ol,Warsaw,1935.??.??,?,"Mikenas, Vladas","Keres, Paul",1/2-1/2,,,D52,d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c1g5 b8d7 g1f3 c7c6 e2e3 d8a5 c4d5 f6d5 d1d2 f8b4 a1c1 e8g8 e3e4 d5c3 b2c3 b4a3 c1b1 e6e5 f1d3 f7f6 g5e3 d7b6 e1g1 c8e6 d4d5 c6d5 b1b5 a5a4 e3b6 a7b6 b5b6 d5e4 d3c2 a4a5 b6e6 e4f3 d2d3 f6f5 c2b3 g8h8 d3f3 e5e4 f3g3 a8c8 g3g5 a5c3 h2h4 c8c6 e6c6 c3c6 f1d1 c6f6 g5f6 f8f6 d1d8 f6f8 d8f8 a3f8 g2g4 f5g4 b3d5 f8c5 g1g2 e4e3 f2e3 c5e3 d5b7 g7g6 a2a4 e3d2 h4h5 g6h5 b7c8 h8g7
Warsaw ol,Warsaw,1935.??.??,?,"Sacconi, Antonio","Keres, Paul",0-1,,,D52,d2d4 g8f6 g1f3 e7e6 c2c4 d7d5 b1c3 b8d7 c1g5 c7c6 e2e3 d8a5 g5f6 d7f6 f1d3 c6c5 d4c5 f8c5 e1g1 e8g8 a2a3 c5e7 c4d5 f6d5 c3d5 a5d5 d1c2 d5h5 f1d1 e7f6 a1c1 e6e5 d3e4 a8b8 c2c5 a7a6 c5b6 c8f5 e4f5 h5f5 h2h3 f8c8 c1c7 c8c7 b6c7 f5c8 d1d7 c8c7 d7c7 g8f8 e3e4 f6d8 c7d7 f8e8 d7d2 f7f6 d2c2 e8d7 g1f1 b7b5 f3e1 d8b6 e1d3 a6a5 f1e2 d7d6 b2b3 b6d4 f2f3 h7h5 b3b4 b8a8 d3c5 a5b4 a3b4 a8a3 c5b7 d6d7 b7c5 d7e7 c5b7 d4c3 g2g4 h5h4 b7a5 e7d7 a5c6 d7c6 e2d3 c6d6 c2c3 a3a4 c3c8 a4b4 c8g8 g7g5 g8f8 b4d4 d3c3 b5b4 c3b3 d4d3 b3b4 d3f3 b4c4 d6c6 f8a8 c6d6 a8a6 d6e7 a6a7 e7e6 a7a6 e6f7 a6a7 f7g6 c4d5 f3h3 d5e6 h3b3 a7a8 b3b6 e6e7 h4h3 a8a2 b6b7 e7e6 b7h7 a2a8 h7b7 a8a2 b7b6 e6e7 g6g7 a2f2 b6a6 f2h2 a6a3 h2f2 a3a4 f2e2 h3h2 e2h2 a4e4 h2g2 e4f4 e7e6 e5e4 g2g3 g7g6 e6d5 e4e3
