Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Chigorin mem,Moscow,1947.??.??,?,"Trifunovic, Petar","Kholmov, Ratmir D",1/2-1/2,,,E18,d2d4 g8f6 g1f3 e7e6 c2c4 b7b6 g2g3 c8b7 f1g2 f8e7 e1g1 e8g8 d1c2 d7d5 c4d5 f6d5 b1c3 b8d7 c3d5 b7d5 f1d1 d7f6 f3e5 d5g2 g1g2 d8d5 f2f3 c7c5 e2e4 d5b7 d4c5 e7c5 c1g5 f8c8 c2e2 c5e7 a1c1 c8c1 d1c1 h7h6 g5e3 f6d7
Chigorin mem,Moscow,1947.??.??,?,"Kholmov, Ratmir D","Boleslavsky, Isaak",0-1,,,A48,d2d4 g8f6 g1f3 g7g6 c1g5 f8g7 b1d2 d7d6 e2e4 e8g8 c2c3 b8c6 h2h3 e7e5 d4e5 d6e5 f1b5 h7h6 g5f6 d8f6 d1e2 c6d8 e2e3 f6b6 e3b6 a7b6 h3h4 h6h5 b5c4 d8e6 e1c1 e6c5 f3g5 c7c6 a2a3 b6b5 c4e2 f7f6 g5h3 g7h6 c1c2 c8e6 b2b4 a8a3 b4c5 a3a2 c2c1 h6d2 d1d2 a2a1 c1b2 a1h1 e2d1 f8a8 d1b3 e6b3 b2b3 h1b1 b3c2 a8a2
Chigorin mem,Moscow,1947.??.??,?,"Kholmov, Ratmir D","Bondarevsky, Igor",1-0,,,D58,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7 c1g5 h7h6 g5h4 e8g8 e2e3 b7b6 f1d3 c8b7 e1g1 f6e4 h4e7 d8e7 d1c2 e4c3 b2c3 d5c4 d3c4 b8d7 c4d3 d7f6 a2a4 a7a5 f3e5 a8b8 f2f4 c7c5 f4f5 e6f5 d3f5 g7g6 f5d3 b8d8 a1e1 f6d7 e5f7 d8e8 d3g6 g8g7 f7e5 f8f1 e1f1 e8f8 f1f8 d7e5 f8e8 e7h4 c2f2 h4f2 g1f2 e5g6 e8b8 b7c6 b8b6 c6a4 b6a6 c5c4 a6a5 a4c2 a5c5 c2d3 g2g3 g6f8 c5c7 g7f6 e3e4 f8e6 c7c6 f6e7 h2h4 e7d7 d4d5 e6d8 c6h6 d3e4 g3g4 e4d5 g4g5 d5e4 f2e3 e4d3 g5g6 d8e6 h6h7 d7e8 h4h5 e8f8 h7f7 f8g8 f7e7 e6g7 e7e5 g7f5 e3f4 f5h4 f4g4 h4g6 h5g6 d3g6 g4f4 g8f7 f4e3 f7f6 e3d4 g6f7 e5c5 f6e6 d4c4 e6d6 c4d4 f7b3 c5b5 b3d1 b5b6 d6c7 b6f6 d1e2 c3c4 c7b7 d4c5 e2d3 f6f7 b7a6 f7f3 d3c2 f3f2 c2e4 f2b2
Chigorin mem,Moscow,1947.??.??,?,"Kholmov, Ratmir D","Gligoric, Svetozar",0-1,,,D14,d2d4 d7d5 c2c4 c7c6 c4d5 c6d5 b1c3 g8f6 g1f3 b8c6 c1f4 c8f5 e2e3 e7e6 f1d3 f5d3 d1d3 f8e7 h2h3 e8g8 e1g1 a8c8 a1c1 c6a5 f3e5 f6d7 e3e4 d5e4 c3e4 d7e5 f4e5 a5c6 c1d1 d8a5 e5d6 f8d8 d6e7 c6e7 d3b3 b7b6 e4c3 e7d5 c3e2 g7g6 a2a3 c8c7 e2c1 d5e7 c1e2 c7d7 d1d3 e7f5 f1d1 f5d4 e2d4 d7d4 d3d4 d8d4 d1d4 a5e1 g1h2 e1e5 b3g3 e5d4 g3b8 g8g7 b8a7 d4f2 b2b4 e6e5 a7c7 f2d4 a3a4 e5e4 c7f4 d4b4 f4e5 g7f8 e5b8 f8e7 b8c7 e7e6 c7c8 e6f6 c8h8 f6e7 h8e5 e7d7 h2h1 b4c4 g2g4 h7h6 e5f4 d7e6 f4e3 c4b4 e3h6 b4a4 h6e3 a4d1 h1h2 d1c2 h2h1 c2d1 h1h2 d1d3 e3c1 b6b5 h2g2 d3c4 c1e3 b5b4 e3b6 e6e7 h3h4 b4b3 g2g3 c4d3 g3f4 d3d6
Chigorin mem,Moscow,1947.??.??,?,"Kholmov, Ratmir D","Keres, Paul",0-1,,,A32,d2d4 g8f6 g1f3 c7c5 c2c4 c5d4 f3d4 e7e6 g2g3 b8c6 f1g2 f8c5 d4c2 e8g8 b1c3 c5e7 e1g1 b7b6 c1f4 c8b7 f4d6 c6a5 d6e7 d8e7 g2b7 a5b7 e2e4 d7d6 d1e2 a8c8 c2e3 a7a6 a1d1 c8c5 d1d4 f8c8 f1d1 f6d7 f2f4 d7f8 b2b4 c5c6 c3a4 e7c7 g1g2 c8b8 b4b5 a6b5 c4b5 c6c1 d1c1 c7c1 e3c4 c1b1 c4b6 b7c5 a4c5 d6c5 d4d6 b1b4 a2a4 b4a5 b6c4 a5a4 b5b6 a4b5 e2d3 h7h5 g2h3 g8h7 f4f5 e6f5 e4f5 b5e8 d3d5 e8e2 d5f7 b8e8
Chigorin mem,Moscow,1947.??.??,?,"Kholmov, Ratmir D","Novotelnov, Nikolay Alexandrovi",0-1,,,C83,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 c2c3 f8e7 b1d2 e4c5 f3d4 c6e5 f2f4 e5c4 d1e2 e6d7 f1e1 c5b3 a2b3 c4d2 c1d2 c7c5 d4f3 f7f6 f3h4 e8f8 e2h5 d7e8 h5f3 d8d7 f4f5 e8f7 e1e2 a6a5 a1e1 e7d8 g2g3 g7g5 f5g6 h7g6 h4g2 a8c8 g2f4 c8c6 f3d3 c5c4 b3c4 b5c4 d3c2 f8g7 c2a4 c6d6 a4a3 g6g5 f4g2 d6e6 e2e6 f7e6 a3c5 h8e8 g2e3 d7b7 e3f5 e6f5 e1e8 d8b6 e8e7 b7e7 c5b6 f5h3 b6e3 e7e4 e3e4 d5e4 g1f2 g7g6 d2e3 f6f5 e3d2 g6h5 f2e3 h5g4 e3d4 h3f1 h2h4 g5h4 g3h4 f1d3 h4h5 f5f4 b2b4 c4b3 h5h6 e4e3
Chigorin mem,Moscow,1947.??.??,?,"Kholmov, Ratmir D","Smyslov, Vassily",1/2-1/2,,,C49,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 f1b5 f8b4 e1g1 e8g8 d2d3 b4c3 b2c3 d7d6 f3d2 c6e7 d3d4 c7c5 b5d3 e7g6 a2a4 c5d4 c3d4 d6d5 d4e5 g6e5 c1b2 d8c7 e4d5 e5d3 b2f6 d3f4 f6b2 f4d5 d2e4 d5f4 d1f3 c8f5 b2c1 f5e4 f3e4 f4e6 c1e3 f8c8 a4a5 e6c5 e4d5 c7d7 d5f3 d7c6 f3c6 c8c6 f1b1 a8c8 e3c5 c6c5 b1b7 c5c2 g2g3 a7a6 b7a7 g7g6 a1b1 c2c1 b1c1 c8c1 g1g2 c1c6 h2h4 g8g7 g3g4 h7h6 g4g5 h6g5 h4g5 c6c5 a7a6 c5g5 g2f3 g5b5 a6a8 g7f6 a8a7 f6e6 f3g4 b5b2
Chigorin mem,Moscow,1947.??.??,?,"Kholmov, Ratmir D","Tsvetkov, Alexandar K",1-0,,,E85,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 b8c6 g1e2 e8g8 c1e3 e7e5 d4d5 c6e7 d1d2 f6e8 g2g4 f7f5 g4f5 g6f5 e1c1 f5f4 e3f2 e8f6 c1b1 c8d7 c4c5 d8e8 e2c1 e8h5 f1e2 d7h3 d1g1 f6e8 d2d1 f8f6 c1d3 f6g6 g1g6 e7g6 d3e1 g7f6 d1b3 h3c8 h2h4 g6f8 a2a4 h5f7 a4a5 g8h8 b3a4 f7e7 c5c6 e7d8 c6b7 c8b7 a5a6 b7c8 e2b5 c8d7 a4c4 d8c8 b5c6 d7c6 c4c6 f8d7 c3b5 d7b6 f2b6 c7b6 c6c8 a8c8 e1d3 h8g7 h4h5 g7h6 b2b3 c8d8 d3b4 d8d7 h1c1 d7d8 b4c6 d8a8 c6a7 f6d8 c1c8 e8c7 b5c7 a8a7 c7b5 a7a6 c8d8 h6h5 b5d6 b6b5 d6f7
Chigorin mem,Moscow,1947.??.??,?,"Kotov, Alexander","Kholmov, Ratmir D",1/2-1/2,,,A56,d2d4 g8f6 c2c4 c7c5 d4d5 e7e5 b1c3 d7d6 e2e4 f8e7 g2g3 e8g8 f1g2 f6e8 g1f3 f7f5 e4f5 c8f5 e1g1 b8a6 c1e3 a6c7 d1e2 a8b8 f3d2 d8d7 a2a4 a7a5 d2e4 e8f6 a1d1 f6e4 g2e4 b7b6 e3c1 b8e8 b2b3 e7d8 f2f3 f8f7 g3g4 f5e4 c3e4 e8f8 e2g2 c7e8 g2g3 h7h6 c1e3 e8f6 e4d2 f6h7 h2h4 d7e7 e3f2 e7f6 g1g2 f6g6 f2e3 g6c2 g4g5 h6g5 h4g5 f7f3 f1f3 c2d1 g5g6 d1e2 g2g1 e2d1 g1g2 d1e2 e3f2 h7g5 f3f8 g8f8 g3e3 e2h5 e3d3 e5e4 d3g3 h5g6 f2e3 f8f7 g3g4 g5f3 g4g6 f7g6 d2e4 f3h4 g2h3 h4f5 e3f4 f5d4 e4d6 d8c7 h3g4 d4b3 d6c8 c7d8 c8d6 d8c7 d6c8 c7d8 c8a7 g6f7 a7c6 d8f6 g4f5 b3d4 c6d4 c5d4 f5e4 f6e7 e4d4 e7c5 d4e5 f7e7 f4g5 e7d7 e5f5 c5d4 g5c1 d7e7 f5g6 e7e8 c1a3 d4c3 a3d6 c3d4 d6a3 d4c3 g6f5 e8f7 f5e4 c3e1 a3b2 e1f2 e4e5 f2g3 e5f5 g3f2 b2a3 f2g3 a3c1 g3f2 c1g5 g7g6 f5e4 f2g1 g5h4 g1h2 c4c5 b6c5 h4d8 f7e8 d8a5 e8d7 a5d2 d7c7 e4d3 c7b6 d3c4 h2d6 d2e3 b6a5 e3c5 d6f4 c4b3 g6g5 c5b4 a5b6 b3c4 g5g4 c4d3 g4g3 d3e2 f4b8 e2f3 b8c7 a4a5 b6b5 b4e1 c7a5 e1g3 b5c5 f3e4 a5c3 g3e5 c3d2 e5g7 c5d6
Chigorin mem,Moscow,1947.??.??,?,"Kottnauer, Cenek","Kholmov, Ratmir D",1/2-1/2,,,A43,d2d4 g8f6 g1f3 c7c5 d4d5 d7d6 b1c3 g7g6 c1f4 f8g7 e2e4 e8g8 f1e2 b7b5 e2b5 f6e4 c3e4 d8a5 f4d2 a5b5 e4c3 b5b2 a1b1 b2a3 e1g1 a3a5 c3b5 a5d8 f1e1 c8g4 h2h3 g4f3 d1f3 b8d7 f3e2 g7f6 a2a4 f8e8 b5a3 d8c8 a4a5 d7b8 e2b5 b8a6 b5a4 e8d8 a4c4 a6c7 a3b5 c7b5 b1b5 d8e8 e1b1 f6d4 c2c3 d4g7 b5b7 c8f5 a5a6 h7h5 d2e3 g7f6 c4b3 g8g7 c3c4 g6g5 b1d1 g5g4 b3d3 f5e5 d1e1 e5c3 d3c3 f6c3 e1e2 g4h3 g2h3 g7f6 h3h4 f6f5 e3g5 f7f6 g5d2
