Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Wch U20 Girls,Calicut,1998.11.17,1,"Koneru, Humpy","Henziques, Sofia",1-0,2140,,A07,g1f3 d7d5 g2g3 g8f6 f1g2 c8g4 c2c4 e7e6 d1b3 b7b6 b1c3 c7c6 f3e5 g4f5 b3a4 d8c7 d2d4 f8d6 c4d5 e6d5 c1f4 e8g8 a1c1 b6b5 a4b3 c7b6 e1g1 d6e5 f4e5 b8d7 e5d6 f8e8 e2e3 f6e4 c3e4 f5e4 g2h3 b6b7 a2a4 a7a6 c1c3 d7b6 a4a5 b6c4 b3b4 a8d8 d6c5 f7f6 c3c1 b7c7 c1a1 e4g6 b2b3 c4b2 c5b6 c7f7 b6d8 e8d8
Wch U20 Girls,Calicut,1998.11.18,2,"Koneru, Humpy",Xu Yuanyuan,0-1,2140,2240,A08,g1f3 g8f6 g2g3 c7c5 f1g2 d7d5 e1g1 g7g6 c2c4 d5d4 d2d3 f8g7 a2a3 a7a5 c1f4 e8g8 f4b8 a8b8 b2b4 a5b4 a3b4 c5b4 d1b3 d8d6 a1a4 b7b5 c4b5 b8b5 b1a3 c8e6 b3b2 b5b6 a3c2 f6d5 f1e1 e6d7 a4a5 d5c3 f3d2 b4b3 d2c4 b3c2 b2b6 d6b6 c4b6 d7e6 a5a1 f8b8 b6a4 c3a4 a1a4 b8b1 a4a1 e6a2 g1f1 g7f8
Wch U20 Girls,Calicut,1998.11.19,3,"Jackova, Jana","Koneru, Humpy",1-0,2205,2140,B08,e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 g1f3 f8g7 c1f4 e8g8 d1d2 c8g4 f1e2 b8c6 d4d5 g4f3 e2f3 c6e5 f3e2 c7c6 e1g1 e5d7 f1e1 d7c5 e2f1 d8b6 a1b1 f8e8 b2b4 c5d7 c3a4 b6d8 c2c4 d7b6 a4b2 c6d5 e4d5 d8d7 f1d3 a8c8 h2h3 f6h5 f4e3 g7b2 e3b6 a7b6 b1b2 e7e5 d5e6 e8e6 e1e6 f7e6 d3e2 h5g7 d2d4 d7c7 b2d2 g7f5 d4e4 g8f7 h3h4 c8e8 h4h5 e6e5 e2d3 f7g7 e4g4 e8f8 g4g5 c7d8 g5g4 d8c7 d2d1 f8f6 d1e1 f5d4 g4g3 c7f7 c4c5 b6c5 b4c5 d6c5 g3e5 b7b6 d3c4 f7c4 h5h6 g7h6 e5f6 d4e2 g1h2 c4f4 f6f4 e2f4 e1d1 b6b5 g2g3 f4e6 d1d6 e6g5 d6d5 g5e4 f2f3 e4c3 d5c5 c3a4 c5c6
Wch U20 Girls,Calicut,1998.11.20,4,"Yuette, Erwee","Koneru, Humpy",0-1,,2140,A35,d2d4 g8f6 g1f3 g7g6 e2e3 f8g7 c2c4 e8g8 b1c3 d7d5 f1e2 c7c5 e1g1 c5d4 f3d4 b8c6 d4c6 b7c6 c4d5 c6d5 e2f3 c8b7 a1b1 a8c8 c1d2 e7e5 f1e1 d8d7 g2g3 f8e8 f3g2 d5d4 e3d4 e5d4 e1e8 c8e8 c3e2 b7g2 g1g2 f6g4 e2f4 d7b7 d1f3 b7f3 g2f3 g4h2 f3g2 h2g4 b1e1 e8b8 b2b3 g4e5 e1c1 g7h6 c1c7 a7a6 c7e7 e5c6 e7c7 c6b4 d2b4 h6f4 c7c4 f4e5 f2f4 e5f6 b4d2 b8b6 g2f3 h7h5 c4c7 b6e6 c7c4 g8g7 c4c7 g7f8 c7c4 f8e7 c4c7 e7e8 f3f2 d4d3 d2e3 f6d4
Wch U20 Girls,Calicut,1998.11.21,5,"Koneru, Humpy","Meenakshi, S.",1-0,2140,2115,D34,g2g3 d7d5 f1g2 c7c5 g1f3 b8c6 d2d4 e7e6 e1g1 g8f6 c2c4 c5d4 c4d5 e6d5 f3d4 f8e7 b1c3 e8g8 c1f4 c8e6 a1c1 a8c8 d1d2 c6a5 d4e6 f7e6 g2h3 c8c6 d2d3 f6h5 e2e3 e7f6 d3e2 g7g6 c3b5 e6e5 f4h6 f6g7 h6g7 h5g7 b5a7 c6c1 f1c1 a5c4 a7b5 e5e4 b5c3 c4e5 e2b5 e5f3 g1g2 f3g5 h3g4 h7h5 g4d1 d5d4 b5c4 g8h7 c4d4 d8c8 g3g4 h5g4 d4e5 g5f3 e5e4 c8c7 d1f3 g4f3 g2h1 f8f5 c1g1 c7d8 e4g4 g6g5 c3e4 h7g8 e4g5 d8f6 g5e6 g8f7 e6g7
Wch U20 Girls,Calicut,1998.11.22,6,"Koneru, Humpy",Le Thi Phuong Lien,1-0,2140,2135,E69,c2c4 g8f6 g1f3 g7g6 g2g3 f8g7 f1g2 e8g8 e1g1 d7d6 d2d4 c7c6 b1c3 d8c7 e2e4 e7e5 h2h3 b8d7 c1e3 b7b6 d1a4 c8b7 a1d1 f8e8 f1e1 a7a6 a4c2 b6b5 d4e5 d6e5 c4c5 b5b4 c3b1 a6a5 a2a4 b7a6 b1d2 g7f8 d2b3 h7h6 g2f1 a6f1 e1f1 e8d8 f3d2 f6e8 d2c4 e8g7 e3h6 d7c5 d1d8 a8d8 c4a5 c5a4 c2c6 c7c6 a5c6 d8d6 c6e5 a4b2 f1b1 b2d3 e5c4 d6e6 f2f3 e6c6 b3a5 c6a6 g1f1 d3e5 c4e5 a6a5 e5c6 a5h5 h6g7 g8g7 h3h4 g6g5 c6b4 g5h4 b4d5 h4g3 f1g2 f8d6 f3f4 h5h2 g2g3 h2d2 g3g4 d6c5 g4f5 d2a2 e4e5 a2a7 d5f6 a7a6 b1h1 c5e7 h1g1
Wch U20 Girls,Calicut,1998.11.24,7,"Shah, Pallavi G","Koneru, Humpy",1/2-1/2,2130,2140,B14,e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 c2c4 g8f6 b1c3 e7e6 g1f3 f8b4 c4d5 f6d5 c1d2 e8g8 f1d3 b8c6 e1g1 b4e7 a1c1 d5b4 d3b1 c6d4 f3d4 d8d4 c3b5 d4b6 b5c7 a8b8 b1h7 g8h7 d1h5 h7g8 d2e3 g7g6 h5h6 b6a5 e3d4 e6e5 c1c5 e7c5 c7d5 b4d5 d4e5 f7f6 h6g6 g8h8 g6h6 h8g8 h6g6 g8h8 g6h6 h8g8 h6g6
Wch U20 Girls,Calicut,1998.11.25,8,"Krush, Irina","Koneru, Humpy",0-1,2275,2140,E12,d2d4 g8f6 g1f3 b7b6 c2c4 e7e6 a2a3 c8a6 d1a4 c7c5 d4c5 b6c5 b1c3 a6b7 c1g5 f8e7 e2e3 e8g8 f1e2 h7h6 g5h4 d7d5 a1d1 b7c6 a4c2 b8d7 e1g1 d8b6 c4d5 e6d5 d1d2 a8b8 f1d1 f8d8 c2f5 c6a8 h2h3 b6e6 f5e6 f7e6 h4g3 b8b7 f3h4 g8f7 e2a6 b7b6 a6d3 e6e5 d3g6 f7f8 g6f5 d5d4 e3d4 e5d4 g3c7 d4c3 b2c3 f6d5 c7d8 e7d8 f5d7 d8h4 d2d5 a8d5 d1d5 h4e7 c3c4 a7a6 g1f1 g7g6 a3a4 b6b4 f1e2 b4c4 e2d3 c4c1 g2g3 f8f7 d3d2 c1a1 d2d3 a1d1 d3c4 d1c1 c4b3 e7f6 d7g4 h6h5 g4c8 a6a5 c8a6 c5c4
Wch U20 Girls,Calicut,1998.11.26,9,"Koneru, Humpy",Hoang Th Trang,0-1,2140,2350,A21,c2c4 f7f5 g2g3 g7g6 f1g2 f8g7 b1c3 g8f6 g1f3 d7d6 a1b1 e7e5 d2d3 e8g8 b2b4 h7h6 e1g1 g6g5 c4c5 f8e8 c5d6 c7d6 e2e4 f5f4 d3d4 g5g4 f3h4 f4f3 g2h1 b8c6 d4e5 d6e5 c1e3 c8e6 d1d8 e8d8 a2a3 a8c8 f1e1 d8d3 c3a4 b7b6 b4b5 c6d4 h4g6 d4e2 g1f1 c8c2 g6e5 d3a3 a4b2 f6e4 b2d3 g7e5 d3e5 a3e3 b1d1 e3b3 d1d8 g8g7 e1a1 g7f6 e5c6
Wch U20 Girls,Calicut,1998.11.27,10,"Khamrakulova, Iroda","Koneru, Humpy",1-0,2145,2140,C01,e2e4 e7e6 d2d4 d7d5 e4d5 e6d5 g1f3 g8f6 f1d3 c7c5 c2c3 c5c4 d3e2 f8d6 e1g1 e8g8 b2b3 c4b3 a2b3 c8g4 c1a3 b8c6 h2h3 g4h5 f3e5 h5e2 d1e2 d8c7 f2f4 f8e8 e2d3 f6e4 a3d6 c7d6 b1d2 e4d2 d3d2 f7f6 e5d3 e8e4 d3c5 e4e7 f4f5 b7b6 c5e6 c6a5 a1b1 a5b7 d2d3 d6c6 d3f3 b6b5 c3c4 e7d7 c4d5 c6d6 b1c1 a8b8 e6f4 b7a5 c1c5 a7a6 f3c3 d6b6 f4e6 g8f7 f1a1 a5b7 c5c6 b5b4 c3g3
