Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
URS-ch sf,Leningard,1950.??.??,?,"Kortschnoj, Viktor","Zhukhovitsky, Samuel",1-0,,,B62,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1g5 e7e6 d4b3 f8e7 d1f3 e8g8 f1e2 a7a6 a1d1 d8c7 f3g3 f8d8 e1g1 b7b5 e2d3 b5b4 c3e2 c6e5 f2f4 e5d3 c2d3 e6e5 f4e5 d6e5 g5f6 c7b6 g1h1 e7f6 d3d4 b6d6 d4d5 a6a5 d1c1 d6e7 c1c6 g8h8 b3c5 d8d6 c6d6 e7d6 f1c1 h7h6 c1c2 a8a7 e2d4 d6b6 d4c6 a7c7 b2b3 f6e7 g3f2 e7d6 h2h3 b6b5 c2c4 f7f5 e4f5 c7f7 g2g4 c8b7 f2e3 b7c6 d5c6 b5c6 c5e4 c6d5 e3d2 d5d2 e4d2 f7a7 c4c8 h8h7 d2c4 d6c7 h1g2 e5e4 g2f2 c7h2 c8e8 a5a4 e8e4 a4b3 a2b3 a7a2 e4e2 a2a1 f2g2 h2b8 e2e8 b8f4 e8e7 f4g5 e7b7 g5f6 b7b4 a1c1 c4e3 f6g5 e3d5
URS-ch sf,Leningard,1950.??.??,?,"Taimanov, Mark E","Kortschnoj, Viktor",0-1,,,A98,d2d4 e7e6 g2g3 f7f5 f1g2 g8f6 g1f3 f8e7 e1g1 e8g8 c2c4 d7d6 b1c3 d8e8 d1c2 e8h5 b2b3 b8c6 c1b2 c8d7 a2a3 a8e8 d4d5 c6d8 f3d4 e6e5 d4b5 d8f7 b5c7 e8c8 c7e6 d7e6 d5e6 f7g5 c3d5 f6d5 g2d5 f5f4 f2f3 f4g3 h2g3 h5h3 g1f2 g5f3 f2e3 f3d4 c2d1 h3g3 f1f3 d4f3 e2f3 b7b5 d1h1 b5c4 b3c4 c8b8 b2c3 b8b3 e3d3 g3f2 h1e1 e5e4 d5e4 f8f3 e4f3 f2f3 d3c2 b3c3 c2b2 c3b3
URS-ch sf,Leningard,1950.??.??,?,"Bakulin, Nikolay I","Kortschnoj, Viktor",0-1,,,B00,e2e4 b8c6 d2d4 d7d5 e4e5 c8f5 c2c3 e7e6 g1e2 f7f6 f2f4 f6e5 f4e5 c6e7 b2b4 g7g6 e2g3 h7h5 b1d2 d8d7 d2b3 b7b6 h2h4 d7c6 c1d2 f8h6 f1e2 e8f7 e1g1 f7g7 b3c1 f5g4 c1d3 e7f5 g3f5 g4f5 d3f4 g8e7 d1c1 c6d7 a2a4 f5e4 f4h5 g6h5 d2h6 h8h6 f1f7 g7f7 c1h6 f7g8 h6g5 e7g6 e2h5 d7g7 a1f1 a8f8 f1f6 g6e7 g5g7 g8g7 f6e6 e7f5 g2g4 f5h4 e6e7 g7h6 e7c7 h6g5 c7a7 h4f3 g1f2 f3e5 f2e2 e4d3 e2d2 e5c4 d2d3 f8f2
URS-ch sf,Tula,1950.??.??,?,"Kortschnoj, Viktor","Goldberg, Grigory Abramovich",1-0,,,A03,f2f4 c7c5 g1f3 d7d5 g2g3 b8c6 f1g2 e7e6 e1g1 f8d6 b1c3 g8f6 d2d3 d5d4 c3b5 f6d5 c2c4 d5e7 e2e4 d4e3 c1e3 a7a6 b5c3 e7f5 e3f2 d8e7 c3d5 e7d8 d5c3 e8g8 c3e4 d8e7 d1e2 f8d8 g3g4 f5h6 f2h4 f7f6 g4g5 h6g4 h2h3 f6g5 f3g5 g4f6 g5h7 g8h7 h4f6 g7f6 e2h5 h7g7 f1f3 e7f7 f3g3 g7f8 h5h6 f8e8 e4f6 e8e7 g3g7 d8f8 f6d5 e7d8 g7f7 f8f7 a1e1 c6d4 h6g6 f7f8 g6g5 d8e8 h3h4 a8b8 h4h5 b7b5 h5h6 b8b7 d5f6 f8f6 g5f6 b7f7 f6g6
URS-ch sf,Tula,1950.??.??,?,"Kortschnoj, Viktor","Poliak, Abram Borisovich",1-0,,,C73,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 d7d6 a4c6 b7c6 d2d4 f7f6 c1e3 g8e7 c2c4 e5d4 f3d4 c6c5 d4e2 c8e6 b1c3 g7g6 e2f4 e6d7 h2h4 h7h5 c3d5 e7d5 d1d5 c7c6 d5d3 h8g8 e1g1 a8b8 b2b3 d8e7 a1d1 b8d8 f1e1 e8f7 b3b4 g6g5 f4h5 d7g4 e4e5 f6f5 f2f3 d6e5 d3d8 e7d8 d1d8 g4h5 e3g5 f8g7 d8d7 f7g6 b4c5 g8c8 e1d1 g7f8 d1d6 f8d6 c5d6 e5e4 d7c7
URS-ch sf,Tula,1950.??.??,?,"Kortschnoj, Viktor","Kasparian, Genrikh",0-1,,,B06,e2e4 c7c6 b1c3 g7g6 f1c4 f8g7 d2d4 b7b5 c4b3 b5b4 d1f3 e7e6 c3e2 d7d5 c1d2 d5e4 f3e4 g8f6 e4h4 a7a5 a2a3 b4a3 a1a3 e8g8 g1f3 c6c5 d4c5 c8b7 f3g5 h7h6 g5e6 f7e6 d2h6 f6d5 h6g5 d8c7 b3c4 c7c5 a3h3 f8f5 g5e3 c5f8 h4h7 g8f7 g2g4 f5f6 c4d5 b7d5 g4g5 f6f3 e1g1 f3h3 h7h3 b8d7 e2f4 f8h8 h3g3 g7e5 f1d1 a8c8 g3g4 e5f4 g4f4 f7e8 h2h4 h8b2 e3d4 b2c2 d1e1 c2d3 h4h5 d3h3 f4h2 h3g4 h2g3 g4d4
URS-ch sf,Tula,1950.??.??,?,"Vistaneckis, Isakas","Kortschnoj, Viktor",0-1,,,A80,d2d4 f7f5 b1c3 g8f6 c1g5 d7d5 e2e4 f6e4 c3e4 d5e4 f2f3 b8c6 c2c3 d8d5 g5f4 c8d7 f4c7 e7e5 d4e5 d5c5 f3e4 c6e5 c7e5 c5e5 g1f3 e5e4 d1e2 e8c8 e2e4 f5e4 f3g5 d8e8 g5f7 h8g8 a1d1 d7e6 f7g5 e6a2 d1a1 a2b3 a1a7 f8c5 a7a8 c8c7 a8e8 g8e8 f1e2 c5e3 g5h3 e8a8 h3f2 a8a1 f2d1 e3c1 e1f2 c1b2 f2e3 b2c3 e3e4 c3f6 h1e1 b7b5 e1f1 b3c2 e4d5 b5b4 d1e3 a1f1 e2f1 b4b3 e3c4 b3b2 c4b2 f6b2 d5e6 c2b3 e6e7 b2a3 e7e8 a3d6 f1d3 h7h6 h2h4 b3d5 g2g4 d5e6 g4g5 h6g5 h4g5 c7c6 d3c2 c6d5 c2g6 d5e5 g6f7 e5f5
URS-ch sf,Tula,1950.??.??,?,"Kortschnoj, Viktor","Suetin, Alexey S",1/2-1/2,,,B62,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1g5 e7e6 d4b3 f8e7 d1f3 a7a6 a1d1 h7h6 g5c1 e8g8 f1e2 d8c7 e1g1 b7b5 f3g3 g8h8 e2d3 c8b7 d1e1 b5b4 c3e2 c6e5 f2f4 e5c4 e2d4 a6a5 e4e5 d6e5 f4e5 f6h7 g1h1 b7d5 d4b5 c7d7 b3d4 e7g5 b2b3 c4b6 c1g5 h7g5 h2h4 g5h7 b5d6 f7f5 g3g6 d7e7 f1f4 b6c8 e1e3 c8d6 e5d6 e7f6 g6f6 f8f6 d3c4 d5c4 b3c4 h7f8 e3e5 f8d7 e5e6 a8c8 e6f6 d7f6 f4f5 c8c4 d4f3 c4c2 f5a5 c2c1 h1h2 c1d1 a5a8 h8h7 a8b8 d1d6 b8b4 d6a6 b4b2 f6d5 h4h5 d5f6 f3d2 f6h5 d2b1 h5f4 b1c3 a6a3 b2b3 a3b3 a2b3 h7g6 b3b4 g6f5 b4b5 f5e5 c3e4 f4d5 e4c5 h6h5 h2g3 g7g5 c5a4 e5d6 g3f3 g5g4 f3g3 d5e3 g3f2 e3f5
URS-ch sf,Tula,1950.??.??,?,"Kortschnoj, Viktor","Pogrebissky, Iosif",1/2-1/2,,,B55,e2e4 c7c5 d2d4 c5d4 g1f3 d7d6 f3d4 g8f6 f2f3 e7e5 f1b5 b8d7 d4f5 a7a6 b5d7 d8d7 b1c3 d6d5 c1g5 d5e4 g5f6 g7f6 f3e4 d7d1 a1d1 c8f5 c3d5 f5e4 d5f6 e8e7 f6e4 f7f5 e4g3 e7e6 h1f1 f5f4 g3e4 f8e7 e1e2 a8c8 d1d2 b7b5 e2f3 c8c7 f1e1 h8c8 e1e2 e7b4 c2c3 b4c5 d2d1 h7h5 a2a4 b5a4 d1a1 c7d7 e4c5 c8c5 a1a4 a6a5 a4f4 d7f7 f4f7 e6f7 g2g4 h5g4 f3g4 f7f6 h2h4 c5c4 g4g3 a5a4 e2e3 a4a3 b2a3 c4a4 e3f3 f6g6 f3e3 a4a3 g3h3 g6f6 e3f3 f6g6 f3g3
URS-ch sf,Tula,1950.??.??,?,"Kortschnoj, Viktor","Moiseev, Oleg L",0-1,,,B54,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 f1b5 c8d7 b5d7 b8d7 b1c3 g7g6 e1g1 f8g7 c1e3 e8g8 f2f4 a8c8 d1f3 a7a6 a1d1 b7b5 a2a3 d8c7 g2g4 d7b6 g4g5 f6d7 f4f5 c7b7 f3f4 g7e5 f4h4 c8c3 b2c3 d7c5 d4f3 c5e4 f3e5 d6e5 d1d3 b7c6 h4h6 b6c4 e3a7 c6c7 f5g6 c7a7 g1g2 h7g6 d3h3 c4e3 g2h1 e4g3 h3g3 f8d8 f1e1 e3f5 h6h3 f5g3 h3g3 a7b7 h1g1 d8d2 e1e5 b7b6 g1f1 b6c6 f1g1 d2c2 e5e1 c6c5 g3e3 c5d5 e3g3 d5d2 e1f1 d2c3 g3b8 g8g7
