Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Voronezh op,Voronezh,1998.06.12,1,"Korobov, Anton","Atalik, Suat",1/2-1/2,2165,2595,D90,d2d4 g8f6 g1f3 g7g6 c2c4 f8g7 b1c3 d7d5 c4d5 f6d5 d1a4 b8c6 e2e3 d5b6 a4d1 e8g8 f1e2 e7e5 d4d5 c6e7 e3e4 f7f5 c1g5 f5e4 c3e4 b6d5 g5e7 d5e7 e2c4 g8h8 d1d8 f8d8 e4g5 d8f8 g5f7 f8f7 c4f7 e5e4 f3d2 g7b2 a1b1 b2c3 e1e2 c8g4 f2f3 e4f3 g2f3 g4h5 h1c1 c3e5 b1b7 e5h2 c1b1 h8g7 f7e6 a8e8 e6d7 e8d8 d7g4 e7d5 d2e4 d8e8 e2d3 h5g4 f3g4 a7a5 d3d4 d5b4 a2a3 b4c6 d4e3 g6g5 e3f3 c6d4 f3e3 d4c6 e3f3 h2f4 e4g5 f4g5 b7c7 c6e7 b1b5 h7h6 b5a5 g7f7 a5a7 e8d8 c7d7 d8f8 f3g3 f7e6 d7d3 e6e5 a7d7 f8a8 d7d6 a8a4 g3h3 a4c4 h3g3 h6h5 d6b6 c4g4 g3h3 g4h4 h3g2 e7f5 d3f3 f5e3 g2f2 e3d5 b6b5 h4d4 f3f7 e5e4 f7d7 g5h4 f2g1 d4d1 g1h2 e4f3 d7f7 f3g4 f7g7 h4g5 a3a4 d1d2 h2g1 h5h4 a4a5 h4h3 g7g5 g4g5 a5a6 g5g4 a6a7 d5c7 b5b7 g4g3 b7b3 g3h4 b3b7 h3h2 g1h1 h4g3 b7b3 g3g4 b3b7 g4g3
Voronezh op,Voronezh,1998.06.13,2,"Kalugin, Sergei","Korobov, Anton",1-0,2240,2165,B22,e2e4 c7c5 c2c3 d7d5 e4d5 d8d5 d2d4 g8f6 g1f3 e7e6 b1a3 a7a6 a3c4 d5d8 a2a4 b8c6 c1e3 c5d4 f3d4 f6d5 d4c6 b7c6 d1f3 d8c7 f1d3 c6c5 d3e4 c8b7 e3f4 c7f4 f3f4 d5f4 e4b7 a8a7 b7c6 e8e7 e1c1 a7c7 c6f3 g7g6 h2h4 f8h6 c1c2 f4h5 d1d6 h5f6 d6a6 h8d8 a6c6 c7c6 f3c6 f6g4 a4a5 h6f4 a5a6 f4b8 c6f3 g4f2 h1a1 d8d7 c4b6 d7c7 a1f1 c5c4 b6c4 c7c4 f1f2 f7f5 b2b4 e6e5 f3d5 c4h4 c2b3 b8a7 f2d2 e7d6 b3a4 d6c7 a4b5 e5e4 d5e6 h4h5 d2d7 c7b8 b5c6 a7f2 e6d5 f5f4 d5e4 h5e5 e4d5 e5e8 d7b7 b8a8 b7h7 a8b8 h7b7 b8a8 c6d6 e8e1 b7d7
Voronezh op,Voronezh,1998.06.15,4,"Shestakov, A.","Korobov, Anton",0-1,,2165,B22,e2e4 c7c5 c2c3 d7d5 e4d5 d8d5 d2d4 g8f6 g1f3 e7e6 b1a3 a7a6 f1d3 c5d4 c3d4 f8a3 b2a3 b8d7 e1g1 e8g8 c1f4 b7b6 d1b3 c8b7 a1c1 f8c8 f4c7 d5h5 d3e2 h5h6 b3b2 f6d5 c7d6 d7f6 f3e5 c8c1 b2c1 d5f4 e2f3 b7f3
Voronezh op,Voronezh,1998.06.19,8,"Feoktistov, Alexey A","Korobov, Anton",1-0,2395,2165,B22,e2e4 c7c5 c2c3 d7d5 e4d5 d8d5 d2d4 g8f6 g1f3 e7e6 b1a3 a7a6 a3c4 d5d8 a2a4 b8c6 c1e3 c5d4 f3d4 f6d5 d4c6 b7c6 d1f3 d5e3 f2e3 d8c7 f1d3 f8e7 e1g1 e8g8 f3h5 f7f5 e3e4 g7g6 h5e2 c6c5 e4f5 e6f5 c4b6 c7b6 d3c4 g8h8 e2e7 c8b7 a1e1 a8e8 e7e8 f8e8 e1e8 h8g7 e8e7 g7h6 f1f2 a6a5 c4g8 b7e4 e7h7 h6g5 g8c4 b6d6 c4e2 d6c6 e2b5 c6d5 h7d7 d5b3 d7d6 c5c4 b5e8 f5f4 h2h4 g5h5 d6d4 e4d3 d4f4 b3d1 g1h2 d1e1 e8c6 g6g5 h4g5 h5g5 g2g3 e1e5 c6g2 e5e8 f4f8 e8a4 f8g8 g5h6 f2f6 h6h7 g8b8 h7g7 f6a6 d3f5 b8b7 f5d7 a6d6
UKR-chT,Alushta,1998.??.??,?,"Korobov, Anton","Fadeev, Valeri",1-0,2165,2380,D11,d2d4 d7d5 c2c4 c8f5 b1c3 e7e6 g1f3 c7c6 c1f4 f8d6 f4d6 d8d6 e2e3 b8d7 f1d3 f5d3 d1d3 g8f6 e1g1 e8g8 a1d1 f8e8 f1e1 a8d8 c4c5 d6c7 e3e4 d5e4 c3e4 f6e4 d3e4 d7f6 e4h4 d8d5 f3e5 e8d8 b2b4 b7b6 h2h3 b6c5 b4c5 f6d7 e5c6 c7c6 h4d8 d7f8 d8h4 c6a4 h4g3 h7h6 g3c7 e6e5 c7b7 d5d4 d1d4 e5d4 b7d5 f8e6 c5c6 a4c2 d5f3 c2a2 e1c1 a2a5 f3b3 a5g5 b3b8 g8h7 b8b1 g7g6 c6c7 e6f4 g2g3 f4h3 g1g2 h3f4 g2f1 g5h5 g3f4 d4d3 b1d3 h5h1 f1e2 h1c1 d3d7 c1c2 e2f3 c2b3 f3g2 b3c4 c7c8q c4f4 d7g4 f4f6 c8c7 h6h5 g4f4
UKR-chT,Alushta,1998.??.??,?,Kaljuzhnyi,"Korobov, Anton",0-1,,2165,A07,g1f3 d7d5 g2g3 g8f6 f1g2 c8g4 e1g1 c7c6 d2d3 b8d7 b1d2 e7e5 e2e4 f8d6 h2h3 g4h5 d1e2 e8g8 c2c3 d8c7 f1e1 f8e8 e2f1 a8d8 f3h4 d5e4 d3e4 d7c5 d2b3 c5e6 c1e3 b7b6 f2f3 f6d7 h4f5 d6f8 a1d1 f7f6 d1d2 h5f7 e3f2 a7a5 b3c1 b6b5 e1d1 d7c5 g1h2 d8d2 d1d2 e8d8 f1d1 c5a4 d1c2 d8d2 c2d2 c7d8 d2c2 a4b6 g2f1 b6c8 h2g2 g7g6 f5e3 h7h5 h3h4 f8h6 c1d3 c8d6 a2a4 h6g7 a4b5 c6b5 d3c1 g8h8 g2h2 d8a8 c2d3 a8c6 f1g2 e6c5 d3c2 d6c4 b2b4 a5b4 c3b4 c5a6 c2c3 g7f8 e3c2 c6d6 c1d3 f8h6 d3c5 h6d2 c3b3 h8g7 b3b1 d2c3 c5a6 d6a6 f2c5 c4d2 b1c1 a6a2 c2a3 d2f3 h2h1 c3b2 c1d1 a2a3 d1f3 a3f3 g2f3 f7c4 h1g2 b2d4 c5d6 g7f7 g3g4 h5g4 f3g4 c4d3 g2f3 f6f5 e4f5 g6f5 g4h5 f7e6 d6f8 e5e4 f3g2 f5f4 f8h6 f4f3 h5f3 e4f3 g2f3 e6d5 h4h5 d5c4 h6f8
UKR-chT,Alushta,1998.??.??,?,"Kruppa, Yuri","Korobov, Anton",1-0,2540,2165,D46,d2d4 d7d5 c2c4 e7e6 b1c3 c7c6 e2e3 g8f6 g1f3 b8d7 d1c2 f8d6 f1d3 e8g8 e1g1 d5c4 d3c4 d8e7 a2a3 e6e5 h2h3 f8e8 c4a2 d7f8 d4e5 d6e5 f3e5 e7e5 a2b1 c8e6 f2f4 e5h5 e3e4 e6c4 f1e1 h5h4 c2f2 h4f2 g1f2 a8d8 e4e5 f6d5 c3e4 e8e7 b1c2 f8e6 e1d1 d8f8 b2b3 c4a6 f4f5 e6c7 c1b2 g7g6 g2g4 b7b6 b3b4 d5f4 e4f6
UKR-chT,Alushta,1998.??.??,?,"Davidovic, Aleksandar","Korobov, Anton",0-1,2410,2165,D46,c2c4 e7e6 g1f3 d7d5 d2d4 c7c6 e2e3 g8f6 b1c3 b8d7 d1c2 f8d6 f1d3 e8g8 e1g1 d5c4 d3c4 b7b5 c4d3 c8b7 c1d2 a7a6 f3g5 h7h6 g5e4 d6b8 f2f4 d8e7 b2b4 b8a7 a2a3 a7b6 e4c5 d7c5 b4c5 b6c7 e3e4 c7a5 c3e2 a5d2 c2d2 a8d8 d2b2 f6d7 a1d1 d7f6 f1f3 d8d7 d3b1 f8d8 b2c2 g7g6 b1a2 a6a5 e4e5 f6e8 c2c3 b5b4 a3b4 a5b4 c3b4 e8g7 e2g3 b7a6 d1d2 e7h4 h2h3 g6g5 g3e4 h4e1 g1h2 e1e4 f4g5 h6g5 b4b6 a6b5
UKR-chT,Alushta,1998.??.??,?,"Efimenko, Zahar","Korobov, Anton",1-0,2245,2165,B94,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1g5 b8d7 f2f4 b7b5 c3d5 c8b7 g5f6 g7f6 d1h5 d8c8 e1c1 h8g8 f1e2 g8g2 h1g1 g2e2 h5e2 e7e6 d5c3 d7b6 f4f5 e6e5 d4b3 b6c4 c3d5 b7d5 d1d5 f8h6 c1b1 e8e7 e2h5 c8f8 d5d3 a6a5 d3g3 h6e3 g1d1 a5a4 b3c1 e3f4 g3c3 a8c8 h5e2 f8h6 c1d3 f4e3 d3b4 e3d4 b4d5 e7d7 c3d3 d4b2 d5b6 c4b6 d3d6 d7e7 d6b6 b2d4 b6b5 e7f8 d1d3 f8g7 b5b7 g7h8 d3g3 h6f4 g3g4 f4h6 e2c4 c8f8 c4b4
UKR-chT,Alushta,1998.??.??,?,"Korobov, Anton","Korovashkin, Maxim",1-0,2165,2275,E11,d2d4 e7e6 g1f3 g8f6 c2c4 f8b4 b1d2 e8g8 g2g3 d7d6 f1g2 b8d7 e1g1 b4d2 d1d2 e6e5 d2c2 f8e8 e2e4 d8e7 d4d5 d7c5 f3d2 a7a5 b2b3 c7c6 c1b2 c8d7 a1e1 b7b5 f2f4 f6g4 h2h3 g4h6 f4e5 d6e5 d2f3 f7f6 e1d1 b5b4 d5d6 e7d8 b2c1 h6f7 c1e3 c5e6 c4c5 a8a7 f3d2 e6f8 f1f2 d7e6 g1h2 f8d7 g2f1 g7g6 f1c4 g8g7 d1f1 h7h5 d2f3 d7f8 f3h4 f8h7 c2d2 d8d7 c4e6 d7e6 h4f3 e8d8 d2d1 d8d7 d1d2 f7d8 f2g2 g6g5 g2f2 d8f7 d2c2 f7h6 f3d2 d7f7 d2c4 h7f8 c2d1 g7g6 f2f5 f8d7 d1c1 e6e8 f5f2 d7f8 c1b2 e8e6 c4b6 h6g8 b2c2 f7h7 b6d5 h7f7 h3h4 e6g4 d5c7 g5h4 g3h4 g4h4 h2g1 g6h7 f2g2 h4h3 e3c1 f8g6 g2h2 h3g4 h2g2 g4h3 c2e2 g8h6 g2h2 h3g3 g1h1 h6g4 h2h5 h7g8 e2g2 g3g2 h1g2 f7h7 h5h7 g8h7 g2g3
