Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
EU-ch U10 Girls,Herculane,1994.??.??,1,"Chalabashvili, T.","Kosteniuk, Alexandra",0-1,,,C40,e2e4 e7e5 g1f3 d8e7 b1c3 c7c6 f1c4 g7g6 d2d3 g8h6 e1g1 f7f6 f1e1 h6f7 d3d4 d7d6 c1e3 f8g7 h2h3 b8d7 a2a3 e8g8 d4d5 c6c5 b2b4 b7b6 c4b5 a7a6 b5c6 a8b8 a1b1 f6f5 a3a4 f5f4 e3d2 g8h8 d1e2 f7g5 g1h1 g5f3 e2f3 h8g8 b4b5 a6a5 f3d3 f4f3 g2g4 e7h4 d3f1 d7f6 g4g5 c8h3
EU-ch U10 Girls,Herculane,1994.??.??,2,"Kosteniuk, Alexandra","Barbascu, M.",1-0,,,D02,d2d4 d7d5 g1f3 g8f6 c1f4 b8c6 e2e3 c8f5 f1d3 f5d3 c2d3 e7e6 b1c3 f8b4 e1g1 a7a6 f3e5 c6e5 f4e5 e8g8 d1b3 a6a5 a2a3 b4c3 b2c3 b7b6 c3c4 f6g4 e5g3 a8c8 c4c5 f8e8 h2h3 g4f6 f1c1 f6d7 c1c2 d8f6 c5b6 c7b6 a1c1 c8c2 c1c2 f6g6 c2c7 e8d8 b3b5 d7f6 c7b7 d8c8 b7b6 h7h6 b6b8 c8b8
EU-ch U10 Girls,Herculane,1994.??.??,2,"Geczi, Mirjam","Kosteniuk, Alexandra",0-1,,,B18,e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 c8f5 e4g3 f5g6 g1f3 g8f6 f1c4 e7e6 c1g5 b8d7 e1g1 f8d6 d1e2 e8g8 a1d1 b7b5 c4b3 a7a5 a2a3 h7h6 g5h4 d8b6 f3e5 d6e5 d4e5 f6d5 f1e1 d7c5 b3d5 c6d5 g3h5 c5a4 h5f4 a4b2 d1b1 b2c4 a3a4 b5b4 f4g6 f7g6 e2d3 g6g5 h4g3 a8c8 c2c3 c4a3 b1b2 c8c3 d3c3 a3c4 c3c2 c4b2 c2b2 f8c8 e1c1 c8c1 b2c1 b4b3 c1b2 b6c6 g1f1 c6c2 b2a1 b3b2
EU-ch U10 Girls,Herculane,1994.??.??,3,"Gedvilaite, M.","Kosteniuk, Alexandra",0-1,,,B23,e2e4 c7c5 b1c3 b8c6 f2f4 e7e6 g1f3 g8e7 f1c4 g7g6 d2d3 f8g7 e1g1 e8g8 c1e3 d7d5 f4f5 d5c4 d1d2 e6f5 e3h6 c4d3 d2g5 f5e4 h6g7 g8g7 c3e4 e7f5 g5f4 d3c2 e4c5 d8d6 f4c4 g7g8 a1e1 c8d7 c5e4 d6e6 c4c3 f7f6 e4c5 e6f7 c5b7 a8e8 g2g4 e8e1 f1e1 f5g7 b7d6 f7d5 d6e4 c2c1q c3c1 d7g4 f3d2 c6d4 e4c3 d4f3 d2f3 d5f3 e1f1 f3c6 c1f4 g4e6 f1c1 c6c5 g1h1 e6d5 c3d5 c5d5 h1g1 d5g5 f4g5 f6g5 b2b4 f8b8 c1b1 g7e6 a2a4 g8f7
EU-ch U10 Girls,Herculane,1994.??.??,4,"Kosteniuk, Alexandra","Paehtz, Elisabeth",0-1,,,D02,d2d4 d7d5 g1f3 g8f6 c1f4 c7c5 e2e3 d8b6 b1c3 c8d7 d1d2 e7e6 f1d3 f8e7 h2h3 a7a6 e1g1 e8g8 f3e5 g8h8 e5f3 b6a7 a2a4 b8c6 d3e2 b7b6 f1d1 f8d8 e2f1 d7c8 f3e5 c6e5 f4e5 c5d4 e5d4 e7c5 d4f6 g7f6 d2e2 d8g8 e2h5 a7e7 g1h1 c8b7 f1d3 f6f5 d1g1 g8g7 c3e2 a8g8 e2d4 g7g5 h5f3 e7f6 c2c3 c5d6 f3d1 f6h6 d1f3 g5h5 d3e2 h5h4 e2d3 f5f4 a1e1 g8g3 d4f5 h4h3
EU-ch U10 Girls,Herculane,1994.??.??,5,"Grau Carreras, Monica","Kosteniuk, Alexandra",0-1,,,D00,d2d4 c7c5 g1f3 g8f6 b1c3 d7d5 e2e3 e7e6 f1d3 b8c6 c1d2 f8e7 d3b5 a7a6 b5c6 b7c6 f3e5 c8d7 e1g1 e8g8 d4c5 e7c5 c3a4 c5d6 d2c3 c6c5 e5d7 f6d7 d1g4 d7f6 g4f3 f6e4 f3g4 e4c3 a4c3 d8f6 a1b1 a8b8 c3a4 b8b4 g4e2 b4a4 a2a3 f8b8 c2c3 a4a5 f2f3 a5b5 f3f4 c5c4 f1f2 d6a3 e2d1 a3b2 d1a4 b2c3 b1b5 a6b5 a4a7 f6d8 f4f5 d8d6 a7b6 b8b6 f2a2 h7h6
EU-ch U10 Girls,Herculane,1994.??.??,6,"Geczi, Mirjam","Kosteniuk, Alexandra",0-1,,,C55,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d4 e5d4 e1g1 f6e4 f1e1 d7d5 c4b3 e8g8 c3d4 c5b4 c1d2 e4d2 b1d2 c8g4 e1e3 c6d4 e3d3 d4b3 d3b3 b4c5 h2h3 g4e6 a1c1 c5b6 b3d3 d8f6 d3b3 d5d4 b3d3 f6g6 f3e5 g6f6 d2f3 f8e8 e5c4 e6c4 c1c4 a8d8 b2b4 f6e6 c4c2 a7a6 a2a3 h7h6 f3d4 b6d4 c2d2 e6e1 g1h2 e1d1 d2d1 d4e5 g2g3 d8d3 d1d3 e5d6 h2g2 g8f8 g2f3 e8e5 d3d4 f8e7
EU-ch U10 Girls,Herculane,1994.??.??,7,"Kosteniuk, Alexandra","Gara, Ticia",1-0,,,B71,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 f2f4 b8c6 d4c6 b7c6 e4e5 d6e5 d1d8 e8d8 f4e5 f6d5 c1d2 f8g7 e1c1 e7e6 c3e4 c8d7 e4d6 h8f8 c2c4 d5b6 d2a5 d8e7 a5b4 g7e5 d6c8 e7e8 c8b6 a7b6 b4f8 a8a2 f8a3 c6c5 c1b1 d7a4 d1d3
EU-ch U10 Girls,Herculane,1994.??.??,8,"Kosteniuk, Alexandra","Pop, Dumitru",1-0,,,B20,e2e4 c7c5 b2b3 g8f6 f1c4 d7d6 c1b2 e7e6 b1c3 a7a6 g1f3 f8e7 e1g1 e8g8 d2d4 c5d4 f3d4 b7b5 c4d3 c8b7 a2a3 b8d7 g1h1 d7c5 d1e2 d8c7 f2f4 a8c8 a1c1 h7h6 h2h3 c7b6 f1f3 g7g6 f3g3 g8h7 f4f5 e6e5 c3d5 b6d8 d5f6 e7f6 e2g4 f8g8 c1f1 f6h4 f5g6 f7g6 f1f7 h7h8 g3e3 h4g5 d4e6 c5e6 g4e6 g5f4 f7b7 c8c7 b7c7 d8c7 e3f3 h8h7 g2g3 g6g5 e6f5 g8g6 g3f4 g5f4 f3f1 c7g7 f1g1 f4f3 f5g6 g7g6 g1g6 h7g6 h1g1 g6g5 b2c1
EU-ch U10 Girls,Herculane,1994.??.??,9,"Motoc, Alina","Kosteniuk, Alexandra",1-0,,,D35,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 c7c6 g1f3 b8d7 e2e3 f8d6 c4d5 e6d5 f1d3 d7f8 a2a3 f8e6 g5f6 d8f6 b2b4 e6g5 d3e2 a7a6 f3g5 f6g5 e2f3 c8d7 d1c2 g5g6 c2g6 h7g6 h2h3 d7f5 e1g1 g6g5 f1d1 e8d7 c3a4 d7c7 a4c5 h8h7 g1f1 b7b6 c5d3 h7h4 a1c1 g5g4 f3d5 f5d7 d5c6 d7c6 d4d5 g4h3 c1c6 c7d7 g2h3 h4h3 f1e2 a8b8 d1c1 h3h4 d3b2 h4h6 b2c4 d6c7 c4d2 h6c6 c1c6 c7d6 d2c4 d6c7 e3e4 b6b5 c4a5 b8b6 c6b6 c7b6 a5c6 d7d6 f2f3 f7f5 e2f1 f5e4 f3e4 b6e3 f1g2 e3c1 g2g3 c1a3 g3g4 a3b2 g4f5 b2c3 f5g6 c3f6 g6f5 f6c3 f5f4 c3d2 f4f3 d2c3 f3e3 c3e1 e3d3 e1f2 c6b8 f2g3 b8a6 g3e1 d3d4 e1f2 d4d3 f2e1 d3e2 e1c3 e2d1 d6e5 a6c5 e5d4 d5d6 c3b4 d6d7 b4a5 c5b3
