Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
URS-ch sf,Kiev,1938.??.??,?,"Kotov, Alexander","Dubinin, Peter Vasilievich",1/2-1/2,,,E34,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 d7d5 e2e3 c7c5 a2a3 c5d4 a3b4 d4c3 b2c3 e8g8 g1f3 d8c7 c2b3 b7b6 c4d5 e6d5 f1e2 b8c6 c1b2 c8e6 e1g1 f6e4 a1d1 a8c8 e2a6 c8b8 a6d3 f8c8 f3d4 c6d4 c3d4 e4d6 d1c1 c7d7 b4b5 e6f5 d3e2 f5e6 e2d3 e6f5 d3e2
URS-ch sf,Kiev,1938.??.??,?,"Dus Chotimirsky, Fedor Ivanovich","Kotov, Alexander",1-0,,,D63,d2d4 g8f6 g1f3 d7d5 c2c4 e7e6 b1c3 b8d7 c1g5 f8e7 e2e3 e8g8 a1c1 c7c6 a2a3 a7a6 c4d5 c6d5 f1d3 b7b5 e1g1 c8b7 a3a4 b5b4 c3b1 f8e8 b1d2 d8a5 d2b3 a5a4 c1c7 a8b8 f3e5 d7f8 g5f6 e7f6 d1h5 f8g6 e5d7 a4b3 d7f6 g7f6 c7f7 e8e7 h5h7
URS-ch sf,Kiev,1938.??.??,?,"Rovner, Dmitry Osipovich","Kotov, Alexander",0-1,,,E17,c2c4 e7e6 g1f3 g8f6 g2g3 d7d5 f1g2 f8e7 e1g1 e8g8 d2d4 b7b6 c4d5 e6d5 b2b3 c8b7 c1b2 b8d7 b1c3 c7c6 d1c2 f8e8 f1e1 e7f8 a1d1 a8c8 e2e4 f6e4 c3e4 d5e4 f3e5 d7f6 g2e4 f6e4 e1e4 d8d5 e4h4 h7h6 f2f3 c6c5 d4c5 f8c5 g1g2 c5d4 c2c8 b7c8 h4e4 d5e4 f3e4 d4b2 e5c4 b2f6 e4e5 c8b7 g2f2 f6e5
URS-ch sf,Kiev,1938.??.??,?,"Kotov, Alexander","Belavenets, Sergey Vesevolodovi",1/2-1/2,,,E13,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 g1f3 b7b6 d1c2 c8b7 c1g5 h7h6 g5h4 d8e7 e2e3 b4c3 c2c3 d7d6 f1d3 b8d7 a1c1 g7g5 h4g3 h6h5 h2h4 g5g4 f3d2 b7g2 h1g1 g2b7 b2b4 e6e5 e1f1 e5e4 d3c2 a7a5 b4b5 e8g8 a2a4 g8h7 f1g2 h7g8 g2f1 g8h7 f1g2 h7g8 g2f1 g8h7 f1g2
URS-ch sf,Kiev,1938.??.??,?,"Verlinsky, Boris","Kotov, Alexander",1/2-1/2,,,B26,e2e4 c7c5 b1c3 b8c6 g1e2 g7g6 g2g3 f8g7 f1g2 e7e6 e1g1 g8e7 d2d3 d7d6 c1e3 c6d4 d1d2 e7c6 f2f4 d8a5 e2c1 c8d7 d2f2 c6b4 c1b3 a5b6 a1c1 e8g8 e4e5 d4f5 e3d2 d6e5 f2c5 e5f4 f1f4 b4c6 c5b6 a7b6 a2a3 c6a5 f4b4 a5b3 b4b3 d7c6 c3e2 b6b5 b3b4 f8d8 g3g4 f5h4 g2c6 b7c6 g1f2 h7h6 c1f1 g6g5 d2c3 f7f5 c3g7 g8g7 f2g3 g7f6 e2c3 f6g6 h2h3 h6h5 a3a4 b5a4 c3a4 h5g4 h3g4 g6f6 a4c5 d8d5 b4c4 a8a2 b2b4 f6e7 f1e1 d5d6 g4f5 h4f5 g3h3 f5d4 c2c3 d4e2 c4e4 e2f4 h3g4 a2g2 g4f3 g2c2 c3c4 e7f7 f3g4 c2g2 g4f3 g2d2 f3g4 d2g2 g4f3 g2d2 f3g4
URS-ch sf,Kiev,1938.??.??,?,"Shipunov, Vladimir","Kotov, Alexander",1/2-1/2,,,E17,d2d4 g8f6 g1f3 b7b6 c2c4 e7e6 g2g3 c8b7 f1g2 f8e7 b1c3 f6e4 d1c2 e4c3 b2c3 d7d5 c4d5 e6d5 e1g1 e8g8 c3c4 c7c6 c1b2 b8a6 f3e5 d8d6 a1c1 a8c8 e2e4 f7f6 e5g4 d6e6 g4e3 d5c4 e3c4 f8d8 a2a3 a6c7 f1d1 c7b5 c2a4 e6d7 c4e3 e7f8 c1c2 g8h8 c2d2 d7e8
URS-ch sf,Kiev,1938.??.??,?,"Shamaev, Leonid","Kotov, Alexander",0-1,,,D61,c2c4 e7e6 g1f3 g8f6 b1c3 d7d5 d2d4 b8d7 c1g5 f8e7 e2e3 e8g8 d1c2 c7c5 f1d3 h7h6 g5h4 d5c4 d3c4 d7b6 c4e2 c5d4 a1d1 f6d5 d1d4 e7h4 d4h4 d5c3 b2c3 c8d7 e1g1 a8c8 f1c1 d8e7 c2b3 c8c7 h4d4 f8c8 f3e5 d7e8 e2d3 e7c5 f2f4 b6d5 g1f2 c5e7 d3c4 e7h4 f2f3 f7f6 c4d5 e6d5 e5g4 g8h8 f4f5 h4g5 d4f4 c7c4 g4f2 e8c6 g2g4 c8e8 c1e1 h6h5 h2h4 g5h4 e1h1 c4f4
URS-ch sf,Kiev,1938.??.??,?,"Kotov, Alexander","Bohatirchuk, Fedor Parfenovich",1/2-1/2,,,E69,d2d4 g8f6 c2c4 d7d6 b1c3 e7e5 g1f3 b8d7 g2g3 g7g6 f1g2 f8g7 e1g1 e8g8 e2e4 c7c6 h2h3 f6e8 c1e3 d8e7 d1d2 f7f5 e4f5 g6f5 d4e5 d6e5 e3h6 e5e4 h6g7 e8g7 f3h2 d7e5 b2b3 f8d8 d2f4 d8d3 c3e2 e5g6 f4h6 c8e6 e2f4 g6f4 h6f4 a8d8 f1e1 a7a5 f4e5 e7b4 g2f1 d3d2 a2a3 b4b6 e1e3 b6d4 e5d4 d8d4 f2f3 d2b2 a1e1 g8f7 e1e2 b2e2 f1e2 a5a4 b3a4 e6c4 e2c4 d4c4 e3b3 c4a4 b3b7
URS-ch sf,Kiev,1938.??.??,?,"Pogrebissky, Iosif","Kotov, Alexander",1-0,,,A30,g1f3 g8f6 g2g3 b7b6 f1g2 c8b7 e1g1 e7e6 c2c4 f8e7 b1c3 c7c5 e2e3 e8g8 d2d4 c5d4 e3d4 d8c8 b2b3 d7d5 d1e2 b8c6 c1e3 d5c4 b3c4 c6a5 f3e5 b7g2 g1g2 c8b7 g2g1 a8c8 a1b1 f6d7 e5d7 b7d7 c4c5 b6c5 f1d1 d7c6 d4d5 e6d5 c3d5 f8e8 d5e7 e8e7 e2b5 c6b5 b1b5 a5b7 d1b1 b7d6 b5c5 c8a8 a2a4 f7f6 a4a5 a7a6 b1b6 d6b7 c5d5 g8f7 g1g2 b7d8 h2h4 d8e6 g2f3 e6c7 d5d6 a8e8 b6b7 e8a8 e3c5 c7d5 b7e7 d5e7 d6d7 a8e8 f3e4 f7e6 d7e7 e8e7 c5e7 e6e7 e4d5 e7d7 d5c5 d7c7 h4h5 f6f5 f2f3 g7g6 h5g6 h7g6 f3f4 c7d7 c5b6
URS-ch sf,Kiev,1938.??.??,?,"Kotov, Alexander","Freiman, Sergey Nikolaevich",1-0,,,D30,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 e2e3 e7e6 f1d3 b8d7 b1d2 f8e7 e1g1 e8g8 b2b3 b7b6 c1b2 c8b7 d1e2 c6c5 f1d1 a8c8 a1c1 c8c7 f3e5 d8a8 f2f4 d5c4 b3c4 f6e4 d3e4 b7e4 d4d5 d7f6 d2e4 f6e4 d5e6 f7e6 e2g4 f8f5 g4f3 a8b7 d1d3 e4f6 f3b7 c7b7 g2g4 f5e5 b2e5 f6g4 e5c3 g8f7 a2a4 e6e5 c3e5 g4e5 f4e5 f7e6 c1f1 e7g5 d3d6 e6e7 f1f3 e7e8 e3e4 b7e7 e5e6 g5f6 f3f5 f6d4 g1g2
URS-ch sf,Kiev,1938.??.??,?,"Chistiakov, Alexander Nikolaevi","Kotov, Alexander",0-1,,,C71,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 d7d6 b1c3 c8d7 a4c6 d7c6 d2d4 f7f6 c1e3 g7g6 d1d2 f8g7 e1c1 d8d7 h2h4 d7f7 h4h5 g6h5 d4e5 f6e5 c3d5 e8c8 d2a5 h7h6 f3d2 c6d5 e4d5 g8e7 d2c4 g7f6 c1b1 h8g8 h1h3 g8g4 c4a3 g4g2 e3h6 f6g5 h6g5 g2g5 b1a1 d8g8 b2b3 g5g1 h3d3 e5e4 d3d2 g1d1 d2d1 f7f2 a5c3 e4e3 a1b2 e3e2 d1h1 e7d5 c3h3 c8b8 h3h5 f2d4 b2b1 g8g1 h1g1 d4g1
