Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Tbilisi,Tbilisi,1985.??.??,?,"Naumkin, Igor","Krasenkow, Michal",1/2-1/2,2370,,D85,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 f8g7 g1f3 c7c5 a1b1 e8g8 f1e2 d8a5 e1g1 c5d4 c3d4 a5a2 c1g5 f8e8 e2b5 c8d7 b5d7 b8d7 b1b7 d7f6 d1d3 a8b8 f1b1 b8b7 b1b7 a2a4 h2h3 g7f8 f3e5 e8d8 g5f6 e7f6 d3f3 d8d6 e5f7 d6d7 e4e5 a4a1 g1h2 a1d4 f3f6 d7b7 f6h8 g8f7 e5e6 f7e6 h8d4 b7e7 g2g3 e6f7 h2g2 f7g8 g2f3 h7h6 f3g4 e7f7 f2f4 g8h7 d4d5 h6h5 g4f3 f7f6 d5d7 f8g7 d7a7 h7g8 a7d7 g8h7 f3e4 f6f5 d7d8 f5c5 d8b8 c5f5 g3g4 h5g4 h3g4 f5f6 b8b3 f6f8 b3h3 h7g8 h3h4 f8f6 h4h2 f6a6 h2d2 a6f6 d2c1 g8h7 c1c7 h7g8 c7e7 g8h7 e4f3 f6a6 f3g3 h7g8 e7e8 g8h7 e8d7 a6f6 f4f5 f6f8 g3h4 g6f5 g4g5 f5f4 h4h5 f4f3 d7d3 h7h8 h5g6 g7e5 d3e4 f8g8 g6h5 e5g7 e4f3 g7f8 f3c3 g8g7 c3f6 h8g8 f6e6 g8h8 h5g4 g7e7 e6d5 e7g7 g4f5 g7e7 f5f6 e7g7 d5a8 h8g8 g5g6 g7e7 a8b8 e7g7 b8b3 g8h8 b3b8 h8g8
Tbilisi,Tbilisi,1985.??.??,?,"Krasenkow, Michal","Tseitlin, Mark D",1-0,,2445,E91,g1f3 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 e8g8 d2d4 d7d6 f1e2 c8g4 c1e3 f6d7 f3g1 g4e2 g1e2 e7e5 e1g1 e5d4 e2d4 f8e8 d1d2 d7c5 a1e1 b8c6 d4c6 b7c6 e3d4 g7d4 d2d4 a7a5 f2f4 d8b8 f1f2 b8b4 a2a3 b4b3 e4e5 f7f5 f2e2 c5e6 e5d6 e6d4 e2e8 a8e8 e1e8 g8f7 d6c7 d4e2 g1f1 e2c3 c7c8q b3d1 e8e1 d1d3 f1g1 d3d4 g1h1 c3e4 c8c7 f7g8 h2h3 d4f2 c7d8 g8g7 e1e4 f5e4 d8e7 g7g8 e7e4 f2b2 h1h2 b2a3 e4c6 a5a4 c4c5 a3c3 c6a4 c3c5 a4e8 g8g7 e8e5 c5e5 f4e5 g6g5 h2g3 g7g6 e5e6 g6f6 g3g4 f6g6 e6e7 h7h5 g4f3 g6f7 f3e4
Tbilisi,Tbilisi,1985.??.??,?,"Semeniuk, Alexander A","Krasenkow, Michal",1/2-1/2,,,B33,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 d4b5 d7d6 c1f4 e6e5 f4g5 a7a6 b5a3 b7b5 c3d5 f8e7 g5f6 e7f6 c2c3 c6e7 d5e7 f6e7 f1e2 c8e6 e2f3 d8b6 e1g1 e8g8 a3c2 e7g5 f3g4 g5h6 g4e6 f7e6 d1e2 f8f7 g1h1 a6a5 f2f3 f7c7 a2a3 g7g6 a1d1 b6c6 d1d3 c6c4 f1d1 h6f8 e2d2 a8b8 c2e3 c4c5 e3g4 b5b4 a3b4 a5b4 h2h3 f8e7 d1a1 c5b6 c3b4 b6b4 a1a8 c7b7 d2b4 b7b4 a8b8 b4b8 b2b3 b8c8
Tbilisi,Tbilisi,1985.??.??,?,"Lanka, Zigurds","Krasenkow, Michal",1-0,2370,,B33,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5 d4b5 d7d6 c1g5 a7a6 b5a3 b7b5 g5f6 g7f6 c3d5 f6f5 g2g3 f5e4 f1g2 c8e6 g2e4 a8c8 c2c3 f8g7 d1h5 c6e7 a1d1 c8c5 d5b4 d8b6 h5g5 e8f8 g5e3 f7f5 e4g2 e5e4 e1g1 f8f7 f1e1 e7g6 a3c2 a6a5 b4d3 c5c6 c2d4 c6c4 d3f4 g6f4 e3f4 g7d4 c3d4 d6d5 f4e3 b6c7 e3h6 c7e7 g2f1 c4c8 f1b5 e7f6 h6f4 c8c2 b5e2 f7g6 h2h4 h7h6 d1d2 h8c8 e1d1 e6d7 d2c2 c8c2 d1d2 c2d2 f4d2 f5f4 h4h5 g6g5 d2a5
Tbilisi,Tbilisi,1985.??.??,?,"Lukianov, I.","Krasenkow, Michal",1/2-1/2,,,B33,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 d4b5 d7d6 c1f4 e6e5 f4g5 a7a6 b5a3 b7b5 c3d5 f8e7 g5f6 e7f6 c2c3 c6e7 d5f6 g7f6 g2g3 c8b7 f1g2 f6f5 d1d3 d8b6 e1g1 e7g6 a3c2 h8g8 e4f5 g6f4 d3e3 b6e3 c2e3 f4g2 e3g2 b7g2 g1g2 g8g5 a2a4 a8b8 a4b5 a6b5 a1a6 e8e7 f2f4 g5f5 f4e5 f5e5 a6a7 e7e6 a7f7 h7h5 f7f4 b8a8 f1f2 a8a1 f4d4 a1a4 g2f3 a4d4 c3d4 e5g5 f3e4 h5h4 d4d5 e6e7 f2f5 g5g8 e4f3 h4g3 h2g3 g8c8 f5f4 c8c5 f3e4 b5b4 g3g4 b4b3 f4f3 c5c4 e4f5 c4d4 f3b3 d4d5 f5g6 d5d2 b3e3 e7d7 b2b3 d6d5 g4g5 d5d4 e3g3 d7e6 g6g7 d2c2 g5g6 c2c3 g3c3 d4c3 g7f8 c3c2 g6g7 c2c1q g7g8q e6d6 g8g3 d6c6 g3g2 c6c5 g2b7 c1h6 f8e8 h6h8 e8d7 h8g7
Tbilisi,Tbilisi,1985.??.??,?,"Krasenkow, Michal","Nenashev, Alexander",1-0,2635,2405,D31,d2d4 d7d5 c2c4 e7e6 b1c3 c7c6 g1f3 d5c4 c1g5 f7f6 g5f4 g8e7 e2e4 e7g6 f4d2 b7b5 h2h4 f8b4 h4h5 g6e7 h5h6 g7g6 b2b3 c4b3 d1b3 a7a5 a2a4 b4c3 d2c3 b5b4 c3b2 b8a6 d4d5 e6d5 b2f6 e8g8 b3b2 a6c5 f6h4 d5d4 f3d4 f8f7 d4c6 d8d3 c6e7 f7e7 h4e7 d3e4 b2e2 c5d3 e1d2 e4d4 e2d3 d4b2 d2e3 c8e6 d3d4
Tbilisi,Tbilisi,1985.??.??,?,"Krasenkow, Michal","Levin, Felix",0-1,,2295,E12,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 b1c3 c8b7 a2a3 d7d5 c4d5 f6d5 d1a4 c7c6 e2e4 d5c3 b2c3 b8d7 f1d3 f8e7 a4c2 c6c5 c1b2 d8c7 c2e2 e8g8 e1g1 f8e8 a1d1 a8c8 f1e1 e7f8 e4e5 h7h6 f3d2 b7d5 f2f4 c5c4 d3b1 f7f5 e5f6 d7f6 d2f3 d5f3 e2f3 f8d6 g2g3 c7c6 f3f1 c6b5 d1d2 g8f7 d2e2 e8e7 f1f2 b5c6 h2h3 c8e8 g3g4 f6d5 e2e4 f7g8 g4g5 e8f8 f2c2 d6f4 e1f1 f4g5 e4e1 f8f1 e1f1 e7f7 c2h7 g8f8 f1f7 f8f7 b1g6 f7f6 g6e4 c6e8 e4f3 e8g6 h7g6 f6g6 a3a4
Tbilisi,Tbilisi,1985.??.??,?,"Krasenkow, Michal","Nenashev, Alexander",0-1,,2405,C46,e2e4 e7e5 g1f3 b8c6 b1c3 f8c5 f3e5 c5f2 e1f2 c6e5 d2d4 e5c6 c1e3 d7d6 f1d3 g8h6 h2h3 e8g8 h1f1 d8h4 f2g1 c8h3 e3h6 g7h6 d1f3 h3g4 f3f4 c6e7 d3c4 e7g6 f4f6 h4f6 f1f6 a8e8 a1f1 g4e6 c4d3 g8g7 c3e2 h6h5 a2a4 e6g4 e2c3 e8e6 f6f2 c7c6 d3c4 e6e7 f2f6 e7d7 c3b1 a7a6 a4a5 d6d5 e4d5 c6d5 c4d3 f8e8 b1c3 h5h4 c3a4 d7e7 a4b6 e8d8 g1h2 h7h5 f1f2 g6f8 c2c3 f8e6 f2f1 e6g5 f6f4 h4h3 g2g3 e7e3 d3b1 d8e8 f4f2 e3e2 b1d3 g5f3 h2h1 e2f2 f1f2 e8e1 f2f1 e1e3
Vani,Vani,1985.??.??,?,"Tkebuchava, Gocha","Krasenkow, Michal",1-0,,,D00,d2d4 g8f6 g1f3 g7g6 b1c3 d7d5 c1f4 f8g7 d1d2 e8g8 f4h6 c8f5 h6g7 g8g7 e2e3 d8d6 f1d3 b8d7 e1g1 c7c6 d3f5 g6f5 f3h4 e7e6 d2d3 g7h8 f2f3 f8g8 g1h1 f6h5 d3d2 d6e7 d2f2 c6c5 g2g3 c5d4 e3d4 e7b4 a1b1 g8g7 f1g1 a8g8 a2a3 b4d6 c3e2 d7f8 f2e3 h5f6 e2f4 f8g6 h4g2 g8c8 c2c3 g6f4 g2f4 g7g8 f4d3 f6d7 b1f1 g8g7 g3g4 f5g4 f3g4 f7f6 g4g5 f6g5 g1g5 c8g8 g5h5 d6c7 h5h6 g7g2 d3e5 g2b2 e3c1 d7e5 c1b2 c7g7 h6h3 g7g4 h3g3 g4e4 b2g2 e4g2 g3g2 e5c4 f1f7 g8g2 h1g2 c4a3 f7b7 a7a5 g2f3
Vani,Vani,1985.??.??,?,"Tunik, Gennady","Krasenkow, Michal",1-0,2435,,B22,e2e4 c7c5 c2c3 d7d5 e4d5 d8d5 d2d4 e7e6 g1f3 g8f6 b1a3 f8e7 a3b5 b8a6 f1e2 e8g8 e1g1 c5d4 d1d4 b7b6 d4d5 f6d5 f3d4 c8b7 e2f3 a6c5 b2b4 c5d3 c3c4 a7a6 c4d5 e7f6 f1d1 d3b4 c1a3 a6b5 a3b4 f8d8 d5d6
