Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Marshall op,New York,1979.??.??,1,"Kudrin, Sergey","Ostojic, Predrag",0-1,2360,2410,B80,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 e7e6 a2a4 b7b6 g2g3 c8b7 f1g2 d8c7 g3g4 b8c6 g4g5 f6d7 f2f4 c6a5 d4e2 a5c4 e3c1 f8e7 b2b3 c4a5 e1g1 e8g8 g1h1 f8e8 c1a3 a8d8 d1d2 d7c5 d2e1 a5c6 a1d1 e7f8 d1d2 c6e7 e1f2 d6d5 a4a5 c5e4 c3e4 d5e4 a5b6 c7c8 d2d8 e8d8 c2c4 e7f5 a3f8 g8f8 e2c3 e4e3 g2b7 c8b7 f2f3 b7b6 f1d1 d8d1 f3d1 b6d4 d1f3 g7g6 c3e2 d4d1 e2g1 d1b3 f3e4 b3d1 h1g2 d1d2 g2h1 d2d4 e4c6 d4f4 c4c5 f5d4 c6a8 f8g7 a8g2 e3e2 g1e2 d4e2 g2e2 f4c1 h1g2 c1g5
Marshall op,New York,1979.??.??,2,"Paolozzi, Marcos","Kudrin, Sergey",1-0,2375,2360,B33,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 d4b5 d7d6 c1f4 e6e5 f4g5 a7a6 b5a3 b7b5 g5f6 g7f6 c3d5 f6f5 f1d3 c8e6 d1h5 f8g7 e1g1 f5f4 c2c4 b5c4 d3c4 e8g8 a1c1 c6e7 f1d1 a8c8 h5e2 g8h8 e2d2 e6d5 c4d5 f7f5 c1c8 d8c8 a3c4 f8f6 b2b3 g7f8 d1c1 e7d5 d2d5 f5e4 d5e4 f4f3 g2g3 f8h6 c1c3 c8f8 c4b6 f8f7 b6d5 f6f5 g3g4 f5g5 c3c7 f7g6 c7c8 h8g7 c8g8 g7g8 d5e7 g8g7 e7g6 g5g6 e4f3 h6f4 f3b7 g7f6 h2h3 h7h5 b7a6 e5e4 a6c8 h5g4 h3g4 g6g5 a2a4 g5c5 c8f8 f6g5 f8g7 g5h4 g7h7 h4g4 h7e4 c5e5 e4g6 e5g5 g6e6 g4f3 g1f1 g5e5 e6g6 e5g5 g6d3 f3g4 b3b4 g5h5 d3g6 h5g5 g6e6 g4h4 a4a5 g5b5 e6c4 b5f5 a5a6 h4g5 c4g8
Marshall op,New York,1979.??.??,3,"Kudrin, Sergey","Williams, Alan P",1-0,2360,2395,B90,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 e7e6 a2a4 d8c7 g2g3 b7b6 f1g2 c8b7 g3g4 b8c6 g4g5 f6d7 e1g1 c6a5 d4e2 a5c4 e3c1 f8e7 b2b3 c4e5 f2f4 e5c6 c1e3 d7c5 d1e1 e8c8 e2d4 c6d4 e3d4 e6e5 f4e5 d6e5 d4e3 h8f8 c3d5 b7d5 e4d5 e7d6 b3b4 c5d7 c2c4 c8b8 e1c3 e5e4 h2h3 d6e5 e3d4 e5h2 g1h1 f7f5 g5f6 d7f6 d4b6 c7b6 h1h2 b8a8 c4c5 f6d5 g2e4 b6c7 c3g3 c7g3 h2g3 f8e8 e4g2 a8b8 f1f7 d5e3 g2f3 h7h6 b4b5 a6a5 c5c6 e8e7 f7e7 e3f5 g3f2 f5e7 b5b6 d8d2 f2g1 d2c2
Marshall op,New York,1979.??.??,4,"Benjamin, Joel","Kudrin, Sergey",1/2-1/2,2320,2360,A14,g1f3 g8f6 c2c4 e7e6 g2g3 b7b6 f1g2 c8b7 e1g1 d7d5 b2b3 f8e7 c1b2 e8g8 d2d3 c7c5 b1d2 b8c6 a2a3 d8c7 a1c1 a8d8 c4d5 f6d5 d2e4 c7b8 d1c2 e6e5 e2e3 h7h6 f1d1 g8h8 c2b1 f7f5 e4d2 e7f6 b1a1 d5e7 d2c4 e7g6 a3a4 f8e8 h2h4 h8h7 b2c3 g6h8 a1b2 h8f7 b2e2 c6d4 f3d4 e5d4 c3d2 d4e3 d2e3 b7g2 g1g2 f5f4 g3f4 b8f4 e3f4 e8e2 h4h5 f6g5 f4g5 f7g5 d1e1 d8e8 e1e2 e8e2 a4a5 g5e6 a5b6 a7b6 c4b6 e6f4 g2f3 f4d3 c1c3 e2e6 c3d3 e6b6 d3c3 b6b4 f3g3 g7g6
Marshall op,New York,1979.??.??,5,"Evans, Larry D","Kudrin, Sergey",0-1,2375,2360,B22,e2e4 c7c5 g1f3 e7e6 c2c3 d7d5 e4d5 d8d5 d2d4 g8f6 f1d3 f8e7 e1g1 c5d4 c3d4 e8g8 b1c3 d5d8 f1e1 b7b6 d3c2 c8b7 d1d3 b7a6 d3e3 b8c6 a2a3 a8c8 e3f4 g7g6 c1e3 c6a5 a1d1 a6b7 d4d5 b7d5 e3d4 a5c6 f4h6 c6d4 d1d4 f8e8 c2a4 e7f8 h6f4 f8d6 f4h4 f6d7 h4d8 e8d8 c3d5 e6d5 d4d5 d7c5 e1e8 d8e8 a4e8 d6h2 g1h2 c8e8 b2b4 c5e4 h2g1 e8e7 f3d4 e7c7 d5d8 g8g7 g1f1 e4d2 f1e1 d2b1 a3a4 c7c4 e1d1 c4b4 d1c2 b1a3 c2c3 b4a4 c3b3 a4a5 d4c6 a5c5 c6a7 a3b5 a7c8 b5d4 b3b2 d4e6 d8e8 c5e5
Marshall op,New York,1979.??.??,6,"Kudrin, Sergey","Tisdall, Jonathan D",1-0,2360,2350,B46,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 b1c3 a7a6 g2g3 g8e7 d4b3 d7d6 f1g2 c8d7 e1g1 e7c8 a2a4 f8e7 f2f4 e8g8 c1e3 d8c7 g1h1 e7f6 a4a5 f6c3 b2c3 e6e5 f4f5 c6e7 f5f6 e7g6 f6g7 f8e8 d1f3 d7e6 b3d2 c7d7 f3h5 e6g4 h5h6 e8e6 h6g5 e6e8 h2h4 c8a7 h4h5 g6e7 f1f6 a7c6 a1f1 c6d8 f6h6
Marshall op,New York,1979.??.??,7,"Biyiasas, Peter","Kudrin, Sergey",1/2-1/2,2485,2360,A05,g1f3 e7e6 g2g3 b7b6 f1g2 c8b7 e1g1 g8f6 d2d3 d7d5 b1d2 b8d7 a2a3 c7c5 f1e1 d8c7 e2e4 d5e4 d2e4 f6e4 d3e4 f8e7 e4e5 e8g8 c1f4 c5c4 d1e2 b6b5 a1d1 d7b6 h2h4 a7a6 f4g5 b6a4 c2c3 a4c5 d1d4 c5d3 g5e7 c7e7 e1f1 e7c7 h4h5 h7h6 b2b3 a8d8 b3c4 b5c4 f1b1 b7f3 e2f3 d3e5 f3f4 c7c5 f4e3 c5a5 d4e4 e5d7 e4c4 a5a3 b1b7 d7f6 g2f3 d8c8 c4c7 c8c7 b7c7 f6d5 f3d5 e6d5 c7d7 a3b3 e3d3 b3c4 d3d5 c4c3 d7a7 c3f6 d5a5 f8e8 a7a6 f6f3 a6b6 e8d8 b6b1 d8d5 a5a8 g8h7 b1e1 f3h5 g1g2 d5d4 e1e8 h5d5 a8d5 d4d5 e8e7 h7g6 e7a7 d5d2 a7b7 d2a2 b7b6 g6g5 b6b7 g5g6 b7b6 f7f6 b6b7 h6h5 b7c7 g6h6 c7f7 a2a6 f7f8 h6g5 f8h8 g7g6 h8h7 f6f5 h7b7 h5h4 b7b4 h4g3 f2g3 a6a2 g2h3 a2e2 b4b8 e2e6 b8b4
Marshall op,New York,1979.??.??,8,"Kudrin, Sergey","Soltis, Andrew E",1-0,2360,2445,B06,e2e4 g7g6 d2d4 f8g7 b1c3 d7d6 f2f4 c7c6 g1f3 d8b6 f1c4 g8h6 c4b3 c8g4 c1e3 g4f3 g2f3 b6a5 f4f5 b8d7 d1d2 h6g8 f5g6 h7g6 e1c1 g8f6 c1b1 h8h3 d2e2 a5h5 e2c4 d6d5 e4d5 d7b6 c4b4 f6d5 b3d5 c6d5 a2a4 h3f3 h1e1 e7e6 a4a5 b6c4 b4b7 a8d8 e3c1 e8f8 b2b3 h5h2 e1f1 c4d6 c1a3 h2g2 f1f3 g2f3 b7c7 g7f6 a3d6 f8g8 d6e5 f6h4 d1g1
Marshall op,New York,1979.??.??,9,"Zuckerman, Bernard","Kudrin, Sergey",1-0,2480,2360,B78,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 c1e3 f8g7 f2f3 b8c6 d1d2 e8g8 f1c4 c8d7 h2h4 a8c8 c4b3 h7h5 e1c1 c6e5 e3g5 c8c5 f3f4 e5c6 e4e5 c6d4 d2d4 c5c6 d4a7 d7g4 e5f6 e7f6 a7b7 c6b6 b7d5 g4d1 h1d1 f6g5 h4g5 d8a8 d5a8 f8a8 c3d5 b6b7 d1e1 g8f8 c2c3 a8e8 e1e8 f8e8 c1c2 e8d7 b3c4 b7b8 a2a4 b8f8 c4d3 d7e6 d3e4 f7f6 g5f6 g7f6 a4a5 f6h4 a5a6 h4f2 b2b4 f8c8 c2d3 h5h4 c3c4 c8g8 b4b5 g6g5 f4g5 g8g5 b5b6 g5g3 d3e2 f2b6 d5b6 g3a3 e4b7 e6e5 b6c8 e5d4 a6a7 d4c4 c8d6 c4d4 a7a8q a3a8 b7a8
Marshall op,New York,1979.??.??,10,"Kudrin, Sergey","Goodman, David SC",0-1,2360,2340,B09,e2e4 g7g6 d2d4 d7d6 b1c3 f8g7 f2f4 b8c6 c1e3 g8f6 g1f3 e8g8 f1d3 f6g4 e3g1 e7e5 d4d5 c6d4 h2h3 g4h6 g1d4 e5d4 c3e2 f7f5 e1g1 d8e7 e4e5 d6e5 f4e5 g7e5 d3c4 e5d6 e2d4 e7e3 g1h1 h6g4 d1d2 e3d2 f3d2 g4e3 f1e1 f5f4 c4b3 c8f5 d2c4 e3c4 b3c4 f4f3 d4f5 f8f5 g2f3 f5f3 c4f1 a8f8 f1g2 f3f2 g2e4 f2h2 h1g1 f8f2 b2b4 d6b4 d5d6 c7d6 e4d5 g8g7 e1e7 g7h6 e7f7 f2c2 d5b7 h2h3 b7e4 c2d2 a1c1 b4c5 g1f1 h3g3 f1e1 d2h2
