Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Wch U10 Girls,Oropesa del Mar,1998.??.??,1,"Lahno, Kateryna","Algaba, Solene",1-0,,,B73,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 f1e2 g7g6 c1e3 f8g7 h2h3 e8g8 e1g1 c8d7 d4b3 a8c8 f2f4 g7h6 g2g4 h6g7 d1e1 c6b4 a1c1 d7c6 a2a3 b4a6 e2f3 e7e5 c1d1 d8c7 e1h4 f8e8 f4f5 b7b5 d1d2 b5b4 a3b4 a6b4 f1d1 e8d8 h4f2 c8a8 f2e2 c6b7 c3b5 c7c6 b3a5 c6d7 d2d6 d7e7 a5b7 d8d6 b7d6
Wch U10 Girls,Oropesa del Mar,1998.??.??,2,"Bacionyte, A.","Lahno, Kateryna",0-1,,,C55,e2e4 e7e5 g1f3 g8f6 b1c3 b8c6 f1c4 f6e4 c4f7 e8f7 c3e4 d7d5 e4g3 e5e4 f3g1 f8c5 g1e2 h8f8 e1g1 f7g8 d2d4 e4d3 d1d3 c6e5 d3c3 d8d6 c1f4 d5d4 f4e5 d6e5 c3d3 f8e8 a1d1 c8g4 d1d2 a8d8 d3c4 g4e6 c4a4 c7c6 b2b4 c5b6 a4a3 e6c4 f1d1 e8f8 c2c3 d4d3 e2c1 f8f2 d2f2 e5e3 a3b2 d3d2 g3h1 e3e1
Wch U10 Girls,Oropesa del Mar,1998.??.??,3,"Lahno, Kateryna","Vassilkova, S.",0-1,,,B85,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f1e2 f8e7 e1g1 e8g8 c1e3 a7a6 a2a4 b8c6 f2f4 d8c7 d4b3 b7b6 e2f3 c8b7 g2g4 f6d7 g4g5 d7c5 b3d2 c6b4 c3e2 d6d5 e4e5 b4c6 c2c3 a6a5 e2d4 c6d4 c3d4 c5d3 f3e2 b7a6 a1b1 c7b7 d2b3 d3b4 e2b5 a8c8 e3d2 a6b5 a4b5 b7d7 d2b4 e7b4 d1d3 c8c4 f1d1 f8c8 b3d2 b4d2 d3d2 d7b5 b2b3 c4c2 d1c1 b5c6 c1c2 c6c2 d2c2 c8c2 b1d1 c2b2 d1c1 g7g6 c1c8 g8g7 c8c3 b2d2 c3c6 d2d4 c6b6 d4f4 b6a6 f4b4 a6a5 b4b3 g1f2 b3b2 f2g3 b2e2
Wch U10 Girls,Oropesa del Mar,1998.??.??,4,"Lahno, Kateryna","Abrahamian, T.",1-0,,,C01,e2e4 e7e6 d2d4 d7d5 e4d5 e6d5 f1d3 f8d6 g1f3 g8e7 e1g1 e8g8 f1e1 c8f5 c2c3 f5d3 d1d3 b8d7 b1d2 d7f6 f3e5 e7g6 d3f5 d6e5 d4e5 d8d7 f5f3 f8e8 f3g3 d7f5 d2f3 f6e4 g3h3 e8e5 h3f5 e5f5 f3d4 f5e5 f2f3 e4d6 e1e5 g6e5 c1f4 f7f6 a1d1 a8d8 d4e6 d8c8 f4e5 f6e5 d1d5 g8f7 e6c7 d6c4 d5d7 f7f6 c7b5 a7a6 b5d6 f6e6 d6c4 e6d7 c4b6 d7c7 b6c8 c7c8 g1f2 c8d7 f2e3 d7d6 e3e4 b7b5 b2b3 a6a5 g2g3 d6e6 f3f4 e5f4 e4f4 e6d5 f4e3 d5c5 e3d3 c5d5 c3c4 b5c4 b3c4 d5c5 d3c3 a5a4 h2h3 g7g6 a2a3
Wch U10 Girls,Oropesa del Mar,1998.??.??,5,"Xing, J.","Lahno, Kateryna",1-0,,,C44,e2e4 e7e5 g1f3 g8f6 d2d3 b8c6 g2g3 f8e7 f1g2 e8g8 c1d2 d7d6 e1g1 h7h6 c2c4 c8g4 d2c3 d8d7 b1a3 f6h7 d1b3 a7a5 f3d2 h7g5 f2f3 g4h5 g3g4 h5g6 b3d1 g5e6 a3c2 e6f4 d2b3 e7g5 b3c1 g6h7 c1e2 c6e7 e2f4 g5f4 c3d2 e7g6 c2e3 c7c6 e3f5 d6d5 d2f4 g6f4 f5g3 a8d8 c4d5 c6d5 g3e2 f4g2 g1g2 d5e4 d3e4 d7b5 d1c2 d8c8 e2c3 f8d8 a1d1 b5c6 d1d8 c8d8 f1d1 d8d4 c2b3 c6d7 d1d4 e5d4 b3d5 d7d5 c3d5 g8f8 g2f2 f8e8 f2e2 e8d7 e2d3 d7d6 d3d4 f7f6 d5f4 g7g6 h2h4 b7b6 h4h5 g6g5 f4d5 h7g8 a2a4
Wch U10 Girls,Oropesa del Mar,1998.??.??,6,"Ambrosi, Eleonora","Lahno, Kateryna",1/2-1/2,,,C47,e2e4 e7e5 g1f3 g8f6 b1c3 b8c6 d2d4 e5d4 f3d4 f8b4 d4c6 b7c6 f1d3 d7d5 e4d5 c6d5 d1e2 d8e7 e2e7 b4e7 c1f4 c7c6 e1c1 e8g8 h2h3 c8e6 c1b1 a8d8 g2g4 d5d4 c3e4 f6d5 f4g3 c6c5 a2a3 d8d7 e4d2 d5b6 f2f4 c5c4 d3e4 c4c3 f4f5 e6d5 e4d5 d7d5 d2b3 b6c4 b2c3 c4a3 b1c1 f8c8 d1d4 d5d4 b3d4 c8c3 g3f2 a7a5 h1e1 e7f8 h3h4 a5a4 c1b2 f8b4 e1a1 a3c4 b2b1 c4d2 b1b2 a4a3 b2a2 d2f3 a1c1
Wch U10 Girls,Oropesa del Mar,1998.??.??,7,"Lahno, Kateryna","Herrera, Miguel",1-0,,2355,C54,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d4 e5d4 c3d4 c5b4 c1d2 b4d2 b1d2 d7d5 e4d5 f6d5 d1b3 c6e7 e1g1 e8g8 f1e1 d5b6 c4d3 e7c6 d3e4 c6d4 f3d4 d8d4 b3c2 f7f5 d2f3 d4a4 e4d5 g8h8 d5b3 a4c6 c2c6 b7c6 f3e5 c6c5 a1c1 b6d7 e5f7 h8g8 e1e7 d7f6 c1c5 h7h6 c5c7 g8h7 f7e5 f6h5 b3d1 f8g8 d1h5 c8a6 h5g6 h7h8 e5f7
Wch U10 Girls,Oropesa del Mar,1998.??.??,8,"Atnilov, B.","Lahno, Kateryna",0-1,,,C49,e2e4 e7e5 g1f3 g8f6 b1c3 b8c6 f1b5 f8b4 e1g1 e8g8 d2d3 d7d6 c1g5 b4c3 b2c3 d8e7 f1e1 c6d8 d3d4 d8e6 g5h4 c7c5 d4e5 d6e5 f3e5 e6c7 e5f3 c7b5 e4e5 e7d7 e5f6 d7d1 a1d1 c8e6 e1e5 f8d8 d1e1 d8d5 e5e3 b5a3 e3d3 a3c2 e1d1 d5d3 d1d3 e6a2 f3e5 a2e6 f6g7 a7a5 c3c4 a5a4 d3d2 a4a3 d2c2 a3a2 c2a2 a8a2
Wch U10 Girls,Oropesa del Mar,1998.??.??,9,"Lahno, Kateryna","Borosova, Zuzana",1-0,,,C54,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d3 h7h6 e1g1 e8g8 c4b3 d7d5 d1e2 c8g4 b1d2 d5d4 f1d1 f6h5 d2f1 h5f6 f1g3 d8d7 h2h3 g4e6 b3c2 f6h7 f3h4 c6e7 e2h5 f7f6 c2b3 e6b3 a2b3 h7g5 h4f5 a8d8 h3h4 g5e6 h5g4 g8h7 c3c4 a7a6 f5e7 d7e7 g3f5 e7f7 c1d2 f7g6 g4f3 g6f7 g2g4 f8h8 g1g2 g7g5 d1h1 h7g6 b3b4 c5e7 f3h3 e6f4 d2f4 e5f4 h4g5 f7h7 h3h5
Wch U10 Girls,Oropesa del Mar,1998.??.??,10,"Lacau Rodeanu, Iulia","Lahno, Kateryna",0-1,,,C42,e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5f3 f6e4 d2d4 d6d5 f1d3 f8d6 e1g1 e8g8 c2c4 c7c6 b1c3 e4c3 b2c3 d5c4 d3c4 c8g4 d1d3 g4h5 f1e1 b8d7 f3g5 d7f6 g5e4 f6e4 d3e4 d8d7 e4h4 h5g6 c1e3 f8e8 a1d1 e8e4 h4h3 d7e7 g2g3 e7f6 h3g2 e4e7 e1e2 g6e4 g2h3 a8e8 c4d3 e4d3 d1d3 f6g6 d3d1 d6f4 g1f1 f4e3 e2e3 e7e3 f2e3 g6c2 d1e1 e8e6 h3g2 c2c3 g2e2 a7a5 f1f2 c6c5 d4d5 e6b6 e2d1 c5c4 d5d6 c3f6 f2g1 f6d6 d1d6 b6d6 e1c1 d6c6 c1b1 b7b6 g1f2 c4c3 f2e2 c3c2 b1c1 g8f8 e2d2 f8e7 c1c2 c6c2 d2c2 e7d6 c2d3 d6c5 a2a3 b6b5 d3c3 b5b4 a3b4 a5b4 c3b3 f7f5 h2h3 c5d5 b3b4 d5e4 b4c3 e4e3 c3c2 e3f3 c2d1 f3g3 d1e2 f5f4
Wch U10 Girls,Oropesa del Mar,1998.??.??,11,"Nebolsina, Vera","Lahno, Kateryna",1/2-1/2,,,C47,e2e4 e7e5 g1f3 g8f6 b1c3 b8c6 g2g3 f8e7 f1g2 e8g8 e1g1 d7d6 h2h3 h7h6 d2d4 e5d4 f3d4 c8d7 c1e3 c6d4 d1d4 d7c6 a1d1 f8e8 f1e1 e7f8 f2f4 d8e7 e3f2 f6d7 c3d5 c6d5 d4d5 c7c6 d5d4 d7b6 b2b3 a8d8 c2c4 e7c7 a2a4 f8e7 a4a5 b6c8 d4c3 e7f6 c3d2 c6c5 f2e3
Wch U10 Girls,Oropesa del Mar,1999.10.25,2,"Lahno, Kateryna",Xiaowen Zhang,1/2-1/2,,,C01,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4d5 e6d5 f1d3 b8c6 g1e2 g8e7 e1g1 e8g8 c1f4 c8g4 f2f3 g4h5 a2a3 b4d6 d1d2 h5g6 g1h1 f8e8 a1e1 a7a6 d3g6 h7g6 e2g3 c6a5 b2b3 b7b6 f4d6 d8d6 a3a4 a8d8 d2d3 a5c6 e1e2 d6f4 f1d1 c6b4 d3d2 f4d2 d1d2 c7c5 d4c5 b6c5 d2d1 d5d4 c3e4 e7f5 g3f1 f5d6 f1g3 d6f5 g3f1 f5d6 f1g3 d6e4 f3e4 e8e5 e2d2 b4a2 d2d3 a2b4 d3d2 b4a2 d2d3 d8e8 h1g1 a2c3 d1d2 c3e4 g3e4 e5e4 c2c3 e8d8 c3d4 c5d4 b3b4 f7f5 b4b5 a6b5 a4b5 d8b8 d3d4 e4d4 d2d4 b8b5 g1f2 g6g5 h2h3 g8h7 d4d6 b5b4 d6c6 b4h4 f2f3 g5g4 f3g3 g7g5 h3g4 h4g4 g3f3 g4f4 f3g3 f4g4 g3f3 g4f4 f3g3 f4h4 c6f6 f5f4 g3f3 h4h6 f6h6 h7h6 g2g3
Wch U10 Girls,Oropesa del Mar,1999.10.26,3,"Revesz, Kinga","Lahno, Kateryna",0-1,,,C43,e2e4 e7e5 g1f3 g8f6 d2d4 f6e4 f1d3 d7d5 f3e5 f8d6 b1c3 e4c3 b2c3 e8g8 e1g1 c7c5 d1h5 f7f5 g2g4 d6e5 d4e5 d8e8 f2f4 e8h5 g4h5 c8e6 c1a3 b7b6 f1f3 g8f7 g1f2 f8g8 f3g3 b8c6 a1b1 a8d8 d3e2 d5d4 c3d4 c6d4 b1b2 d4e2 f2e2 d8d4 g3f3 e6d5 f3f1 d5c4 e2e1 d4e4 e1f2 e4f4
Wch U10 Girls,Oropesa del Mar,1999.10.27,4,"Lahno, Kateryna","Nebolsina, Vera",1-0,,,C24,e2e4 e7e5 f1c4 g8f6 d2d3 c7c6 g1f3 d7d5 c4b3 f8d6 b1c3 d5e4 f3g5 e8g8 c3e4 f6e4 g5e4 c8f5 d1f3 f5g6 h2h4 g6e4 d3e4 b8d7 a2a3 d7c5 b3a2 a7a5 c1e3 d8c7 h4h5 c7e7 a1d1 c5a4 h5h6 g7g6 e1g1 f8d8 e3g5 e7f8 g5d8 a8d8 d1d2 a4c5 f1d1 b7b5 d2d6
Wch U10 Girls,Oropesa del Mar,1999.10.28,5,Sun Yinan,"Lahno, Kateryna",0-1,2189,,C42,e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5f3 f6e4 d2d4 d6d5 f1d3 f8d6 e1g1 e8g8 f1e1 f8e8 h2h3 c8f5 b1c3 c7c6 d3e4 f5e4 c3e4 e8e4 e1e4 d5e4 f3g5 d8e7 d1g4 b8a6 g5e4 a8e8 c1h6 f7f5 g4f5 e7e4 f5e4 e8e4 h6e3 a6b4 a1c1 b4d5 c1e1 d6f4 g2g3 f4e3 f2e3 e4e3 g1f2 e3e1 f2e1
Wch U10 Girls,Oropesa del Mar,1999.10.29,6,"Lahno, Kateryna","Huyen Ngoc, Luong",1-0,,,B70,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 f1e2 f8g7 e1g1 e8g8 d4b3 b8c6 f2f4 b7b6 c1e3 c8b7 e2f3 f6d7 d1d2 d7c5 g2g4 a8c8 a1d1 c5b3 a2b3 c6a5 f4f5 d8c7 e3h6 g7h6 d2h6 c7c5 g1h1 c5e5 f3g2 e5g7 h6g7 g8g7 f5f6 e7f6 d1d6 c8c6 f1f6 c6d6 f6d6 b7c8 g4g5 a5b7 d6d1 f8e8 c3d5 e8e5 h2h4 b7c5 d5f6 c5e6 d1d5 e5d5 e4d5 e6c5 d5d6 c8f5 b3b4 c5d7 f6d7 f5d7 c2c4 f7f6 c4c5 b6c5 b4c5 f6g5 c5c6 d7c6 g2c6 g7f7 d6d7 f7e7 h4g5 e7d8 h1g2
Wch U10 Girls,Oropesa del Mar,1999.10.31,7,"Lahno, Kateryna","Gounina, Valentina",1-0,,,C01,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4d5 e6d5 f1d3 b8c6 a2a3 b4a5 g1e2 g8e7 e1g1 c8g4 f2f3 g4f5 c1e3 a7a6 e2g3 f5d3 d1d3 d8d7 g3h5 e8c8 c3a4 d7f5 h5g3 f5d3 c2d3 b7b5 a4c5 a5b6 f1c1 c6a5 a1b1 b6c5 c1c5 a5b7 c5c2 c8d7 e3f4 c7c6 b1e1 h7h5 h2h4 e7g6 g3f5 h8g8 f4g3 d8c8 c2e2 c6c5 f5e7 g6e7 e2e7 d7c6 d4c5 b7d8 b2b4 g8f8 e7a7 d8e6 a7a6 c6d7 a6d6 d7e7 d6d5 f8d8 g3d6 e7f6 d3d4 f6g6 f3f4 g6h7 d5h5 h7g8 d4d5 g7g6 h5e5 e6f4 e5e8 d8e8 e1e8 c8e8 d6f4 f7f6 d5d6 g8f7 c5c6 f7e6 d6d7 e8a8 f4c7 e6e7 d7d8q a8d8 c7d8 e7d8 g2g4
