Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Aabybro m,Aabybro,1952.??.??,1,"Pedersen, Eigil","Larsen, Bent",0-1,,,E48,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 d7d5 g1e2 c7c5 e1g1 d5c4 d3c4 b8c6 a2a3 c5d4 e3d4 b4d6 d1d3 a7a6 c4b3 d8c7 b3c2 h7h6 e2g3 f8d8 c1e3 b7b5 a1e1 b5b4 c3e4 f6e4 g3e4 d6h2 g1h1 h2e5 e4g3 g7g6 g3e2 a6a5 d3e4 e5g7 c2a4 c8b7 e1c1 a8c8 f1d1 b7a8 e2f4 c7d6 d4d5 c6e7 a3b4 a5b4 c1c8 d8c8 f4d3 e7d5 e3c5 c8c5 d3c5 d6c5 a4e8 d5c3 e8f7 g8f7 d1d7 f7f6 e4f4 c5f5 f4f5 f6f5 d7g7 c3e4 g7f7 e4f6 f2f3 a8c6
Aabybro m,Aabybro,1952.??.??,2,"Larsen, Bent","Pedersen, Eigil",0-1,,,A10,c2c4 e7e6 b1c3 f7f5 e2e4 f5e4 c3e4 g8f6 e4f6 d8f6 d2d4 f8b4 c1d2 e8g8 g1f3 b4d2 d1d2 b8c6 f1e2 d7d6 e1g1 c8d7 d4d5 c6e7 d5e6 d7e6 f3d4 e7f5 d4e6 f6e6 e2f3 c7c6 a1c1 f5h4 f3h5 e6f5 d2e2 f5g5 g2g3 h4f5 f2f4 g5f6 h5f3 a8e8 e2d2 e8e7 d2c3 f5d4 c1d1 c6c5 d1d3 f8e8 f3h5 f6h6 h5d1 e7e2 h2h4 h6e6 d3d2 e2e3 d2d3 e3e2 d3d2 e6h3 d2e2 e8e2 f1f2 e2f2 g1f2 h3h2 f2e1 d4f5 d1c2 h2g3 c3g3 f5g3 e1f2 g3h5 f2f3 h5f6 f4f5 g8f7 f3f4 f6d7 c2e4 b7b6 h4h5 d7e5 f4g5 h7h6 g5f4 f7e7 b2b3 a7a5 e4c2 a5a4 f4e4 a4a3 e4d5 e7d7 f5f6 g7f6 c2f5 d7e7 f5b1 e5f3 d5c6 f6f5 c6b6 f5f4 b6a5 f3d2 b1d3 d2b3 a5a4 b3d2 a4a3 f4f3
Aabybro m,Aabybro,1952.??.??,3,"Pedersen, Eigil","Larsen, Bent",1-0,,,C65,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f8c5 c2c3 e8g8 d2d4 c5b6 c1g5 d7d6 a2a4 a7a5 b1a3 h7h6 g5f6 d8f6 a3c4 c8g4 c4b6 c7b6 d4d5 g4f3 d1f3 f6f3 g2f3 c6e7 a1a3 a8d8 a3b3 g7g6 f1e1 e7c8 b5f1 g8g7 b3b5 f7f5 b2b4 a5b4 c3b4 d8d7 e1c1 g7f6 a4a5 c8a7 b5b6 a7c8 c1c8 f8c8 f1b5 d7f7 b6d6 f6g5 h2h4 g5f4 d6g6 f4f3 g6g3 f3e4 d5d6 f5f4 g3g6 e4f3 g6g2 c8c1 g1h2 c1d1 b5e8 f7f5 e8g6 f3e4 f2f3 e4f3 g6f5 f3e3 d6d7 f4f3 b4b5 e3f4 a5a6 b7a6 b5a6 f3g2 h2g2 d1d2 g2h3 f4f5 a6a7 d2d3 h3g2 d3d2 g2g3 d2d3 g3f2 d3d7 a7a8q d7f7 f2e3 f7f6 a8c8 f6e6 c8d7 e5e4 d7g7 e6a6 g7h7 f5g4 h7e4 g4h5 e4d5 h5h4 d5c4
Aabybro m,Aabybro,1952.??.??,4,"Larsen, Bent","Pedersen, Eigil",1/2-1/2,,,B38,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 a7a6 c2c4 g7g6 b1c3 f8g7 f1e2 g8f6 c1e3 e8g8 f2f3 b8c6 d1d2 c8d7 e1g1 c6e5 h2h3 a8c8 b2b3 d7c6 g2g4 e5d7 g1g2 f6e8 b3b4 d7b6 a2a4 c6d7 d2a2 e7e5 d4c2 d7e6 c3d5 b6d5 c4d5 e6d7 b4b5 a6b5 a4b5 f7f5 a2b3 h7h5 c2a3 d8a5 a3c4 a5b5 b3d3 f5e4 d3e4 e8f6 e4g6 d7e8 g6f5 c8c4 e2d3 e5e4 a1b1 c4c2 d3c2 b5e2 f1f2 e2e3 c2e4 e8d7 f5g6 f6e4 g6e4 e3e4 f3e4 f8f2 g2f2 b7b5 b1c1 h5g4 c1c7 g7d4 f2f1 d7e8 c7c8 g8f8 h3g4 f8e7 f1e2 e8d7 c8b8 d4c3
Copenhagen m,Copenhagen,1953.??.??,1,"Larsen, Bent","Enevoldsen, Jens",1/2-1/2,,,E04,g1f3 g8f6 g2g3 d7d5 f1g2 c7c5 e1g1 b8c6 d2d4 e7e6 c2c4 d5c4 d1a4 c8d7 d4c5 f8c5 a4c4 c5e7 b1c3 e8g8 e2e4 a8c8 c4e2 e6e5 f1d1 d8a5 c3d5 d7g4 c1d2 a5a4 b2b3 a4a3 d2c3 f6d5 d1d5 g4e6 c3b2 a3a6 e2a6 b7a6 d5d2 f7f6 g2f1 a6a5 f1c4 g8f7 f3h4 g7g6 h4g2 e6c4 b3c4 f7e6 g2e3 e7c5 e3d5 f8f7 g1g2 h7h5 f2f4 h5h4 a1f1 c5d4 f4f5 g6f5 e4f5 e6d7 d5f4 h4g3 h2g3 d7e8 f4e6 d4b2 d2b2 c6b4 c4c5 f7h7 f1d1 b4c6 d1d6 h7d7 d6d7 e8d7 b2b7 d7e8 g2f3 c6d4 f3e4 d4e6 f5e6 c8c5 e4f5 c5c2 f5f6 c2f2 f6e5 f2a2 g3g4 a2e2 e5f6 e2f2 f6g6 f2e2 g4g5 e2e6 g6h7 a5a4 g5g6 e6e3 b7a7 a4a3 g6g7 e3h3 h7g8 h3e3 a7a6 e8e7 a6a5 e3g3
Wch U20 fin-B,Copenhagen,1953.??.??,1,"Scafarelli, Francesco","Larsen, Bent",1-0,,,A30,g1f3 g8f6 c2c4 c7c5 g2g3 d7d5 c4d5 f6d5 f1g2 b8c6 d2d4 d5f6 e2e3 c8f5 e1g1 c5d4 e3d4 e7e6 f3e5 f5e4 g2e4 f6e4 d1f3 c6e5 d4e5 d8d5 c1f4 f8c5 b1c3 e4c3 f3c3 a8d8 a1c1 c5b6 c3a3 h7h6 a3a4 d5d7 a4b3 e8g8 f1d1 d7e7 f4e3 b6e3 b3e3 e7b4 b2b3 b4a5 a2a4 a7a6 e3e4 a5b6 d1d8 f8d8 c1c3 b6a5 c3e3 a5c7 g1g2 d8d5 e4b4 b7b5 a4b5 a6b5 b4e4 c7c5 h2h3 c5d4 e4d4 d5d4 e3c3 h6h5 g2f3 d4d5 f3e4 d5d2 f2f4 d2b2 e4d4 b5b4 c3d3
Wch U20 qual,Copenhagen,1953.??.??,1,"Larsen, Bent","Penrose, Jonathan",1-0,,,C32,e2e4 e7e5 f2f4 d7d5 e4d5 e5e4 d2d3 g8f6 d1e2 c8f5 d3e4 f6e4 b1c3 d8h4 g2g3 h4e7 c3b5 a7a6 b5d4 g7g6 c1e3 f8g7 e1c1 e8g8 c2c3 e4d6 d4f5 d6f5 e3f2 e7d6 f1h3 b8d7 h3f5 g6f5 e2d3 f8e8 d3f5 a8d8 g1f3 g7c3 b2c3 d6a3 c1b1 e8e2
Wch U20 qual,Copenhagen,1953.??.??,2,"Sherwin, James T","Larsen, Bent",1-0,,,E98,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 e1g1 b8c6 d4d5 c6e7 f3e1 c7c5 e1d3 f6e8 c1e3 f7f5 f2f3 f5f4 e3f2 g6g5 b2b4 c5b4 d3b4 f8f6 c4c5 f6g6 a1c1 c8d7 c5c6 d7c8 c6b7 c8b7 d1a4 h7h5 b4c6 e7c6 d5c6 b7c8 c3d5 e8c7 a4a5 c7e6 a5d8 e6d8 d5e7 g8f7 e7g6 f7g6 c6c7 d8e6 e2c4 e6c7 c4b3 c7b5 b3d5 a8b8 c1b1
Wch U20 fin-B,Copenhagen,1953.??.??,2,"Larsen, Bent","Farre Mallofre, Miguel",1-0,,,B52,e2e4 c7c5 g1f3 d7d6 f1b5 c8d7 b5d7 d8d7 e1g1 e7e5 c2c3 g7g6 d2d4 f8g7 c1e3 b7b6 b1d2 b8c6 d4c5 d6c5 d2c4 d7d1 f1d1 a8d8 d1d8 e8d8 a2a4 d8c7 a4a5 g7h6 a5b6 a7b6 a1a8 h6g7 f3g5 g8h6 a8h8 g7h8 g5h7 h8g7 e3g5 h6g8 c4e3 c7d6 e3d5 b6b5 g1f1 c5c4 g5h4 g7h6 h7g5 c6d8 f1e2 f7f6 g5f3 g6g5 h4g3 d6c6 f3d2 d8b7 b2b3 b7d6 b3c4 b5c4 f2f3 c6b5 g3f2 d6c8 f2e3 c8d6 e2f2 b5c6 h2h4 c6b5 h4g5 h6g5 e3g5 f6g5 f2g3 g8h6 d5e3 b5c5 e3g4 d6f7 g4h6 f7h6 d2f1 c5b5 f1e3 b5c5 e3f5 h6f7 g3g4 c5b5 f5e3
Copenhagen m,Copenhagen,1953.??.??,2,"Enevoldsen, Jens","Larsen, Bent",1/2-1/2,,,C82,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 c2c3 f8c5 d1d3 c6e7 c1e3 c5e3 d3e3 c7c5 f1d1 d8c7 b1d2 e6f5 d2e4 d5e4 f3g5 c5c4 b3c2 c7e5 f2f4 e5c7 c2e4 f5e4 e3e4 c7a7 g1h1 h7h6 g5f3 e8g8 d1d4 a7c7 a1d1 a8d8 h2h3 d8d4 d1d4 f8d8 e4e5 d8d7 e5c7 d7c7 d4d8 g8h7 d8a8 e7d5 g2g3 b5b4 c3b4 d5b4 h1g2 c4c3 b2c3 b4a2 a8a6 a2c3
