Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Lugano op,Lugano,1985.??.??,8,"Lautier, Joel","Zorman, Vojko",1-0,,2225,E22,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 b4c3 c2c3 f6e4 c3c2 f7f5 g2g3 c7c5 d4d5 b8a6 c1d2 e4d2 c2d2 e6e5 f1g2 d7d6 a2a3 e8g8 e2e3 c8d7 g1e2 b7b5 b2b3 a8b8 e1g1 b8b7 a1b1 d8c7 f1c1 f8b8 d2e1 b5c4 b3c4 b7b3 e2c3 b3a3 c3b5 d7b5 c4b5 b8b6 b5a6 a3a6 b1b6 a6b6 e1a5 c7b8 c1a1 b6b1 a1b1 b8b1 g2f1 b1b6 a5b6 a7b6 f1a6 e5e4 g3g4 f5g4 g1g2 h7h5 g2g3 g7g5 a6c8 b6b5 c8f5 c5c4 f5e4 b5b4 g3g2 g8g7 g2f1 g7f6 f1e2 f6e5 e4g2 h5h4 e2d2 h4h3 g2f1 e5d5 f1e2 d5c5 e2g4 d6d5 g4h3 d5d4 e3d4 c5d4 h3e6 b4b3 h2h3 c4c3 d2e2 c3c2 e2d2 d4e4 e6b3 e4f3 d2c2 f3f2 c2d3
FRA-chB,Epinal,1986.??.??,1,"Kappler, Jean Marie","Lautier, Joel",1/2-1/2,2240,2220,E71,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 h2h3 c7c5 d4d5 e8g8 c1g5 a7a6 a2a4 e7e6 f1d3 b8d7 d5e6 f7e6 g1f3 h7h6 g5h4 g6g5 h4g3 e6e5 d3e2 d7b8 f3h2 b8c6 h2g4 c6d4 g4e3 c8e6 a4a5 d8d7 e2g4 a8b8 g4e6 d7e6 e3d5 h6h5 h3h4 g5g4 d1d3 f6d7 c3a4 f8f7 a4b6 d7f8 b2b4 f8g6 a1a2 g6f4 g3f4 e5f4 f2f3 e6g6 b6a4 d4c6 b4c5 g4f3 g2f3 g6g3 e1f1 c6e5 d3d1 d6c5 a2f2 b8c8 a4c3 g3g6 h1g1 g6e6 c3e2 e6h3 g1g2 e5f3 e2f4 h3h1 f1e2 f3d4 e2d2 h1h4 d1g1 h4d8 f4h5 d8a5 d2d3 a5a3 d5c3 d4f5 h5f6 f7f6 g2g7 f5g7 f2f6 a3b3 g1g6 b7b5 g6f7 g8h7 f6f3 c8d8 d3e2 b3c2 e2f1 d8d3 c3e2 b5c4 f1f2 a6a5 e4e5 d3f3 f7f3 c2f5 f3f5 g7f5 e2c3 h7g6 f2f3 g6f7 f3e4 f7e6 c3a4 f5g3 e4f4 g3e2 f4e4 e2g3 e4f4 c4c3 a4c3 g3f1 f4e4 f1d2
FRA-chB,Epinal,1986.??.??,2,"Lautier, Joel","Abravanel, Chely",1/2-1/2,2220,2270,D64,d2d4 e7e6 c2c4 d7d5 b1c3 f8e7 g1f3 g8f6 c1g5 b8d7 e2e3 e8g8 a1c1 c7c6 d1c2 d5c4 f1c4 f6d5 g5e7 d8e7 c3e4 d5f6 e4g3 b7b6 e3e4 e6e5 g3f5 e7b4 e1e2 b6b5 c4d3 e5d4 a2a3 b4a5 c2c6 d7b6 f5e7 g8h8 e4e5 c8d7 c6d6 f6h5 d6d4 f8e8 d4h4 e8e7 h4h5 h7h6 h1e1 a5a4 e2f1 a4b3 d3e4 a8e8 g2g4 b6c4 g4g5 c4e5 g5h6 g7g6 h5h4 e5g4 e4b7 e7e1 c1e1 b3c4 f1g1 e8e1 f3e1 c4c1 h4e7 g4h6 e7d7 c1e1 g1g2 e1e5 d7d8 h8g7 d8d2 h6f5 d2c3 f5d4
FRA-chB,Epinal,1986.??.??,3,"Benoit, Michel","Lautier, Joel",0-1,2235,2220,A05,g1f3 g8f6 g2g3 g7g6 b2b4 f8g7 c1b2 e8g8 f1g2 c7c6 e1g1 a7a5 a2a3 a5b4 a3b4 a8a1 b2a1 d8b6 c2c3 d7d5 d2d3 f6e8 b1d2 e8d6 d1b3 b8a6 f1e1 c8e6 e1b1 h7h6 f3e1 f7f5 d3d4 g8h7 a1b2 e6g8 e1d3 a6b8 b1a1 d6c4 d2f3 b8d7 b3c2 e7e5 d4e5 d7e5 f3e5 c4e5 d3c5 f5f4 g3f4 f8f4 a1a8 e5g4 b2c1 f4f2 a8g8 h7g8 c2g6 g4e5 g2d5 g8h8 g6e6 f2f8 c1h6 b6c7 d5b3 e5g4 e6g4 g7h6 g4d4 c7g7 d4g7 h6g7 c5e4 f8f4 b3c2 g7c3 e4c3
FRA-chB,Epinal,1986.??.??,4,"Corgeron, JL.","Lautier, Joel",1/2-1/2,2160,2220,E67,d2d4 g8f6 g1f3 g7g6 g2g3 f8g7 f1g2 e8g8 c2c4 d7d6 e1g1 b8d7 b1c3 e7e5 d1c2 c7c6 f1d1 d8c7 h2h3 f8e8 c1e3 e5d4 f3d4 d7e5 b2b3 f6h5 a1c1 c8d7 c2d2 f7f5 d4f3 a8d8 e3g5 h5f6 d2d6 c7d6 d1d6 e5f7 g5f6 f7d6 f6d8 e8d8 f3e1 d7c8 e1d3 d6f7 c3a4 f7e5 a4b2 c8e6 d3e5 g7e5 b2d3 e5f6 c1d1 g8f8 g1f1 a7a5 e2e3 b7b5 c4b5 c6b5 f1e2 f8e7 d1c1 d8c8 c1c8 e6c8 g2d5 e7d6 d5g8 h7h6 h3h4 g6g5 h4g5 h6g5 g8f7 a5a4 e2d2 c8d7 d2c2 f6g7 f7g6 g7f6 g6f7 d7c6 b3b4 c6d5 f7d5 d6d5 f2f3 f6e7 a2a3
FRA-chB,Epinal,1986.??.??,5,"Lautier, Joel","Weill, Roland",0-1,2220,2230,E31,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 c1g5 h7h6 g5h4 c7c5 d4d5 e6d5 c4d5 d7d6 e2e3 c8f5 f2f3 d8e7 e3e4 g7g5 h4f2 f5e4 f3e4 f6e4 f1b5 b8d7 b5d7 e8d7 e1f1 b4c3 b2c3 h8e8 g2g3 e7f6 g1h3 e4c3 d1b3 d7c7 f1g2 f6e5 h1e1 e5d5 b3d5 c3d5 g3g4 e8e6 e1d1 c7c6 a2a4 a8e8 d1d3 d5f6 g2f3 d6d5 f2g3 d5d4 a1a3 f6d5 g3f2 e6f6 f3g3 d5c3 a3c3 d4c3 d3c3 b7b6 h3g1 a7a5 g1f3 e8e4 c3a3 f6f4 h2h3 e4a4 f3e5 c6b5 a3d3 a4e4 d3d5 e4e2
FRA-chB,Epinal,1986.??.??,6,"Apicella, Manuel","Lautier, Joel",1/2-1/2,2285,2220,B92,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f1e2 e7e5 d4b3 f8e7 e1g1 e8g8 a2a4 b8c6 g1h1 c6b4 f2f4 c8d7 e2f3 d7c6 d1e2 b7b6 f1d1 d8c7 c1e3 c7b7 e3g1 f8e8 e2c4 a6a5 c3d5 c6d5 e4d5 e8c8 c4b5 e5e4 c2c3 e4f3 c3b4 f3g2 h1g2 c8c2 g2h1 c2b2 b4a5 b7c8 g1d4 a8a5 d4b2 a5b5 a4b5 c8h3 b2f6 h3f3 h1g1 g7f6 d1d2 h7h5 d2g2 g8h7 b3d2 f3d5 a1e1 e7f8 d2e4 d5f5 e4g3 f5b5 g1h1 h5h4 g3e4 b5f5 g2g4 h4h3 e4f2 f8h6 e1e3 f5b1 g4g1 b1c2 f2e4 c2c6 f4f5 h6e3 g1g7 h7g7
FRA-chB,Epinal,1986.??.??,7,"Lautier, Joel","Dieu, Bruno",1/2-1/2,2220,2080,A58,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 b5a6 c8a6 b1c3 g7g6 f2f4 d7d6 g1f3 f8g7 e2e4 a6f1 h1f1 e8g8 e4e5 f6e8 e1f2 d8b6 d1e2 e8c7 f1d1 b8d7 f3d2 d6e5 d2c4 b6a6 d5d6 e7d6 d1d6 a6c8 f4e5 f8e8 f2g1 d7e5 c4b6 c8a6 e2d1 a8a7 c1f4 e5c4 b6c4 a6c4 d1f1 c4f1 g1f1 c7e6 f4d2 e8b8 a1b1 a7b7 b2b3 c5c4 d6c6 c4b3 b1b3 b7b3 a2b3 e6d4 c6c4 d4b3 d2f4 b8d8 f1e2 b3d4 e2f2 d4e6 f4e3 g7d4 c3e4 g8g7 e4c5 d4e3 f2e3 e6f8 g2g4 h7h6 c4a4 d8e8 e3f3 e8e7 a4a6 e7c7 c5e4 f8e6 h2h4 c7b7 a6a3 b7b3 a3b3 e6d4 f3f4 d4b3 g4g5 b3a5 g5h6 g7h6 e4d6 h6g7 d6f7 g7f7 h4h5 g6h5 f4g5
FRA-chB,Epinal,1986.??.??,8,"Litique, Michel","Lautier, Joel",1/2-1/2,2100,2220,B22,e2e4 c7c5 c2c3 g8f6 e4e5 f6d5 d2d4 c5d4 c3d4 d7d6 g1f3 b8c6 f1c4 d5b6 c4b5 e7e6 b1c3 c8d7 e1g1 c6b4 c1g5 f8e7 c3e4 d6e5 e4d6 e8f8 g5e7 f8e7 d1d2 b6d5 d6f7 e7f7 f3e5 f7g8 b5d7 d8e7 a2a3 b4a6 d2a5 g7g6 d7c6 d5f6 a1c1 g8g7 c6b5 f6d5 b5a6 b7a6 a5a6 h8f8 c1c6 a8e8 c6c1 e7g5 g2g3 g5d2 a6a7 e8e7 a7a6 d2b2 c1b1 b2c3 b1b7 e7c7 b7c7 d5c7 a6d6 c3c2 d6e7 g7g8 e7c5 c2c5 d4c5 f8a8 f1d1 c7d5 d1d3 g8f8 e5d7 f8e7 d7b6 a8d8 b6d5 e6d5 f2f4 e7e6 g1f2 d8c8 d3e3 e6d7 e3c3 c8e8 c5c6 d7c7 c3e3 e8a8 e3e7 c7c6 e7h7 a8a3 h7h6 a3a2 f2e3 c6c5 h6g6 a2h2 g6g8 c5d6 g8d8 d6e6 g3g4 h2h3 e3d4 h3f3 d8f8 e6e7 f8f5 e7e6 f5e5 e6f7 e5f5 f7e6 f5e5 e6f7 f4f5 f3f4 d4d5 f4g4 e5e6 g4g1
FRA-chB,Epinal,1986.??.??,9,"Lautier, Joel","Koch, Jean Rene",0-1,2220,2200,A57,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 e2e3 g7g6 b1c3 f8g7 g1f3 e8g8 a2a4 e7e6 d5e6 f7e6 d1d6 c8b7 d6c5 f6e4 c3e4 b7e4 f1e2 a6b5 c5b5 b8c6 e1g1 a8a5 b5b3 a5f5 f3d2 e4g2 g1g2 d8g5 g2h1 f5f2 f1f2 f8f2 e2f3 g7e5
