Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
ch-VIE,Vung Tau VIE,2002.03.26,1,Le Quang Liem,To Quoc Khanh,0-1,,2308,A59,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 b5a6 c8a6 b1c3 g7g6 e2e4 a6f1 e1f1 d7d6 g2g3 f8g7 f1g2 e8g8 d1e2 d8a5 g1f3 b8d7 c1d2 f8b8 a1b1 f6g4 f3e1 g4f6 e1c2 b8b7 c2a3 f6e8 h1d1 e8c7 e2e1 a5a6 f2f4 a8b8 d2c1 g7c3 e1f2 c3g7 b2b3 b7b4 f2c2 b8a8 d1d2 c7b5 a3b5 b4b5 d2e2 b5a5 a2a4 c5c4 b3c4 a5a4 c1b2 a4c4 c2d1 g7b2 b1b2 a6a4 d1b1 a8c8 e4e5 c4c1 b1d3 c8c3 d3d2 d6e5 f4e5 a4g4 d2f4 g4f4 g3f4 c1d1 b2d2 d1d2 e2d2 g6g5 d5d6 e7e6 d2a2 g5f4 a2a7 d7f8 a7a4 c3c5 a4d4 f8d7 d4f4 c5e5 f4g4 g8f8 g4c4 e5d5 c4c6 d7f6 g2f3 f6e8
ch-VIE,Vung Tau VIE,2002.03.27,2,Nguyen Si Hung,Le Quang Liem,0-1,,,A11,c2c4 c7c6 g1f3 d7d5 b2b3 g8f6 c1b2 g7g6 g2g3 f8g7 f1g2 e8g8 e1g1 f8e8 d2d3 b8d7 d1c2 e7e5 e2e4 d5e4 d3e4 d8c7 b1c3 d7f8 h2h3 c8d7 a1d1 a8d8 b2a3 d7c8 d1d8 e8d8 f1d1 f8e6 d1d8 c7d8 c2c1 e6d4 f3d4 e5d4 c3b1 d8e8 c1f4 f6d7 f4d2 b7b6 a3b2 c6c5 f2f4 g7h6 d2d3 g6g5 b2c1 e8e7 c1d2 d7f8 d3f3 e7f6 b1a3 g5f4 g3f4 f8g6 e4e5 f6f5 a3b5 f5b1 g1h2 b1a2 d2c1 a2c2 f3h5 h6f4 c1f4 c2g2 h2g2 g6f4
ch-VIE,Vung Tau VIE,2002.03.30,7,Nguyen Thai Binh,Le Quang Liem,1/2-1/2,2299,,B13,c2c4 c7c6 e2e4 d7d5 e4d5 c6d5 d2d4 g8f6 b1c3 b8c6 g1f3 c8g4 c4d5 f6d5 f1b5 a8c8 h2h3 d5c3 b2c3 g4d7 e1g1 a7a6 b5d3 e7e6 d1e2 f8e7 a1b1 c6a5 f3e5 e8g8 e5d7 d8d7 d3h7 g8h7 e2h5 h7g8 h5a5 c8c6 b1b3 f8c8 c1a3 e7a3 a5a3 d7c7 a3b2 b7b5 b2a3 c7b7 a3a5 c6c4 a2a4 b7c7 a5c7 c8c7 a4b5 a6b5 b3b5 c4c3 d4d5 e6d5 b5d5 g8h7
ch-VIE,Vung Tau VIE,2002.04.01,8,Le Quang Liem,Pham Duc Thang,1/2-1/2,,,B12,e2e4 c7c6 d2d4 d7d5 e4e5 c8f5 h2h4 h7h5 c2c4 e7e6 b1c3 b8d7 c4d5 e6d5 f1e2 f8b4 c1d2 g7g6 g1f3 g8e7 e1g1 b4c3 d2c3 d7f8 f3g5 f8e6 d1d2 e7c8 f1e1 e6g5 h4g5 c8b6 a1c1 h5h4 g1h2 b6d7 b2b4 b7b5 e1h1 d7f8 g2g4 h4g3 h2g3 h8h1 c1h1 d8e7 f2f4 e8d7 a2a4 a7a6 d2a2 a8c8 h1h6 f8e6 a2d2 e6c7 a4a5 c7e6 e2f3 e6g7 h6h7 c8g8
ch-VIE,Vung Tau VIE,2002.04.03,10,Le Quang Liem,Nguyen Huynh Minh Huy,1-0,,,B42,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 a7a6 f1d3 b8c6 c2c3 f8c5 d4b3 c5e7 e1g1 g8f6 f2f4 d7d6 d1e2 d8c7 f1e1 e8g8 b1d2 b7b5 d2f3 c8b7 h2h3 f8e8 g2g4 e7f8 e2f2 e6e5 g4g5 f6d7 f4f5 c6a5 b3a5 c7a5 g5g6 f7g6 f5g6 h7h6 f3h4 g8h8 h4f5 a5d8 f2g2 d8f6 e1f1 d6d5 g1h2 d5e4 d3c2 e8e6 c2b3 f6g6 b3e6 g6e6 c1e3 h8h7 a1d1 g7g6 f5g3 f8g7 f1f2 d7f6 g3f1 a8e8 a2a3 b7a8 g2g1 a8b7 f2d2 b7d5 f1g3 e8f8 d2f2 d5b7 g1e1 b7c8 e1f1 f6d5
ch-VIE,Vung Tau VIE,2002.04.04,11,Le Quang Liem,Tran Anh Tri,1-0,,,B02,e2e4 g8f6 e4e5 f6d5 c2c4 d5b6 d2d4 d7d6 e5d6 c7d6 a2a3 g7g6 f1d3 f8g7 g1e2 b8c6 c1e3 e8g8 b1c3 d6d5 c4d5 b6d5 e1g1 d5e3 f2e3 a7a6 g1h1 e7e5 d4d5 c6e7 e3e4 g8h8 d1b3 f7f5 a1d1 f5f4 c3a4 b7b5 a4c5 e7g8 e2g1 g6g5 d3e2 d8b6 b3c3 b6d6 g1f3 g5g4 f3g5 d6h6 g5e6 c8e6 c5e6 f4f3 e2d3 f3g2 h1g2 h6h3 g2h1 f8f1 d3f1 h3c3 b2c3 g8f6 h1g2 f6e4 d5d6 g7f6 d6d7 e4c3 d1c1 e5e4 d7d8q f6d8 c1c3 d8e7 f1e2 a8g8 c3c6 e7a3 c6a6 b5b4 a6b6 g8c8 e2g4 c8c2 g2g3 h8g8 g4h5 c2c8 g3f4 a3c1 f4e4 c1d2 b6b7 d2c3 e4d5 g8h8 h5e2 h7h6 d5e4 c8g8 h2h3 g8g6 e4d5 g6g3 e2g4 h6h5 b7b8 h8h7 g4f5 h7h6 b8b7 c3g7 h3h4 b4b3 e6g7
ch-VIE Playoff,Vung Tau VIE,2002.04.06,1,Pham Minh Hoang1,Le Quang Liem,1-0,2358,,D15,d2d4 d7d5 c2c4 c7c6 b1c3 g8f6 g1f3 a7a6 f3e5 b7b5 c4d5 c6d5 c1f4 c8f5 e2e3 e7e6 g2g4 f5g6 h2h4 d8a5 h4h5 b5b4 d1a4 a5a4 c3a4 g6c2 b2b3 b8d7 a1c1 c2e4 f2f3 d7e5 d4e5 e4f3 e5f6 f3h1 a4b6 a8d8 f1a6 f8e7 f6g7 e7h4 e1e2 h8g8 a6b5 e8e7 f4e5 g8g7 e5g7 f7f6 c1h1 h4g5 h1c1 d8b8 c1c7 e7d6 c7c6 d6e7 b6c8 e7d7 c6c5 d7d8 c8d6 d8e7 d6c8 e7d8 c8a7 b8b7 a7c6 d8c7 c6a5 c7b6 a5b7
ch-VIE Playoff,Vung Tau VIE,2002.04.06,2,Le Quang Liem,Pham Minh Hoang1,1/2-1/2,,2358,C47,e2e4 e7e5 g1f3 g8f6 b1c3 b8c6 d2d4 e5d4 c3d5 f8e7 c1f4 d7d6 f3d4 f6d5 e4d5 c6d4 d1d4 e8g8 e1c1 e7f6 d4d2 c7c5 d5c6 d8b6 c2c3 b6c6 d2c2 c8e6 c1b1 f8d8 f1d3 h7h6 f2f3 a8c8 f4e3 b7b5 d1d2 c6a6 a2a3 a6a5 d3f5 e6f5 c2f5 c8c3 e3h6 c3b3 h6g5 a5c3 g5f6 c3d2 f5c2 d2c2 b1c2 g7f6 c2b3 a7a5 h1d1 d6d5 d1c1 d5d4 b3c2 d8e8 c2d2 e8e3 c1e1 e3b3 d2c2 a5a4 e1d1 b3e3 d1d4 e3e5 c2c3 e5e3 d4d3 e3e2 d3d2 e2e3 c3d4 e3b3 d4e4 b5b4 a3b4 b3b4 e4d3 a4a3 b2a3 b4b3
ch-VIE,Vung Tau VIE,2002.04.27,3,Le Quang Liem,Ngo Ngoc Quang,0-1,,,E00,d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 c4d5 e6d5 f1g2 f8d6 g1f3 e8g8 e1g1 f8e8 b1c3 c7c6 a2a3 a7a5 d1c2 b8d7 f3d2 d7f8 f1e1 d6c7 a1b1 c8g4 h2h3 g4h5 e2e4 h5g6 c2d1 c7b6 d2b3 f6e4 c3e4 d5e4 c1e3 f8e6 b3c5 d8d5 b1c1 e8e7 d1a4 b6d8 e1d1 f7f5 c5e6 e7e6 c1c5 d5a2 g2f1 b7b5 a4c2 a8b8 e3f4 b8b6 d4d5 c6d5 d1d5 d8e7 c5c8 g8f7 f1b5 a2d5 b5e8 f7f6 c2c3 e6e5 e8c6 d5c5 f4e5 c5e5 c3e3 e7c5 e3d2 e5g3 g1h1 g3h3 h1g1 h3g3 g1h1 g3h4 h1g2 h4g5 d2g5 f6g5 c6d5 c5d4 b2b3 g6h5
ch-VIE,Vung Tau VIE,2002.04.28,4,Truong Tuan Kiet,Le Quang Liem,0-1,,,C10,e2e4 e7e6 d2d4 d7d5 b1d2 d5e4 d2e4 c8d7 g1f3 d7c6 f1d3 b8d7 e1g1 g8f6 f1e1 f8e7 c2c3 e8g8 e4f6 e7f6 f3e5 d7e5 d4e5 d8d5 d3h7 g8h7 d1d5 c6d5 e5f6 g7f6 b2b3 f8g8 g2g3 h7g6 c3c4 d5c6 c1b2 g8h8 h2h4 a8d8 b2c3 e6e5 e1e3 g6f5 b3b4 f5g4 f2f4 e5f4 g3f4 h8h4 a1e1 h4h1 g1f2 h1h2 f2g1 h2g2 g1f1 d8h8 e3e4 c6e4 e1e4 g2c2
