Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Nuremberg op,Nuremberg,1989.??.??,?,"Leko, Peter","Jahr, Ulrich",0-1,,2235,C08,e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 e6d5 g1f3 g8f6 f1b5 c8d7 b5d7 b8d7 e1g1 f8e7 d4c5 d7c5 d2b3 e8g8 c2c3 c5e4 b3d4 f8e8 c1f4 d8b6 d1b3 e7c5 a1d1 a8d8 h2h3 b6a6 f1e1 h7h6 a2a4 c5d4 d1d4 e4c5 b3d1 e8e1 f3e1 c5e6 d4b4 d5d4 f4d2 d4c3 b2c3 f6d5 b4b2 d5c3 d1b3 c3a4 b2a2 e6c5 b3e3 a6e6 e3e6 f7e6 d2b4 a7a6 g1f1 b7b5 f1e2 d8d4 b4c5 a4c5 e1c2 d4c4 c2e3 c4c3 e2d2 c5e4 d2e2 c3c6 e2d3 e4c5 d3e2 c5b3 a2b2 b3a5 b2a2 a5b7 a2b2 c6c5 e3c2 a6a5 e2d3 b5b4 c2d4 g8f7 b2a2 e6e5 d4e2 g7g5 g2g3 b7d6 a2b2 c5d5 d3c2 d6c4
Nuremberg op,Nuremberg,1989.??.??,?,"Seyb, Dieter","Leko, Peter",1/2-1/2,2300,,B22,e2e4 c7c5 c2c3 d7d6 d2d4 g8f6 d4c5 b8c6 f2f3 d6d5 e4d5 d8d5 d1d5 f6d5 f1c4 e7e6 c4d5 e6d5 c1e3 c6e5 b1d2 e5d3 e1f1 d3b2 g1e2 c8f5 e2f4 b2c4 d2c4 d5c4 g2g4 f5d7 f1g2 f8e7 f4d5 e7d8 e3f4 e8g8 h1e1 f8e8 e1e8 d7e8 d5c7 d8c7 f4c7 e8c6 a1e1 a8e8 e1e8 c6e8 g2f2 e8c6 f2e3 g8f8 f3f4 f8e7 f4f5 f7f6 h2h4 e7f7 e3f4 h7h6
Nuremberg op,Nuremberg,1989.??.??,?,"Leko, Peter","Heckel, W.",1-0,,,B40,e2e4 c7c5 g1f3 e7e6 d2d3 f8e7 g2g3 d7d5 b1d2 b8c6 f1g2 d5d4 e1g1 e6e5 f3e1 g8f6 f2f4 e5f4 g3f4 c8g4 e1f3 d8c7 d2c4 e8c8 d1e1 g4f3 f1f3 h7h5 c1d2 f6h7 a2a3 g7g5 b2b4 g5g4 f3f1 h7f6 b4b5 c6b8 d2a5 b7b6 a5d2 f6e8 e4e5 f7f5 a3a4 a7a5 d2a5 b6a5 b5b6
Werfen op,Werfen,1989.??.??,2,"Indjic, Dusan","Leko, Peter",0-1,2375,,D91,d2d4 g8f6 g1f3 g7g6 c2c4 f8g7 b1c3 d7d5 c1g5 f6e4 c4d5 e4g5 f3g5 e7e6 d1d2 e6d5 d2e3 e8f8 e3f4 g7f6 h2h4 h7h6 g5f3 c7c6 e1c1 c8e6 e2e3 b8d7 f1d3 f8g7 d1g1 d8b8 c3e2 b8f4 e2f4 a8e8 g2g4 f6d8 f4e6 e8e6 h4h5 g6g5 d3f5 e6e7 f3e1 d8c7 e1d3 d7f6 b2b4 f6e4 f5e4 d5e4 d3e1 a7a5 a2a3 a5b4 a3b4 h8a8 c1b2 c7d6 e1c2 b7b6 g1a1 e7a7 a1a7 a8a7 b2b3 f7f5 d4d5 c6c5 c2a3 c5b4 a3b5 a7d7 b5d4 f5g4 d4f5 g7f6 f5h6 d7h7 h6g4 f6f5 h1g1 h7h5 f2f3 e4f3 e3e4 f5f4 g4f2 h5h2 g1g4 f4e3 f2d1 e3e2 b3c2 e2e1 c2c1 d6f4 g4f4 g5f4 d5d6 h2d2
Werfen op,Werfen,1989.??.??,3,"Leko, Peter","Rotstein, Arkadij",0-1,,2420,B26,e2e4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 d2d3 d7d6 c1e3 g8f6 h2h3 e8g8 g1e2 a8b8 e1g1 b7b5 d1d2 b5b4 c3d1 f6e8 a2a3 a7a5 a3b4 a5b4 g1h2 c6d4 e2c1 b4b3 c2c3 d4c2 a1b1 c2e3 d1e3 e8c7 c1e2 c8b7 f2f4 d6d5 e4e5 d5d4 c3d4 c5d4 e3c4 b7g2 h2g2 d8d5 g2h2 f7f6 e5f6 e7f6 b1a1 f8e8 a1a5 d5d7 a5a7 g7f8 f1f2 f8c5 a7a1 c7d5 f2g2 d5e3 c4e3 e8e3 a1c1 c5b4 d2d1 d7d5 c1c4 b4c5 d1c1 b8b5 c1d1 d5f3 c4c5 b5c5 d1b3 f3d5 b3b8 g8f7 b8h8 d5h5 e2d4 e3e8
Werfen op,Werfen,1989.??.??,4,"Hanel, Reinhard","Leko, Peter",1-0,2375,,A26,c2c4 e7e5 b1c3 b8c6 g1f3 g7g6 g2g3 f8g7 f1g2 d7d6 d2d3 f7f5 e1g1 g8f6 a1b1 a7a5 a2a3 e8g8 b2b4 a5b4 a3b4 h7h6 f3e1 g8h7 e1c2 a8b8 b4b5 c6e7 c2b4 c8e6 b4d5 g6g5 e2e3 d8d7 f2f4 g5f4 e3f4 e7g6 d5f6 g7f6 c3d5 f6g7 c1e3 d7f7 g1h1 f8g8 f4e5 d6e5 d3d4 c7c6 d5b6 e5d4 e3f4 g6f4 f1f4 g7e5 f4f1 c6c5 b6d5 f7g7 d1d3 h7h8 b1e1 b8e8 e1e2 e5d6 f1e1 g7f7 d3d2 h8h7 d2d3 e6d7 g2h3 e8e2 e1e2 g8f8 e2f2 d7e6 h3g2 f7g6 f2e2 e6d7 d5b6 g6g7 b6d7 g7d7 g2d5 h7g7 d3f3 b7b6 f3h5 f8f6 e2e8 d6f8 e8b8 d7d6 b8b7 g7h8 h5e8 f5f4 b7d7 d4d3 d7d6 d3d2 d6f6 d2d1q h1g2
Spring op,Budapest,1990.??.??,1,"Leko, Peter","Grunberg, Sergiu Henric",0-1,,2385,B02,e2e4 g8f6 b1c3 d7d5 e4d5 f6d5 f1c4 d5b6 c4b3 a7a5 a2a3 a5a4 b3a2 b8c6 g1e2 c8g4 e1g1 e7e6 d2d4 a8a5 f2f3 g4f5 c1e3 f8e7 d1d2 e8g8 a1d1 b6d5 a2d5 e6d5 f1e1 b7b5 e2g3 f5g6 c3e2 b5b4 a3b4 c6b4 d1c1 a4a3 b2a3 a5a3 e2f4 d8a8 f4g6 h7g6 e3f4 a8d8 c1a1 a3a1 e1a1 b4c6 d2c3 e7f6 f4e3 c6e7 a1a7 c7c6 c3c5 f8e8 g1f2 d8b8 a7a3 g8h7 a3b3 b8c7 b3a3 f6h4 c5a7 c7d6 a7c5 d6e6 a3d3 e7f5 c5a3 c6c5 a3c1 c5c4 d3c3 e6b6 c1d1 b6b2
Spring op,Budapest,1990.??.??,7,"Leko, Peter","Von Alvensleben, Wolfram",1-0,,,B12,e2e4 c7c6 d2d4 d7d5 f2f3 e7e6 c1e3 g8f6 e4e5 f6d7 c2c3 c6c5 f3f4 d8b6 d1d2 b8c6 g1f3 f8e7 f1e2 e8g8 e1g1 f7f5 h2h3 a7a6 g1h2 b6d8 f1g1 g8h8 g2g4 g7g6 b1a3 c5d4 c3d4 b7b5 a3c2 d7b6 b2b3 c8d7 g1g2 b5b4 a1g1 a6a5 g4f5 g6f5 d2e1 d8e8 e3f2 c6a7 f2h4 d7b5 e1g3 f8f7 h4e7 f7e7 g3h4 e8f7 f3g5 f7f8 e2h5 b6d7 h5g6 f8g8 g5f7 e7f7 g6f7 g8f7 h4h6
Nuremberg op,Nuremberg,1990.??.??,1,"Kusic, B.","Leko, Peter",1-0,,,D94,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 e2e3 f8g7 g1f3 e8g8 h2h3 c7c5 f1e2 c5d4 e3d4 b8c6 c4d5 f6d5 e1g1 b7b6 e2c4 d5c3 b2c3 c6a5 c4e2 c8e6 f3d2 a8c8 c1b2 a5c4 d2c4 e6c4 f1e1 d8d7 e2c4 c8c4 d1b3 f8c8 a2a4 e7e6 b3b5 d7c6 e1e3 c8d8 b5c6 c4c6 a4a5 b6b5 a5a6 d8d6 a1a5 d6d5 b2a3 g7f8 a3f8 g8f8 g1f1 f8e7 f1e2 e7d6 e2d3 d6c7 e3e2 c7b6 a5a1 c6d6 f2f4 b6c7 e2e5 f7f6 e5d5 d6d5 d3e4 d5d6 a1a5 c7c6 g2g4 d6d5 a5a2 c6b6 a2a1 d5d8 g4g5 f6g5 f4g5 d8d5 h3h4 d5f5 a1a3 b6c6 a3b3 c6b6 b3a3 f5d5 a3a2 b6c6 a2c2 c6d6 c2b2 d6c6 b2b4 h7h6 g5h6 d5h5 h6h7 h5h7 e4e5 c6b6 e5e6 b6a6 d4d5 a6b6 c3c4 b6c5 b4b5 c5c4 b5a5 c4b4 a5a1 h7h4 a1a7 b4c5 a7c7 c5b6 c7c3 g6g5 d5d6 h4h6 e6d5 b6b7 c3c7 b7b8 d5c6 g5g4 c7b7 b8c8 b7g7 h6h8 g7a7 c8b8 a7b7 b8a8 d6d7 g4g3 b7b2 h8g8 c6c7
Nuremberg op,Nuremberg,1990.??.??,5,"Gretzer, M.","Leko, Peter",0-1,,,D85,c2c4 g8f6 b1c3 d7d5 d2d4 g7g6 c4d5 f6d5 e2e4 d5c3 b2c3 f8g7 f2f4 c7c5 g1f3 b8c6 e4e5 c8e6 f1e2 c5d4 f3d4 c6d4 c3d4 e8g8 e1g1 d8d7 c1e3 a8c8 d4d5 d7d5 d1d5 e6d5 e3a7 c8c2 e2f3 d5f3 f1f3 f8a8 f3f2 c2c3 a7d4 c3d3 d4c5 e7e6 f2b2 d3d5 c5d6 d5d6
