Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
3rd All-China Games,Suzhou CHN,2006.05.20,1,Li Chao2,Gong Qianyun,1-0,2458,2355,C10,e2e4 e7e6 d2d4 d7d5 b1c3 h7h6 g1f3 g8f6 e4e5 f6e4 f1d3 e4c3 b2c3 c7c5 e1g1 b8c6 a2a4 c8d7 c1e3 d8c7 g1h1 a8c8 f3d2 c5c4 d3e2 c7a5 d2f3 a5c3 e3d2 c3b2 a1b1 b2a3 b1b7 a3a4 d2c3 c6d8 b7b1 a4c6 b1a1 c8a8 d1d2 c6c8 h2h4 d8c6 h4h5 f8e7 f3h2 e8g8 h2g4 c8d8 f2f4 g8h7 f1f3 a7a5 c3b2 a8b8 c2c3 d8b6 b2c1 a5a4 e2d1 c6a5 g4f6 e7f6 e5f6 g7g6 h5g6 f7g6 f4f5 g6g5 f5e6 d7e6 d2c2 h7h8 c2g6 f8f7 d1c2 b8b7 a1a4 b6d8 h1g1 a5b3 g6h6 f7h7 c2h7 b7h7 h6g5 b3c1 g5c1 d8b8 c1f4
3rd All-China Games,Suzhou CHN,2006.05.20,2,Hong Jiarong,Li Chao2,0-1,2333,2458,D77,g1f3 g8f6 g2g3 g7g6 f1g2 f8g7 c2c4 e8g8 e1g1 d7d5 d2d4 d5c4 f3e5 f6e8 b1a3 c7c5 e2e3 c5d4 e3d4 e8d6 c1e3 b8c6 e5c6 b7c6 d1a4 c8d7 a3c4 c6c5 a4c2 c5d4 g2a8 d8a8 c4d6 e7d6 e3f4 d7h3 f2f3 h3f1 a1f1 a8d5 b2b3 g7e5 f4h6 d4d3 c2c4 d5c4 b3c4 f8c8 h6e3 c8c4 e3a7 d3d2
3rd All-China Games,Suzhou CHN,2006.05.21,3,Li Chao2,Yu Shaoteng,0-1,2458,2542,C11,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4e5 f6d7 f2f4 c7c5 g1f3 b8c6 c1e3 f8e7 d1d2 e8g8 d4c5 e7c5 e3c5 d7c5 e1c1 d8a5 c1b1 f8d8 f1b5 c8d7 d2f2 a7a6 b5c6 b7c6 f3d4 a8b8 d4b3 c5b3 c2b3 c6c5 f4f5 d5d4 f5f6 d4c3 f2g3 g7g6 g3e3 c3c2 b1c2 c5c4 a2a3 b8b3 e3h6 b3b2 c2b2 a5e5 b2a2 e5f6 h6e3 d7a4 d1d8 f6d8 h1f1 d8d3 e3f3 f7f5 f1f2 a4b3 a2b2 d3d4 b2b1 c4c3
3rd All-China Games,Suzhou CHN,2006.05.21,4,Wang Rui,Li Chao2,0-1,2497,2458,A39,g1f3 g8f6 c2c4 c7c5 d2d4 c5d4 f3d4 g7g6 g2g3 f8g7 f1g2 b8c6 e1g1 e8g8 b1c3 c6d4 d1d4 d7d6 c1g5 c8e6 d4h4 a8c8 b2b3 c8c5 c3d5 e6d5 c4d5 c5c2 h4a4 a7a6 g2f3 c2c5 a1c1 c5a5 a4b4 a5a2 b4b7 a6a5 c1c7 a2b2 f1c1 d8b8 b7b8 f8b8 c7e7 b2b3 e7a7 b3b5 g5d2 f6d5 a7a5 b5a5 d2a5 d5e7 a5c7 b8c8 f3b7 c8e8 c7d6 e7f5 d6a3 f5d4 g1f1 h7h5 e2e3 d4e6 b7d5 g7f6 f1g2 g8g7 c1c6 f6e7 a3b2 e7f6 b2a3 f6e7 a3c1 e7f6 h2h4 g6g5 h4g5 f6g5 f2f4 g5f6 g2h3 e8e7 d5f3 g7g6 f3d5 g6g7 c1a3 e7a7 a3d6 a7a1 d5f3 a1e1 f3h5 e1e3 c6b6 e3d3 b6b7 g7h6 b7f7 f6c3 d6f8 h6h5 f7f5 h5g6 f5b5 e6f8 h3g4 f8h7 f4f5 g6h6 b5b3 h7f6 g4h4 f6e4
3rd All-China Games,Suzhou CHN,2006.05.22,5,Li Chao2,Ruan Lufei,1/2-1/2,2458,2370,C54,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d3 a7a6 e1g1 c5a7 c1e3 e8g8 e3a7 a8a7 f1e1 d7d6 a2a4 c6e7 b1d2 e7g6 d2f1 c7c6 c4b3 h7h6 f1g3 c8e6 d3d4 d8c8 b3c2 a7a8 g3f5 c8c7 f5e3 a8e8 a4a5 e6c8 e3c4 e5d4 d1d4 d6d5 e4d5 f6d5 f3e5 g6e5 c4e5 d5f6 d4c5 f6d7 e5d7 c7d7 e1d1 d7e7 c5e7 e8e7 c2d3 e7d7 f2f3 f8d8 d3e2 g8f8 g1f2 d7d1 a1d1 d8d1 e2d1 f8e7 f2e3 e7d6 f3f4 c8e6 b2b4 e6d5 g2g3 c6c5 e3d3 c5b4 c3b4 d5c6 d3d4 c6d5 d1a4 d5c6 a4b3 f7f6 b3f7 c6h1 f7g6 h1d5 h2h4 d5c6 g6d3 c6d7 d3e4 d7c6 e4f5 c6d5 f5d3 d5c6 d3c4 c6e8 c4d5 e8c6 d5f7 c6f3 f7g6 f3d5 h4h5 d5c6 g6f5 c6d5 f5e4 d5e4 d4e4 d6e6 g3g4 e6d6 e4f5 d6e7 f5e4 e7e6 e4d4 e6d6 d4c4 d6c6 b4b5 c6d6 b5a6 b7a6 c4d4 d6c6 d4e4 c6d6 e4f5 d6e7 f5g6 e7f8 g4g5 f6g5 f4g5 h6g5 g6g5 f8e7 g5g6 e7f8 g6f5 f8f7
3rd All-China Games,Suzhou CHN,2006.05.22,6,Li Chao2,Kuang Yinghui,1-0,2458,2303,C91,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 d2d4 c8g4 d4d5 c6a5 b3c2 f6e8 h2h3 g4f3 d1f3 g7g6 b1d2 e8g7 b2b4 a5b7 a2a4 d8d7 f3e2 c7c5 d5c6 d7c6 c1b2 g7e6 e2f1 e6c7 c2b3 e7g5 d2f3 g5h6 f1d3 b5a4 b3a4 c6b6 e1b1 c7e6 c3c4 b6c7 c4c5 d6c5 b2e5 c7e7 d3d7 e7d7 a4d7 c5b4 d7c6 a8a7 b1b4 b7d8 c6d5 e6f4 a1a4 a7d7 e5f4 h6f4 a4a6 d8b7 g2g3 f4b8 b4b1 b7c5 a6a5 b8d6 b1d1 d7c7 f3d4 c7c8 d4c6 f8e8 c6a7 c8d8 d5c6 d6f8 d1f1 e8e6 c6d5 e6e8 a7c6 d8d7 f2f3 g8g7 c6d4 e8b8 d4c6 b8e8 f1c1 c5d3 c1d1 d3b4 d1b1 b4d5 e4d5 e8e2 b1d1 f8d6 f3f4 d7b7 c6d4 e2b2 h3h4 d6b4 a5a4 b7e7 a4b4 b2b4 d4c6 b4b7 c6e7 b7e7 g1f2 g7f6 f2f3 h7h5 d1d3 f6f5 d3a3 e7d7 a3d3 f7f6 f3e3 g6g5 f4g5 f6g5 h4g5 f5g5 e3e4 d7d8 d5d6 g5f6 e4d5
3rd All-China Games,Suzhou CHN,2006.05.24,7,Liang Chong,Li Chao2,1-0,2514,2458,A34,c2c4 g8f6 b1c3 c7c5 g2g3 g7g6 f1g2 f8g7 e2e3 e8g8 g1e2 e7e5 e1g1 b8c6 d2d3 d7d6 h2h3 c8e6 c3d5 f6e8 a1b1 a8b8 b2b3 d8d7 g1h2 b7b5 c1b2 f7f5 f2f4 b5c4 d3c4 e5e4 b2g7 d7g7 g3g4 f5g4 e2g3 g4h3 g2e4 c6e7 f1g1 g8h8 d1e2 e8f6 d5f6 g7f6 b1d1 b8d8 d1d2 f8e8 e2f3 e6c8 e4b1 f6e6 e3e4 e8f8 f3c3 e6f6 c3f6 f8f6 g3e2 e7c6 h2g3 h7h5 e4e5 f6e6 g1d1 g6g5 b1f5 g5f4 e2f4 d8g8 g3h3 e6e5 f5c8 e5e3 h3h2 g8c8 d2d6 c6d4 f4h5 e3e2 h2h3 e2e3 h3h2 h8h7 h5f6 h7g7 f6h5 g7f7 d1f1 f7e7 d6h6 d4f3 h2g2 f3h4 g2f2 e3c3 f1e1 e7d8 h5f6 c3f3 f2e2 f3e3 e2e3 h4f5 e3e4 f5h6 e4d5 d8c7 e1e7 c7b6 f6d7 b6a5 d7c5 a5b4 e7b7 b4c3 b7a7 h6g4 c5e4 c3d3 e4c5 d3c3 c5a4 c3d3 c4c5 g4f6 d5e6 f6e4 a7d7 d3e3 d7d5 c8e8 e6f7 e8c8 f7e7 e3f4 d5h5 f4g4 h5d5 c8c6 e7d7 c6a6 d5d4 g4f5 c5c6 e4f6 d7e7 f5e5 d4d1
3rd All-China Games,Suzhou CHN,2006.05.24,8,Huang Qian,Li Chao2,0-1,2391,2458,D92,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c1f4 f8g7 e2e3 e8g8 a1c1 c7c5 d4c5 c8e6 g1f3 b8c6 f1e2 d5c4 e1g1 h7h6 d1a4 f6d7 f1d1 d8c8 e2c4 e6g4 c4e2 d7c5 a4a3 c5e6 f4g3 g8h7 h2h3 g4h5 b2b4 a7a6 a3b3 b7b5 a2a4 b5a4 b3a4 c8b7 c3d5 f8c8 g1f1 c6d4 c1c8 a8c8 e3d4 b7d5 a4a6 c8c2 g3e5 f7f6 e5g3 e6d4 a6d3 c2e2 d3e2 e7e5 e2d3 f6f5 f3d4 h5d1 d3d1 e5d4 d1d3 d5a2 b4b5 a2a1 f1e2 a1b2 e2f1 b2c1 f1e2 f5f4 g3h2 g7e5 e2f3 h7g7 h3h4 h6h5 f3e4 g7f6 e4f3 c1c3 f3e4 c3c7 d3a3 c7b7 e4d3 b7b5 d3d2 b5b8 f2f3 e5d6 a3a6 b8b4 d2d1 b4b3 d1d2 b3e6 d2d1 e6b3 d1d2 b3b4 d2d1 f6g7 a6d3 b4a4 d3c2 a4b5 c2e4 d4d3 h2f4 b5b1 f4c1 b1c2
3rd All-China Games,Suzhou CHN,2006.05.25,9,Li Chao2,Zhou Jianchao,1-0,2458,2525,B93,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f2f4 e7e5 d4f3 b8d7 a2a4 f8e7 f1d3 e8g8 e1g1 d7c5 g1h1 d6d5 f3e5 c5e4 c1e3 c8f5 e3d4 d8c7 d1e1 a8d8 c3e2 f6g4 e5f3 f5c8 h2h3 g4f6 b2b4 e7d6 f3e5 c7e7 c2c3 f6h5 g2g4 f7f6 d3e4 f6e5 e4d5 g8h8 f4e5 f8f1 e1f1 d6e5 f1f7 e7h4 d4e5 h4h3 e5h2 c8g4 f7e7 g4f3 d5f3 h3f3 h1g1 d8f8 e2d4 f3f2 g1h1 h8g8 a1g1 f2d2 h2e5 d2h6 e7e6 h6e6 d4e6 f8f5 e6g7 f5e5 g7h5 g8f8 h5f4 e5e3 f4d5 e3h3 h1g2 h3d3 g1f1 f8g7 f1f5 d3d2 g2f3 g7g6 d5e7 g6g7
3rd All-China Games,Suzhou CHN,2006.05.25,10,Wu Wenjin,Li Chao2,1/2-1/2,2508,2458,A30,g1f3 g8f6 c2c4 c7c5 b1c3 e7e6 g2g3 b7b6 f1g2 c8b7 e1g1 f8e7 d2d4 c5d4 d1d4 d7d6 c1g5 h7h6 g5f6 e7f6 d4d3 a7a6 f1d1 f6e7 f3e1 b7g2 e1g2 e8g8 g2f4 b8d7 b2b3 d7c5 d3e3 f8e8 e3f3 d8b8 f3g4 g8h7 g4f3 h7g8 f4d3 c5d3 f3d3 e8d8 a2a4 b8c7 a1c1 a8c8 h2h4 c7c5 d3b1 c5b4 d1d3 e7f6 c3e4 f6e5 f2f4 d6d5 e4f2 e5f6 c4d5 c8c1 b1c1 e6d5 c1d1 f6b2 d3d5 d8d5 d1d5 b4e1 g1g2 e1e2 d5d8 g8h7 d8b6 g7g6 b6d6 a6a5 d6d3 e2e6 d3c4 e6d7 c4d3 d7b7 g2h2 h7g7 f2d1 b2f6 d1e3 b7b6 h2g2 b6c5 e3c4 c5c6 d3f3 c6d7 h4h5 g7h7 h5g6 f7g6 g2f1 d7h3 f1e2 h3e6 f3e3 e6d5 e3f3 d5e6 e2d3 e6d7 d3c2 d7d4 g3g4 d4a1 f4f5 g6f5 f3f5 h7g7 f5d7 g7g8 d7d5 g8g7 c4d6 a1b2 c2d3 b2c3 d3e4 c3c2 d5d3 c2g2 e4f5 f6b2 d3e4 g2f2 f5e6 f2b6 e4f3 b2a3 f3f6 g7h7 f6e7 h7g8 e7e8 g8g7 e8d7 g7g6 d7f7 g6g5 f7h5 g5f4 h5h6 f4g4 h6g6 g4h4 e6d7 b6a7 d7c6 a7c5 c6d7 c5a7 d7e6 a7b6 g6e4 h4g3 e4e5 g3f2 e6d7 b6b3 e5a5 b3h3 d7c6 a3d6 a5d2 f2f1 d2d1 f1f2 d1d6 h3c8 c6b6 c8h8 a4a5 h8b2 b6c6 b2a1 c6b6 a1b1 b6c7 b1h7 c7b8 h7g8 b8b7 g8f7 b7c6 f7f3 d6d5 f3f6 c6c7 f6c3 c7b7 c3b2 b7a7 f2g3 a5a6 g3h4 d5b7 b2d4 b7b6 d4d7 a7b8 d7e8 b8c7 e8f7 c7c8 f7c4 c8b7 c4f7 b7c8 f7c4 c8d7 c4f7 d7d6 f7f6 d6c7 f6f7 c7b8 f7e8 b8b7 e8f7 b6c7 f7b3 b7a7 b3e3 c7b6 e3e7 b6b7 e7e3 a7b8 e3e8 b8c7 e8e7 c7c6 e7e4 c6d6 e4g6 d6e5 g6g5 e5e4 g5g4 e4e3 g4g5 e3f2 g5d2 f2f3 d2d3 f3f4 d3g3 f4f5 g3g5 f5e6 g5g6 e6e7
