Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
WchT U26,Dresden,1969.??.??,?,"Aijala, Jouko","Ljubojevic, Ljubomir",0-1,,,B79,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 f1c4 c8d7 c4b3 g7g6 f2f3 f8g7 c1e3 d8a5 d1d2 e8g8 e1c1 f8c8 h2h4 c6e5 g2g4 b7b5 h4h5 e5c4 b3c4 b5c4 h5g6 f7g6 d2h2 a8b8 c3d5 c4c3 d5f6 e7f6 h2h7 g8f7 d4f5 g6f5 d1d6 c3b2 c1b1 a5a4 d6d2 c8h8
JUG-24ch,Novi Travnik,1969.??.??,1,"Ljubojevic, Ljubomir","Matanovic, Aleksandar",0-1,,,A00,b2b4 g8f6 c1b2 e7e6 a2a3 a7a5 b4b5 c7c5 e2e3 b7b6 f2f4 d7d5 g1f3 b8d7 b1c3 f8d6 c3e2 d8c7 g2g3 c8b7 f1g2 e8g8 e1g1 a8c8 h2h3 f8e8 g3g4 e6e5 f4e5 d7e5 f3h4 e5d7 e2f4 d6e5 b2e5 d7e5 h4f5 g7g6 g4g5 f6e4 f5h6 g8g7 d2d4 e4g5 d4e5 g7h6 h3h4 g5e4 f4d5 c7e5 d5b6 e4c3 d1d2 c8d8 d2f2 b7g2 g1g2 d8b8
JUG-24ch,Novi Travnik,1969.??.??,2,"Nicevski, Risto","Ljubojevic, Ljubomir",1-0,,,B56,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5 f1b5 c8d7 b5d7 d8d7 d4e2 d7c6 e2g3 b8d7 c1g5 a8c8 e1g1 g7g6 d1f3 f8g7 f1d1 e8g8 g3f1 h7h6 g5f6 d7f6 f1e3 c8e8 d1d3 e8e6 a1d1 h6h5 b2b3 f6e8 a2a4 f7f5 e3c4 a7a6 a4a5 g7h6 f3e2 f8f7 e4f5 g6f5 d3g3 h6g7 e2h5 f5f4 g3g6 e6g6 h5g6 d6d5 g6c6 b7c6 c4b6 e8c7 c3e2 f4f3 e2g3 c7e6 c2c4 d5d4 g3e4 g7h6 g2g3 e6g5 e4d6 f7f6 c4c5 h6f8 b6c4 g5e6 b3b4 e6c7 c4e5 f8d6 c5d6 f6d6 e5f3 c7e6 g1f1 g8f7 f1e2 d6d5 d1c1 c6c5 b4c5 d4d3 e2e3 e6c5 c1c3 f7e6 g3g4 e6d6 h2h4 d6c6 h4h5 c6b5 h5h6 d5d7 g4g5 d7e7 e3d4 e7d7 d4e5 d3d2 f3d2 d7d2 h6h7 d2d8 c3c5 b5c5 g5g6
JUG-24ch,Novi Travnik,1969.??.??,3,"Ljubojevic, Ljubomir","Puc, Stojan",1/2-1/2,,,C00,e2e4 e7e6 d2d3 d7d5 b1d2 c7c5 g2g3 b8c6 f1g2 g7g6 g1e2 f8g7 e1g1 g8e7 c2c3 e8g8 f2f4 e6e5 h2h3 g8h8 f4e5 c6e5 d3d4 e5d3 d4c5 d3c5 e4d5 e7d5 d2f3 c5e6 g1h2 d8a5 e2d4 e6d4 f3d4 d5e7 c1f4 e7f5 d4f5 c8f5 d1d5 a5d5 g2d5 a8e8 f1f2 f5e4 a1d1 e4d5 d1d5 e8e7 f2d2 f8e8 d5d8 h7h6 h2g2 g6g5 d8e8 e7e8 f4c7 g7f6 g2f3 h8g7 g3g4 e8e6 c7b8 a7a6 c3c4 g7g6 b2b3 f6e7 d2d5 h6h5 b8e5 h5g4 h3g4
JUG-24ch,Novi Travnik,1969.??.??,4,"Ivanovic, Bozidar","Ljubojevic, Ljubomir",1/2-1/2,,,A42,e2e4 g7g6 d2d4 f8g7 g1f3 d7d6 c2c4 b8d7 f1e2 e7e5 e1g1 g8e7 b1c3 e8g8 a1b1 h7h6 f1e1 f7f5 e4f5 g6f5 d4e5 d6e5 c4c5 e7c6 e2c4 g8h7 h2h4 f8f6 c3d5 f6g6 h4h5 g6g4 d5e3 g4c4 e3c4 e5e4 f3h2 d8g8 c4e3 d7c5 d1d5 g8f8 b2b4 c5d3 e1d1 c6d4 d1d3 e4d3 d5c4 f8d6 g1h1 f5f4 c4d3 h7h8 e3c4 d6d5 b1b2 c8f5 d3f1 d4e6 b2d2 d5b5 a2a3 a7a5 c4a5 b5b6 c1b2 g7b2 d2b2 b6d4 f1c1 a8d8 h2f3 d4d5 a5c4 f5e4 c4e5 e4f3 e5f3 d5h5 h1g1 d8g8 c1c3
JUG-24ch,Novi Travnik,1969.??.??,5,"Ljubojevic, Ljubomir","Rakic, Tomislav",1-0,,,B06,e2e4 g7g6 d2d4 f8g7 g1f3 d7d6 f1c4 e7e6 e1g1 b8d7 c2c3 a7a6 f1e1 g8e7 b1d2 e8g8 d2f1 b7b5 c4b3 c8b7 h2h4 c7c5 h4h5 c5d4 c3d4 e6e5 c1g5 e5d4 h5g6 h7g6 f1h2 d7f6 d1d2 d6d5 e4e5 f6e4 e1e4 d5e4 h2g4 d8d7 g4f6 g7f6 g5f6 e4e3 f2e3 e7f5 e3d4 b7f3 g2f3 d7d4 d2d4 f5d4 g1f2
JUG-24ch,Novi Travnik,1969.??.??,6,"Ostojic, Predrag","Ljubojevic, Ljubomir",1-0,,,B06,e2e4 g7g6 d2d4 f8g7 c2c3 g8f6 e4e5 f6d5 f2f4 d7d6 g1f3 c8f5 f1c4 d5b6 c4b3 e7e6 a2a4 b8d7 e1g1 d6d5 a4a5 b6c8 c1e3 g7f8 d1e2 c8e7 b1d2 a8c8 h2h3 h7h5 b3a4 e7g8 f3g5 g8h6 a5a6 b7b6 a4c6 f7f6 e5f6 d8f6 e3f2 f8d6 f2h4 f6e7 e2b5 c8d8 a1e1 e8g8 c6d5 g8h8 d5e6 e7g7 d2e4 d6e7 e4g3 f8f6 g3f5 h6f5 e6f5 f6f5 b5c4 d7f8 c4c7 d8d7 c7c8 e7g5 h4g5 h8h7 e1e5
JUG-24ch,Novi Travnik,1969.??.??,7,"Ljubojevic, Ljubomir","Deze, Anton",0-1,,,B27,e2e4 c7c5 g1f3 g7g6 d2d4 c5d4 d1d4 g8f6 b1c3 b8c6 d4a4 d7d6 e4e5 f6g4 e5d6 f8g7 h2h3 g4e5 f3e5 g7e5 d6e7 d8e7 c1e3 e8g8 c3d5 e7d8 e1c1 c8e6 d5f4 e5b2 c1b2 d8d1 g2g4 a8c8 f1g2 d1d6 f4e6 f7e6 c2c3 f8d8 b2a1 d6e5 h1c1 b7b5 a4e4 b5b4 f2f4 e5e4 g2e4 c6a5 c3b4 c8c1 e3c1 d8d4 e4f3 d4b4 c1d2 b4a4 f4f5 a5b3
JUG-24ch+,Novi Travnik,1969.??.??,8,"Ciric, Dragoljub M","Ljubojevic, Ljubomir",1/2-1/2,,,B06,e2e4 g7g6 d2d4 f8g7 g1f3 d7d6 b1c3 b8d7 f1e2 e7e5 c1g5 f7f6 g5e3 g8h6 d4e5 d6e5 h2h3 h6f7 g2g4 c7c6 f3d2 d8e7 d2b3 f7g5 d1d2 g5e6 e1c1 a7a5 a2a4 e7b4 d2d6 e6d4 d6c7 d4e6
JUG-24ch,Novi Travnik,1969.??.??,9,"Ljubojevic, Ljubomir","Planinc, Albin",0-1,,,B01,e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 g1f3 g8f6 d2d4 c7c6 f1d3 c8g4 h2h3 g4h5 c1f4 b8d7 d1d2 h5f3 g2f3 e8c8 e1c1 e7e6 a2a3 d7b6 c3e2 a5a4 c2c3 f6d5 f4g3 c6c5 d4c5 f8c5 d2c2 a4c2 c1c2 a7a6 c3c4 d5c7 b2b4 c5e7 e2c3 d8d7 c2b3 h8d8 d3c2 d7d4 c4c5 b6c4 c3e4 c4d2 d1d2 d4d2 e4d2 d8d2 h1d1 d2d1 c2d1 c7d5 b3c4 f7f5 g3e5 e7f6 e5d6 f6h4 f3f4 h4f2 d1f3 d5f6 d6e5 f2g3 a3a4 f6d7 e5d6 g7g5 f4g5 g3d6 c5d6 d7e5
