Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
URS-chT,Riga,1975.??.??,?,"Velibekov, A.","Lputian, Smbat G",1-0,2200,2200,C06,e2e4 e7e6 d2d4 d7d5 b1d2 g8f6 e4e5 f6d7 f1d3 c7c5 c2c3 b8c6 g1e2 c5d4 c3d4 f7f6 e5f6 d8f6 d2f3 f8d6 e1g1 e8g8 c1g5 f6f7 g5h4 h7h6 h4g3 d6g3 h2g3 e6e5 d4e5 d7e5 f3e5 c6e5 d3c2 b7b6 e2f4 c8b7 f1e1 a8e8 f2f3 g7g5 e1e5 e8e5 f4g6 f8e8 g6e5 e8e5 d1d3 b7c8 g3g4 c8b7 a2a4 f7e7 d3g6 e7g7 g6d6 g7e7 d6g6 e7g7 g6d3 g7c7 g1f2 b7a6 d3a6 c7c5 f2g3 c5c2 a6a7 e5e2 a7b8 g8g7 g3h3 c2b2 b8c7 g7g6 a1c1 b2f6 c7c8 g6h7 c1c6 f6f7 c8d8 e2e8 d8d6 h7h8 c6b6 h6h5 d6h6 f7h7 g4h5 h7h6 b6h6 h8g7 h6d6 e8a8 d6d5 g7h6 a4a5 a8f8 d5d6
URS-chT,Riga,1975.??.??,?,"Lputian, Smbat G",Ballyev,1-0,2200,2200,E11,d2d4 g8f6 c2c4 e7e6 g1f3 f8b4 b1d2 d7d5 e2e3 e8g8 f1d3 b8d7 e1g1 c7c5 d1e2 c5d4 e3d4 f8e8 f3e5 d7f8 d2f3 b4e7 f3g5 d5c4 d3c4 d8d4 g5f7 f8g6 c1e3 d4h4 g2g3 h4h5 e2h5 f6h5 e5g6 g8f7 g6e7 e8e7 f2f4 a7a6 f4f5 f7e8 g3g4 e6f5 e3c5 e7e4 a1e1 h5f6 g4f5 e8d7 e1e4 f6e4 c5f8 d7c6 f8g7 e4d2 f5f6 d2c4 f6f7 c8e6 f7f8q a8f8 f1f8 h7h5 f8h8 e6g4 g1f2 c4d6 b2b3 c6d5 h2h3 g4h3 h8h5 h3f5 g7f8 d6e4 f2e3 d5e5 f8g7 e5e6 e3f4 f5g6 h5h6 e6f7 h6g6 f7g6 f4e4 g6g7 e4d4 b7b6 d4d5
URS-chT,Riga,1975.??.??,?,"Lputian, Smbat G","Gulko, Boris F",1/2-1/2,2200,2480,A48,d2d4 g8f6 g1f3 c7c5 e2e3 g7g6 f1e2 f8g7 e1g1 e8g8 b1d2 b7b6 c2c3 c8b7 b2b3 d7d6 c1b2 b8d7 d1c2 a8c8 a1d1 c5d4 f3d4 a7a6 c2b1 e7e5 d4c2 b6b5 c3c4 d8b6 c4b5 a6b5 c2a3 b7c6 e2f3 d6d5 b3b4 b6b8 f3e2 d7b6 b1a1 f6d7 e2b5 c6b5 a3b5 b6a4 b5c3 b8b4 c3a4 b4a4 d2f3 a4e4 a2a4 f8e8 a4a5 d7c5 a1a2 c5d3 d1d2 d5d4 f3g5 e4f5 g5f7 f5f7 a2f7 g8f7 d2d3 c8a8 e3d4 a8a5 d3f3 f7g8 d4e5 a5b5 b2c3 g7e5 f1e1 e8e7 h2h4 e5d6 e1e7 d6e7 g2g3 b5b3 g1g2 e7b4 c3d4 b3f3 g2f3 g8f7 f3g4 h7h5 g4f4 f7e6
URS-chT,Riga,1975.??.??,?,"Mordvintsev, V.","Lputian, Smbat G",0-1,2200,2200,D37,c2c4 e7e6 b1c3 d7d5 e2e3 g8f6 g1f3 f8e7 b2b3 e8g8 d2d4 b7b6 c4d5 e6d5 f1e2 c8b7 e1g1 b8d7 d1c2 c7c5 a2a4 a8c8 c2b2 f6e4 c1d2 e4d2 b2d2 d7f6 d2b2 f6e4 a1c1 e7f6 f1d1 d8e7 c1c2 g7g6 b2a1 f8e8 a4a5 c5d4 f3d4 e4f2 c3d5 b7d5 c2c8 f2d1
URS-chT,Riga,1975.??.??,?,"Yurtaev, Leonid","Lputian, Smbat G",1/2-1/2,2200,2200,C00,e2e4 e7e6 d2d3 d7d5 b1d2 b8d7 g1f3 c7c6 g2g3 d5e4 d3e4 e6e5 d2c4 d8c7 f1h3 g8f6 e1g1 b7b5 c4e3 d7c5 h3g2 c5e4 f3h4 c8e6 d1f3 a8c8 f1e1 f8c5 e3f5 c5f2 g1h1 e6d5 f5g7 e8f8 e1e4 f6e4 f3h5 f2g3 h5h6 c7b6 c1e3 g3f4 g7e6 f8e8 e6g7 e8f8 g7e6
Yerevan,Yerevan,1977.??.??,1,"Arutiunov, Albert","Lputian, Smbat G",1/2-1/2,2200,2200,A07,g1f3 d7d5 g2g3 g8f6 f1g2 e7e6 e1g1 b7b6 b2b3 b8d7 c1b2 f8e7 d2d3 e8g8 b1d2 c8b7 e2e3 c7c5 d1e2 d8c7 e3e4 d5e4 d3e4 c5c4 d2c4 b7e4 a2a4 a8c8 a1d1 f8d8 f3d4 e4g2 g1g2 a7a6 d4f5 e7c5 f5g7 c7c6 g2g1 c6e4 e2e4 f6e4 g7h5 b6b5 a4b5 a6b5 c4a3 f7f5 g1g2 b5b4 a3c4 d7b6 h5f6 e4f6 d1d8 c8d8 b2f6 d8d7 c4b6 c5b6 f6g5 g8f7 f1e1 b6d8 g5d8 d7d8 e1e5 d8d2 e5b5 d2c2 b5b4 c2b2 b4b7 f7f6 b7b6 f6f7 g2f3 f7f6 f3e3 h7h5 h2h4 f6e5 b6b8 b2b1 f2f4 e5d5 e3d3 b1g1 b8d8 d5c5 d8g8 g1f1 b3b4 c5b4 d3d4 f1e1 g8b8 b4a4 b8h8 a4b5 h8h5 b5c6 h5h7 c6d6 h4h5 e1g1 h5h6 g1d1 d4e3 d1h1 e3d4 h1d1 d4e3 d1h1 e3f2 h1h2 f2g1 h2h5 g1g2
Yerevan,Yerevan,1977.??.??,2,"Lputian, Smbat G","Katalymov, Boris N",1-0,2200,2415,E14,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 e2e3 c8b7 f1d3 d7d5 e1g1 b8d7 b2b3 f8e7 c1b2 e8g8 d1e2 f6e4 f1d1 f7f5 f3e5 e7h4 g2g3 h4g5 f2f3 d7e5 d4e5 e4c5 d3c2 d8e8 c4d5 e6d5 b1c3 a8d8 b3b4 c5a6 f3f4 g5e7 c2b3 c7c6 b4b5 a6c7 b5c6 e8c6 e2f3 e7c5 a1c1 g7g5 f4g5 c6g6 c3d5 d8d5 d1d5 c7e6 b2d4 c5d4 e3d4 g8h8 f3c3 g6g5 d5d7 e6f4 c3c7 f4h3 g1f1 b7a6 f1g2 g5d2 g2h3 d2h6 h3g2 h6d2 g2h1 a6b7 d4d5
Yerevan,Yerevan,1977.??.??,3,"Mnatsakanian, Eduard A","Lputian, Smbat G",1/2-1/2,2425,2200,C05,e2e4 e7e6 d2d4 d7d5 b1d2 g8f6 e4e5 f6d7 f2f4 c7c5 c2c3 b8c6 d2f3 d8a5 g1e2 f7f6 d4c5 f6e5 f4e5 d7e5 f3e5 c6e5 b2b4 a5d8
Yerevan,Yerevan,1977.??.??,4,"Lputian, Smbat G","Khalikian, O.",1/2-1/2,2200,2200,E14,d2d4 c7c5 e2e3 g8f6 g1f3 e7e6 c2c4 b7b6 b1c3 c8b7 f1e2 f8e7 e1g1 e8g8 b2b3 c5d4 f3d4 b8a6 e2f3 d8c8 c1b2 f8d8 a1c1 d7d6 d1e2 a6c5 f1d1 a7a6 e3e4 c8c7 b3b4 c5d7 c3d5 e6d5 c4d5 c7b8 d4c6 b7c6 d5c6 a8a7 c6d7 f6d7 e2e3 a7c7 f3e2 c7c1 e3c1 b8b7 f2f3 b6b5 c1a1 e7f8 a2a4 d8c8 a4b5 a6b5 b2d4 c8a8 a1c3 a8c8 c3d3 c8b8 d1a1 d7e5 d3b3 e5c6 d4e3 h7h6 a1d1 b7a6 d1d5 a6a4 b3a4 b5a4 b4b5 c6b4 d5d1 a4a3 e3a7 b8b7 a7d4 b4c2 d4a1 d6d5 d1c1 c2a1 c1a1 b7c7 e4d5 c7c2 g1f1 f8c5 b5b6 c2b2 e2c4 b2b6 a1a2 b6b4 a2c2
Yerevan,Yerevan,1977.??.??,5,"Lutikov, Anatoly S","Lputian, Smbat G",1/2-1/2,2540,2200,C15,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 f1d3 c7c5 e4d5 d8d5 c1d2 b4c3 d2c3 c5d4 c3d4 d5g2 d1f3 g2f3 g1f3 f7f6 h1g1 e8f7 f3d2 b8c6 d4c3 g8e7 d2c4 h8d8 e1c1 g7g6 h2h4 b7b5 c4a5 b5b4 a5c6 e7c6 c3d2 c8b7 h4h5 c6e5 h5g6 h7g6 d2b4
