Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Wch U12,Duisburg,1992.??.??,1,"Malakhov, Vladimir","Ab Rahman, M.",1-0,,,A05,g1f3 g8f6 b2b3 g7g6 c1b2 f8g7 g2g3 d7d6 f1g2 e8g8 e1g1 c7c6 d2d3 e7e5 c2c4 f6e8 b1d2 f7f5 d1c2 b8a6 c4c5 a6c5 f3e5 d8e7 d3d4 c5a6 c2c4 g8h8 e5f3 c8e6 c4c3 f5f4 g3f4 f8f4 c3e3 f4f8 f3g5 e8c7 d2c4 a8e8 g5e6 e7e6 e3e6 e8e6 e2e3 d6d5 c4e5 g6g5 b2a3 f8f6 g2h3 e6e8 h3d7 e8d8 a3e7 d8d7 e7f6
Wch U12,Duisburg,1992.??.??,2,"Malakhov, Vladimir","Berescu, Alin",1-0,,,D05,d2d4 g8f6 b1d2 d7d5 g1f3 e7e6 e2e3 c7c5 c2c3 b8d7 f1d3 f8d6 e1g1 e8g8 f1e1 b7b6 e3e4 d5e4 d2e4 d6e7 f3e5 c8b7 e4g5 g7g6 d1e2 d7e5 d4e5 f6h5 g5e4 d8d5 f2f4 f8d8 d3c2 d5c6 c1e3 d8d7 a1d1 a8d8 d1d7 d8d7 e4d2 h5g7 c2e4 c6c8 g2g4 c8d8 e4b7 d7b7 d2e4 b7d7 c3c4 h7h5 h2h3 h5h4 g1h2 g7e8 f4f5 d8c7 e3f4 d7d4 e2f2 d4c4 f5f6 c7b7 e4g5 e7f8 b2b3 c4c3 f2d2 c3f3 g5f3 b7f3 d2e3 f3d5 e3e4 d5d7 e4f3 e8c7 e1d1 c7d5 f4g5 d7c7 d1e1 b6b5 f3d1 c5c4 d1c1 f8b4 g5d2 b4d2 c1d2 d5f6 b3c4 b5c4 d2d6 c7a5 e1f1 f6d5 d6d7 a5d2 h2h1 f7f5 e5f6
Wch U12,Duisburg,1992.??.??,3,"Donovan, Lindon","Malakhov, Vladimir",0-1,,,A34,c2c4 c7c5 b1c3 g8f6 g1f3 d7d5 c4d5 f6d5 e2e4 d5b4 b2b3 c8g4 c1b2 b8c6 f1e2 g4f3 g2f3 c6d4 e1f1 d8d7 h2h4 a8d8 b2c1 e7e5 a2a4 a7a6 e2c4 d7c6 c3d5 b4d5 c4d5 d8d5 e4d5 c6d5 a1b1 d4f3 h1h3 d5d3 f1g2 d3b1 h3f3 f8e7 f3e3 f7f6 d1h5 b1g6 h5g6 h7g6 e3g3 e8f7 g3h3 f6f5 c1b2 e5e4 b2a3 g6g5 h4h5 g5g4 h3h1 h8d8 a3c1 d8d3 h5h6 g7h6 h1h6 d3b3 h6h7 f7e6 h7h6 e6d7 h6h7 d7e6 h7h6 e6e5 h6h7 e7f6 h7c7 e5d6 c7f7 d6e6 f7c7 f6e7 g2h2 e7d6
Wch U12,Duisburg,1992.??.??,4,"Malakhov, Vladimir","Gershon, Alik",1/2-1/2,,,B92,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f1e2 f8e7 e1g1 e8g8 c1e3 b8c6 g1h1 a7a6 f2f4 e6e5 d4b3 e5f4 e3f4 c8e6 d1e1 c6e5 a1d1 f6d7 c3d5 e6d5 d1d5 f8e8 e1f2 e7f8 d5d1 d8c7 b3d4 d7f6 e2d3 c7b6 d4f5 b6f2 f1f2 e5g4 f2d2 g7g6 f5d6 f8d6 f4d6 f6e4 d3e4 e8e4 h2h3 g4e3 d1e1 a8e8 d6c5 e3f5 e1e4 f5g3 h1h2 g3e4 d2e2 f7f5 c5d4 g8f7 g2g3 g6g5 h2g2 h7h5 g2f3 g5g4 h3g4 h5g4 f3f4 f7g6 e2e3 e8e6 c2c4 e6e7 a2a4 e7d7 d4c3 d7d1 f4e5 e4g5 c4c5 d1d8 b2b4 g5e4 c3b2 d8d2 b2a3 d2c2 e5d4 g6f6 b4b5 a6b5 a4b5 f6e6 a3b4 c2c1 b4a5 c1d1 d4c4 d1c1 c4d4
Wch U12,Duisburg,1992.??.??,5,"Halkias, Stelios","Malakhov, Vladimir",0-1,,,A70,d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 g1f3 g7g6 h2h3 f8g7 e2e4 e8g8 f1d3 b7b5 e1g1 b5b4 c3e2 b8d7 e2g3 f8e8 c1f4 d8b6 f3d2 c8a6 d1c2 d7e5 f4e5 e8e5 d2c4 a6c4 d3c4 a8e8 c4d3 h7h5 f1e1 f6d5 d3c4 d5f4 e1d1 h5h4 g3f1 e5e4 f1d2 e4e7 d2f3 b6c6 f3h4 d6d5 c4f1 f4e2 g1h1 e2d4 c2d3 c5c4 d3d2 c4c3 d2f4 c3c2 d1c1 e7e4 f4g3 g7h6 f1d3 e4e1 c1e1 e8e1 a1e1 c2c1q e1c1 c6c1 d3f1 c1f1 h1h2 d4e2 g3b8 g8h7
Wch U12,Duisburg,1992.??.??,6,"Felecan, Florin","Malakhov, Vladimir",1-0,,,A20,c2c4 e7e5 g2g3 b8c6 f1g2 f7f5 e2e3 g8f6 g1e2 f8e7 e1g1 e8g8 d2d4 e5e4 b1c3 d8e8 f2f3 e7d8 f3e4 f5e4 e2f4 c6a5 d1e2 d7d6 f4d5 c8e6 c1d2 e6d5 c3d5 a5c6 d5f6 f8f6 e2g4 e8f7 g4e4 f6f1 a1f1 d8f6 e4d3 g8h8 g3g4 f7e7 d3e4 e7d7 e4f5 d7e7 g2e4
Wch U12,Duisburg,1992.??.??,7,"Malakhov, Vladimir","Asanov, Bolat",1-0,,2405,B07,e2e4 d7d6 d2d4 g8f6 f1d3 e7e5 c2c3 g7g6 h2h3 f8g7 g1e2 e8g8 e1g1 b8c6 b1d2 c8d7 f2f4 f6e8 d2f3 d8e7 d1b3 a8b8 g2g4 h7h5 f4f5 g8h8 c1g5 g7f6 g5f6 e7f6 g4g5 f6e7 f5f6 e7e6 b3e6 d7e6 d4d5 e6h3 d5c6 h3f1 a1f1 b7c6 b2b4 a7a5 f1b1 a5b4 c3b4 b8a8 e2c1 d6d5 f3e5 e8d6 e4d5 c6d5 b1b2 f8e8 b2e2 h8g8 e5c6 e8e2 d3e2 d6e4 e2f3 a8a3 f3e4 d5e4 g1f2 g8f8 c6e5 a3c3 c1e2 c3c2 a2a4 c2b2 e5d7 f8e8 d7c5 b2b4 e2c3 b4c4 c3e4 e8d8 a4a5 c4c2 f2g3 c2a2 a5a6 a2a3 g3f2 d8c8 f2e2 c8d8 e4d2 d8c8 d2c4 a3a2 e2f3 c8d8 c4e5 a2a3 f3g2 a3a2 g2g3 a2a3 g3h4 d8e8 e5c6 e8f8 a6a7 f8g8 c5b3 a3a6 b3a5 g8h7 h4g3 h7g8 g3f4 g8h8 f4e5 h8g8 e5d5 g8h7 a5b3 h5h4 d5e4 h4h3 e4f3 a6a2 f3g3 h3h2 a7a8q h2h1n g3f3 a2a8 b3a5 a8e8 f3g2 e8e1 a5c4 h7g8 c4e5 g8f8 e5f3 e1c1 c6e5 c7c5 f3d2 f8g8 d2c4 c1e1 e5d3 e1e4 d3e5 e4e1 e5g4 e1d1 g4h6 g8f8 c4e5 d1d5 h6f7 f8e8 g2f3 c5c4 f3e4 d5d1 f7h8 h1g3 e4f3 d1f1 f3g3 c4c3 f6f7 e8d8 h8g6 c3c2 e5f3 c2c1q f7f8q d8c7 f8e7 c7b6 g6e5 c1c7 e7b4 b6a7 b4d4 a7b8 d4b4 b8c8 b4f8 c8b7 f8b4 b7c8 b4g4 c8b8 g5g6 c7c3 g3g2 f1b1 g6g7 b1b2 g2g3
Wch U12,Duisburg,1992.??.??,8,"Mitev, D.","Malakhov, Vladimir",0-1,,,C24,e2e4 d7d5 e4d5 g8f6 f1c4 f6d5 d2d3 e7e5 g1e2 b8c6 c4b3 c8e6 b1c3 f8e7 e1g1 e8g8 c3d5 e6d5 g1h1 d5b3 a2b3 c6b4 f2f4 e5e4 d3d4 c7c5 c1d2 b4c6 d2c3 c5d4 e2d4 c6d4 c3d4 a7a6 f4f5 e7f6 d4f6 d8f6 d1g4 f8e8 c2c3 e4e3 a1e1 a8d8 f1f3 e3e2 h2h3 d8d1 g4g3 f6e5 g3f2 d1e1 f2e1 e8d8
Wch U12,Duisburg,1992.??.??,9,"Malakhov, Vladimir","Labollita, Martin",1-0,,,D00,d2d4 g8f6 g1f3 g7g6 b1c3 d7d5 c1g5 f8g7 g5f6 g7f6 e2e4 c7c6 e4d5 c6d5 f1b5 b8c6 f3e5 f6e5 d4e5 a7a6 b5c6 b7c6 d1d4 e8g8 e1g1 c8f5 g2g4 f5d7 c3a4 a8b8 a4c5 d8b6 b2b4 f8d8 c2c3 a6a5 a2a3 a5a4 a1e1 e7e6 f2f4 b6b5 f1f2 d7c8 f4f5 e6f5 e5e6 c8e6 c5e6 f7e6 g4f5 b5c4 e1e6 c4d4 c3d4 g6f5 e6c6 b8c8 c6c5 c8c5 d4c5 d5d4 c5c6 g8f7 c6c7 d8c8 f2f5 f7e6 f5c5 e6d6 g1f2 c8c7 c5c7
Wch U12,Duisburg,1992.??.??,10,"Bakhtadze, Giorgi","Malakhov, Vladimir",0-1,,,B32,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 e7e5 d4b5 d7d6 b1c3 a7a6 b5a3 b7b5 c3d5 c6e7 c2c3 e7d5 e4d5 f7f5 a3c2 g8f6 a2a4 c8d7 a4b5 a6b5 c1g5 f8e7 c2b4 d8c8 g5f6 e7f6 f1e2 e8g8 e1g1 e5e4 f2f3 f6e5 f3f4 e5f6 a1a8 c8a8 d1a1 a8a4 a1a2 f6d4 g1h1 a4a2 b4a2 d4c5 e2d1 f8a8 d1b3 d7e8 a2b4 e8h5 b4c2 h5e2 f1e1 e2c4 b3c4 b5c4 g2g4 g7g6 g4f5 g6f5 c2e3 c5e3 e1e3 a8a1 h1g2 a1d1 g2f2 d1d5 e3e1 d5d2 f2e3 d2d3 e3e2 d3h3 e1d1 h3h2 e2e1 h2h1
