Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
EU-ch U12,Tallinn,1997.??.??,1,"Mamedyarov, Shahriar","Naiditsch, Arkadij",0-1,,2175,A48,d2d4 g8f6 g1f3 g7g6 c1f4 f8g7 e2e3 d7d6 h2h3 e8g8 b1d2 b8d7 f1c4 c7c6 a2a4 f8e8 e1g1 e7e5 f4h2 e5e4 f3e1 d7f8 d1e2 a7a5 c2c3 b7b6 b2b4 a5b4 c3b4 d6d5 c4b3 c8a6 e2d1 a6f1
EU-ch U12,Tallinn,1997.??.??,2,"Bartel, Mateusz","Mamedyarov, Shahriar",1/2-1/2,2140,,C77,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 d1e2 b7b5 a4b3 f8c5 a2a4 a8b8 a4b5 a6b5 e1g1 e8g8 b1c3 d7d6 c3d5 c8g4 c2c3 b5b4 b3c4 f6d5 e4d5 c6e7 h2h3 g4h5 g2g4 h5g6 d2d4 e5d4
EU-ch U12,Tallinn,1997.??.??,3,"Mamedyarov, Shahriar","Sveshnikov, Vladimir",1-0,,,D02,d2d4 d7d5 g1f3 e7e6 c1f4 g8f6 f3e5 c7c5 e2e3 b8c6 c2c3 c8d7 b1d2 a8c8 f1d3 f8e7 d1f3 c5c4 d3c2 b7b5 g2g4 h7h6 h2h4 b5b4 g4g5 b4c3 b2c3 h6g5 h4g5 h8h1 f3h1 f6e4 d2e4 d5e4
EU-ch U12,Tallinn,1997.??.??,4,"Gluzin, Yurij","Mamedyarov, Shahriar",0-1,,,C77,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 d1e2 f8c5 c2c3 e8g8 e1g1 b7b5 a4c2 d7d5 e4d5 d8d5 h2h3 c8b7 c2b3 d5d6 f1d1 e5e4 f3g5 d6d3 d1e1 c6e5 e2d1 h7h6 b3c2 d3g3 c2e4 f6e4
EU-ch U12,Tallinn,1997.??.??,5,"Baltag, Iulian","Mamedyarov, Shahriar",1-0,,,C80,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 f1e1 e4c5 a4c6 d7c6 f3e5 f8e7 d2d4 c5e6 c1e3 e8g8 c2c4 e7g5 b1c3 f7f6 e5f3 g5e3 e1e3 e6f4 e3e4 g7g5 d1d2 c8g4 e4e3 d8d7
EU-ch U12,Tallinn,1997.??.??,6,"Mamedyarov, Shahriar","Manescu, Tiberiu",1-0,,2085,A48,d2d4 g8f6 g1f3 g7g6 c1f4 f8g7 h2h3 e8g8 e2e3 d7d6 b1d2 b8d7 f1c4 c7c6 a2a4 f8e8 e1g1 e7e5 f4h2 e5e4 f3e1 d6d5 c4a2 d7f8 c2c4 b7b6 e1c2 c8e6 a1c1 a8c8 c4d5 c6d5 d1e2 d8d7
EU-ch U12,Tallinn,1997.??.??,7,"Vovsha, Eli","Mamedyarov, Shahriar",1-0,2240,,E94,g1f3 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 d2d4 e8g8 f1e2 b8d7 e1g1 e7e5 d1c2 c7c6 f1d1 d8e7 d4d5 c6c5 c1g5 h7h6 g5d2 f6h5 g2g3 h5f6 a1b1 f6e8 f3h4 e8c7 d2e3 g8h7 a2a3 d7f6
EU-ch U12,Tallinn,1997.??.??,8,"Mamedyarov, Shahriar","Tabatabai, John",1-0,,,A48,d2d4 g8f6 g1f3 g7g6 c1f4 f8g7 h2h3 e8g8 e2e3 d7d6 f1c4 b8d7 b1d2 b7b6 e1g1 c8b7 c2c3 d8e8 f4h2 e7e5 b2b4 g8h8 b4b5 a7a6 a2a4 a6b5 a4b5 e8e7 d1b3 f6e4 d2e4 b7e4 f3d2 e4b7
EU-ch U12,Tallinn,1997.??.??,9,"Gashimov, Vugar","Mamedyarov, Shahriar",1-0,2230,,C54,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 d2d3 g8f6 e1g1 d7d6 c2c3 e8g8 c4b3 c5b6 h2h3 h7h6 f1e1 c8e6 b3c2 d6d5 d1e2 f8e8 b1d2 f6h5 d2f1 d8f6 f3h2 d5e4 d3e4 a8d8 c1e3 h5f4 e2f3 d8d7
Baku Cup,Baku,1998.??.??,?,"Mamedyarov, Shahriar","Rashidov, Araz",0-1,,,D02,d2d4 d7d5 c1f4 e7e6 e2e3 c7c5 c2c3 b8c6 b1d2 g8f6 g1f3 f8e7 f1d3 e8g8 f3e5 c6e5 d4e5 f6d7 d1h5 g7g6 h5e2 b7b6 h2h4 c8b7 h4h5 g6g5 f4g3 h7h6 d3c2 f7f5 e5f6 f8f6 e1c1 a7a5 f2f4 f6f7 d2f3 e7d6 g3h2 g5f4 e3f4 d8f6 c1b1 b7a6 e2e3 a8f8 f4f5 d6h2 f5e6 f7e7 f3h2 e7e6 e3d2 e6d6 h2f3 d7e5 f3h4 e5c4 d2c1 f6f4 h1h3 a6c8 c1f4 f8f4 h3g3 f4g4 d1d3 d6f6 c2d1 f6f1 b1c2 f1d1 c2d1 c4b2 d1d2 b2d3 g3g4 c8g4 d2d3 g4h5 d3e3 g8f7 h4f5 f7f6 e3f4 b6b5 f5h6 b5b4 c3b4 a5b4 h6f5 h5g6 f5e3 f6e6 g2g4 g6b1 g4g5 b1a2 g5g6 e6f6 e3g4 f6g6 g4e5 g6g7
Baku Cup,Baku,1998.??.??,?,"Mamedyarov, Shahriar","Aliev, Rasim",1/2-1/2,,,E06,d2d4 d7d5 c2c4 e7e6 g2g3 g8f6 f1g2 f8e7 g1f3 e8g8 e1g1 c7c5 c4d5 f6d5 d4c5 e7c5 a2a3 a7a5 b2b3 b7b6 c1b2 c8b7 d1c2 b8d7 b1d2 a8c8 c2d3 d8e7 d2e4 f8d8 f1d1 e6e5 g2h3 d5f6 e4c5 d7c5 d3e3 d8d1 a1d1 c8d8 d1d8 e7d8 b3b4 a5b4 a3b4 e5e4 b2f6 g7f6 f3d4 c5d7 d4f5 d7f8 e3h6 f8e6 f5e3 e6f8 h3f5 f8g6 b4b5 d8d2 h2h4 d2e2 h4h5 e2b5 h5g6 h7g6 f5g6 f7g6 h6g6 g8f8 e3f5 b5e5 g3g4 e4e3 g6g7 f8e8 g7b7 e3e2 b7a8 e8f7 a8b7 f7e8 b7c8 e8f7 c8c4 f7e8 c4c8 e8f7 c8d7 f7f8 d7d8 f8f7 d8d7 f7f8 d7d8 f8f7 d8d7 f7f8 d7d8 f8f7
