Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Wch U10,Duisburg,1992.??.??,1,"McShane, Luke J","Bello, O.",1-0,,,C40,e2e4 e7e5 g1f3 d8f6 d2d4 e5d4 c1g5 f6g6 f1d3 f8c5 e1g1 g8e7 b1d2 e8g8 d2b3 c5b4 a2a3 b4d6 e4e5 g6e6 b3d4 e6d5 e5d6 c7d6 g5e7 f8e8 d4f5 b8c6 f5d6 e8e7 d3h7 g8f8 d1d5 a7a6 f3h4 g7g6 a1e1 b7b5 e1e7 f8g7 d5f7 g7h6 f7g6
Wch U10,Duisburg,1992.??.??,2,"Friedmann, Daniel","McShane, Luke J",0-1,,,C01,e2e4 e7e6 d2d4 d7d5 e4d5 e6d5 f1d3 f8d6 g1f3 b8c6 c2c3 g8e7 e1g1 c8g4 b1d2 e7g6 f1e1 c6e7 d1c2 c7c6 h2h3 g4e6 f3g5 e6d7 g5h7 h8h7 d3g6 h7h8 g6f5 d8c7 f5d7 c7d7 e1e3 e8c8 a2a4 g7g5 c2d1 d8g8 b2b4 g5g4 h3g4 g8g4 b4b5 g4h4
Wch U10,Duisburg,1992.??.??,3,"Bacrot, Etienne","McShane, Luke J",0-1,,,E81,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e8g8 c1e3 c7c5 d4c5 d6c5 e3c5 b8c6 d1d8 f8d8 g1e2 f6d7 c5a3 d7e5 e2f4 e7e6 a1d1 d8d1 e1d1 b7b6 c3b5 c8a6 d1c2 a8c8 c2b1 g7h6 f4h3 a6b5 c4b5 c6d4 b2b3 h6e3 f3f4 e5g4 f1c4 g4f6 a3b4 a7a5 b5a6 d4c6 h1e1 e3f4 h3f4 c6b4 f4e6 b6b5 a6a7 c8a8 e6c7 a8a7 c7b5 a7a2 e4e5 f6h5 b5d6 a2g2 c4f7 g8f8 e5e6 b4d5 e1e5 h5f6 b3b4 d5c3 b1c1 f6d5 b4b5 d5b4 e6e7 f8g7
Wch U10,Duisburg,1992.??.??,4,"McShane, Luke J","Aronov, L.",1-0,,,C63,e2e4 e7e5 g1f3 b8c6 f1b5 f7f5 d2d4 f5e4 f3e5 c6e5 d4e5 c7c6 b5e2 d8a5 b1c3 a5e5 c1e3 g8f6 d1d2 d7d5 e3d4 e5f5 c3d1 f8d6 d1e3 f5e6 c2c4 e8g8 e1g1 d6e5 d4c5 f8d8 c4d5 c6d5 f1d1 b7b6 c5d4 e6d6 h2h3 e5d4 d2d4 d6c5 e2c4 c8e6 c4b3 a8c8 d4e5 c5d6 e5d4 d8d7 d4d2 g8h8 e3c2 d7c7 c2d4 c7c5 a2a4 e6d7 d2e1 d6c7 d4e2 c8e8 e1d2 d7c6 e2d4 c6d7 d4e2 c7e5 e2c3 d7c6 d2e3 e8d8 d1d4 d8d7 a1d1 f6h5 c3e4 d5e4 d4d7 c6d7 d1d7 e5e8 e3d4 c5c8 b3f7 h5f4 d4d2 f4e2 g1f1 e4e3 f7e8 e2g3 f2g3 e3d2 e8h5 c8c1 f1e2 g7g6 e2d2 c1b1 d2c2 b1a1 h5f3 a1a4 c2c3 a7a5 f3c6 a4b4 d7d4
Wch U10,Duisburg,1992.??.??,5,"Ganguly, Surya Shekhar","McShane, Luke J",1/2-1/2,,,E69,g1f3 g8f6 g2g3 g7g6 f1g2 f8g7 e1g1 e8g8 d2d4 d7d6 c2c4 c7c6 b1c3 d8a5 e2e4 b8d7 h2h3 e7e5 c1e3 e5d4 e3d4 d7e5 d4e5 d6e5 d1e2 h7h6 a1d1 c8e6 d1d2 f6h5 f1d1 a5c5 c3a4 c5a5 a4c3 a5b4 g2f1 a7a5 a2a3 b4e7 e2e3 e7c7 d2d6 a5a4
Wch U10,Duisburg,1992.??.??,6,"McShane, Luke J","Grischuk, Alexander",1-0,,,C09,e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 e6d5 g1f3 b8c6 f1b5 f8d6 e1g1 g8e7 d4c5 d6c5 d2b3 c5d6 c1g5 e8g8 c2c3 c8g4 b5e2 d8c7 h2h3 g4h5 f3d4 h5e2 d1e2 f8e8 e2h5 d6f4 a1d1 h7h6 g5f4 c7f4 h5f3 f4g5 f3d3 c6e5 d3b5 e7g6 d4e2 e5f3 g1h1 f3h4 f1g1 g5f5 b3d4 f5f2 d1f1 f2e3 b5b7 g6e5 b7b3 e5d3 b3d5 d3f2 h1h2 a8d8 d5h5 e8e4 e2g3 e3f4 f1f2 f4f2 g3e4
Wch U10,Duisburg,1992.??.??,7,"McShane, Luke J","Das, N.",0-1,,,B80,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 e7e6 d1d2 b7b5 f2f3 c8b7 e1c1 b8d7 g2g4 d7b6 f1d3 f6d7 d2f2 f8e7 h2h4 d7e5 d4e6 f7e6 e3b6 d8d7 c1b1 e8g8 h1h3 e5g4 f2g3 g4e5 d3b5 a6b5 g3e5 b7c6 e5g3 d7b7 b6d4 e6e5 d4e3 b7a6 a2a3 b5b4 c3a2 b4a3 b2b3 a8c8 g3g4 c8c7 h3g3 f8f7 e3g5 c6d7 g4h5 a6e2 d1c1 e7f8 g5d8 c7b7 b3b4 d7e6 a2c3 b7b4 b1a1 e2d2
Wch U10,Duisburg,1992.??.??,8,"Vavrak, Peter","McShane, Luke J",0-1,,,C02,e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 b8c6 g1f3 d8b6 f1e2 c5d4 c3d4 g8e7 b1c3 e7f5 c3a4 b6a5 c1d2 f8b4 d2c3 c8d7 a2a3 b4c3 a4c3 a8c8 e1g1 e8g8 b2b4 a5d8 a1c1 f7f6 d1d2 f6e5 d4e5 d7e8 e2b5 d5d4 c3e2 c6e5 f3e5 e8b5 c1c8 d8c8 f1d1 f8d8 g2g4 b5e2 d2e2 f5h6 e2b2 d8d5 e5f3 h6g4 d1d4 g4f6 b2d2 c8e8 d4d5 e6d5 g1f1 e8b5 f1g1 b5c4 d2e3 c4e4 g1f1 b7b6 f1e2 e4c4 e2e1 g8f8 f3e5 c4c7 e1e2 f6e4 e3f4 f8e8 f4f5 c7c2 e2f1 e4d2
Wch U10,Duisburg,1992.??.??,9,"McShane, Luke J","Ortega Ruiz, Jose Migues",1-0,,,C09,e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 e6d5 g1f3 b8c6 f1b5 f8d6 e1g1 c5d4 d2b3 g8e7 b3d4 e8g8 c1g5 c8d7 b5d3 h7h6 g5h4 a7a6 f1e1 f8e8 c2c3 d8c7 h4g3 d6g3 h2g3 c6d4 f3d4 e7c6 e1e8 a8e8 d3c2 c6d4 d1d4 c7e5 d4e5 e8e5 c2d3 g8f8 f2f3 f8e7 g1f2 d7c6 a1d1 b7b5 d3e2 g7g6 d1d3 c6b7 d3e3 e5e3 f2e3 e7d6 e3d4 b7c8 f3f4 f7f5 e2d3 g6g5 d3e2 g5g4 e2d1 c8b7 d1c2 b7c8 a2a4 c8d7 a4b5 a6b5 c2d3 h6h5 b2b3 d6c6 d4e5 c6c5 b3b4
Wch U10,Duisburg,1992.??.??,10,"Vallejo Pons, Francisco","McShane, Luke J",1-0,,,C15,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 g1e2 d5e4 a2a3 b4e7 c3e4 g8f6 e2c3 e8g8 c1e3 b8d7 d1d2 a7a6 f1e2 f6d5 e1g1 d5e3 d2e3 b7b5 e2f3 a8b8 a1d1 h7h6 f1e1 d7b6 f3e2 d8e8 e3f4 f7f5 e4c5 e7d6 f4h4 e6e5 e2f1 e5e4 g2g4 e8g6 f1g2 e4e3 f2e3 f5g4 c5d3 g4g3 h2h3 c8d7 e3e4 f8f7 c3e2 d7c6 e4e5 c6g2 e5d6 g2f3 d3e5 g6f6 h4f6 f7f6 d6c7 b8c8 d1d3 f3e4 d3g3 e4c2 g3c3 c2g6 e2g3 b6d5 c3c5 d5f4 e5c6 c8c7 c6e7 c7e7 e1e7 f6d6 c5c8 g8h7 c8c7 f4e6 c7d7 d6d4 e7g7 e6g7 d7d4 g7f5 d4d7 h7g8 g3f5 g6f5 d7a7 f5h3 a7a6 h6h5 g1h2 h3f1 a6h6 f1e2 h6e6 e2c4 e6e5 g8f7 e5h5 f7e6 h2g2 c4d5 g2f2 e6d6 f2e3 d5c4 e3d4 d6c6 h5c5 c6b6 c5c4 b5c4 d4c4 b6c6 b2b4
