Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Hastings6667,Hastings,1966.??.??,1,"Balashov, Yuri S","Mecking, Henrique",0-1,,,C98,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 c2c3 d7d6 h2h3 c6a5 b3c2 c7c5 d2d4 d8c7 b1d2 a5c6 d4c5 d6c5 d2f1 c8e6 f3h4 g7g6 d1f3 g8h8 c1g5 f6g8 f3g3 f7f5 f2f4 e7d6 e4f5 e6f5 h4f5 e5f4 g3f2 g6f5 a1d1 a8c8 e1e6 d6e5 f2c5 c7g7 g5f4 e5f4 e6c6 f4b8 g1h1 b8a7 c5d6 a7b8 d6e6 c8e8 e6d7 e8e7 d7d4 b8e5 d4d3 g8f6 d3f5 f6d5 c6c8 e7f7 c8f8 f7f8 f5e4 d5f4 d1e1 e5d6 e4d4 g7d4 c3d4 f4e2 c2d1 d6b4 d1e2 b4e1 e2f3 f8f4 d4d5 f4a4 a2a3 b5b4 a3b4 a4b4 d5d6 b4b2 d6d7 e1a5 f1e3 a5c7 h1g1 a6a5 f3c6 b2b6 c6a4 b6b4 a4c6 b4d4 e3f5 d4c4 c6d5 c4c5 d5e6 c5e5
Hastings6667,Hastings,1966.??.??,2,"Mecking, Henrique","Uhlmann, Wolfgang",1/2-1/2,,,D78,d2d4 g8f6 c2c4 g7g6 g1f3 f8g7 g2g3 c7c6 f1g2 d7d5 e1g1 e8g8 d1b3 f6e4 b1c3 d5c4 b3c4 c8f5 c4b3 d8c8 c1f4 b8d7 a1c1 e4c3 b2c3 f5e4 f1d1 c6c5 d4d5 c5c4 b3b4 f8e8 f3d2 e4g2 g1g2 d7b6 e2e4 e7e6 a2a4 e6d5 a4a5 g7f8 b4b5 c8d7 b5d7 b6d7 e4d5 b7b5 a5b6 d7b6 d5d6 a8d8
Hastings6667,Hastings,1966.??.??,3,"Kurajica, Bojan","Mecking, Henrique",1-0,,,C88,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 a2a4 c8b7 d2d3 d7d6 c1d2 f6d7 b1c3 c6d4 f3d4 e5d4 c3e2 e7f6 a4b5 a6b5 a1a8 d8a8 e2f4 d7c5 f4h5 a8d8 b3a2 g7g6 d1g4 b7c8 h5f6 d8f6 g4g3 c8e6 e4e5 d6e5 a2e6 c5e6 e1e5 c7c6 h2h4 f8a8 h4h5 a8e8 f2f4 e6c7 d2a5 e8e5 f4e5 f6e7 a5c7 e7c7 g3f4 c6c5 h5h6 f7f5 b2b4 c5c4 f4d4 c4d3 c2d3 c7c1 g1f2 c1d2 f2f3 d2h6 e5e6 h6h5 f3f2 h5g5 d4d7 g5d2 f2f3 d2d1 f3e3 d1e1 e3f3 e1d1 f3f4 d1g4
Hastings6667,Hastings,1966.??.??,4,"Hartston, William R","Mecking, Henrique",1/2-1/2,,,B97,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1g5 e7e6 f2f4 d8b6 d1d2 b6b2 a1b1 b2a3 e4e5 d6e5 f4e5 f6d7 f1c4 f8b4 b1b3 a3a5 e1g1 e8g8 g5f6 d7f6 e5f6 f8d8 b3b4 a5b4 d2g5 g7g6 f1f4 b4f8 f4h4 b7b5 c4d3 b5b4 d3g6 h7g6 h4h6 d8d4 h6g6
Hastings6667,Hastings,1966.??.??,5,"Mecking, Henrique","Basman, Michael J",0-1,,,A44,d2d4 c7c5 d4d5 d7d6 c2c4 e7e5 b1c3 g7g6 e2e4 f8h6 f1d3 h6c1 d1c1 a7a6 g1e2 d8h4 g2g3 h4h3 f2f4 b8d7 c1d2 g8f6 e1c1 e8g8 d1f1 g8g7 e2g1 h3h6 g1f3 f8e8 c1b1 e5f4 g3f4 b7b5 c4b5 d7b6 f3g5 a8a7 b5a6 c8a6 d3a6 a7a6 c3b5 e8e4 g5e4 f6e4 d2e2 b6c4 b1a1 e4d2 b5a3 a6a3 h2h4 d2b3 a1b1 c4d2 b1c2 b3d4 c2d2 d4e2 b2a3 e2g3
Hastings6667,Hastings,1966.??.??,6,"Penrose, Jonathan","Mecking, Henrique",1-0,,,C98,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c6a5 b3c2 c7c5 d2d4 d8c7 b1d2 a5c6 d4c5 d6c5 f3h2 c8e6 d2f1 g8h8 d1f3 g7g6 h2g4 f6g8 f1e3 f7f6 e3d5 e6d5 e4d5 c6a5 b2b3 e7d6 f3e2 c5c4 g4e3 f6f5 b3c4 a5c4 e3c4 c7c4 c2b3 c4e2 e1e2 g8f6 c1b2 f8c8 a1c1 f6d7 c3c4 b5c4 c1c4 c8c4 b3c4 h8g8 f2f3 g8f8 g2g4 f8e7 c4d3 f5f4 e2c2 d6c5 g1f1 e7d6 f1e2 a6a5 d3b5 a8a7 b5c6 a7c7 e2d3 c5d4 b2a3 d7c5 d3c4 c7f7 c4b5 f7f8 c2c5 f8b8 b5c4 d4c5 a3c5 d6c7 c6b5
Hastings6667,Hastings,1966.??.??,7,"Mecking, Henrique","Botvinnik, Mikhail",0-1,,,A88,d2d4 g7g6 g1f3 f8g7 c2c4 f7f5 b1c3 g8f6 g2g3 e8g8 f1g2 d7d6 e1g1 c7c6 d1c2 g8h8 c1g5 c8e6 d4d5 c6d5 f3d4 e6g8 c4d5 b8a6 f1d1 a8c8 c2d2 a6c5 d4b3 c5e4 c3e4 f6e4 g2e4 f5e4 g5e3 f8f5 d2b4 f5d5 b4b7 c8c7 b7a6 c7c4 a6a3 d8d7 d1d5 g8d5 a1d1 d5g8 a3a7 d7a7 e3a7 c4a4 a7d4 a4a2 d4g7 h8g7 b3d4 a2b2 d4c6 g7f6 e2e3 g8e6 h2h4 e6g4 d1a1 e7e5 a1a7 h7h5 c6d8 b2b1 g1h2 g6g5 h4g5 f6g5 a7g7 g5f6 g7f7 f6g6 f7b7 b1d1 d8f7 g4f3 f7h8 g6g5
Hastings6667,Hastings,1966.??.??,8,"Czerniak, Moshe","Mecking, Henrique",0-1,,,B70,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 g2g3 c8d7 f1g2 g7g6 e1g1 f8g7 d4e2 a8c8 b2b3 h7h5 c1b2 h5h4 c3d5 h4g3 d5f6 g7f6 b2f6 g3h2 g1h1 e7f6 d1d6 d7g4 d6d8 c6d8 e2d4 d8e6 d4e6 g4e6 c2c4 b7b6 a1d1 e8e7 d1d2 f6f5 e4f5 e6f5 g2d5 c8d8 f2f3 f5e6 d2e2 e7f6 d5e6 f7e6 f1e1 d8d6 h1g2 h8h5 e1h1 d6d3 f3f4 h5h4 h1h2 h4g4 g2f2 g4f4 f2e1 d3d7 h2h8 f4f5 h8f8 d7f7 f8e8 f5e5 e8c8 e5e2 e1e2 f7h7 e2d3 f6e5 b3b4 h7h3 d3c2 e5d4 c4c5 b6c5 c8c5 h3h2 c2b3 e6e5 c5c7 h2h3 b3a4 e5e4 c7a7 e4e3 a7d7 d4c3 d7e7 c3d2 e7d7 d2e2 b4b5 g6g5 b5b6 g5g4 b6b7 h3h8 a4b5 g4g3 d7g7 e2f2 g7f7 f2e1 f7g7 e3e2 g7g3 e1f2 g3h3 e2e1q h3h8 e1e5 b5b6 e5h8 a2a4 h8d4 b6b5 d4d3 b5a5 d3d6 a5b5 f2e3
Hastings6667,Hastings,1966.??.??,9,"Mecking, Henrique","Keene, Raymond D",1-0,,,A71,d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 g1f3 g7g6 e2e4 f8g7 c1g5 h7h6 g5h4 g6g5 h4g3 f6h5 f1b5 e8f8 b5e2 h5g3 h2g3 a7a6 d1c2 b8d7 a2a4 d8e7 f3d2 g7d4 h1f1 f8g7 e1c1 b7b5 a4b5 d7b6 d2b3 d4c3 c2c3 f7f6 f2f4 b6a4 c3c2 a6b5 e2b5 c8a6 b5a6 a8a6 e4e5 d6e5 f4e5 f6e5 d5d6 a6d6 d1d6 e7d6 c2e4 h8d8 e4a4 d6d3 f1h1 c5c4 a4a7 g7g8 b3c5 d3d2 c1b1 c4c3 b2c3 d2c3 a7b6
Rio Hondo zt,Rio Hondo,1966.??.??,1,"Mecking, Henrique","Panno, Oscar",1-0,,,E57,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 c7c5 f1d3 b8c6 g1f3 d7d5 e1g1 e8g8 a2a3 c5d4 e3d4 d5c4 d3c4 b4e7 c1g5 b7b6 d1d3 c8b7 a1d1 f8e8 f3e5 c6e5 d4e5 d8d3 d1d3 f6g4 g5f4 g7g5 f4g3 a8c8 c4b5 e8d8 f1d1 a7a6 d3d8 c8d8 d1d8 e7d8 b5e2 g4h6 f2f3 d8c7 c3e4 b7e4 f3e4 a6a5 g1f2 g8f8 f2e3 h6g8 e3d4 g8e7 d4c4 e7c6 g3f2 c7e5 b2b3 e5d6 c4b5 c6b8 f2b6 d6a3 b6a5 f8e8 b3b4 e8d7 b5b6 d7c8 b4b5 b8d7 b6a7 a3c5 b5b6 f7f5 e4f5 e6f5 e2d3 f5f4 d3f5 c8d8 a7b7 d7e5 b7a8 c5d6 b6b7 d8e8 f5h7 g5g4 h7e4 f4f3 g2g3 f3f2 e4g2 e5c4 a5b4
