Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
BCF-ch U18 ,Rhyl,1969.??.??,?,"Miles, Anthony J","Dennis, JR.",1-0,,,C55,e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 d2d4 e5d4 e1g1 f8c5 e4e5 d7d5 e5f6 d5c4 f1e1 c8e6 f3g5 d8d5 b1c3 d5f5 c3e4 c5b6 f6g7 h8g8 g2g4 f5g6 g5e6 f7e6 c1g5 g8g7 e4f6 e8f8 d1f3 g7f7 e1e6 g6g5 f6h7 f8g7 f3f7 g7f7 h7g5 f7g7 h2h4 a8f8 e6c6
BCF-ch U18 ,Rhyl,1969.??.??,?,"Hawley, RW.","Miles, Anthony J",1/2-1/2,,,A29,g2g3 e7e5 c2c4 g8f6 f1g2 d7d5 c4d5 f6d5 b1c3 c8e6 g1f3 b8c6 d2d3 f7f6 e1g1 f8c5 c1d2 d8d7 c3e4 c5b6 a1c1 e6h3 e4c5 b6c5 c1c5 h3g2 g1g2 h7h5 d1b3 d5b6 a2a4 a7a5 f1c1 h5h4 d2e3 d7g4 c5b5 h4g3 f2g3 e5e4 d3e4 g4e4 e3b6 c7b6 b5b6 e4e2 g2g1 c6d4 f3d4 e2h2 g1f1 h2h1 f1e2 h1c1 b3e6 e8f8 e6d6 f8g8 d6e6
Glorney Cup,"Bearsden, Glasgow",1970.07.29,1,"Miles, Anthony J","O'Donohoe, F.",1-0,,,C44,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f1c4 d7d6 c2c3 d4d3 e1g1 f8e7 d1b3 c6a5 b3a4 c7c6 c4d3 g8f6 b2b4 a5c4 d3c4 b7b5 c4b5 c6b5 a4b5 c8d7 b5d3 e8g8 c1f4 d8b6 b1d2 f8d8 a2a4 d7c6 b4b5 c6d7 f4e3 b6b7 e3d4 a8c8 c3c4 d7e6 f1c1 f6d7 d2b3 d7c5 d4c5 d6c5 d3e2 b7c7 c1d1 e6g4 h2h3 g4h5 d1d5 h5g6 a1d1 h7h6 f3e5 d8d5 d1d5 c8d8 e5g6 f7g6 e2d2 g8h7 d5d8 e7d8 d2d5 d8e7 g2g3 c7c8 g1g2 c8c7 f2f4 c7c8 b3a5 c8c7 a5c6 c7b7 d5f7 b7c7 f7e7
Glorney Cup,"Bearsden, Glasgow",1970.07.30,2,"Findlay, David John","Miles, Anthony J",0-1,,,C63,e2e4 e7e5 g1f3 b8c6 f1b5 f7f5 b1c3 f5e4 c3e4 g8f6 d1e2 d8e7 e4f6 g7f6 b5c6 b7c6 d2d4 e5d4 e2e7 f8e7 f3d4 e8g8 c1h6 e7b4 c2c3 f8e8 h6e3 b4c5 e1c1 c8b7 d4f5 c5e3 f5e3 d7d6 d1d4 c6c5 d4f4 e8e6 h1d1 g8f7 g2g4 e6e4 f4f5 a8g8 f5h5 f7g6 h2h3 b7c8 e3d5 g8g7 f2f3 e4e5 d5f4 g6f7 h5h6 f7g8 h6f6 g7f7 f4h5 c8b7 f6f7 g8f7 d1d3 e5e1 c1d2 e1f1 f3f4 f1f2 d2c1 f2f1 d3d1 f1d1 c1d1 b7g2 d1e2 g2h3 e2f3 h3f1 f3e4 f1e2 f4f5 e2g4 h5g3 g4d1 e4f4 d6d5 f4e5 c7c6 f5f6 d1g4 e5f4 g4d1 f4e5 d1c2 g3e2 c2g6 a2a3 a7a5 b2b3 g6c2 b3b4 a5b4 a3b4 d5d4 e2f4 d4d3 f4e6 d3d2 e6g5 f7f8 f6f7 d2d1q
Glorney Cup,"Bearsden, Glasgow",1970.07.31,4,"Bray, D.","Miles, Anthony J",0-1,,,A87,g1f3 g7g6 g2g3 f8g7 f1g2 d7d6 e1g1 f7f5 d2d4 g8f6 c2c4 e8g8 d4d5 a7a5 b1c3 b8a6 c1e3 c8d7 a1b1 d8e8 h2h3 h7h6 d1d2 g6g5 h3h4 f5f4 g3f4 g5g4 f3h2 e8h5 c3e4 f6e4 g2e4 h5h4 g1h1 a6c5 e3c5 d6c5 e2e3 h6h5 f1g1 a8a6 g1g2 a5a4 h1g1 a6d6 h2f1 e7e5 g2h2 h4e7 h2h5 e5f4 e4h7 g8f7 e3f4 d6h6 h5h6 g7h6 f1g3 f7g7 d2d3 h6f4 d3g6 g7h8 g1g2 f4g3 g6h6 g3f4 h6g6 d7f5
Glorney Cup,"Bearsden, Glasgow",1970.08.01,5,"Miles, Anthony J","Hanau, Jean",1-0,,,C55,e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 d2d4 e5d4 e4e5 d7d5 c4b5 f6e4 f3d4 c8d7 b5c6 b7c6 e1g1 f8e7 f2f3 e4g5 f3f4 g5e4 f4f5 c6c5 d4b3 d7b5 f1f3 a7a5 a2a4 b5c6 d1e1 c5c4 b3d4 e7c5 c1e3 c5d4 e3d4 d8g5 b1c3 e8g8 f5f6 g5d2 e1d2 e4d2 f3f2 d2e4 c3e4 d5e4 f6g7 f8d8 d4c3 c6d5 f2f5 h7h6 f5f6 g8g7 e5e6 f7e6 f6e6 g7h7 e6e7 h7g8 a1f1
Islington-J,Islington,1970.??.??,1,"Miles, Anthony J","Smith, RR.",1-0,,,B13,e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 f1d3 b8c6 c2c3 g8f6 c1f4 c8g4 d1b3 c6a5 b3a4 g4d7 a4c2 e7e6 b1d2 a8c8 g1f3 f8e7 f3e5 a5c6 e5c6 d7c6 d2f3 h7h6 f3e5 f6d7 e5c6 c8c6 a2a4 e8g8 e1g1 e7d6 f4d6 c6d6 c2e2 f8e8 f2f4 a7a6 a1e1 d8b6 g1h1 b6b3 f1f3 b3a4 f3g3 d7f6 e2e5
Islington-J,Islington,1970.??.??,2,"Bellin, Robert","Miles, Anthony J",1-0,,,C42,e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5f3 f6e4 b1c3 d6d5 d1e2 f8e7 c3e4 d5e4 e2e4 e8g8 f1d3 g7g6 e1g1 b8c6 d3b5 c8f5 e4e2 c6b4 d2d3 a7a6 b5a4 b7b5 a4b3 e7f6 f1e1 b4c6 c1h6 f8e8 e2d2 e8e1 a1e1 c6d4 f3d4 d8d4 d2e2 f5d7 c2c3 d4h4 e2f3 a8e8 e1e8 d7e8 h6e3 f6d8 f3e4 h4e4 d3e4 g8f8 e3c5 d8e7 c5e7 f8e7 f2f3 c7c5 g1f2 e7d6 f2e3 g6g5 g2g3 f7f6 b3g8 h7h6 b2b4 e8c6 f3f4 c6b7 g8f7 b7c6 a2a3 c6b7 f7g6 b7c8 g6f7 c8b7 h2h4 g5h4 g3h4 b7c6 f7b3 c6b7 b3f7 b7c6 b4c5 d6c5 e4e5 f6e5 f4e5 c6g2 e3f4 g2h3 f7a2 a6a5 a2f7 c5c6 f7h5 h3d7 h5g4 d7e8 f4f5 e8d7 e5e6 d7e8 f5f6
Islington-J,Islington,1970.??.??,3,"Miles, Anthony J","Stean, Michael",1-0,,,B90,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 e7e5 d4f3 f8e7 f1c4 e8g8 d1e2 d8c7 e1g1 b7b5 c4d5 c8b7 d5b7 c7b7 e3g5 b8d7 a1d1 f8c8 f3h4 g7g6 f2f4 b5b4 c3d5 f6d5 d1d5 d7c5 h4f3 c5e6 e2d2 e7g5 f4g5 c8c6 g1h1 a8c8 d5d6 c6c2 d2d5 b7d5 e4d5 e6d4 f3e5 c2c1 h1g1 d4e2 g1f2 c1c2 f2e3 c2b2 e5f7 b2a2 f7h6 g8h8 d6c6 c8e8 c6e6 e8c8 e6c6 c8e8 c6e6 e8c8 f1f7 e2c3 f7d7 c3d1 e3d4 a2d2 d4e5 d1c3 h6f7 h8g8 f7h6 g8h8 h6g4 d2e2 e5d6 c3b5 d6e7 e2g2 g4f6 g2g5 e7f7 g5f5 d7e7 b5c7 d5d6 c7e6 f7e6 f5f6 e6f6 b4b3 d6d7 c8f8 f6e6 b3b2 e7e8
Islington-J,Islington,1970.??.??,4,"O'Kelly, Rory","Miles, Anthony J",1/2-1/2,,,D32,d2d4 d7d5 c2c4 e7e6 b1c3 c7c5 c4d5 c5d4 d1a4 c8d7 a4d4 e6d5 d4d5 b8c6 g1f3 g8f6 d5b3 f8c5 e2e3 d8e7 c1d2 e8c8 f1e2 g7g5 a1c1 c8b8 c3d5 f6d5 b3d5 c5b6 d5g5 f7f6 g5f4 b6c7 f4c4 h8g8 f3d4 c7b6 d4c6 d7c6 e2f3 c6f3 g2f3 g8g2 d2b4 e7e8 c4f4 b8a8 e1e2 a7a5 b4c5 d8c8 b2b4 g2g5 c5b6 e8b5 e2d2 g5d5 b6d4 b5b4 d2e2 b4b5 e2d2 b5b2 d2d3 c8c1 h1c1 b2c1 f4f6 c1b1 d3d2 b1a2 d2d3 a2b1 d3d2 b1b4 d2d3 b4b1 d3d2 b1b4
