Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
URS-ch otbor,Roslavl,1989.??.??,?,"Milov, Vadim","Baikov, Vladimir A",1-0,,2345,B63,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 c1g5 e7e6 d1d2 f8e7 e1c1 e8g8 d4b3 d8b6 f2f3 f8d8 h2h4 d6d5 g5f6 e7f6 e4d5 f6c3 d2c3 e6d5 c3c5 b6c7 f1b5 c8f5 b5c6 b7c6 g2g4 f5e6 b3d4 e6d7 h4h5 c7b6 d4b3 b6c5 b3c5 h7h6 h1e1 g8f8 d1d3 d7e8 d3d4 d8c8 d4f4 a7a5 e1e3 a8b8 e3a3 b8b5 c5e6 f8g8 e6d4 b5b4 a3a5 c6c5 d4e2 d5d4 f4f5 c8b8 b2b3 c5c4 a2a3 b4b6 e2d4 c4b3 c2b3 e8d7 f5f4 b6d6 b3b4 b8d8 c1c2
URS-ch otbor,Roslavl,1989.??.??,?,"Milov, Vadim","Ivanov, Alexey",1-0,,2470,B63,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 c1g5 e7e6 d1d2 a7a6 e1c1 f8e7 d4b3 b7b5 g5f6 g7f6 c3e2 d8b6 f2f4 a6a5 b3d4 b5b4 d4c6 b6c6 e2d4 c6e4 f1e2 e4b7 h1e1 a8b8 e2h5 e6e5 f4e5 d6e5 d2f2 b7c7 d4f5 c8f5 f2f5 b8b6 e1e5 b6c6 e5e3 c6c5 f5f6 h8f8 d1e1
URS-ch otbor,Roslavl,1989.??.??,?,"Milov, Vadim","Kozlov, Oleg",1-0,,,B41,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 a7a6 c2c4 g8f6 b1c3 f8b4 c1d2 e8g8 d4c2 b4c3 d2c3 f6e4 c3b4 d7d6 d1e2 a6a5 b4a3 e4c5 e1c1 d8e7 e2d2 c8d7 d2d6 e7d6 d1d6 f8c8 f2f3 b8a6 f1e2 h7h6 b2b3 d7e8 c1b2 c5d7 h1d1 d7f6 e2f1 a6c7 d6b6 a8b8 a3e7 c7a8 b6d6 b7b6 a2a4 b8b7 e7d8 b7d7 d6d7 f6d7 d8e7 f7f6 c2d4 d7e5 d4b5 a8c7
URS-ch otbor,Roslavl,1989.??.??,?,"Grigorov, Jordan N","Milov, Vadim",0-1,2360,,D14,d2d4 d7d5 c2c4 c7c6 c4d5 c6d5 b1c3 g8f6 c1f4 b8c6 e2e3 c8f5 g1f3 e7e6 f1b5 f6d7 d1a4 a8c8 b5c6 c8c6 a4a7 d8c8 a7a5 c6a6 a5c7 c8c7 f4c7 f8b4 e1e2 b4c3 b2c3 e8g8 f3h4 f8c8 c7f4 f5e4 f2f3 e4c2 h1c1 c8c3 g2g4 c3c4 h4g2 d7b6 g2e1 c2g6 c1c4 b6c4 e1d3 g6d3 e2d3 a6a3 d3e2 f7f6 e3e4 g7g5 f4c1 a3c3 e4d5 e6d5 f3f4 h7h6 f4g5 h6g5 h2h4 g5h4 g4g5 g8f7 c1f4 f6g5 f4g5 h4h3 a1b1 b7b6 g5d8 c3c2 e2f3 c4d2
URS-ch U20,Sochi,1990.??.??,?,"Frolov, Artur","Milov, Vadim",1/2-1/2,2475,,B32,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 e7e5 d4b5 d7d6 c2c4 f8e7 b1c3 a7a6 b5a3 c8e6 a3c2 e7g5 c2e3 g8e7 f1d3 e8g8 e1g1 c6d4 b2b3 g7g6 c3e2 d4c6 g1h1 g5f6 e3d5 f6g7 c1g5 a8b8 a1c1 f7f6 g5e3 f6f5 e4f5 g6f5 e3g5 d8d7 d5e7 c6e7 f2f3 b7b5 e2c3 f8c8 d1d2 e7g6 c3d5 d7f7 c1c2 b5c4 b3c4 g8h8 g5e3 g6e7 d5e7 f7e7 f1c1 c8c6 h2h3 e7d7 f3f4 b8c8 d3e2 e5e4 h1h2 h7h6 e3d4 g7d4 d2d4 d7g7 d4d2 h8h7 g2g4 g7e7 c2b2 d6d5 c1b1 e7d6 g4f5 e6f5 c4d5 c6c7 b1g1 c7f7 e2h5 f7e7 h5g4 c8f8 b2b3 f5g6 g1f1 e7f7 h2g3 f7g7 g3h2 g7f7 h2g2 f7f4 f1f4 f8f4 g4e6 d6e5 b3b7 h7h8 d2c1 e5g5 g2h1 f4f8 c1b2 g5f6 d5d6 f6b2 b7b2 f8d8 d6d7 h8g7 b2b4 e4e3 b4b3
URS-ch U20,Sochi,1990.??.??,?,"Alterman, Boris","Milov, Vadim",1-0,2360,,D46,d2d4 d7d5 c2c4 c7c6 e2e3 g8f6 f1d3 e7e6 g1f3 d5c4 d3c4 b8d7 e1g1 f8d6 b1c3 e8g8 e3e4 e6e5 h2h3 d8e7 f1e1 f8d8 f3g5 d8f8 g5f3 f8d8 c4f1 d6c7 d1c2 e5d4 f3d4 d7e5 c1e3 c7b6 d4b3 b6e3 e1e3 b7b6 f2f4 e5g6 c2f2 c8b7 e4e5 f6d5 c3d5 d8d5 f1c4 d5d8 a1e1 e7h4 f2h4 g6h4 e5e6 c6c5 e6e7 d8e8 e1e2 b7c6 c4d3 c6d7 b3d2 h4f5 d3f5 d7f5 g2g4 f5e6 b2b3 e6d5 e3e5 d5b7 e2e1 f7f6 e5e6 b6b5 a2a4 a8b8 a4b5 b7d5 e6d6 d5f7 d2c4 b8b7 d6d8 b7e7 e1e7 e8d8 e7a7 h7h5 b5b6 f7c4 b3c4 d8b8 b6b7 g8h7 g1f2 h5g4 h3g4 h7g6 f2f3 g6f7 f3e4 f7e6 a7a6 e6d7 a6b6 d7c7 b6b5 c7c6 e4f5
URS-ch U20,Sochi,1990.??.??,?,"Maljutin, Evgeni","Milov, Vadim",0-1,2340,,B30,e2e4 c7c5 g1f3 b8c6 f1b5 e7e5 b5c6 d7c6 d2d3 f7f6 f3h4 c8e6 b1d2 g8e7 d2c4 d8d7 c1e3 g7g5 h4f3 e7g6 h2h3 g6f4 e3f4 g5f4 d1e2 h8g8 h1g1 e8c8 b2b3 g8g7 e1c1 d7c7 f3h4 g7d7 c1b1 b7b5 c4b2 c7a5 a2a4 c5c4 d3c4 d7d2 d1d2 d8d2 e2f3 b5c4 b3c4 f8c5 g1d1 c5d4 d1d2 a5d2 h4f5 d2e1 b2d1 d4c5 f3h5 c8b7 b1b2 e6c4 h5h7 b7a6 h7c7 e1b4 b2c1 b4a3 c1d2 c5b4 c2c3 a3a2
URS-ch U20,Sochi,1990.??.??,?,"Milov, Vadim","Belikov, Vladimir",0-1,,,D10,d2d4 d7d5 c2c4 c7c6 c4d5 c6d5 b1c3 b8c6 e2e4 g8f6 e4e5 f6e4 g1f3 e7e6 c1e3 e4c3 b2c3 c8d7 f1d3 f8e7 e1g1 c6a5 d1c2 h7h6 f3d2 a8c8 c2b2 d8b6 b2c1 b6c7 d2b1 a5c4 c1c2 c4e3 f2e3 e8g8 c2e2 f7f5 f1c1 c7a5 c3c4 d5c4 c1c4 c8c4 d3c4 f5f4 b1d2 a5c3 a1b1 f4e3 d2f3 b7b5 c4d3 b5b4 e2e3 d7b5 b1d1 f8c8 e3e2 b5d3 d1d3 c3c4 h2h4 a7a5 g1h2 a5a4 e2e4 c4d5 e4e2 d5c4 e2e4 c4d5 e4e2 b4b3 a2b3 a4a3 e2a2 c8c1 d3d2 c1c3 d2c2 d5b3 a2b3 c3b3 c2c8 g8f7 c8a8 b3b2 f3e1 b2d2 e1f3 d2e2 a8a7 a3a2 d4d5 e6d5 h2h3 d5d4 f3d4 e2e3 h3g4 e3a3
URS-ch U20,Sochi,1990.??.??,?,"Milov, Vadim","Danielian, Oganes",1/2-1/2,,,D60,d2d4 e7e6 c2c4 d7d5 b1c3 f8e7 g1f3 g8f6 c1g5 e8g8 e2e3 b8d7 c4d5 f6d5 g5e7 d5e7 f1d3 c7c5 e1g1 c5d4 f3d4 d7f6 d1e2 e6e5 d4b3 d8b6 a1c1 c8g4 f2f3 g4d7 e2f2 f8d8 f1d1 a8c8 e3e4 b6f2 g1f2 d7e6 g2g3 g8f8 f2e3 e6b3 a2b3 e7c6 h2h3 c6b4 d3c4 a7a6 f3f4 b7b5 c4e2 d8d1 e2d1 f6d7 d1g4 c8c7 c3a2 c7c1 a2c1 f8e7 g4d7 e7d7 f4e5 d7e6 e3d4 b4c2 d4c3 c2e1 c3b4 e6e5 b4a5 e5e4 a5a6 b5b4 a6b5 e1c2 c1a2 f7f5 a2b4 c2b4 b5b4
URS-ch U20,Sochi,1990.??.??,?,"Milov, Vadim","Kramnik, Vladimir",0-1,,2490,A80,d2d4 f7f5 b1c3 d7d5 e2e4 d5e4 f2f3 e7e5 d4e5 d8d1 e1d1 b8c6 c3d5 e8d8 c1g5 g8e7 f3f4 h7h6 d5e7 c6e7 g5e7 d8e7 c2c3 c8e6 d1c2 e7f7 g1e2 f8c5 e2d4 c5d4 c3d4 c7c5 d4c5 h8c8 a1d1 c8c5 c2b1 g7g5 g2g3 a8g8 f1h3 g8c8 h1g1 c5c2 g1g2 c2g2 h3g2 g5f4 g3f4 e6c4 a2a4 c4d3 b1a2 c8c2 g2h3 f7e6 d1g1 e4e3 g1e1 e3e2 h3g2 c2c4 a2b3 c4f4 b3c3 f4f1 c3d2 f1e1 d2e1 b7b6
