Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
RUS-sf,Perm,1993.??.??,?,"Motylev, Alexander","Karpeshov, Oleg",0-1,,2365,C15,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 g1e2 d5e4 a2a3 b4e7 c3e4 g8f6 d1d3 b8d7 e2c3 e8g8 c1f4 f6d5 c3d5 e6d5 e4c3 c7c6 f1e2 d7f6 e1g1 f6e8 d3f3 e8d6 e2d3 d6f5 c3e2 f5h4 f3g3 c8f5 f1e1 f5d3 g3d3 h4g6 f4g3 f8e8 e2f4 g6f8 e1e2 e7g5 a1e1 e8e2 e1e2 d8d7 c2c3 g5f4 g3f4 a8e8 e2e8 d7e8 d3e3 e8e3 f4e3 f8e6 g1f1 f7f5 e3d2 g7g5 f1e2 g8f7 h2h3 h7h5 e2f3 f7g6 d2c1 e6g7 c1d2 g7e8 g2g3 e8d6 h3h4 g5g4 f3e2 d6c4 d2c1 f5f4 e2d3 f4f3 b2b3 c4d6 a3a4 d6e4 c1e3 g6f5 c3c4 d5c4 b3c4 b7b6 d3c2 e4d6 c2d3 a7a6 e3d2 b6b5 a4b5 a6b5 c4c5 d6e4 d2e1 e4f6 e1d2 f6d5 d2e1 f5e6 e1d2 d5e7 d3e4 e7f5 e4d3 e6d5 d2c3 f5e7 c3d2 e7g8 d2g5 b5b4 g5d2 b4b3 d2c1 g8e7 c1b2 e7f5 b2c3 d5e6 c3b2 e6d7 b2c1 d7c8 c1b2 c8b7 b2c1 b7a6 c1b2 a6b5 b2c1 b5b4 c1b2 f5e7 b2c1 e7d5 c1b2 d5c7 b2c1 c7b5 c1b2 b5a3 b2c3 b4b5 c3a1 a3c4 a1c3 b3b2 d3c2 c4e3
RUS-sf,Perm,1993.??.??,?,"Abashev, A.","Motylev, Alexander",1-0,,,E94,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 e1g1 b8d7 c1e3 h7h6 d4d5 f6g4 e3d2 f7f5 f3e1 g4f6 f2f3 f5f4 e1d3 g6g5 b2b4 h6h5 h2h3 f6h7 c4c5 f8f6 a1c1 f6g6 a2a4 d7f6 d3f2 d8e7 c3b5 f6e8 c5d6 c7d6 b5a7 c8h3 g2h3 a8a7 g1g2 a7a8 f1g1 e8f6 g2f1 a8f8 c1c3 g7h6 d1c2 f6e8 b4b5 b7b6 c3c6 e7a7 a4a5 b6a5 c6a6 a7b7 d2a5 h7f6 c2c6 g6g7 b5b6 b7b8 a6a8
St Petersburg op2,St Petersburg,1994.??.??,1,"Motylev, Alexander","Genba, Vladimir",0-1,,2430,B01,e2e4 d7d5 e4d5 g8f6 d2d4 f6d5 c2c4 d5b6 g1f3 g7g6 b1c3 f8g7 f1e2 e8g8 e1g1 c8g4 h2h3 g4f3 e2f3 c7c6 c4c5 b6d5 d1b3 d8d7 f1d1 e7e6 c1g5 b8a6 g5h4 d5e7 c3e4 e7d5 h4g3 f7f5 e4c3 f5f4 g3h2 a6c7 d1d2 b7b6 c5b6 a7b6 a1c1 g6g5 c3e2 c7b5 g2g3 g7h6 g3f4 g5f4 g1h1 g8h8 d2c2 a8c8 c1g1 b5d6 g1g4 d5f6 g4f4 h6f4 e2f4 d6f5 f4e6 f8e8 c2e2 f5d4 e6d4 d7d4 b3c3 d4c3 b2c3 e8e2 f3e2 c8e8 e2f3 f6e4 h1g2 c6c5 h2c7 e8e6 f3e4 e6e4 c7b6 e4c4 a2a4 c4c3 a4a5 h8g8 a5a6 c5c4 a6a7 c3a3 b6c5 a3a5 c5d4 a5a3 d4c5 a3a2 c5d4 g8f7 g2f3 f7g6 f3e4 g6h5 f2f4 c4c3 d4c3 a2a7 c3f6 a7a3 h3h4 h5g4 f6e5 a3a4 e5d4 g4h4 f4f5 h4g5 f5f6 g5g6 e4e3 h7h5 d4e5 a4a5 e3f4 a5b5 e5a1 b5g5 a1c3 g5g1 c3e5 g1g2 f4f3 g2g5 e5d4 h5h4 d4e3 g5g3 f3f2 g6f6 e3d4 f6f5 d4b6 f5e4 b6d8 g3g4
St Petersburg op2,St Petersburg,1994.??.??,2,"Bezman, Vadim","Motylev, Alexander",1/2-1/2,2395,,E82,c2c4 g8f6 b1c3 g7g6 e2e4 d7d6 d2d4 f8g7 f2f3 e8g8 c1e3 b7b6 f1d3 a7a6 g1e2 c7c5 d4d5 e7e6 a2a4 b8d7 e1g1 d7e5 a1b1 f8e8 b2b4 f6d7 f3f4 e5d3 d1d3 c5b4 b1b4 d7c5 e3c5 b6c5 b4b3 f7f5 d5e6 c8e6 e2g3 d8f6 c3e2 f6f7 f1c1 f5e4 d3d6 e6c4 b3b6 a8c8 f4f5 g6f5 d6f4 c4e2 g3e2 f7c7 f4c7 c8c7 b6a6 e8b8 a6a5 g7h6 c1d1 h6e3 g1f1 c7b7 e2c3 b7b2 c3d5 e3d4 a5b5 b8b5 a4b5 b2f2 f1e1 f2g2 d5e7 g8f7 e7f5 g2g1 e1e2 g1d1 e2d1 f7e6 f5g3 e6d5 b5b6 d4e5 b6b7 c5c4 d1e2 e5f4 g3h5 f4h2 h5f6 d5d4 f6h7 c4c3 h7f8 d4c4 f8d7 c4b3 d7c5 b3a2 c5a4 c3c2 e2d2 a2b1
St Petersburg op2,St Petersburg,1994.??.??,3,"Motylev, Alexander","Galkin, Alexander",1/2-1/2,,2375,B17,e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 b8d7 f1c4 g8f6 e4g5 e7e6 d1e2 d7b6 c4d3 h7h6 g5f3 c6c5 d4c5 f8c5 f3e5 b6d7 g1f3 d8c7 e1g1 e8g8 c1f4 c5d6 f1e1 b7b6 e5d7 c8d7 f4d6 c7d6 a1d1 d6c7 e2e5 c7b7 f3d4 d7c6 d4c6 b7c6 e1e3 f8d8 e3g3 g8f8 d1e1 d8d5 e5e3 a8d8 h2h3 c6d6 d3f1 d5c5 e3c1 c5d5 c1e3 a7a5 e3b3 f6d7 b3c3 d7e5 c3e3 e5g6 e3b3 g6f4 b3c3 d5d4 g3f3 f8g8 g2g3 f4g6 f3d3 d4d3 c3d3 d6c7 d3e4 c7c5 e4e3 c5b4 f1d3 g6f8 b2b3 d8d6 a2a4 f8d7 e3e4 b4e4 d3e4 d6d2 e1c1 d7c5 e4f3 g8f8 g1f1 f8e7 f1e1 d2d6 c1d1 e6e5 d1d6 e7d6 e1d2 c5e6 d2d3 d6c5 f3g4 e6d4 g4d1 f7f5 c2c3 d4e6
St Petersburg op2,St Petersburg,1994.??.??,4,"Loginov, Valery A","Motylev, Alexander",1-0,2610,,E60,g1f3 g8f6 g2g3 g7g6 c2c4 f8g7 f1g2 e8g8 d2d4 d7d6 e1g1 b8d7 d1c2 e7e5 f1d1 f8e8 d4e5 d6e5 e2e4 c7c6 h2h3 d8c7 c1e3 g7f8 c4c5 b7b6 b2b4 b6c5 b4c5 c7a5 d1c1 c8a6 b1d2 a8b8 d2b3 a5c7 f3d2 f6h5 d2c4 h5g7 g2f1 e8e6 c1d1 a6c8 a1c1 f7f5 c4d6 f8d6 c5d6 e6d6 d1d6 c7d6 c2c6 d6c6 c1c6 f5e4 c6c7 d7f8 e3h6 g7f5 h6f8 g8f8 c7h7 f8g8 h7a7 c8e6 b3c5 e6d5 c5d7 b8b7 a7b7 d5b7 d7e5 g8g7 a2a4 g7f6 e5d7 f6e7 d7c5 b7d5 f1g2 f5d6 h3h4 e7f6 a4a5 g6g5 h4g5 f6g5 a5a6 d5c6 c5e4
St Petersburg op2,St Petersburg,1994.??.??,5,"Motylev, Alexander","Kovalevskaya, Ekaterina",1/2-1/2,,2290,B33,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 e7e5 d4b5 d7d6 a2a4 c8e6 b1c3 a7a6 b5a3 a8c8 f1c4 g8f6 c1g5 f8e7 g5f6 e7f6 c3d5 e8g8 e1g1 f6g5 c2c3 c6e7 d1b3 c8c4 a3c4 e7d5 e4d5 e6d5 a1d1 d5e6 b3b4 g5e7 c4d6 d8c7 d1d2 b7b6 f1d1 f7f5 c3c4 f8d8 a4a5 b6a5 b4b7 c7b7 d6b7 d8d2 d1d2 e6c4 d2d7 g8f8 b7a5 c4b5 d7c7 e5e4 a5b3 e7f6 b3c5 f6b2 c7a7 h7h6 h2h3 b2c3 g2g4 f5g4 h3g4 b5e2 c5e4 c3e5 e4g3 e5g3 f2g3 e2g4 a7a6 f8f7 g1f2 g4e6 f2f3 f7f6 f3e4
St Petersburg op2,St Petersburg,1994.??.??,6,"Poluljahov, Aleksandr","Motylev, Alexander",1-0,2485,,E06,d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 g1f3 f8e7 f1g2 c7c6 e1g1 b8d7 b2b3 a7a5 b1c3 e8g8 f3d2 b7b6 e2e4 c8b7 d1c2 a8c8 c1b2 c8c7 e4e5 f6e8 f2f4 g7g6 c2d3 d8a8 c4d5 b7a6 d3e3 c6d5 f1f2 e8g7 g3g4 a8d8 d2f3 d7b8 c3e2 c7c2 e2g3 c2f2 e3f2 d8d7 g2h3 b8c6 a2a3 f8c8 a1d1 e7f8 f4f5 a5a4 b3b4 c6a7 f3g5 c8c6 f5g6 f7g6 h3f1 a6f1 d1f1 c6c8 g5f7 d7e7 b2c1 h7h5 c1g5 e7e8 f2f6 c8c7 f7h6
St Petersburg op2,St Petersburg,1994.??.??,6,"Kavalerov, Aleksandr","Motylev, Alexander",0-1,2360,,E82,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e8g8 c1e3 b7b6 f1d3 a7a6 g1e2 c7c5 d4d5 e7e6 e1g1 b8d7 e3g5 d8c7 d1d2 f8e8 d3c2 e6d5 e4d5 b6b5 c4b5 d7b6 f1e1 c8b7 b5a6 b7a6 e2g3 b6c4 d2f4 f6d7 c2a4 c4b2 c3b5 e8e1 a1e1 c7a5 e1e7 d7e5 h2h4 b2d3 f4d2 a5a4 b5c7 a8f8 g3e4 a6c8 c7e6 f7e6 e7g7 g8g7 g5h6 g7g8 h6f8 a4d4 g1h2 e5f7 f8e7 e6d5 e7f6 d4b4 d2d3 d5e4 f3e4 b4b7 a2a4 b7a6 d3d5 a6b7 d5c4 b7c7 g2g3 c7d7 a4a5 d7h3
St Petersburg op2,St Petersburg,1994.??.??,7,"Motylev, Alexander","Dokuchaev, Aleksander",0-1,,2415,C10,e2e4 e7e6 d2d4 d7d5 b1c3 d5e4 c3e4 c8d7 g1f3 d7c6 f1d3 b8d7 e1g1 g8f6 e4g3 c6f3 d1f3 c7c6 b2b3 f8e7 c1b2 e8g8 c2c4 f8e8 f1e1 d7f8 a1d1 d8c7 g3e4 f6e4 e1e4 f8g6 g2g3 a8d8 h2h4 g6f8 d1e1 e7b4 e1e2 b4e7 f3e3 f8d7 d4d5 e7c5 e3g5 f7f6 g5h5 c7g3 g1f1 g3h3 f1g1 h3g3 g1f1 g3d3 d5e6 d3h3 f1g1 d7e5 b2e5 g7g6
St Petersburg op2,St Petersburg,1994.??.??,8,"Frolov, Denis","Motylev, Alexander",1/2-1/2,2365,,B78,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 c1e3 f8g7 f2f3 e8g8 d1d2 b8c6 f1c4 c8d7 h2h4 h7h5 e1c1 c6e5 c4b3 a8c8 e3g5 c8c5 g2g4 h5g4 g5f6 g7f6 h4h5 g6g5 c3d5 e7e6 d5f6 d8f6 f3g4 a7a5 h1f1 f6e7 a2a3 f8c8 c2c3 d7b5 d4b5 c5b5 b3a2 c8c6 f1f2 e5g4 f2g2 g4h6 d1g1 f7f6 g2f2 b5e5 g1f1 h6g4 f2g2 g4h6 g2f2 h6g4
