Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Mlada Boleslav op,Mlada Boleslav,1992.??.??,1,"Buturin, Vladimir","Movsesian, Sergei",1-0,2415,,E94,d2d4 g8f6 g1f3 g7g6 c2c4 d7d6 b1c3 b8d7 e2e4 e7e5 f1e2 f8g7 e1g1 e8g8 c1e3 h7h6 d4e5 d6e5 d1c1 g8h7 f1d1 f8e8 c4c5 c7c6 f3d2 d8e7 d2c4 d7f8 f2f3 f6h5 c4d6 e8d8 e2c4 c8e6 c4f1 h5f6 c1c2 f6e8 d6f5 e7f6 f5g7 f6g7 b2b4 g6g5 c3e2 f8g6 e2g3 g6f4 f1c4 h6h5 c4e6 f7e6 d1d8 a8d8 a1d1 d8d1 c2d1 h5h4 g3f1 e8f6 h2h3 g7d7 d1d7 f6d7 f1d2 h7g6 d2c4 f4e2 g1f1 e2c3 a2a3 c3b5 f1e2 g6f6 e2d3 b5c7
Mlada Boleslav op,Mlada Boleslav,1992.??.??,2,"Movsesian, Sergei","Jacek, M.",1-0,,,B30,e2e4 c7c5 g1f3 b8c6 b1c3 g7g6 f1c4 f8g7 e1g1 g8f6 e4e5 f6g8 f1e1 g8h6 c3e4 b7b6 d2d4 c5d4 e4d6 e7d6 c1g5 d6e5 g5d8 e8d8 c4d5 h8e8 c2c3 f7f5 c3d4 e5e4 f3e5 c8b7 d1d2 a8b8 d5c6 b7c6 a1c1 g7e5 d4e5
Mlada Boleslav op,Mlada Boleslav,1992.??.??,3,"Zurek, Milan","Movsesian, Sergei",1-0,2385,,D00,d2d4 g8f6 c2c3 d7d5 c1f4 c8f5 b1d2 e7e6 e2e3 f8e7 f1e2 b8d7 h2h3 c7c5 g1f3 h7h6 e1g1 e8g8 d1b3 d8c8 c3c4 b7b6 a2a4 f5h7 a4a5 c8b7 f1c1 f8e8 f3e5 d7e5 f4e5 f6e4 d2f3 e8d8 c4d5 e6d5 d4c5 e4c5 b3b5 h7f5 f3d4 f5d7 a5a6 b7c8 b5b4 d8e8 b4c3 e7f8 e5f4 c8d8 b2b4 c5e4 c3c7 f8b4 c7d8 e8d8 c1c7 b4c5 a1c1 g8f8 d4b5 d7b5 e2b5 d8c8 c7b7 g7g5 f4e5 f7f6 e5c7 c5d6 c1c6 d6e7 c7h2 e4d2 c6c7 c8c7 b7c7 d2e4 b5c6 a8b8 c7e7 b8c8 e7c7
Mlada Boleslav op,Mlada Boleslav,1992.??.??,4,"Movsesian, Sergei","Jacek, Pavel",1-0,,,B88,e2e4 c7c5 g1f3 b8c6 b1c3 d7d6 f1c4 e7e6 d2d4 c5d4 f3d4 f8e7 e1g1 g8f6 c4b3 e8g8 g1h1 a7a6 f2f4 c6d4 d1d4 b7b5 f4f5 e6e5 d4d3 c8b7 c1g5 a8c8 g5f6 e7f6 b3d5 b7c6 d5c6 c8c6 c3d5 g8h8 c2c3 g7g5 d5b4 c6b6 a2a4 b6b7 a4b5 a6b5 a1a6 f6e7
Mlada Boleslav op,Mlada Boleslav,1992.??.??,5,"Adamek, Zdenek","Movsesian, Sergei",0-1,,,B87,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f1c4 a7a6 e1g1 b7b5 c4b3 f8e7 f2f4 c8b7 e4e5 d6e5 f4e5 e7c5 c1e3 b8c6 e5f6 c5d4 e3d4 d8d4 d1d4 c6d4 f6g7 h8g8 f1f4 a8d8 f4g4 f7f5 g4g5 e8f7 g1f2 d4b3
Mlada Boleslav op,Mlada Boleslav,1992.??.??,6,"Movsesian, Sergei","Chloupek, Stanislav",1/2-1/2,,2305,B47,e2e4 c7c5 g1f3 e7e6 b1c3 b8c6 d2d4 c5d4 f3d4 d8c7 f1c4 g8f6 d4b5 c7b8 e1g1 a7a6 b5d4 f8d6 g1h1 b7b5 c4b3 c6d4 d1d4 d6e5 d4d3 c8b7 c1g5 b5b4 g5f6 e5f6 c3a4 b7c6 d3e3 e8g8 f2f4 c6a4 b3a4 f6b2 a1b1 b2c3 a4d7 b8c7 d7a4 a8d8 a4b3 g8h8 f1f3 d8d7 b1f1 f8d8 f4f5 e6f5 f3f5 f7f6 b3d5 c3e5 e3h3 g7g6 f5f2 c7c5 h3h4 c5e7 h4g4 d7c7 f2e2 c7c3 g4h4
Mlada Boleslav op,Mlada Boleslav,1992.??.??,7,"Sotnikov, Igor","Movsesian, Sergei",1/2-1/2,2320,,D14,d2d4 g8f6 c2c4 c7c6 b1c3 d7d5 c4d5 c6d5 g1f3 c8f5 c1f4 b8c6 e2e3 e7e6 f3e5 c6e5 f4e5 f6d7 d1b3 d7e5 d4e5 f8e7 f1b5 e8f8 e1g1 d8b8 f2f4 g7g6 c3e2 f8g7 a1c1 h8c8 e2d4 a7a6 b5e2 e7c5 b3c3 b8a7 a2a3 c8c7 b2b4 c5d4 c3d4 a7d4 e3d4 a8c8 c1c5 b7b6 c5c7 c8c7 e2a6 c7a7 b4b5 a7c7 a3a4 c7c4 a4a5 b6a5 b5b6 c4d4 b6b7 d4b4 f1c1 a5a4 c1c5 a4a3 c5a5 a3a2 a5a2
Mlada Boleslav op,Mlada Boleslav,1992.??.??,8,"Movsesian, Sergei","Scetinin, Alexander",0-1,,2350,C63,e2e4 e7e5 g1f3 b8c6 f1b5 f7f5 b1c3 g8f6 e4f5 e5e4 d1e2 d8e7 b5c6 b7c6 f3g5 d7d5 g5e6 g7g6 d2d3 g6f5 e6f8 h8f8 d3d4 e7b4 e1g1 a7a5 f1d1 b4d6 f2f4 a5a4 b2b3 c8a6 e2e1 a6b5 c3b1 f8g8 b1a3 e8f7 c2c4 b5a6 a3c2 f6h5 e1h4 d6g6 c2e3 a6c8 c1a3 h5f6 c4d5 a4b3 d1d2 g6h5 h4h5 f6h5 a2b3 h5f4 d5c6 f4h3 g1h1 f5f4 g2h3 f4e3 d2e2 c8h3 e2e3 h3g2 h1g1 g2f3 g1f1 g8g2 d4d5 g2h2 e3e1 a8g8 a3c5 g8g2 c5g1 h2h1
Pardubice op,Pardubice,1992.??.??,1,"Movsesian, Sergei","Svatos, Jan",1-0,,2370,B01,e2e4 d7d5 e4d5 g8f6 d2d4 f6d5 g1f3 g7g6 c2c4 d5b6 h2h3 f8g7 b1c3 e8g8 f1e2 b8c6 c1e3 e7e5 e3g5 f7f6 g5e3 e5d4 f3d4 c6d4 e3d4 c8e6 c4c5 b6c4 b2b3 c4a5 e2f3 d8e8 d1e2 a8d8 a1d1 a5c6 f3c6 e8c6 e1g1 f8e8 e2b2 e6d5 c3d5 d8d5 d1d2 e8d8 f1d1 g7h6 d2d3 c6a6 b2c2 c7c6 a2a4 g8f7 b3b4 h6f4 c2b3 f7g7 b4b5 a6a5 g2g3 f4b8 b3c4 a5c7 d1e1 c7f7 f2f4 f7d7 d3e3 d7h3 d4f6 g7f6 c4c3 d5d4 e1d1 h3d7 e3d3
Pardubice op,Pardubice,1992.??.??,3,"Movsesian, Sergei","Freisler, Pavel",1/2-1/2,,2415,B03,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 f2f4 d6e5 f4e5 b8c6 c1e3 c8f5 b1c3 e7e6 g1f3 d8d7 f1e2 e8c8 e1g1 f5g4 c4c5 b6d5 c3d5 d7d5 f3g5 g4e2 d1e2 c6d4 e3d4 d5d4 g1h1 d4d2 e2d2 d8d2 f1f7 f8c5 g5e6 c5b6 e6g7 b6d4 e5e6 d4g7 f7g7 h8e8 e6e7 h7h5 a1e1 d2b2 h2h4 c8d7 e1d1 d7e6 d1e1 e6f6 g7g3 b2f2 g3e3 f2f5 h1h2 c7c5 e3e4 c5c4 e4c4 e8e7 e1e7 f6e7 c4c7 e7f6 c7b7 f5a5 b7b2 a5a4 h2h3 a4a3 g2g3 a7a5 b2b6 f6g7 b6b5 g7g6
