Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
EYCC G10,Halkidiki GRE,2001.09.01,2,"Berintan,T","Muzychuk,Mariya",1/2-1/2,,,A85,d2d4 f7f5 c2c4 g8f6 b1c3 e7e6 g1f3 d7d5 c1g5 c7c6 e2e3 f8e7 c4d5 c6d5 f3e5 e8g8 f1d3 d8b6 a1b1 c8d7 e1g1 d7e8 d1f3 e7d6 g5f4 d6e5 f4e5 e8g6 c3b5 f6e8 f3g3 b8d7 e5c7 e8c7 g3c7 a8d8 f1c1 a7a6 b5d6 b6b4
EYCC G10,Halkidiki GRE,2001.09.02,3,"Muzychuk,Mariya","Jussupow,Ekaterina",1/2-1/2,,,A01,b2b3 e7e5 c1b2 b8c6 e2e3 d7d6 g1f3 g8f6 f1e2 g7g6 e1g1 f8g7 c2c4 e8g8 d2d4 e5e4 f3d2 c6e7 b1c3 c8f5 g2g4 f5d7 g4g5 f6e8 d2e4 d7h3 f1e1 d6d5 c4d5 e7d5 e2g4 h3g4 d1g4 f7f5 g5f6 e8f6 e4f6 d5f6 g4g2 c7c6 c3e4 f6e4 g2e4 d8b6 a1d1 a8e8 e4g2 b6b4 e1e2 e8d8 d1c1 f8e8 e2c2 d8d5 c2c3 b4a5 f2f4 d5d7 c3c5 a5a2 c5c3 a2a5 g2h3 d7e7 h3f3 a5b5 b2a3 e7d7 g1g2 b5a5 b3b4 a5b5 c3b3 d7d5 f3f1 b5a4 f1c4 g8h8 c1a1 a7a6 a1f1 a4b5 c4b5 d5b5 f1c1 b5d5 b3d3 e8e4 g2f3 e4e8 c1c5 d5d7 a3b2 e8e6 d3a3 h8g8 c5c3 d7f7 b2c1 g6g5 c3c4 e6h6 f3g3 g5f4 e3f4 h6g6 g3f3 g6g1 c1e3 g1b1 e3d2 g7h6 f3e4 f7e7 e4f3 b1h1 f3g2 h1d1 d2e3 e7g7 g2f3 d1h1 a3a2 h1b1 a2a3 b1b2 e3f2 h6f4 d4d5 g7f7 c4f4 f7f4 f3f4 b2f2 f4g3 f2f6 d5c6 f6c6 a3d3 c6b6 d3d4 b6b5 g3g4 b7b6 h2h4 g8g7 d4e4 h7h5 g4f4 g7f6 e4c4 b5e5 c4d4 f6e6 d4c4 e6d6 c4d4 e5d5 d4c4 a6a5 b4a5 b6a5 c4c8 d6d7 c8c4 d7d6 c4c8 d5c5 c8e8 d6c6 e8c8 c6b5 c8d8 b5a4 d8g8 a4a3 g8g5 c5c4 f4g3 c4c3 g3f4 a5a4 g5h5 a3a2 h5a5 a4a3 a5a3 c3a3 f4g5 a3h3
EYCC G10,Halkidiki GRE,2001.09.03,4,"Muzychuk,Mariya","Gabrilaviciuete,K",1-0,,,C50,e2e4 e7e5 g1f3 b8c6 f1c4 f8e7 d2d4 d7d6 e1g1 c8g4 c4b5 a7a6 b5c6 b7c6 d4e5 g4f3 d1f3 d6e5 f1d1 e7d6 f3c3 d8e7 c3c6 e7d7 c6a8 e8e7 b1c3 c7c6 c1e3 f7f6 e3c5
EYCC G10,Halkidiki GRE,2001.09.04,5,"Vetrila,S","Muzychuk,Mariya",1/2-1/2,,,B30,e2e4 c7c5 g1f3 g8f6 b1c3 b8c6 d2d3 e7e6 g2g3 d7d5 e4d5 f6d5 c3d5 e6d5 f1g2 f8e7 e1g1 e8g8 f1e1 e7f6 c2c3 c8f5 c1f4 f8e8 d1d2 d8d7 d3d4 c5d4 c3d4 f5e4 f4g5 f6g5 f3g5 e4g2 g1g2 e8e1 a1e1 a8e8 g5f3 e8e1 d2e1 h7h6 h2h3 g8h7 e1b1 g7g6 b1e1 h7g7 g3g4 d7d6 e1c1
EYCC G10,Halkidiki GRE,2001.09.06,6,"Muzychuk,Mariya","Skinke,K",1/2-1/2,,,B07,e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 c1g5 f8g7 e4e5 f6d7 e5e6 f7e6 h2h4 d7f6 g5f6 e7f6 h4h5 d8e7 f1d3 f6f5 h5g6 h7g6 h1h8 g7h8 c3e2 b8c6 c2c3 c8d7 d1d2 e8c8 e1c1 h8f6 c1b1 d8h8 d1e1 e7f7 a2a3 e6e5 d4e5 c6e5 d3c2 d7c6 g2g3 h8e8 e2d4 e5c4 e1e8 f7e8 d2e2 e8e2 g1e2 c6d7 b1a2 c7c5 d4f3 d7c6 f3e1 f6g5 c2b3 c6d5 e1g2 d5g2 b3c4 d6d5 c4d3 c8d7 f2f4 g5f6 d3b5 d7e7 a2b1 a7a6 b5a4 b7b5 a4d1 e7d6 b1c2 g2e4 c2d2 a6a5 e2c1 g6g5 c1e2 g5g4 d1c2 e4c2 d2c2 d5d4 c3d4 c5d4 b2b4 a5b4 a3b4 d6d5 c2d3 f6g7 e2c1 g7f8 c1e2 f8g7 e2c1 g7f6 c1e2 f6g7 e2c1
EYCC G10,Halkidiki GRE,2001.09.07,7,"Porat,M","Muzychuk,Mariya",0-1,,,A52,d2d4 g8f6 c2c4 e7e5 d4e5 f6g4 g1f3 b8c6 b1c3 g4e5 f3e5 c6e5 e2e4 f8c5 f1e2 e8g8 e1g1 d7d6 c3a4 c5b6 a4b6 a7b6 b2b3 c8d7 c1b2 d8e7 d1d4 f7f6 f2f4 e5c6 d4d3 c6b4 d3b1 f8e8 e2h5 e8f8 f1e1 b4c6 h5f3 d7e8 g1h1 e8g6 b1d1 a8d8 d1e2 f8e8 e4e5 d6e5 f3c6 b7c6 f4e5 f6e5 e2e5 e7e5 b2e5 d8d7 e5f4 e8e1 a1e1 g8f7 b3b4 d7d4 e1f1 d4c4 f4c7 f7e6 c7b6 c4b4 b6c5 b4b2 a2a3 g6e4 c5f2 b2a2 f1e1 e6f5 e1f1 f5g6 h1g1 a2a3 h2h3 a3c3 f1e1 e4d5 e1e7 c3c1 f2e1 c6c5 g1f2 c1c2 f2e3 d5g2 e3d3 c2c1 e1c3 g2h3 e7g7 g6h6 g7c7 h3f5 d3c4 f5e6 c4d3 c5c4 d3d2 c1g1 c3d4 g1g2 d2c3 g2g3 c3c2 e6f5 c2b2 f5d3 d4e5 g3f3 e5d4 h6h5 c7c5 f3f5 c5c6 h5g4 c6h6 f5h5 h6f6 h5h2 b2c3 h7h5 d4e5 h2e2 f6f4 g4g5 e5c7 h5h4 f4d4 h4h3 c7d8 g5f5 d4h4 e2e3 c3d2 e3f3 d8c7 d3f1 d2c2 f5e6 c2d2 e6d5 c7b8 f3d3 d2c2 f1e2
EYCC G10,Halkidiki GRE,2001.09.08,8,"Muzychuk,Mariya","Zeynalova,H",1-0,,,A03,b2b3 d7d5 c1b2 c7c6 e2e3 g8f6 f2f4 c8g4 f1e2 g4e2 d1e2 b8d7 g1f3 e7e6 e1g1 f8e7 d2d3 e8g8 b1d2 a8c8 f3e5 d7e5 b2e5 f6d7 e5b2 e7f6 b2f6 d8f6 d2f3 c6c5 c2c4 d5c4 d3c4 f8d8 a1d1 d7b8 f3e5 f6e7 d1d8 c8d8 f1d1 b8d7 e2d3 g8f8 e5d7 f8e8 d3h7 f7f6 h7g8
ch-UKR w,Nikolaev UKR,2003.11.04,1,"Goreskul,A","Muzychuk,M",1-0,2274,2088,C10,e2e4 b8c6 b1c3 e7e6 g1f3 d7d5 d2d4 g8f6 e4d5 e6d5 f1b5 c8g4 h2h3 g4f3 d1f3 f8e7 e1g1 e8g8 b5c6 b7c6 c1g5 a8b8 b2b3 d8d7 f1e1 h7h6 g5h4 f8e8 a1d1 f6h7 h4e7 e8e7 f3d3 e7e1 d1e1 b8e8 e1e8 d7e8 g1f1 h7g5 d3e2 e8e2 f1e2 g5e6 e2e3 c6c5 c3d5 e6d4 c2c3 d4e6 d5e7 g8f8 e7c6 f8e8 c6a7 e8d7 a7b5 d7c6 b5a3 e6f8 a3c4 f7f6 e3e4 g7g6 a2a4 f8d7 g2g4 d7f8 a4a5 c6b5 h3h4 f8e6 f2f4 e6g7 f4f5 g6f5 g4f5 g7h5 e4f3 b5a6 b3b4 c5b4 c3b4 h5g7 f3e4 a6b5 c4a3 b5a6 a3c2 c7c6 c2d4 a6b7 d4e6 g7e8 e4d4 e8d6 e6g7 d6b5 d4c5 b5c7 c5d6 c7a6 g7e6 a6b4 e6d8 b7a6 d8c6 b4d3 d6e6 d3f4 e6f6 f4g2 f6g7 g2h4 f5f6 h4f5 g7g6 f5d6 g6h6 a6b5 c6d4 b5a5 h6g6 a5b6 d4f5 d6c4 f5e3 c4d6 e3f5 d6c4 g6g7 c4e5 f5e3 b6c7 e3g4 e5c6 g7g8 c6d8 g4e5 c7c8 g8f8 c8c7 f8e7 c7c8 e7e8 c8c7 e5f7 d8c6 f7g5 c6d8 e8e7 d8c6 e7e8 c6d8 g5f3 c7c8 f3d4 c8c7 d4b5 c7c8 e8e7 d8c6 e7d6 c6d8 b5a7
ch-UKR w,Nikolaev UKR,2003.11.05,2,"Semenova,L","Muzychuk,M",1-0,2233,2088,B00,e2e4 b8c6 g1f3 e7e6 d2d4 d7d5 e4e5 b7b6 c2c3 c8b7 f1d3 d8d7 b1d2 f7f5 f3g5 g7g6 f2f4 f8e7 d2f3 c6d8 g5h3 d8f7 h3f2 e8c8 b2b4 c8b8 d1e2 d7c8 b4b5 c7c6 b5c6 b7c6 a2a4 c6b7 e1g1 a7a6 c1e3 b8a7 f1b1 d8d7 c3c4 d5c4 d3c4 b7d5 c4d5 d7d5 f2d1 e7d8 b1c1 c8b7 d1c3 g8e7 c3d5 e7d5 f3d2 d8e7 d2c4 g6g5 f4g5 f5f4 e3f2 f7g5 c4d6 e7d6 e5d6 h8g8 g1f1 g5e4 a1a3 e4d6 a3h3 g8g2 e2e6 g2g6 e6e5 d5e3 f1e2 e3c4 e5f4 g6e6 e2d3 c4b2 d3c2 b2a4 c2b3 b7d7 f4d2 d6e4 d2c2 a7b8 f2g3 e4g3 h3g3 b8b7 c2g2 b7a7 g3g7 e6e3 b3a2 e3e2 g2e2 d7g7 e2c2 g7f7 c2c4 f7c4 c1c4 b6b5 c4c7 a7b6 c7h7 b6c6 h2h4 c6d5 h4h5 d5d4 a2b3 d4d5 h7d7 d5e6 d7a7
ch-UKR w,Nikolaev UKR,2003.11.06,3,"Muzychuk,M","Kovaleva,Natalia",1-0,2088,,B21,e2e4 c7c5 d2d4 c5d4 c2c3 d4c3 b1c3 b8c6 g1f3 d7d6 f1c4 g8f6 e4e5 d6e5 d1d8 e8d8 f3g5 d8c7 g5f7 h8g8 c3b5 c7b8 f7e5 c8f5 c4g8 f6g8 c1f4 b8c8 a1c1 e7e6 e5c6 b7c6 c1c6 c8b7 c6c7 b7b6 a2a4 a7a6 f4e3 b6a5 b5d4 f5d3 e1d2 d3e4 f2f3 e4d5 h1c1 e6e5 d4c6 a5a4 c1a1 a4b5 a1a5
