Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Warsaw ol,Warsaw,1935.??.??,?,"Kupchik, Abraham","Najdorf, Miguel",1/2-1/2,,,A47,d2d4 g8f6 g1f3 b7b6 g2g3 c8b7 f1g2 c7c5 c2c3 e7e6 e1g1 f8e7 f1e1 e8g8 b1d2 d7d5 f3e5 b8c6 e5c6 b7c6 d2f3 a8c8 f3e5 c6b7 e2e3 c5c4 e5f3 b6b5 a2a3 a7a5 f3d2 b5b4 d1c2 b4a3 b2a3 c8b8 e3e4 d8c7 e4d5 b7d5 g2d5 f6d5 a3a4 b8b6 c1a3 e7a3 a1a3 f8b8 e1b1 b6b1 d2b1 c7d6 a3a1 b8b3 c2c1 h7h6 c1e1 d6b8 b1a3 b3c3 a3b5 c3d3 e1a5 c4c3 a1c1 b8b6 a5a7 b6a7 b5a7 d5b4 g1f1 b4a2 c1c2
Warsaw ol,Warsaw,1935.??.??,?,"Ichim, Trajan","Najdorf, Miguel",1/2-1/2,,,E27,c2c4 g8f6 d2d4 e7e6 b1c3 f8b4 a2a3 b4c3 b2c3 b7b6 f2f3 d7d5 c4d5 e6d5 e2e3 e8g8 f1d3 c8b7 g1e2 b8d7 e1g1 c7c5 e2g3 f8e8 d1e1 g7g6 e1f2 d8c7 c1d2 d7f8 a1e1 a8d8 h2h3 f8e6 g3e2 c7e7 d3b1 b7c6 g2g4 h7h5 e2g3 h5g4 h3g4 g8g7 g1g2 e8h8 f1h1 e7d7 h1h8 d8h8 e1h1 h8h1 g3h1 c6b5 d2e1 b5a6 f2b2 g7g8
Warsaw ol,Warsaw,1935.??.??,?,Glucksberg,"Najdorf, Miguel",0-1,,,A85,d2d4 f7f5 c2c4 g8f6 b1c3 e7e6 g1f3 d7d5 e2e3 c7c6 f1d3 f8d6 e1g1 e8g8 c3e2 b8d7 f3g5 d6h2 g1h1 f6g4 f2f4 d8e8 g2g3 e8h5 h1g2 h2g1 e2g1 h5h2 g2f3 e6e5 d4e5 d7e5 f4e5 g4e5 f3f4 e5g6 f4f3 f5f4 e3f4 c8g4 f3g4 g6e5 f4e5 h7h5
Warsaw ol,Warsaw,1935.??.??,?,"Najdorf, Miguel","Treybal, Karel",1/2-1/2,,,D51,d2d4 d7d5 g1f3 g8f6 c2c4 e7e6 b1c3 c7c6 c1g5 f8e7 e2e3 b8d7 a2a3 f6e4 g5e7 d8e7 d1c2 f7f5 f1d3 e8g8 e1g1 e4d6 c4d5 e6d5 b2b4 a7a6 a3a4 d7b6 b4b5 a6b5 a4b5 a8a1 f1a1 b6c4 b5c6 b7c6 c3a4 c8a6 a4b2 a6b5 b2c4 d5c4 d3f1 e7e4 c2c3 f5f4 a1e1 f4e3 e1e3 e4b1 f3d2 b1d1 h2h3 h7h6 d2f3 f8a8 e3e6 d6f5 e6e1 d1a4 f3e5 f5d6 e1c1 a4a3 c3a3 a8a3 e5c4 d6c4 f1c4 b5c4 c1c4 a3a1 g1h2 a1d1 h2g3 g8f7 g3f3 f7e7 h3h4 e7d6 c4a4 d6d5 h4h5 d1d3 f3e2 d3d4 a4a7
Warsaw ol,Warsaw,1935.??.??,?,"Alexander, Conel Hughes","Najdorf, Miguel",0-1,,,B38,c2c4 c7c5 g1f3 g8f6 b1c3 g7g6 e2e4 d7d6 d2d4 c5d4 f3d4 f8g7 f1e2 e8g8 e1g1 b8c6 c1e3 c8d7 h2h3 a8c8 a1c1 a7a6 d1d2 c6d4 e3d4 d7c6 d2e3 e7e5 d4b6 d8e7 f1d1 f6d7 b6a5 e7h4 e3g3 h4g3 f2g3 g7h6 c1b1 h6e3 g1h1 e3d4 g3g4 d4c3 a5c3 d7c5 e2f3 c6e4 b1c1 f8d8 d1d2 e4f3 g2f3 g8f8 c1d1 f8e7 c3b4 c8c6 b2b3 d8d7 h3h4 c5e6 d2d5 e6f4 d5d2 e7e6 h1h2 d6d5 c4d5 d7d5 h2g3 f7f5 b4a3 b7b5 g3f2 h7h6 a3b2 c6c5 d2d5 f4d5 d1d2 b5b4 f2e2 h6h5 g4h5 g6h5 e2f2 d5f4
Warsaw ol,Warsaw,1935.??.??,?,"Vaitonis, Povilas","Najdorf, Miguel",0-1,,,E18,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7 b1c3 f6e4 c3e4 b7e4 e1g1 e8g8 f3e5 e4g2 g1g2 d7d6 e5d3 d8e8 b2b3 f7f5 c1b2 b8d7 d1c2 e7f6 c4c5 b6c5 d4c5 f6b2 c2b2 d7c5 d3c5 e8c6 g2g1 c6c5 a1c1 c5b6 f1d1 f5f4 b2d4 f4g3 h2g3 f8f7 d4b6 a7b6 a2a4 g8f8 c1c6 f8e8 e2e4 e6e5 f2f3 f7f3 c6c7 f3g3 g1h2 g3b3 d1d6 a8a4 c7g7 a4e4 d6d2 e4b4 g7h7 b3b2 d2b2 b4b2 h2g3 e8d8 g3f3 b2b5 f3e4 b5c5 e4f5 d8c8 h7e7 c5c7 e7e5 c8b7 e5b5 b7a6 b5b1 b6b5 f5e4 a6a5 b1a1 a5b6 a1b1 c7c3 e4d4 c3a3 d4d5 b6a5 d5c5 a3c3 c5d4 b5b4 b1a1 a5b5 a1a2 c3c8 d4d3 b4b3 a2a1 b5b4 d3d2 c8d8 d2c1 b4c3 a1a2 d8d1
Warsaw ol,Warsaw,1935.??.??,6,"Najdorf, Miguel","Laurentius, L.",1-0,,,D19,g1f3 d7d5 d2d4 g8f6 c2c4 c7c6 b1c3 d5c4 a2a4 c8f5 e2e3 e7e6 f1c4 f8b4 e1g1 e8g8 d1e2 f6e4 c3e4 f5e4 f1d1 c6c5 d4c5 d8e7 f3d4 e7c5 b2b3 b8c6 c1b2 f8d8 e2g4 e4g6 g4g3 c6d4 d1d4 d8d4 b2d4 c5a5 a1c1 b4d2 c1d1 a7a6 h2h4 a8d8 h4h5 a5h5 d1d2 e6e5 c4e2 h5f5 e2d3 f5c8 g3e5 f7f6 e5a5 b7b6 d4b6 d8e8 d3c4 g6f7 c4f7 g8f7 a5c5 c8a8 d2d7 f7g6 c5c7 e8g8 c7g3 g6h6 g3f4 h6g6 f4g4 g6h6 e3e4 g7g5 g4h3 h6g6 h3h7
Warsaw ol,Warsaw,1935.??.??,9,"Trifunovic, Petar","Najdorf, Miguel",1-0,,,B25,e2e4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 g1e2 d7d6 d2d3 c8d7 h2h3 d8c8 c1g5 b7b5 d1d2 a8b8 c3d1 b5b4 g5e3 e7e5 c2c3 g8e7 e3h6 e8g8 h3h4 f7f5 h6g7 g8g7 e1g1 b4c3 b2c3 f5f4 g3f4 d7h3 f2f3 h3g2 g1g2 c8e6 d1f2 e5f4 e2f4 e6f6 g2g3 d6d5 f2h3 d5d4 a1c1 d4c3 d2c3 c6d4 c3c5 g7h8 c1c4 b8d8 c5g5 f6g7 c4d4 d8d4 f4e6 e7f5 g3g2 h7h6 g5f4 g7f6 e6f8 f6f8 f4e5 f8g7 e5g7 f5g7 h3f4 g6g5 h4g5 h6g5 f4g6 h8g8 g6e5 g7e6 g2f2 d4a4 f1a1 e6d4 a2a3 g8g7 e5c4 a4a6 a1g1 g7f6 g1c1 d4b5 c1b1 b5d4 b1b2 d4e6 f2e3 a6c6 b2b7 a7a6 b7b6 c6b6 c4b6 g5g4 f3g4 f6g5 d3d4 g5g4 d4d5
Warsaw ol,Warsaw,1935.??.??,13,"Lundin, Erik","Najdorf, Miguel",0-1,,,E22,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1b3 b8c6 g1f3 e8g8 c1g5 h7h6 g5d2 d7d6 e2e3 f8e8 f1e2 e6e5 d4d5 b4c3 d2c3 c6e7 f3d2 f6d7 b3c2 f7f5 g2g4 f5g4 e2g4 d7f6 g4f3 e8f8 h1g1 c8f5 e3e4 f5h7 e1c1 e7g6 g1g3 g6f4 d1g1 f8f7 d2f1 g8h8 f1e3 f6h5 f3h5 f4h5 g3h3 h5f4 h3g3 d8h4 f2f3 f4h5 g3g4 h4h3 c2g2 h3f3 g2f3 f7f3 c3d2 h5f4 c1d1 f4h3 g1g3 h3f2 d1e2 f3g3 g4g3 f2e4 g3f3 h7g6
Warsaw ol,Warsaw,1935.??.??,14,"Monticelli, Mario","Najdorf, Miguel",0-1,,,E19,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7 e1g1 e8g8 b1c3 f6e4 d1c2 e4c3 c2c3 c7c5 d4c5 b6c5 c1f4 d7d6 a1d1 d8b6 f4g5 f7f6 g5c1 b8c6 c3e3 e6e5 e3d2 f6f5 e2e3 a7a5 a2a3 e5e4 f3e1 c6e5 f2f3 b6b3 f3e4 f5e4 e1c2 b3c4 f1f4 g7g5 f4f8 a8f8 c2e1 a5a4 h2h3 e5f3 e1f3 e4f3 g2f1 c4e6 g1f2 d6d5 d2a5 e7d6 a5c3 d6g3 f2g3 e6d6 g3f2 d6h2 f2e1 h2g3 e1d2 g3f2
