Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
St Petersburg op,St Petersburg,1993.??.??,?,"Shmuter, Leonid","Najer, Evgeniy",0-1,2455,2310,C61,e2e4 e7e5 g1f3 b8c6 f1b5 c6d4 f3d4 e5d4 b5c4 h7h5 c2c3 f8c5 c3d4 c5d4 b1c3 c7c6 c3e2 d4b6 d1b3 d8e7 e1g1 g8f6 b3g3 h5h4 g3g5 h4h3 e2g3 d7d5 e4d5 h3g2 g1g2 c8h3 g2g1 h3f1 c4f1 f6d5 g5g7 e8c8 d2d4 e7h4 h2h3 d8g8 g7e5 b6c7
St Petersburg op,St Petersburg,1993.??.??,?,"Pogosjan, V.","Najer, Evgeniy",0-1,,2310,C30,e2e4 e7e5 f2f4 f8c5 g1f3 d7d6 c2c3 g8f6 d2d4 e5d4 c3d4 c5b6 b1c3 e8g8 f1d3 c8g4 c1e3 b8c6 d3c2 g4f3 g2f3 d6d5 e4e5 f6h5 h2h4 d8d7 d1d3 g7g6 a2a3 c6e7 e1c1 c7c6 d1g1 f7f5 c3a4 g8f7 d3b3 d7c7 g1g5 f7e6 c1b1 a8e8 c2d3 e7g8 h1c1 g8h6 a4c3 c7d8 c3a4 d8c7 g5g2 h6f7 g2c2 e8c8 a4c3 f8d8 c3e4 c7e7 d3b5 e7d7 b5f1 e6e7 e4c5 b6c5 c2c5 e7f8 e3d2 d8e8 b3e3 f7d8 c5c2 d8e6 b2b4 d7d8 b4b5 d8b6 d2b4 f8f7 b4c5 e6c5 d4c5 b6a5 c2b2 e8e7 b2b4 h5g7 e3b3 g7e6 h4h5 f7g7 f1d3 c6b5 b4b5 e6d4 b3b4 a5b4 b5b4 d4e6 h5g6 h7g6 b4a4 c8c5 a4a7 c5c1 b1c1 g7f7 a7a4 e6c5 d3b5 c5a4 b5a4 f7e6 c1d2 g6g5 f4g5 e6e5 d2d3 f5f4 g5g6 e7e6
St Petersburg op,St Petersburg,1993.??.??,?,"Poluljahov, Aleksandr","Najer, Evgeniy",1-0,2505,2310,D02,g1f3 d7d5 g2g3 g7g6 f1g2 f8g7 d2d4 c7c5 d4c5 b8a6 c2c4 g8f6 b1c3 d8a5 c4d5 f6e4 c1d2 e4c3 b2c3 a6c5 f3d4 e8g8 e1g1 a5a6 e2e4 a6c4 f1e1 g7d4 c3d4 c4d4 d2e3 d4d1 e1d1 b7b6 e3c5 b6c5 a1c1 c8g4 f2f3 g4d7 c1c5 f8c8 d1c1 c8c5 c1c5 a8c8 c5c8 d7c8 f3f4 f7f6 e4e5 g8f7 g1f2 h7h6 f2e3 g6g5 e3d4 g5f4 g3f4 f6e5 f4e5 f7e8 d4c5 c8d7 g2f1 e8d8 f1b5 d7h3 a2a4 d8c7 b5e2 h3f5 a4a5 f5d7 e2f1 d7f5 f1a6 f5h3 a6d3 h3d7 d3c4 d7h3 d5d6 e7d6 e5d6 c7d7 c4b5 d7d8 c5d5 h6h5 d5e5 h5h4 b5d3 d8d7 d3f5 h3f5 e5f5 d7d6 f5g4 d6e5 g4h4 e5f4 h4h5 f4f5 a5a6
St Petersburg op,St Petersburg,1993.??.??,?,"Tunik, Gennady","Najer, Evgeniy",1/2-1/2,2490,2310,D25,d2d4 d7d5 c2c4 d5c4 g1f3 g8f6 e2e3 g7g6 f1c4 f8g7 e1g1 e8g8 b2b3 c7c5 c1b2 c5d4 f3d4 c8d7 b1d2 b8c6 d2f3 d8a5 a2a3 a8c8 b3b4 a5b6 d1b3 f6e4 d4c6 d7c6 b2g7 g8g7 f1d1 e4d6 c4e2 c6b5 b3b2 g7g8 e2b5 b6b5 a3a4 b5f5 a1c1 c8c1 d1c1 f8c8
St Petersburg op,St Petersburg,1993.??.??,?,"Najer, Evgeniy","Yuneev, Alexey",0-1,2310,2365,C77,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 d1e2 d7d6 c2c4 c8g4 b1c3 f6d7 a4c6 b7c6 h2h3 g4h5 g2g4 h5g6 d2d4 h7h5 h1g1 f8e7 c1e3 d8b8 e1c1 b8b4 d4e5 d7e5 f3e5 d6e5 f2f4 e5f4 e3f4 h5g4 e2g4 b4c4 g4d7 e8f8 f4c7 e7f6 e4e5 c4f4 d1d2 f6e5 d7c6 a8e8 g1e1 f7f6 c7e5 e8e5 c6d6 f8f7 d6c7 f7g8 e1e5 f6e5 c3d5 f4f7 c7d8 g8h7 d8h4 g6h5 b2b3 h8e8 d2f2 f7g6 c1b2 g6h6 d5e3 e8c8 h4e4 h5g6 e4f3 h6h4 e3g4 c8d8 g4e5 h4d4
St Petersburg op,St Petersburg,1993.??.??,?,"Najer, Evgeniy","Cherniaev, Alexander",1-0,2310,2420,A86,d2d4 f7f5 g2g3 g8f6 f1g2 g7g6 c2c4 f8g7 b1c3 d7d6 g1h3 e8g8 d1b3 c7c6 c4c5 d6d5 h3f4 g8h8 h2h4 f6h5 f4h5 g6h5 c1e3 b8d7 e1c1 e7e6 b3a4 b7b5 a4c2 b5b4 c3a4 c8a6 b2b3 a6b5 a4b2 a7a5 g2f3 d8e8 b2d3 b5d3 e2d3 e8f7 h1e1 a8a7 e1e2 a5a4 c1d2 a4b3 c2b3 f8b8 d2e1 e6e5 d4e5 d7e5 f3g2 e5g6 f2f4 a7a3 b3b1 g6e7 e3c1 a3a5 d3d4 e7g8 e1f1 b4b3 a2b3 a5b5 g2h3 b8f8 b1d3 f7b7 e2e3 g8h6 d1e1 h6g4 e3e8 b7f7 e8e6 f8b8 h3g4 h5g4 e6e7 f7f8 e1e6 g7f6
St Petersburg op,St Petersburg,1993.??.??,?,"Najer, Evgeniy","Lugovoi, Aleksei",1-0,2310,2390,B23,e2e4 c7c5 b1c3 b8c6 f2f4 e7e6 g1f3 g8e7 d2d4 c5d4 f3d4 c6d4 d1d4 e7c6 d4f2 d7d5 e4e5 f8e7 f1d3 f7f6 f2h4 f6f5 h4h5 g7g6 h5h6 e7f8 h6h3 f8c5 c1d2 a7a6 e1c1 h7h5 g2g4 d5d4 c3e2 d8d5 c2c4 d5d8 g4f5 e6f5 h1g1 h8g8 e2g3 g8h8 g3e2 c6e7 d2e1 c8e6 e1h4 h8g8 g1g2 b7b5 h4e7 d8e7 d3c2 a8d8 c4b5 a6b5 c1b1 c5b6 e2c1 e8f7 c2b3 e6c4 a2a4 e7b4 a4b5 b4b5 h3d3 b5b3 c1b3 c4d3 d1d3 d8d5 b3d2 g6g5 d2c4 b6d8 c4e3 g5f4 e5e6
St Petersburg op,St Petersburg,1993.??.??,?,"Najer, Evgeniy","Savchenko, Stanislav",0-1,2310,2530,B23,e2e4 c7c5 b1c3 b8c6 f2f4 g7g6 g1f3 f8g7 a2a4 e7e6 d2d4 c5d4 c3b5 d7d6 f3d4 c6d4 b5d4 g8f6 f1d3 e8g8 d4f3 d8b6 a4a5 b6c5 d1e2 e6e5 f4e5 d6e5 c1e3 c5c7 e1g1 c8e6 f3g5 e6d7 g1h1 h7h6 g5f3 d7e6 c2c4 f8d8 f1d1 b7b6 b2b4 g7f8 c4c5 b6c5 e3c5 f8c5 a1c1 e6b3 d1d2 a8b8 c1c5 c7e7 d3b5 d8c8 d2b2 c8c5 b4c5 b3e6 e2c2 e7c7 b5d3 b8b2 c2b2 c7c5 f3e5 c5a5 h2h3 a5e1 h1h2 f6e4 b2b8 g8h7 e5f7 e6f7 b8e5 e1g3 e5g3 e4g3 h2g3 f7b3 g3f4 a7a5 f4e5 h7g7 h3h4 a5a4 e5d4 a4a3 d4c3 a3a2 c3b2 h6h5 d3e2 b3e6 g2g3 g7f6 e2d1 f6e5 d1c2 e6f5 c2d1 e5e4 b2a2 e4e3
St Petersburg op,St Petersburg,1993.??.??,?,"Najer, Evgeniy","Solozhenkin, Evgeniy",0-1,2310,2515,C77,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 d1e2 b7b5 a4b3 f8c5 d2d3 d7d6 c2c3 h7h6 h2h3 e8g8 g2g4 f6h7 b1d2 c8e6 d2f1 a6a5 h3h4 a5a4 b3e6 f7e6 g4g5 h6h5 f1g3 g7g6 e1g1 d8d7 c1e3 b5b4 d3d4 e5d4 c3d4 f8f3 e2f3 c6d4 e3d4 c5d4 e4e5 a8f8 f3e4 d6e5 e4g6 g8h8 g6h5 a4a3 b2a3 d4a1 f1a1 d7d4 a1f1 f8f4 g5g6 f4h4 h5f3 e5e4 f3f7 d4f6 f7e8 h7f8 a3b4 h8g7 f1c1 f8g6 c1c7 g7h6 e8c6 e4e3 f2e3 f6e5 g1g2 e5e3 c6c1 g6f4 g2f1 e3f3 f1e1 f3g3
EU-ch U18,Hania,1994.??.??,1,"Mirumian, Vigen","Najer, Evgeniy",1-0,2290,2465,C28,e2e4 e7e5 b1c3 g8f6 f1c4 b8c6 d2d3 f8b4 g1e2 d7d5 e4d5 f6d5 e1g1 d5b6 c4b3 c8g4 f2f3 g4h5 e2g3 h5g6 f3f4 e5f4 c1f4 e8g8 a2a3 b4c5 g1h1 c6d4 b3a2 c7c6 d1d2 d8d7 c3e4 c5e7 d2f2 d4e6 f4d2 f7f5 e4c5 e7c5 f2c5 b6d5 c5f2 f5f4 g3e4 f8f5 a1e1 b7b6 e4c3 f4f3 c3d5 c6d5 g2g4 f5f6 e1e5 e6c7 f2g3 a8f8 f1f2 g8h8 g4g5 f6f7 d2b4 f8e8 e5e8 d7e8 f2f3 g6e4 d3e4 e8e4 h1g2 c7e6 g3b8 f7f8 b8f8 e6f8 b4f8 e4c2 g2g3 c2b2 f8d6 g7g6 f3f8 h8g7 a2d5 h7h6 f8e8 b2c3 d5f3 c3d2 d6f4
