Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
CZE-ch U10,?,1993.??.??,1,"Navara, David","Schneider, J.",1-0,,,B32,e2e4 c7c5 g1f3 b8c6 d2d4 e7e6 c2c3 b7b6 c1e3 g8f6 f1d3 c8b7 b1d2 f8e7 d2b3 d7d6 d1c2 a7a5 e4e5 f6d5 e5d6 d5e3 f2e3 e7d6 d4c5 b6c5 e1c1 d8c7 d3h7 h8h7 c2h7 d6f8 d1d2 a8d8 h1d1 a5a4 b3a1 c6a5 d2d8 c7d8 d1d8 e8d8 h7d3
CZE-ch U10,?,1993.??.??,2,"Hajek, Lukas","Navara, David",1-0,,,B50,e2e4 c7c5 g1f3 d7d6 f1c4 g8f6 d2d3 b8c6 f3g5 e7e6 f2f4 f8e7 f4f5 h7h6 f5e6 h6g5 e6f7 e8f8 c1g5 c6e5 c4b3 e5f7 b3f7 f8f7 e1g1 d8c7 d1e2 f7g6 g5f4 f6h5 e4e5 h5f4 e2e4 c8f5 e4f4 a8f8 f4g3 g6h7 b1d2 f5g6 d2f3 d6e5 f3e5 g6e8 g3h3 h7g8 h3e6 g8h7 e6h3 h7g8 h3e6 e8f7 f1f7 f8f7 e6f7
CZE-ch U10,?,1993.??.??,3,"Navara, David","Vaculik, Martin",1-0,,,B22,e2e4 c7c5 c2c3 d7d5 e4d5 d8d5 d2d4 c5d4 c3d4 b8c6 g1f3 e7e6 b1c3 d5d8 f1b5 a7a6 b5c6 b7c6 f3e5 d8c7 d1f3 c8b7 c1f4 f8d6 c3e4 d6e5 f4e5 c7a5 e1d1 f7f6 e4d6 e8e7 d6b7 a5b5 b7d6 b5b2 a1c1 f6e5 c1c6 b2d4 d1e2 d4b2 e2d1 b2a1 c6c1 a1d4 d1e1 a8d8 f3f7 e7d6 c1d1 d4d1 e1d1 g8e7 f7g7 h8g8 g7h7 g8g2 d1e2 d8e8 h7d3 e7d5 d3a6 d6e7 h2h4 e8h8 h4h5 g2g7 h5h6 g7h7 a2a4 h7h6 h1h6 h8h6 a4a5 h6h8 a6b7 e7d6 a5a6 d5c7 a6a7 h8a8 b7b2 a8a7 b2b6 d6d7 b6a7 d7d6 e2d3 d6c6 d3e4 c6d6 a7b6 d6d7 e4e5 d7c8 e5d6 c7e8 d6e6 e8c7 e6d6 c7e8 d6c6 e8d6 b6c7
CZE-ch U10,?,1993.??.??,4,"Galicek, Stanislav","Navara, David",1-0,,,B70,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 d4f3 f8g7 f1c4 d8c7 c4b3 f6d7 c1d2 d7c5 c3d5 c7c6 b3c4 b8a6 a2a4 g7b2 c4b5 b2a1 b5c6 b7c6 d1a1 f7f6 d5c3 a6b4 a1b1 a8b8 e1g1 c8a6 f1c1 e8g8 b1a1 b8b7 c3a2 b4c2 c1c2 f8b8 d2b4 c5d3 a1c3 d3b4 a2b4 b7b4 h2h3 b4c4 c3d2 b8b1 g1h2
CZE-ch U10,?,1993.??.??,5,"Navara, David","Mach, Petr",0-1,,,D56,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 f8e7 e2e3 e8g8 g1f3 h7h6 g5h4 d5c4 f1c4 a7a6 c3e2 b8d7 a1c1 d7b6 c4e6 f6d5 e6d5 b6d5 d1c2 e7h4 f3h4 c8e6
CZE-ch U10,?,1993.??.??,6,"Spaniel, M.","Navara, David",0-1,,,B30,e2e4 c7c5 g1f3 d7d6 f1c4 g8f6 b1c3 b8c6 e1g1 c8g4 d2d3 c6d4 c4d5 f6d5 c3d5 e7e6 d5c3 d8f6 c1e3 d4f3 g2f3 g4f3 d1c1 f6h4 c3b5 h4g4
CZE-ch U10,?,1993.??.??,7,"Navara, David","Zatloukal, Vaclav",1/2-1/2,,,C47,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 g8f6 b1c3 f8c5 c1e3 c6d4 e3d4 b7b6 d4c5 b6c5 d1f3 c8b7 e1c1 e8g8 f3f5 d7d6 e4e5 b7c8 f5g5 h7h6 g5h4 f6g4 h4d8 f8d8 d1d2 g4e5 c3d5 c7c6 d5c3 d6d5 c3e4 c5c4 f2f4 e5g6 g2g3 d8d7 e4c5 d7e7 f1g2 a8b8 b2b3 c4b3 a2b3 b8b5 c5a4 e7b7 h1e1 c8d7 a4c3 b5a5 c1b2 f7f6
CZE-ch U10,?,1993.??.??,8,"Navara, David","Zavrel, J.",1-0,,,C45,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 c6d4 d1d4 g8f6 e4e5 c7c5 d4d3 f6g4 d3e2 d7d6 e5d6 c8e6 e2b5 d8d7 h2h3 g4e5 b5c5 f8d6 c5d4 e8g8 c1e3 e6f5 f1d3 f5d3 f2f4 e5g6 d4d3 d7e7 e1g1 f7f5 b1c3 e7e6 a1e1 e6d7 c3b5 a7a6 b5d6 d7c6 d3b3 g8h8 d6f7 f8f7 b3f7
CZE-ch U10,Svetla,1994.??.??,?,"Mach, Petr","Navara, David",0-1,,,D02,g1f3 d7d5 g2g3 c7c6 f1g2 g8f6 d2d4 c8f5 e1g1 e7e6 e2e3 f8d6 b1d2 b8d7 c2c4 f5d3 f1e1 d3c4 d2c4 d5c4 d1c2 e8g8 c2c4 d7b6 c4c2 d8c7 c1d2 f8d8 d2c3 a8c8 e3e4 d6e7 a1d1 c6c5 c2e2 c5d4 f3d4 b6a4 d4b5 a4c3 b5c3 e7b4 d1d8 c8d8 e1c1 b4c3 c1c3 c7d7 h2h4 h7h6 g2f3 g8f8 c3a3 b7b6 e2c2 d8c8 a3c3 c8c3 c2c3 f8e8 g3g4 e8f8 g4g5 h6g5 h4g5 f6h7 g5g6 f7g6 e4e5 h7g5 f3g4 g5f7 b2b4 f8e7 a2a3 e7d8 g4f3 d7c7 c3d3 d8e7 d3g6 c7e5 g6d3 e5f5 d3e3 f5e5 e3d3 f7h6 d3a6 e5c7 a6d3 h6f5 d3d2 e7f6 f3g4 f5h6 g4f3 h6f7 f3g2 g7g5 d2e3 c7c4 e3f3 f6g6 f3e3 g6f6 e3f3 c4f4 f3c3 f4e5 c3f3 f6g7 f3d3 e5c7 d3d4 e6e5 d4e3 c7c2 g2e4 c2d1 g1g2 d1g4 g2f1 f7d6 e4f3 g4f4 e3d3 f4c4 f3e2 c4d3 e2d3 e5e4 d3c2 g7f6 a3a4 f6e5 f1e2 e5f4 c2b1 d6f5 a4a5 f5d4
CZE-ch U10,Svetla,1994.??.??,?,"Navara, David","Dopita, Bohumil",1-0,,,C50,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 d2d4 e5d4 f3d4 d7d6 f1c4 f8e7 e1g1 c8d7 c1f4 e8g8 f1e1 f8e8 d1d2 e7f8 f2f3 b7b6 d4c6 d7c6 a1d1 d8d7 c3e2 a8d8 f4g5 f8e7 d2f4 d7c8 e2d4 c6d7 e4e5 d6e5 e1e5 e7d6 g5f6 d6e5 f6e5 c7c5 f4f7
