Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Commonwealth Ch,Mumbai IND,2003.04.20,1,"Negi,P","Suvrajit,S",1/2-1/2,2117,2391,B01,e2e4 d7d5 e4d5 d8d5 b1c3 d5d6 d2d4 a7a6 g1f3 g8f6 f1e2 b8c6 a2a3 c8f5 h2h3 e8c8 c1e3 e7e5 d4e5 c6e5 d1d6 e5f3 e2f3 f8d6 e1c1 h7h6 h1e1 h8e8 c1b1 d6e5 c3d5 d8d6 e3c5 d6e6 d5f6 e5f6 e1e6 e8e6 c5d4 f6d4 d1d4 e6e1 d4d1 e1d1 f3d1 f5e4 g2g3 c8d7 b1c1 g7g5 c1d2 d7e6 d2e3 e4g2 d1f3 g2f3 e3f3 e6f5 f3e3 f5e5 e3d3 h6h5 d3e3 f7f6 f2f4 e5d5 e3d3 b7b5 b2b3 c7c5 c2c4
Commonwealth Ch,Mumbai IND,2003.04.21,2,"Ganguly,S","Negi,P",1-0,2542,2117,C92,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c8b7 d2d4 f8e8 b1d2 e7f8 d4d5 c6b8 d2f1 b8d7 f1g3 h7h6 a2a4 d7c5 b3c2 c7c6 b2b4 c5d7 d5c6 b7c6 c2b3 d8c7 d1d3 c7b7 a4a5 d6d5 e4d5 c6d5 b3d5 b7d5 d3d5 f6d5 c1b2 a8c8 a1d1 d7f6 e1e5 e8e5 f3e5 d5c3 b2c3 c8c3 d1d8 c3c1 g1h2 c1e1 f2f4 g7g6 d8a8 g8g7 a8a7 f6d5 a7f7 g7g8 f7a7 d5f4 e5d7 f8b4 d7f6 g8f8 g3e4 e1e2 h2g3 g6g5 g3f3 e2g2 f6d7 f8e8 d7e5 g2c2 a7a6 c2a2 a6a8 e8e7 e5c6 e7e6 c6b4 a2a3 f3g4 a3h3 a8e8 e6f7 e8b8 h3b3 b8b5 f4d3 b4d3
Commonwealth Ch,Mumbai IND,2003.04.21,3,"Negi,P","Goswami,V",1/2-1/2,2117,2292,B14,e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 c2c4 g8f6 b1c3 e7e6 g1f3 f8b4 c4d5 f6d5 d1c2 b8c6 f1e2 e8g8 e1g1 f8e8 a2a3 b4f8 c2e4 c6e7 f1d1 d5f6 e4c2 b7b6 f3e5 c8b7 e2b5 a8c8 b5e8 f6e8 c2e2 e7d5 c3e4 e8d6 e4d6 f8d6 c1e3 d8h4 a1c1 c8f8 h2h3 f7f5 e5f3 h4h5 e3d2 f8f6 g1h1 d5c7 f3e1 b7a6 e1d3 h5h4 d2b4 d6f4 b4e7 f4c1 d1c1 h4d4 e7f6 g7f6 c1d1 e6e5 g2g4
Commonwealth Ch,Mumbai IND,2003.04.22,4,"Akshayraj,K","Negi,P",1-0,2283,2117,C90,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 d2d3 b7b5 a4b3 f8e7 e1g1 d7d6 c2c3 e8g8 f1e1 f8e8 b1d2 e7f8 d2f1 h7h6 h2h3 d6d5 e4d5 f6d5 f1g3 d5f6 a2a4 c8b7 b3c2 g7g6 h3h4 h6h5 c1g5 d8d6 f3d2 f8e7 d2e4 f6e4 g3e4 d6e6 c2b3 e6f5 e1e3 e7g5 h4g5 e8f8 e3f3 f5c8 f3h3 g8g7 h3h5 c6e7 e4f6 f8h8 h5h8 c8h8 d1e2 e5e4 d3e4 c7c5 a4b5 a6b5 a1a8 h8a8 e2b5 a8a1 g1h2 a1b2 b5c4 b7d5 f6d5 e7c6 d5f4 c6e5 c4c5 e5g4 h2g3 g4f2 c5d4 g7h7 d4f2 b2b3 f4d5 b3b7 f2f4
Commonwealth Ch,Mumbai IND,2003.04.23,6,"Arvind,C","Negi,P",1-0,2257,2117,E97,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 e1g1 b8c6 d4d5 c6e7 b2b4 a7a5 c1a3 a5b4 a3b4 f6d7 a2a4 d7c5 b4c5 d6c5 a4a5 c8d7 d1b3 a8b8 f3e1 e7c8 e1d3 d8e7 f1b1 f7f5 b3a3 f5e4 c3e4 d7f5 d3c5 c8d6 e2d3 e7h4 g2g3 h4h5 b1e1 f5h3 d3e2 h5f5 f2f3 d6e4 c5e4 f5d7 a1d1 h3f5 e4f2 d7f7 c4c5 f8d8 e2c4 g8h8 d5d6 f7d7 g3g4 f5c2 d1c1 c7d6 c1c2 d6d5 c2d2 d7c6 e1d1 d5d4 f2e4 b8a8 e4g5
7th BayEM,Bad Wiessee GER,2003.11.11,4,"Negi,P","Hamm,S",1/2-1/2,2103,2300,B05,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 c8g4 f1e2 e7e6 h2h3 g4h5 e1g1 a7a6 c2c4 d5b6 b2b3 f8e7 b1c3 e8g8 c1e3 b8d7 f3h2 h5e2 d1e2 d6e5 d4e5 e7c5 a1d1 d8e7 h2f3 c5e3 e2e3 f8d8 d1d4 d7f8 d4g4 g8h8 c3e4 b6d7 h3h4 f8g6 g4g5 h7h6 h4h5 h6g5 h5g6 g5g4 e3f4 f7g6 f4h2 h8g8 f3g5 d7f8 g2g3 d8d4 g1g2 d4e4 g5e4 a8d8 h2h4 e7h4 g3h4 g8f7 e4c5 d8d2 c5b7 d2a2 b7c5 a6a5 f1d1 f7e7 g2f1 a2b2 d1a1 f8d7 c5d7 e7d7 a1a5 b2b3 a5a8 b3f3 f1g2 d7c6 a8e8 c6d7 e8g8 f3f7 g2g3 d7c6 g8e8 c6d7 e8g8
7th BayEM,Bad Wiessee GER,2003.11.15,8,"Negi,P","Heimrath,R",1-0,2103,2340,C55,e2e4 e7e5 g1f3 b8c6 f1c4 f8e7 e1g1 g8f6 d2d3 e8g8 c2c3 a7a5 c4b3 d7d6 b1d2 f6d7 f1e1 d7c5 b3c2 f7f5 e4f5 c8f5 d3d4 f5c2 d1c2 e5d4 c3d4 c6b4 c2c4 d6d5 c4e2 c5d3 e2e7 b4c2 e7d8 f8d8 e1e3 d3b4 a1b1 c2e3 f2e3 b4a2 f3e5 c7c5 d4c5 a2b4 d2b3 d8e8 e5d7 a5a4 b3d4 a8c8 c1d2 b4d3 d7b6 c8c5 b6a4 c5c7 a4b6 c7f7 b6d5 e8e5 d5f4 d3c5 b1c1 g7g5 d4f3 e5f5 g2g4 c5b3 g4f5 b3c1 d2c1 f7f5 f3d4 f5c5 f4d3 c5a5 e3e4 g8f7 e4e5 f7g6 c1d2 a5a8 e5e6 g6f6 d2b4 b7b6 e6e7 h7h5 d4b5 a8e8
7th BayEM,Bad Wiessee GER,2003.11.16,9,"Mainka,R","Negi,P",1/2-1/2,2459,2103,A00,g2g3 g7g6 f1g2 f8g7 d2d3 d7d6 f2f4 e7e5 b1c3 g8e7 g1f3 b8c6 e2e4 e8g8 e1g1 f7f5 c1e3 f5e4 d3e4 e5f4 g3f4 c8g4 d1e1 g4f3 f1f3 c6d4 f3f2 d6d5 a1d1 c7c5 e4e5 e7f5 c3d5 d8h4 c2c3 d4e6 e3c1 h4g4 e1e2 g4e2 f2e2 g8h8 a2a4 a8d8 e2e1 g7h6 g2e4 f5g7 a4a5 d8d7 f4f5 g6f5 c1h6 f5e4 d5f6 d7d1 e1d1 f8d8 d1d8 e6d8 g1f2 d8c6 f6e4 g7e6 e4g5 e6g5 h6g5 h8g7 e5e6 c6a5 f2f3 a5c4 f3e4 c4b2 e4d5 g7f8 d5c5 a7a5 c5b5 a5a4 b5b4 b7b5 b4b5 a4a3 g5c1 f8e7 c3c4 e7e6 c4c5 e6d7 c5c6 d7c8 b5a6 h7h5 a6b5 h5h4 h2h3 c8c7
ch-Commonwealth,Mumbai IND,2004.01.11,2,"Lodhi,M","Negi,P",1/2-1/2,2395,2149,D11,d2d4 d7d5 g1f3 c7c6 g2g3 c8g4 f1g2 b8d7 e1g1 e7e6 b2b3 f8d6 c2c4 g8f6 c1b2 e8g8 b1c3 d8e7 c4d5 e6d5 f1e1 f6e4 f3d2 f7f5 d2e4 f5e4 f2f3 e4f3 e2f3 e7f6 d1d2 g4f5 e1e3 h7h5 a1e1 h5h4 g3g4 f6g5 h2h3 f5g6 c3e2 a8e8 b2c1 g5e3 d2e3 e8e3 c1e3 f8e8 g1f2 g6d3 e2f4 d3b5 e3d2 e8f8 f4e2 d7f6 f2g1 f8e8 g2f1 g8f7 e2c1 e8e1 d2e1 d6f4 f1b5 f4c1 b5d3 g7g5 g1f2 f6d7 d3f5 d7f8 f2e2 c1f4 e1d2 f8e6 d2e3 f4d6 f5e6 f7e6 a2a4 b7b6 a4a5 e6f6 e2d3
ch-Commonwealth,Mumbai IND,2004.01.12,3,"Negi,P","Dzhumaev,M",0-1,2149,2498,B06,e2e4 g7g6 d2d4 f8g7 b1c3 d7d6 c1g5 c7c6 d1d2 b7b5 f2f4 b8d7 g1f3 b5b4 c3d1 a7a5 a2a3 g8f6 f1d3 b4a3 a1a3 d6d5 d1f2 d5e4 f2e4 e8g8 e1g1 d7b6 g5f6 e7f6 e4c5 c8g4 c2c3 g4f3 f1f3 f6f5 g1h1 f8e8 f3e3 g7f8 e3e8 d8e8 d2e2 e8d8 a3a1 b6d5 g2g3 d5f6 e2f3 f8c5 d4c5 a8b8 a1b1 d8d7 h2h3 d7e6 h1h2 h7h5 b2b4 a5a4 f3e2 e6d7 b1d1 b8e8 e2d2 e8d8 d2c2 a4a3 d3e2 d7e7 d1d8 e7d8 e2c4 f6e4 h2g2 g8f8 c4a2 d8f6 c2b3 e4c3 b3a3 f6d4 a3b2 h5h4 b2c2 h4g3 g2g3 d4g1 g3f3 c3e4 c2g2 g1d4
