Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
EuYCh B10,Halkidiki GRE,2000.10.04,3,"Nepomniachtchi,I","Hanley,Ja",1-0,,,D79,g1f3 g8f6 g2g3 g7g6 f1g2 f8g7 e1g1 e8g8 d2d4 d7d5 c2c4 c7c6 c4d5 c6d5 b1c3 b8c6 f3e5 d8b6 e5c6 b6c6 d1b3 e7e6 c1f4 f6h5 f4e3 b7b6 a1c1 c6c4 b3c4 d5c4 g2a8
EuYCh B10,Halkidiki GRE,2000.10.05,4,"Nepomniachtchi,I","Fodor,T",1-0,,2076,C18,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 g8e7 a2a3 b4c3 b2c3 c7c5 d1g4 d8c7 g4g7 h8g8 g7h7 c5d4 g1e2 b8c6 f2f4 c8d7 h7d3 d4c3 e2c3 a7a6 g2g3 a8c8 c1d2 e7f5 f1g2 c6d4 a1c1 d4b5 c3e2 c7c4 e1g1 c4c5 g1h1 b5a3 d3b3 a3c4 d2b4 c5e3 f1e1 g8h8 b3e3 c4e3 c2c3 e3g4 h1g1 g4h2 b4a5 d7b5 e2d4 f5g3 d4b5 a6b5 c1b1 c8c5 c3c4 c5c4 b1b5 e8f8 b5b7 f8g7 b7b4 c4c2 b4b6 g3e2 e1e2 c2e2 f4f5 e2a2 a5c3
EuYCh B10,Halkidiki GRE,2000.10.06,5,"Howell,D","Nepomniachtchi,I",1/2-1/2,,,C02,e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 b8c6 g1f3 d8b6 f1e2 c5d4 c3d4 g8e7 b1a3 e7f5 a3c2 f8b4 e1f1 b4e7 g2g4 f5h4 f3h4 e7h4 f1g2 h4e7 f2f4 c8d7 b2b3 e8c8 c1e3 c8b8 d1d2 d8c8 h1c1 c6b4 c2e1 d7b5 e2f3 c8c1 a1c1 h8c8 c1c8 b8c8 a2a3 b4c6 e1c2 c6a5 d2c3 b6c7 c3b2 b5d3 c2e1 d3e4 e3d2 a5c6 f3e4 d5e4 b3b4 c7d7 d2e3 d7d5 g2f1 d5b5 f1g2 e7h4 e3f2 h4f2 g2f2 b5c4 f2e3 c4f1 b2f2 f1h1 f2g3 c6e7 e1g2 h1b1 e3f2 b1b2 f2f1 e7d5 g3f2 b2c1 f2e1 c1c4 e1e2 c4d4 e2b5 d5c7 b5e2 c7d5 e2b5 d4d1 f1f2 d1c2 f2f1 d5c7 b5e2 c2e2 f1e2 c7d5 f4f5 c8d7 g2e3 d5f4 e2d2 b7b5 e3c2 f4d3 d2e3 d3e5 h2h3 e5c6 e3e4 d7d6 f5e6 d6e6 c2e3 c6e7 e3c2 e6d6 c2d4 a7a6 d4f3 f7f6 f3d4 g7g6 d4b3 e7d5 b3c5 d5c7 c5b7 d6c6 b7d8 c6d7 d8b7 c7e6 h3h4 d7c6 b7a5 c6d6 a5b7 d6c7 b7a5 c7d7 a5b7
EuYCh B10,Halkidiki GRE,2000.10.07,6,"Laritchev,D","Nepomniachtchi,I",0-1,,,C05,e2e4 e7e6 d2d4 d7d5 b1d2 g8f6 e4e5 f6d7 f2f4 c7c5 c2c3 b8c6 d2f3 d8b6 g2g3 c5d4 c3d4 f8b4 e1f2 f7f6 f2g2 a7a5 g1e2 a5a4 a2a3 b4e7 e2c3 f6e5 f4e5 b6a7 c3b5 a7b6 f3g5 e7g5 b5d6 e8d8 c1g5 d8c7 d1c2 c7b8 a1d1 c6d4 c2c3 d4c6 f1b5 d5d4 c3e1 a8a5 d6c4 b6b5 c4a5 b5d5 g2g1 c6a5 e1b4 a5c6 b4a4 d7e5 g5f4 g7g5 f4e5 c6e5 a4c2 h8f8 c2h7 e5f3 g1f2 d5e5 h7e7 e5e3 f2g2 e3e2 g2h3 f8h8 h3g4 e6e5
EuYCh B10,Halkidiki GRE,2000.10.08,7,"Nepomniachtchi,I","Sismanis,A",1-0,,,B50,e2e4 c7c5 g1f3 d7d6 c2c3 g8f6 f1e2 b8c6 d2d3 e7e6 e1g1 f8e7 b1d2 e8g8 f1e1 d8c7 e2f1 d6d5 g2g3 f8d8 f1g2 b7b6 e4e5 f6d7 d1e2 c8a6 h2h4 e7f8 d2f1 a8c8 f1h2 b6b5 h4h5 b5b4 h5h6 g7g6 h2g4 b4c3 b2c3 c8b8 f3g5 c7a5 e2f3 f7f5 e5f6 a5c3 c1f4 b8b4 g5e6 d8c8 f3d5 c3d3 e6d4 g8h8 d5d7 b4d4 d7g7 f8g7 h6g7 h8g8 g4h6
EuYCh B10,Halkidiki GRE,2000.10.09,8,"Khazhalia,S","Nepomniachtchi,I",0-1,,,B14,e2e4 d7d5 e4d5 g8f6 c2c4 c7c6 d2d4 c6d5 b1c3 g7g6 g1f3 f8g7 c4c5 b8c6 c1f4 e8g8 f1b5 c8g4 b5c6 b7c6 e1g1 f6d7 f1e1 g4f3 g2f3 e7e5 d4e5 d7c5 a1c1 c5e6 f4g3 d8g5 d1a4 f8c8 c1c2 g5f5 e1c1 f5f3 c3e2 c6c5 e2f4 g7h6 c2c3 f3e4 a4e4 d5e4 f4d5 h6c1 d5e7 g8f8 e7c8 c1b2 c3b3 b2e5 g3e5 a8c8 b3c3 c5c4 g1f1 a7a6 f1e2 f8e7 e2e3 f7f6 e5g3 f6f5 g3e5 c8c5 e5h8 e7d6 c3c1 d6d5 c1d1 d5c6 d1c1 c4c3 c1c3 c5c3 h8c3 c6d5 c3f6 f5f4 e3d2 d5c4 f6e5 g6g5 e5f6 h7h5 h2h3 g5g4 d2e2 e6d4 e2d2 g4h3
EuYCh B10,Halkidiki GRE,2000.10.10,9,"Nepomniachtchi,I","Schneider,Da",1-0,,,A49,d2d4 g8f6 g1f3 g7g6 g2g3 f8g7 f1g2 e8g8 e1g1 d7d6 a2a4 c7c5 a4a5 b8c6 a5a6 c5d4 f3d4 d8c7 b1c3 f6d7 d4b5 c7d8 c1e3 d7c5 e3c5 d6c5 d1d8 f8d8 a6b7 c8b7 c3a4 a7a6 a4c5 a6b5 c5b7 a8a1 f1a1 d8c8 g2c6 c8c6 a1a8 g7f8 c2c3 e7e6 b7a5 c6b6 a5b3 b5b4 b3d4 b4c3 b2c3 g8g7 a8c8 f8d6 c3c4 b6b1 g1g2 b1c1 h2h4 h7h5 c8c6 d6f8 d4f3 f8e7 c6c7 g7f8 f3e5 c1c2 c7c8 f8g7 g2f3 e7d6 e5d3 e6e5 c4c5 e5e4 f3e4 c2e2 e4f3 e2c2 c8c6 d6e7 c6c7 g7f6 c7c6 f6f5 c6c7 c2c3 f3e2 f5e6 e2d2 c3c4 d3f4 c4f4 g3f4 e7h4 d2e3 f7f6 c7g7 g6g5 c5c6 g5f4 e3f4 h4f2 c6c7
EYCC B12,Halkidiki GRE,2001.08.31,1,"Kavakdere,Ali","Nepomniachtchi,I",0-1,,2243,C05,e2e4 e7e6 d2d4 d7d5 b1d2 g8f6 e4e5 f6d7 f2f4 c7c5 c2c3 b8c6 d2f3 d8b6 g1e2 c5d4 e2d4 d7c5 d1c2 c8d7 c1e3 a8c8 a1d1 c5e4 c2b3 f8c5 b3b6 c5b6 d4c2 c6b4 f3d4 b4c2 d4c2 d7a4 e3b6 a7b6 d1c1 a4c2 c1c2 f7f6 g2g3 f6e5 f4e5 e8e7 f1g2 e4c5 c2d2 h8f8 h1f1 f8f1 g2f1 c8f8 f1h3 f8f3 e1e2 c5e4 e2f3 e4d2 f3f4 h7h6 b2b3 d2b1 c3c4 d5c4 b3c4 b1d2 h3g2 d2c4 g2b7 g7g5 f4e4 c4d2 e4d4 d2f1 d4c4 e7d7 c4b5 d7c7 b7c6 f1h2 c6e8 h2f3 e8f7 h6h5 f7h5 f3e5 h5d1 e5c6 a2a4 c6d4 b5b4 c7d6 g3g4 d6d5 b4c3 d5e4 c3c4 e6e5 c4c3 e4d5 c3b4 d5e4 b4c4 e4e3 c4d5 e5e4 d5e5 e3d3 e5f6 e4e3 f6g5 d4e6 g5f5 d3d2 f5e6 d2d1 g4g5 e3e2 g5g6 e2e1q
EYCC B12,Halkidiki GRE,2001.09.01,2,"Nepomniachtchi,I","Bobula,Mateusz",1-0,2243,,C10,e2e4 e7e6 d2d4 d7d5 b1d2 d5e4 d2e4 b8d7 g1f3 g8f6 f1d3 f8e7 e1g1 e8g8 d1e2 b7b6 c1f4 c8b7 a1d1 f6e4 d3e4 b7e4 e2e4 d7f6 e4e2 d8d5 c2c4 d5b7 d4d5 e6e5 f4e5 f8e8 e2c2 f6d7 e5c3 e7f6 c3f6 d7f6 f1e1 c7c6 d5d6 a8d8 f3e5 c6c5 c2f5 e8e6 d6d7 e6e7 e1e3 h7h6 e3d3 f6h7 d3d6 h7f8 e5c6 d8d7 c6e7 d7e7 f5d5 b7a6 d6d8 a6b7 d5b7 e7b7 d8e8 f7f6 d1d8 b7f7 h2h4 g7g6 g1h2 f6f5 h2g3 g8g7 g3f4
EYCC B12,Halkidiki GRE,2001.09.02,3,"Nigalidze,Gaioz","Nepomniachtchi,I",1/2-1/2,,2243,D87,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 f8g7 f1c4 c7c5 g1e2 b8c6 c1e3 e8g8 e1g1 d8c7 a1c1 f8d8 d1d2 b7b6 f1d1 e7e6 c4d3 c8b7 d2e1 c7e7 d3b1 c6a5 b1d3 a8c8 c1b1 c5d4 c3d4 e7a3 e1b4 a3b4 b1b4 g7f8 b4b1 a5c4 b1b3 c4d6 e2c3 f8g7 g1f1 c8c7 e4e5 d6c8 c3b5 c7d7 e3g5 d8f8 b3c3 h7h6 g5e3 f8d8 a2a4 b7a6 f1e2 c8e7 f2f4 e7d5 c3c4 g7f8 d3e4 a6b7 e2f3 d8c8 c4c8 b7c8 d1c1 c8b7 e3f2 a7a6 b5c7 f8a3 c1c2 a3b4 c7d5 b7d5 c2c8 g8g7 e4d5 d7d5 f2h4 g6g5 f4g5 h6h5 f3e4 b6b5 a4b5 a6b5 c8c7 b4a5 c7c5 b5b4 e4d3 b4b3 c5d5 e6d5 h4f2 g7g6 f2e3 b3b2 d3c2 a5c3 h2h4 g6h7 c2b1 h7g8 b1c2 g8h7
