Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Wch U12,St Lorenzo,1995.??.??,1,"Jianu, Vlad",Ni Hua,0-1,,,B45,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e6 c1g5 f8b4 d4c6 b7c6 f1d3 h7h6 g5d2 d7d5 e4d5 e6d5 e1g1 e8g8 f2f4 f6g4 d1f3 b4c5 g1h1 g4h2 f3h5 h2f1 a1f1 f7f5 f1f3 c8d7 f3g3 c5f2 g3h3 d8e8 h5f3 f2e1 d2e3 e8f7 e3d4 f8e8 c3e2 e8e4 c2c3 f7e7 f3f1 e1h4 b2b4 h4f6 d4c5 e7f7 d3e4 f5e4 h3e3 d7g4 e2d4 f6e5 d4c6 f7f4 c6e7 g8h7 f1f4 e5f4 e7d5 f4e3 d5e3 g4e6 a2a4 a7a5 b4b5 e6b3 c3c4 b3a4 e3d5 a4b3 c5d4 b3c4 d5b6 a8d8 b6c4 d8d4 c4a3 d4b4 h1g1 b4b3 b5b6 b3a3 b6b7 a3b3
Wch U12,St Lorenzo,1995.??.??,2,Ni Hua,"Batsanin, Dmitry",0-1,,,B34,e2e4 c7c5 g1f3 g7g6 d2d4 f8g7 b1c3 c5d4 f3d4 b8c6 c1e3 g8f6 d4c6 b7c6 e4e5 f6g8 e3d4 d8a5 e5e6 g8f6 e6d7 c8d7 f1c4 a8d8 d4f6 g7f6 d1f3 e8g8 e1g1 a5b6 c4b3 h7h5 h2h3 d7f5 a1d1 f6d4 g2g4 h5g4 h3g4 f5c8 f3e4 e7e6 g1g2 c6c5 f2f3 c8b7 e4f4 d4g7 f1h1 d8d1 c3d1 f8d8 d1f2 b6c6 f2e4 d8d4 h1h3 g8f8 c2c3 d4d7 e4f6 d7d8 f6e4 c5c4 h3h7 e6e5 f4g5 c6d7 b3c4 b7e4 f3e4 d7d1 g5e3 d1g4 g2f2 f8g8 h7h1 g7f6 c4e2 g4e6 b2b3 e6d6 f2f1 f6e7 e3h3 e7f6 h1g1 g8f8 h3f3 f8g7 g1g2 d6d2 f3f2 d2c1 f2e1 c1f4 e1f2 f4d2 c3c4 d2c1 f2e1 c1f4 f1g1 f4e3 e1f2 e3e4 e2f1 e4b1 f2e2 d8d1
Wch U12,St Lorenzo,1995.??.??,3,"Wajner, F.",Ni Hua,0-1,,,B28,e2e4 c7c5 g1f3 a7a6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5 d4b3 f8b4 f1d3 d7d5 e4d5 f6d5 c1d2 d5c3 d2c3 b4c3 b2c3 e8g8 e1g1 b8c6 d3e4 d8c7 d1f3 c6e7 f1d1 a8b8 a1b1 c8e6 d1d2 f7f5 e4d5 e7d5 d2d5 e6d5 f3d5 g8h8 b3c5 b8d8 d5c4 b7b5 c4b5 g7g6 h2h3 d8d2 b5f1 f8d8 b1e1 e5e4 e1e3 d2d1 e3e1 c7e5 g1h1 e5d6 g2g3 d1e1 f1e1 d6d2 e1f1 e4e3
Wch U12,St Lorenzo,1995.??.??,4,Ni Hua,"Rodrigues, Camilo",1-0,,,E06,c2c4 g8f6 b1c3 e7e6 g2g3 d7d5 d2d4 f8e7 f1g2 e8g8 c4d5 e6d5 g1f3 c7c6 e1g1 c8f5 f3e5 f6g4 e5g4 f5g4 h2h3 g4h5
Wch U12,St Lorenzo,1995.??.??,5,"Paragua, Mark",Ni Hua,1/2-1/2,2185,,B38,e2e4 c7c5 g1f3 a7a6 c2c4 g7g6 d2d4 c5d4 f3d4 f8g7 b1c3 b8c6 c1e3 g8f6 f1e2 d7d6 e1g1 e8g8 a1c1 h7h5 f2f3 c8d7 d1e1 a8b8 e1f2 c6d4 e3d4 b7b5 f1d1 b5b4 d4f6 g7f6 c3d5 f6b2 c1b1 b2g7 d5b4 d7a4 d1e1 d8a5 a2a3 e7e6 g1h1 f8c8 f2e3 g8h7 e3a7 a4e8 a7a6 a5c7 e1d1 g7f8 b4c2 b8a8 a6b7 e8a4 e2d3 c7b7 b1b7 h7g8 d1b1 d6d5 e4d5 e6d5 c2e3 d5d4 e3d5 a4c6 b1b3 a8a3 h1g1 a3a5 d3e4 c6a4 b3b2 a4c6 b7b4 g8g7 g1f1 f7f5 d5b6 f5e4 b6c8 f8b4 b2b4 a5a2 c8b6 a2c2
Wch U12,St Lorenzo,1995.??.??,6,Ni Hua,"Szymanski, Marcin",1/2-1/2,,2080,C09,e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 e6d5 g1f3 b8c6 d4c5 f8c5 f1b5 g8e7 e1g1 e8g8 d2b3 c5b6 c2c3 c8g4 b5e2 d8c7 f3d4 g4e2 d4e2 a8d8 c1f4 c7c8 a2a4 a7a6 a4a5 b6a7 b3d4 e7g6 f4e3 g6e5 d4c6 e5c6 e3a7 c6a7 e2d4 a7c6 f1e1 f8e8 e1e8 d8e8 d4f3 c8d7 d1d3 e8d8 f3d4 c6d4 d3d4 d7b5 d4d2 h7h6 h2h3 d8d7 b2b4 b5c4 a1d1 d7c7 d2d5 c4c3 d5e4 c3f6 g2g3 f6e7 e4d4
Wch U12,St Lorenzo,1995.??.??,7,"Mastrovasilis, Dimitrios",Ni Hua,0-1,2095,,B26,e2e4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 d2d3 d7d6 c1e3 c6d4 d1d2 d8a5 f2f4 a8b8 g1f3 e7e6 e1g1 g8e7 f3e1 b7b5 c3d1 a5d2 e3d2 c8b7 c2c3 d4c6 d1e3 f7f5 e1f3 h7h6 a1e1 e8f7 g3g4 f5g4 e3g4 b7c8 g4e3 b5b4 e3c4 h8d8 e4e5 d6e5 f3e5 c6e5 f4e5 f7g8 c4d6 c8a6 c3b4 c5b4 f1f3 e7f5 d6f5 g6f5 g2f1 d8d5 f3e3 g8h7 b2b3 b8b6 d2c1 a6b5 a2a4 b4a3 c1a3 b5a6 f1g2 d5d3 e3d3 a6d3 a3c5 b6b3 c5a7 b3b2 a7c5 h7g6 c5d6 h6h5 e1e3 d3e2 e3g3 g6f7 g2f3 e2f3 g3f3 b2e2 f3h3 g7e5 d6e5 e2e5 h3h5 f7g6 h5h3 e5e2 h3a3 g6g5 a3b3 e6e5 b3g3 g5f4 g3g8 f4e4 h2h4 e2a2 h4h5 a2a7 h5h6 a7h7 g8g6 e4f3 g6g5 f3f4 g5g6 e5e4 g1f2 e4e3 f2e2 h7a7 g6e6 a7a2 e2d3 a2d2 d3c3 d2d7 c3c4 f4f3
Wch U12,St Lorenzo,1995.??.??,8,Ni Hua,"Ganguly, Surya Shekhar",1/2-1/2,,2225,C48,e2e4 g8f6 b1c3 e7e5 g1f3 b8c6 f1b5 c6d4 b5a4 d4f3 d1f3 c7c6 d2d3 d7d6 c1g5 f8e7 h2h3 c8e6 a4b3 h7h6 g5f6 e7f6 b3e6 f7e6 f3h5 e8d7 e1g1 d8e8 h5e8 a8e8 c3e2 g7g5 c2c3 f6d8 g2g3 d8b6 g1g2 e8f8 f2f3 f8f7 g2h1 h8f8 a1e1 b6d8 e2c1 d6d5 g3g4 d8b6 h3h4 b6e3 c1b3 b7b6 h4g5 e3g5 h1h2 d5e4 d3e4 c6c5 c3c4 d7c6 e1d1 a7a6 h2g2 b6b5 c4b5 a6b5 a2a3 f8b8 b3a5 c6b6 b2b4 c5b4 a3b4 g5e7 g2h3 e7b4 a5b3 b8e8 g4g5 f7c7 h3g3 c7g7 g3h4 g7c7 h4h5 e8f8 d1b1 f8g8 f1g1 b4e7 g5g6
Wch U12,St Lorenzo,1995.??.??,9,"Sharashenidze, A.",Ni Hua,0-1,,,E32,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 b7b6 c1g5 c7c5 a2a3 b4c3 b2c3 c8b7 e2e3 b8c6 g1f3 h7h6 g5h4 c6a5 f1e2 a8c8 c2a2 b7a6 f3d2 d8c7 h4g3 c7c6 e2f3 c6a4 f3d1 a4c6 d1f3 d7d5 c4d5 f6d5 a1b1 c5d4 d2e4 a6c4
Wch U12,St Lorenzo,1995.??.??,10,Ni Hua,"Bacrot, Etienne",1/2-1/2,,2395,C41,e2e4 d7d6 d2d4 g8f6 b1c3 e7e5 g1f3 b8d7 f1c4 f8e7 e1g1 e8g8 h2h3 c7c6 a2a4 b7b6 d4e5 d6e5 d1e2 d8c7 c1g5 d7c5 f1d1 c5e6 g5e3 c8d7 f3g5 e6g5 e3g5 a8d8 d1d3 h7h6 g5h4 d7c8 a1d1 d8d3 d1d3 f8d8 h4g3 d8d3 e2d3 c7d6
Wch U12,St Lorenzo,1995.??.??,11,"Vinay, B.",Ni Hua,1-0,,,B23,e2e4 c7c5 b1c3 b8c6 f2f4 d7d6 g1f3 g7g6 f1b5 f8g7 e1g1 c8d7 b5c6 b7c6 d2d3 g8h6 d1e1 e8g8 f4f5 h6g4 e1h4 h7h5 h2h3 g4f6 c3e2 g6f5 e2g3 f6e8 g3h5 f7f6 h4g3 f5e4 d3e4 f8f7 g3g6 a8b8 f3g5 f6g5 f1f7 d7e6 f7g7 g8f8 g7h7
Lee Cup,Beijing,1996.??.??,1,Ni Hua,Liang Jinrong,0-1,1605,2425,A00,d2d4
Lee Cup,Beijing,1996.??.??,3,Ni Hua,Xu Yang,0-1,1605,2355,C88,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 a2a4 c8b7 d2d3 d7d6 c2c3 c6a5 b3c2 c7c5 b1d2 a5c6 d2f1 f8e8 d3d4 e7f8 d4d5 c6b8 b2b4 b8d7 a4a5 g7g6 f1g3 f8g7 h2h3 a8c8 c2d3 c5b4 c3b4 b7d5 e4d5 e5e4 d3e4 f6e4 g3e4 e8e4 e1e4 g7a1 c1f4 a1c3 f3d4 d7e5 d1b3 c3d4 e4d4 d8f6 d4e4 f6f5 f2f3 e5c4 b3d3 h7h5 f4h2 g8h7 d3d4 g6g5 g2g4 f5g6 h2g3 h5h4 g3f2 c4e5 g1g2 g6f6 d4d1 e5g6 f2d4 g6f4 g2h2 f6d8 d4e3 f4g6 d1d2 d8f6 h2g2 c8c3 d2b2 g6e5 f3f4 e5d3 f4g5 f6g6
Lee Cup,Beijing,1996.??.??,4,Wang Yaoyao,Ni Hua,1-0,2410,1605,E10,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 g1f3 e7e6 c1g5 e6d5 c4d5 h7h6 g5f6 d8f6 d1c2 f6b6 e2e4 d7d6 a2a4 b5a4 b1c3 f8e7 f1b5 c8d7 c2a4 d7b5 a4b5 b6b5 c3b5 e8d7 e1g1 a7a6 e4e5 h8c8 f1e1 c5c4 e5d6 e7d6 f3e5 d6e5 e1e5 a6b5 a1a8 d7d6 f2f4 b5b4 g1f2 c4c3 b2c3 b4c3 e5e1 d6d5 e1d1 d5c4 d1b1 c3c2 b1b8 c8b8 a8b8 c4d3 b8c8 d3d2 g2g4 c2c1q c8c1 d2c1 f2e3 c1d1 h2h4 d1e1 f4f5 e1f1 g4g5 h6g5 f5f6 g7g6 h4g5 f1g2 e3f4 g2h3 f4e5 h3g4 e5d6 g4g5 d6e7
Lee Cup,Beijing,1996.??.??,5,Ni Hua,Wang Lei,1/2-1/2,1605,2340,B66,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 c1g5 e7e6 d1d2 a7a6 e1c1 h7h6 g5e3 f8e7 f2f4 c6d4 e3d4 b7b5 f1d3 c8b7 a2a3 e8g8 d2e2 f6d7 e4e5 d8c7 h1f1 d6e5 f4e5 a8d8 c1b1 e7c5 d4c5 d7c5 e2e3 c5d3 c2d3 c7e7 f1f4 f7f5 e5f6 f8f6 f4g4 e7d6 h2h3 d8f8 d3d4 b7d5 c3e4 d5e4 e3e4 d6d5 e4d5 e6d5 d1c1 f6f1 g4g6 f1f6 c1c6 g8h7 g6f6 f8f6 c6f6 g7f6 b1c2 h7g6 c2d3 g6g5 d3e3 a6a5 e3f3 a5a4 f3e3 g5f5 e3f3 f5g5 f3g3 g5f5 g3f3
Lee Cup,Beijing,1996.??.??,6,Ni Hua,Li Zunian,0-1,1605,2400,B33,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 d4b5 d7d6 c1f4 e6e5 f4g5 a7a6 b5a3 b7b5 c3d5 f8e7 g5f6 e7f6 f1d3 e8g8 h2h4 c8e6 c2c3 f8e8 d5e3 b5b4 a3c4 b4c3 b2c3 c6a5 d1a4 a5c4 d3c4 f6h4 c4d5 a8c8 d5c6 d8b6 h1h4 b6c6 a4c6 c8c6 e1d2 e8b8 e3d1 h7h6 f2f4 e5f4 h4f4 c6c4 d2d3 d6d5 d1e3 c4a4 a1f1 g7g5
