Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
DEN-chB,?,1988.??.??,1,"Mortensen, Steen Juul","Nielsen, Peter Heine",1-0,,2260,B00,e2e4 b8c6 d2d4 e7e5 d4d5 c6e7 g1f3 d7d6 f1d3 e7g6 c1e3 f8e7 b1c3 g6f4 d3b5 e8f8 b5f1 g7g5 d1d2 a7a6 g2g3 c8g4 f3g5 e7g5 g3f4 e5f4 e3f4 g5f6 f1e2 g4e2 d2e2 f6c3 b2c3 d8f6 e2e3 a8e8 e1c1 h7h6 h1e1 h8h7 e4e5 f6f5 e3e4 f5e4 e1e4 g8f6 e4c4 d6e5 f4g3 c7c6 d5c6 b7c6 c4c6 f6e4 d1d7 h6h5 g3h4 h7g7 f2f3 e4g5 c6f6 g5e6 f6h6 g7g1 d7d1 g1d1 c1d1 f8g7 h6f6 e8c8 f6f5 c8c3 h4f6 g7g6 f6e5 c3c5 f5f6 g6g5 e5b2 c5b5 b2c3 b5c5 c3a1 c5c7 d1c1 c7d7 a1e5 d7d5 f3f4 e6f4 h2h4 g5h4 f6f4 h4g5 e5b8 f7f5 f4f2 h5h4 c2c4 d5d8 f2g2 g5h5 b8f4 h4h3 g2g5 h5h4 g5f5 h4g4 f5f7 d8d4 f4c7 d4c4 c1b2 c4b4 b2c3 b4b7 f7f4 g4g5 f4c4 g5f5 a2a4 f5e6 c7h2 e6d5 c4h4 b7f7 h4h3 d5c6 c3b4 c6b7 h3h5 f7g7 b4a5 g7d7 h2g1 d7g7 g1c5 g7c7 h5e5 c7c6 c5e3 c6c7 e5e6 c7f7 e6b6 b7a8 b6a6 a8b8 e3c5 f7h7 a6g6 b8b7 a5b5 h7h8 g6g7 b7b8 c5d6 b8a8 b5a6
DEN-chB,?,1988.??.??,2,"Nielsen, Peter Heine","Ejsing, Esben",1-0,2260,,A05,g2g3 g8f6 f1g2 g7g6 b2b4 f8g7 c1b2 e8g8 g1f3 d7d6 e1g1 e7e5 d2d3 b8c6 b4b5 c6e7 c2c4 f6h5 d1b3 h7h6 b1c3 c8e6 f3d2 a8b8 a2a4 d8d7 b2a3 f7f5 a1c1 f5f4 a4a5 e7f5 d2e4 f5d4 b3d1 e6h3 c4c5 h3g2 g1g2 f4f3 e2f3 f8f3 c5d6 d7h3 g2h3 h5f4 h3h4 g6g5 h4g4 h6h5 g4g5 d4e6 g5h4 f4g6 h4h5 g6f4 h5g4
DEN-chB,?,1988.??.??,4,"Pedersen, S.","Nielsen, Peter Heine",1/2-1/2,,2260,B06,e2e4 g7g6 b1c3 f8g7 g2g3 b8c6 f1g2 d7d6 d2d3 e7e5 c1e3 c6d4 c3e2 c7c5 c2c3 d4e2 g1e2 g8f6 h2h3 e8g8 e1g1 c8e6 f2f4 a8c8 d1d2 d8d7 g1h2 f6e8 d3d4 c5d4 c3d4 e5f4 e2f4 e6c4 f1f2 e8f6 e4e5 f6e8 b2b3
DEN-chB,?,1988.??.??,5,"Nielsen, Peter Heine","Jacobsen, Bo",0-1,2260,2280,A01,b2b3 e7e5 c1b2 b8c6 e2e3 d7d6 f1b5 c8d7 g1f3 a7a6 b5e2 g7g5 d2d4 g5g4 f3d2 d8g5 e1g1 g8e7 d4d5 c6d8 f2f4 g4f3 f1f3 h8g8 d1f1 f7f5 c2c4 e7g6 b1c3 f8e7 b3b4 h7h5 g1h1 h5h4 a2a4 d8f7 c4c5 g8f8 b2a3 e5e4 f3h3 f7e5 d2c4 e5c4 e2c4 f5f4 c3e4 g5e5 h3f3 h4h3 g2h3 g6h4 c5d6 c7d6 e4d2 h4f3 d2f3 e5e3 a3b2 e3e4 a1e1 e4h7 f1e2 f8g8 b2f6 e8c8 f6e7 d8e8 c4d3 h7h3 e2c2 c8b8 e7d6 b8a8 e1e8 g8e8 f3g1 h3h5
DEN-chB,?,1988.??.??,6,"Sorensen, Henrik","Nielsen, Peter Heine",1-0,2265,2260,B07,d2d4 g7g6 e2e4 f8g7 c2c3 d7d6 g1f3 g8f6 f1d3 e8g8 e1g1 b8c6 b1d2 e7e5 d4e5 d6e5 d1c2 f6h5 f1e1 h5f4 d3f1 g6g5 d2c4 g5g4 f3d2 d8h4 c4e3 f8d8 b2b4 d8d6 f1c4 c6e7 d2f1 h4g5 g1h1 g5g6 c1a3 b7b5 c4b5 c8b7 f1g3 g7f8 a1d1 h7h5 f2f3 h5h4 g3f5 d6d1 e1d1 e7f5 e3f5 h4h3 b5f1 a7a5 a3c1 a5b4 c3b4 b7a6 c1f4 a6f1 d1f1 e5f4 g2h3 g6e6 f1g1 a8a2 c2c7 e6b6 c7f4 f8b4 f4g4 g8f8 g4g8
DEN-chB,?,1988.??.??,7,"Nielsen, Peter Heine","Hvenekilde, Jorgen",0-1,2260,2320,A01,b2b3 g8h6 c1b2 f7f6 d2d4 d7d5 d1d3 b8c6 b1c3 c8f5 d3b5 e7e6 e1c1 a7a6 b5b7 c6a5 b7a8 d8a8 f2f3 f8d6 e2e4 f5g6 h2h4 e8g8 h4h5 g6f7 g2g4 a5c6 g1h3 a6a5 c1b1 d5e4 c3e4 a5a4 g4g5 a4b3 a2b3 f6g5 e4d6 c7d6 h3g5 c6b4 d4d5 f8c8 c2c4 a8a2
Hamburg-chIJ,Hamburg,1989.??.??,?,"Nielsen, Peter Heine","Van Gisbergen, Stan",1-0,2235,,C89,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 c2c3 d7d5 e4d5 f6d5 f3e5 c6e5 e1e5 c7c6 d2d4 e7d6 e5e1 d8h4 g2g3 h4h3 c1e3 c8g4 d1d3 a8e8 b1d2 f7f5 f2f4 g8h8 b3d5 c6d5 d3f1 h3h5 a2a4 b5a4 a1a4 g7g5 f4g5 e8e3 e1e3 f5f4 g3f4 d6f4 e3g3 h5e8 g3g4 f4e3 g1g2 f8f1 d2f1 e8a4 f1e3 a4b5 g2f3 b5b2 e3d5 h8g7 h2h4 b2b1 d5e3 b1c1 d4d5 c1c3 d5d6 g7g6 g4e4 c3c6 e3c4 g6f5 c4e3 f5g6 e3c4 g6g7 f3e3 g7f8 e4d4 c6d7 c4e5 d7h3 e3e4 h3g2 e4f5 g2c2 f5e6 c2b3 e6f6 b3b6 e5d7
Hamburg-chIJ,Hamburg,1989.??.??,?,"Nielsen, Peter Heine","Lorenz, Robin",0-1,2235,,A34,c2c4 c7c5 g1f3 g8f6 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 d2c3 d8d1 e1d1 b8c6 c1e3 e7e6 d1c2 c8d7 f1b5 f8e7 h1d1 e8c8 a2a4 f7f6 f3d2 c6a5 d1b1 a7a6 b5e2 c8b8 b2b4 c5b4 e3b6 b4c3 b6a5 c3d2 a5d8 h8d8 e2a6 d2d1q b1d1 b7a6 f2f3 e6e5 d1d3 e7c5 a1b1 b8a7 c2d2 c5d4 d3b3 d7a4 b3b7 a7a8 b7g7 a4b5 d2e1 d8d7 g7g8 a8a7 g8f8 d7b7 f8f6 a6a5 f6d6 a5a4 g2g4 d4c3 e1f2 a4a3 b1b3 c3b2 d6d5 a7a6 b3a3 b2a3 d5e5 b7c7 e5e6 c7c6 e6c6 b5c6 h2h4 a3d6 f2e3 a6b6 g4g5 c6e8 f3f4 d6c5 e3f3 e8h5 f3g3 b6c6 f4f5 c5d6 g3f2 d6f4
Hamburg-chIJ,Hamburg,1989.??.??,?,"Nielsen, Peter Heine","Geisler, Fabian",1/2-1/2,2235,,A89,c2c4 f7f5 g2g3 g8f6 f1g2 g7g6 g1f3 f8g7 e1g1 e8g8 b1c3 d7d6 d2d4 b8c6 d4d5 c6e5 f3e5 d6e5 e2e4 f5f4 b2b4 g6g5 f1e1 h7h5 a2a4 a7a6 b4b5 d8e8 b5a6 b7a6 d1b3 e8f7 a1a2 h5h4 g3f4 g5f4 c3d1 g7h6 h2h3 f7g6 f2f3 c8h3 g1h1 h3c8 e1g1 f6h5 g2h3 h5g3 h1h2 c8h3 h2h3 a8b8 b3c3 g6b6 c4c5 b6b3 a2b2 b3c3 d1c3 h6g5 g1g2 g8f7 c5c6 g5f6
Hamburg-chIJ,Hamburg,1989.??.??,?,"Nielsen, Peter Heine","De Jong, Migchiel",1/2-1/2,2235,,C19,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4c3 b2c3 g8e7 g1f3 d8a5 c1d2 b8c6 a3a4 c8d7 f1b5 f7f6 e1g1
