Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
JUG-24ch,Novi Travnik,1969.??.??,1,"Bertok, Mario","Nikolic, Predrag",1/2-1/2,,,A96,d2d4 f7f5 g1f3 g8f6 g2g3 e7e6 f1g2 f8e7 c2c4 d7d6 b1c3 e8g8 e1g1 c7c6 d1c2 f6h5 e2e4 f5f4 g3g4 h5f6 h2h3 f6d7 e4e5 d6d5 b2b3 b8a6 a2a3 d8e8 f1e1 g7g5 g2f1 a6c7 f1d3 g8g7 g1g2 h7h5 c1d2 f8h8 e1h1 d7f8 c4c5 c8d7 b3b4 e8f7 a3a4 f7g8 b4b5 d7e8 a1g1 e8g6 g2f1 g8h7 f1e2 g6d3 c2d3 h7d3 e2d3 f8g6 d3e2 g7f7 g1b1 c6b5 a4b5 b7b6 h1c1 h5g4 h3g4 b6c5 d4c5 h8h3 b5b6 c7a6 c3b5 h3f3 e2f3 g6e5 f3e2 a7b6 c5b6 a8b8 b5c7 a6c5 f2f3 e5c4 c1h1 e7f6 d2b4 c5a4 h1h7 f7g8 h7h6 g8f7
JUG-24ch,Novi Travnik,1969.??.??,3,"Nikolic, Predrag","Matanovic, Aleksandar",0-1,,,C55,e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 d2d3 f8e7 b1c3 d7d6 a2a3 e8g8 e1g1 f6d7 c3d5 d7b6 d5e7 d8e7 c1g5 e7e8 c4a2 c8e6 f3h4 e6a2 a1a2 f7f6 g5e3 g8h8 d1g4 e8d7 g4g3 d6d5 a2a1 a8d8 a1e1 d5e4 d3e4 b6c4 e3c5 f8e8 g3c3 c4b6 e1e3 d7e6 b2b3 b6d7 c5b4 b7b6 c3b2 a7a5 b4c3 d7c5 h4f5 d8d7 f5g3 h8g8 b2b1 e8d8 h2h3 c6d4 f1c1 e6c6 c3e1 a5a4 b3b4 c5e6 b1a2 g8h8 g1h2 e6f4 a2b2 c6c4 e3c3 c4e6 c3e3 e6c4 e3c3 c4e6 c3f3 e6c6 e1c3 d4b5 c3e1 b5d6 f3c3 c6b7 f2f3 b6b5 b2a2 d6c4 c3c4 b5c4 a2c4 b7b6 g3f5 g7g6 f5g3 b6e3 c1b1 f4g2 c4c3 e3c3 e1c3 g2e3 f3f4 d7d1 b1d1 e3d1 c3a1 d8d2 h2g1 d1e3
JUG-24ch,Novi Travnik,1969.??.??,4,"Nicevski, Risto","Nikolic, Predrag",1-0,,,B00,e2e4 b8c6 g1f3 d7d6 d2d4 g8f6 b1c3 c8g4 c1e3 e7e5 d4d5 c6b8 h2h3 g4h5 f1e2 f8e7 f3d2 h5g6 e2f3 c7c6 g2g4 h7h5 g4g5 f6d7 h1g1 d7b6 a2a4 a7a5 f3e2 b8a6 d2c4 b6c4 e2c4 a6b4 h3h4 a8c8 f2f3 e8g8 c4b3 d8c7 c3a2 b4a6 a2c3 c7b8 d1e2 b8a8 b3c4 a6b4 c4b3 f8e8 c3a2 b4a6 b3c4 c8b8 d5c6 a6c7 e3b6 e7d8 b6c7 d8c7 c6b7 a8b7 c4b3 c7b6 g1f1 b6d4 a2c3 b7b4 e2d2 b4c5 c3d5 d4b2 a1b1 c5a3 d2d3 g8h7 e1e2 e8c8 f1d1 b2d4 f3f4 e5f4 d3d4 c8e8 b1a1 a3c5 d4c5 d6c5 d5c3 g6e4 b3f7 e4c2 f7e8 b8e8 e2f2 c2d1 a1d1 e8e3 c3d5 e3h3 g5g6 h7h6 d5e7 h3h2 f2f3
JUG-24ch,Novi Travnik,1969.??.??,6,"Ivanovic, Bozidar","Nikolic, Predrag",1-0,,,B48,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 b1c3 d8c7 c1e3 a7a6 f1d3 g8e7 d4b5 a6b5 c3b5 c7b8 e3b6 e7d5 e4d5 b8e5 e1f1 a8a5 b6c7 e5b2 a1b1 b2f6 d5c6 a5a2 c6d7 c8d7 c7b6 f8e7 d3c4 d7b5 c4b5 e8f8 h2h4 h7h5 h1h3 g7g6 b6d4 e6e5 d4c3 f6f5 b5c4 a2c2 h3f3 c2c3 f3f5 g6f5 d1d5 h8h7 b1b7
JUG-24ch,Novi Travnik,1969.??.??,7,"Nikolic, Predrag","Rakic, Tomislav",1/2-1/2,,,B06,e2e4 g7g6 d2d4 f8g7 c2c3 d7d5 e4e5 c7c5 b1d2 b8c6 d2b3 c5d4 c3d4 d8b6 f2f4 g8h6 f1e2 h6f5 g1f3 h7h5 d1d3 e8g8 c1d2 a7a6 e1g1 b6a7 a1c1 c6d8 a2a4 d8e6 g2g3 c8d7 c1a1 a8c8 d2c3 g7h6 d3d2 a7b6 b3c1 h5h4 g1g2 h4g3 c1d3 g3h2 f1h1 e6d4 f3d4 f5d4 d2e3 c8c4 h1h2 h6g7 d3f2 c4c3 b2c3 b6b2 c3d4 b2a1 e2g4 d7a4 f4f5 a4c2 e3h3 f8e8 e5e6 a1d4 e6f7 g8f7 f5g6 c2g6 g4e6 f7f6 e6d7 e8h8 h3f3 f6e5 f3g3 d4f4 f2g4 e5e4 g3e1 e4d3 e1b1 d3c3 b1g6 f4d2 g2f3 h8f8 d7f5 d2d3 g4e3 d3e4 f3e2 e4e5 h2h1 d5d4 h1c1 c3b4 g6b6 e5b5 f5d3 b5b6 e3d5 b4a3 c1a1 a3b2 a1b1 b2a3 b1b6 f8d8 d3c4 d4d3 e2d2 d8d6 b6b7 e7e6 d5c7 g7h6
JUG-24ch,Novi Travnik,1969.??.??,8,"Ostojic, Predrag","Nikolic, Predrag",1-0,,,C95,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c6b8 d2d4 b8d7 c1g5 c8b7 b1d2 f8e8 a2a4 h7h6 d4e5 d6e5 g5h4 g7g5 h4g5 h6g5 f3g5 e8f8 e1e3 d8e8 d1f3 d7c5 f3g3 f6h5 g3h4 c5e6 h4h5 e6g5 e3g3 g8g7 d2f3 f7f6 h5e8 f8e8 h3h4 b7e4 h4g5 f6f5 a1e1 e7d6 f3h4 e8h8 g3h3 a8f8 a4b5 a6b5 b3e6 d6c5 e1d1 c5d6 f2f3 e4c2 d1d2 c2b1 d2d1 b1c2 d1d2 c2b1 d2d1 b1c2 d1d2 c2b1 d2d1 b1c2 d1d5 f5f4 d5b5 f8b8 b5b8 d6c5 g1f1 h8b8 b2b4 c5f8 f1e2 c7c5 h3h1 c5b4 c3b4 b8b4 e2d2 c2a4 h1c1 b4b2 d2d3 e5e4 d3e4 b2e2 e4f5 f8d6 e6c8 e2e3 f5g4 g7f7 c8f5 e3e5 c1c8 e5e2 c8a8 a4b5 a8a7 f7e8 g5g6 e8f8 g6g7 f8g8 f5e4 b5c4 g4h5 d6b8 a7b7 b8e5 h5h6 e2e4 f3e4 f4f3 h4f3 e5f4 h6g6 c4d3 f3g5 d3c4 g5h7
JUG-24ch,Novi Travnik,1969.??.??,9,"Nikolic, Predrag","Deze, Anton",1/2-1/2,,,B38,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g7g6 c2c4 f8g7 c1e3 d7d6 b1c3 g8f6 f1e2 e8g8 h2h3 c8d7 e1g1 c6d4 e3d4 d7c6 d1d3 f6d7 d4g7 g8g7 b2b4 g7g8 d3e3 b7b6 f2f4 a7a5 b4b5 c6b7 a1d1 d8c7 g1h2 a8d8 h3h4 c7c5 e3d3 f7f5 e4f5 g6f5 e2f3 b7f3 g2f3 f8f7 f1g1 g8f8 g1g5 d8c8 d1g1 d7f6 c3d5 c5c4 d3f5 c4c2 f5c2 c8c2 h2h3 f8e8 d5b6 e8d8 g1b1 d8c7 b6a4 d6d5 b5b6 c7b7 b1b5 f7f8 b5a5 f8a8 a4c5 b7b8 c5d7 b8b7 a5a8 b7a8 d7f6 e7f6 g5d5 a8b7 d5f5 b7b6 f5f6 b6c7 a2a4 c2a2 f6a6 h7h5 f4f5 c7d7 h3g3 d7e7 g3f4 a2a3 f5f6 e7f7 f4e4 f7g6 f3f4 a3h3 f4f5 g6f7 e4e5 h3h4 a6a7 f7f8 f6f7 h4b4 a4a5 h5h4 e5f6 b4b8 a5a6 b8b6 f6g5 h4h3 a7a8 f8f7 a6a7 b6a6 a8h8 h3h2 h8h2 f7g8 h2b2 a6a7 g5g6 a7g7 g6f6 g7f7 f6g5 f7g7 g5f4 g7a7 b2b6 g8f8 f4g5 a7g7 g5f4 g7a7 b6h6 a7b7 f4g5 b7g7 h6g6 g7a7 g6f6 f8g8 f6h6 a7b7 h6d6 g8f8 g5h6 f8f7 h6g5 f7f8 d6d8 f8f7 d8h8 f7g7 h8e8 g7f7 e8h8 f7g7 h8d8 b7a7 d8d4 a7b7 d4d6 g7f8 g5g6 b7g7 g6h6 g7g1 d6f6 f8e7 f6a6 e7f7
JUG-24ch+,Novi Travnik,1969.??.??,10,"Ciric, Dragoljub M","Nikolic, Predrag",0-1,,,B06,e2e4 g7g6 d2d4 f8g7 g1f3 d7d6 b1c3 c8g4 f1c4 e7e6 c1e3 c7c6 h2h3 g4f3 d1f3 d6d5 e4d5 c6d5 c3d5 b8c6 f3e4 a8c8 e1c1 b7b5 c4b3 a7a5 a2a3 a5a4 b3a2 g8f6 d5f6 d8f6 a2d5 c6a5 d5b7 c8c4 b7a6 e8g8 a6b5 f8b8 b5c4 a5c4 e4c6 c4b2 c6c7 b8b5 c7c8 g7f8 e3h6 f6e7 c8f8 e7f8 h6f8 b2d1 f8b4 d1f2 h1e1 b5g5 e1e2 g5g2 e2e3 g2h2 b4d6 h2h3 e3h3 f2h3 c1d2 f7f5 d2c3 g8f7 c3b4 f5f4 c2c4 g6g5 b4b5 f4f3 d6g3 f3f2 g3f2 h3f2 c4c5 g5g4 c5c6 f2e4 c6c7 e4d6 b5c6 f7e7
JUG-24ch,Novi Travnik,1969.??.??,11,"Nikolic, Predrag","Planinc, Albin",1-0,,,B01,e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 d2d4 g8f6 c1d2 a5b6 g1f3 c8g4 f1e2 g4f3 e2f3 b8c6 c3e2 e8c8 c2c3 e7e5 f3c6 b6c6 e1g1 f8d6 d1c2 e5d4 c2f5 c6d7 f5d7 d8d7 e2d4 d6c5 d4f3 f6e4 d2f4 d7d8 a1e1 f7f5 f3g5 e4g5 f4g5 d8f8 g5f4 h7h6 h2h4 g7g5 h4g5 h6g5 f4g5 c5d6 e1e6 h8h7 f1e1 c8d7 e6h6 h7g7 f2f4 a7a5 g1f2 d7c6 e1e6 c6d5 f2f3 d5c4 e6f6 g7f7 f6f7 f8f7 g2g4 f5g4 f3g4 a5a4 h6h3 f7f8 h3e3 b7b5 f4f5 d6c5 e3e4 c4d5 e4e2 d5c4 f5f6 a4a3 b2b4 c5d6 e2e3 c7c5 b4c5 d6c5 e3f3 f8d8 f6f7 d8d3 f3f6 d3d7 f6f3 c5f8 g4h5 d7d3 f3f6 c4c3 f6h6 d3d5 h5g6 c3c4 h6h8 f8b4 h8e8 d5d6 g5f6 d6d7 e8e4
JUG-24ch,Novi Travnik,1969.??.??,12,"Parma, Bruno","Nikolic, Predrag",1/2-1/2,,,C62,e2e4 e7e5 g1f3 d7d6 d2d4 e5d4 d1d4 b8c6 f1b5 c8d7 b5c6 d7c6 b1c3 g8f6 c1g5 f8e7 e1c1 e8g8 h1e1 f8e8 c1b1 a7a5 e4e5 d6e5 d4c4 f6d7 f3e5 d7e5 e1e5 e7g5 d1d8 a8d8 e5e8 d8e8 a2a4 h7h6 f2f4 e8e1 b1a2 g5e7 g2g3 e7d6 c4d3 g7g5 d3d2 e1g1 f4g5 g1g2 d2d4 g2h2 c3e4 c6e4 d4e4 b7b6 g5g6 h2f2 g6f7 f2f7 e4g6 f7g7 g6e6 g8h7 g3g4 g7e7 e6d5 e7g7 d5f5 h7g8 c2c3 g7g5 f5d7 g5e5 a2b3 e5e7 d7f5 g8g7 b3c4 e7e5 f5f3 g7g6
JUG-24ch,Novi Travnik,1969.??.??,13,"Nikolic, Predrag","Cvetkovic, Srdjan",0-1,,,B40,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 f1d3 b8c6 d4f3 d8c7 e1g1 a7a6 f1e1 d7d6 b1c3 f8e7 h2h3 e8g8 c1f4 f6d7 f4g3 b7b5 f3h2 c8b7 f2f4 c6b4 d1e2 b4d3 c2d3 b5b4 c3d1 d6d5 e4e5 a8c8 d1e3 d5d4 e3c4 d7b6 b2b3 b6c4 b3c4 a6a5 h2f3 f8d8 f3d2 a5a4 a1b1 b7c6 e1f1 g7g6 e2f2 c7a5 g1h2 c8b8 f2e2 b4b3 a2b3 e7b4 d2e4 c6e4 e2e4 a4a3 f1f2 b4c3 f2a2 c3b2 g3e1 a5c5 b3b4 b8b4 e1b4 c5b4 e4f3 b4b8 f3e2 g8f8 b1d1 f8e7 h3h4 e7d7 d1b1 d7c6 h2g1 b8b3 e2d1 d8b8 d1b3 b8b3 a2a3 b3a3 b1b2 a3d3 b2b8 d3c3 g1f2 c3c4 f2f3 c4c3 f3e4 c3g3 e4d4 c6d7 b8b2 g3g4 d4e3 g4h4 e3f3 d7e7 b2b8 h4h2 g2g4 h7h5 b8b7 e7f8 b7b8 f8g7 g4g5 h2h3 f3g2 h3c3 b8b4 g7f8 b4b8 f8e7 b8b7 e7e8 b7a7 c3d3 g2f2 d3d7 a7a8 e8e7 a8a6 e7d8 f2e3 d7b7 a6d6 d8c8 d6a6 b7d7 a6a2 c8b8 a2a6 b8b7 a6a3 b7c6 a3c3 c6b5 c3c1 d7a7 c1b1 b5c4 b1c1 c4b3 c1c8 b3b2 e3d2 a7b7 c8c2 b2a3 c2c8 h5h4 c8a8 a3b4 a8h8 b4c4 d2e3 c4d5 h8d8 d5c6 d8h8 h4h3 e3f3 b7b2 h8c8 c6d5 c8d8 d5c4 d8d1 h3h2 d1c1 c4d3 c1d1 b2d2 d1a1 d3d4 a1a4 d4c3 a4a1 d2d3 f3g2 c3d4 a1a7 d3d2 g2h1 d4e4 a7f7 d2f2 f7f8 e4f3 f8a8 f3g4 a8a4 f2f4 a4a6 g4f5 h1h2 f4g4 a6a1 f5g5 h2h3 g4e4 a1g1 g5f5 g1f1 f5g5 f1f3 e4e5 h3g3 e5e4 f3a3 e6e5 g3f3 e4f4 f3e3 g5f5 a3a1 g6g5 a1h1 e5e4 e3e2 f4f3 h1h8 f5f4 h8f8 f4g3 f8e8 e4e3 e8g8 g5g4 g8g7 g3h3 g7g8 f3f7 g8h8 h3g2 h8g8 g4g3 g8h8 g2g1 h8h3 g3g2 h3h8 f7f2 e2e1 e3e2 h8g8 f2f1 e1e2 f1f7 g8c8 f7h7
JUG-24ch,Novi Travnik,1969.??.??,14,"Marangunic, Srdjan","Nikolic, Predrag",1-0,,,A99,g1f3 f7f5 g2g3 g8f6 d2d4 d7d6 f1g2 e7e6 e1g1 f8e7 c2c4 e8g8 b1c3 c7c6 b2b3 d8e8 c1b2 f6h5 e2e4 f5f4 e4e5 f4g3 f2g3 d6d5 d1e2 g7g6 b2c1 d5c4 b3c4 e8d8 c1e3 h5g7 g3g4 b8d7 c3e4 c6c5 d4d5 e6d5 c4d5 f8f3 g2f3 d7e5 e3c5 e7c5 e4c5 d8g5 c5e4 g5d8 a1e1 c8d7 g1h1 a8c8 e4d6 e5f3 e2f3 h7h5 f3f7
JUG-24ch,Novi Travnik,1969.??.??,15,"Nikolic, Predrag","Stupica, Janesz",0-1,,,C93,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 h7h6 d2d4 f8e8 b1d2 e7f8 d2f1 c8b7 f1g3 c6a5 b3c2 a5c4 b2b3 c4b6 c1b2 c7c5 d4e5 d6e5 d1e2 c5c4 f3d2 d8c7 g3f5 a6a5 e2f3 a8d8 d2f1 c7c6 b2c1 f6d7 f1g3 d7c5 c1e3 b7c8 e1d1 d8d1 a1d1 c4b3 a2b3 a5a4 b3b4 c5e6 f3g4 e6f4 e3f4 e5f4 g3h5 g7g6 d1d3 g8h8 h5f4 b6c4 f5d4 c6e4 g4f3 e4f3 g2f3 f8d6 f4d5 c4a3 d5e3 d6f4 g1g2 a3c2 d4c2 h8g7 d3d4 g6g5 d4d1 c8b7 c2d4 e8e5 e3f5 g7g6 f5d6 b7a6 d6e4 a6c8 e4c5 g6h5 d4b5 h5h4 b5d4 c8h3 g2g1 a4a3 c5d3 e5e8 d1a1 e8a8 a1a2 h3d7 b4b5 f4d6 d3b4 a8a4 b4d5 a4d4 c3d4 d7e6 a2a3 d6a3 d5e3 h4h5 b5b6 e6c8 e3c4 a3b4 c4e5 c8b7 e5f7 b7f3 f7e5 f3d5 e5d7 h5g6 d7e5 g6f5 g1f1 b4d6 e5d7 d5c6
JUG-24ch,Novi Travnik,1969.??.??,16,"Bukic, Enver","Nikolic, Predrag",1-0,,,A42,d2d4 g7g6 c2c4 f8g7 b1c3 d7d6 g1f3 b8d7 e2e4 e7e5 f1e2 g8e7 c1e3 e5d4 f3d4 d7c5 e1g1 a7a5 d1d2 e8g8 a1d1 c8d7 f1e1 d8c8 e2f1 f8e8 f2f3 d7e6 e3h6 g7h8 h6g5 e7c6 d4c2 c6e5 c2e3 f7f6 g5h4 h8g7 e3d5 e5d7 c3b5 e6d5 e4d5 g6g5 h4g3 d7e5 f3f4 g5f4 d2f4 e8f8 g3f2 b7b6 f2c5 d6c5 f1d3 e5d3 d1d3 f6f5 e1f1 g7b2 f4g5 b2g7 d3e3 g8h8 e3e6 f8f7 f1f5 c8g8 f5f7 g7d4 b5d4 g8g5 d4f3 g5c1 e6e1 c1c4 h2h4 h7h6 e1e7 c4c2 h4h5 c2c3 g1h2 h8g8 f7f4 a8d8 f3h4 d8d5 e7e8 g8g7 h4f5 g7f6 f5d6 f6g5 f4f5
JUG-24ch,Novi Travnik,1969.??.??,17,"Nikolic, Predrag","Messing, Hrvoje",0-1,,,C64,e2e4 e7e5 g1f3 b8c6 f1b5 f8c5 e1g1 d8f6 c2c3 g8e7 f1e1 h7h6 d2d4 c5b6 b1a3 e8g8 a3c4 d7d6 d4d5 c6b8 a2a4 b6f2 g1f2 a7a6 c1d2 a6b5 a4b5 a8a1 d1a1 b8d7 a1d1 b7b6 f2g1 f6g6 f3h4 g6h7 g2g4 d7f6 h4f5 e7f5 g4f5 g7g6 d1c1 g8h8 d2h6 f8g8 h6g5 g6f5 g1h1 f6g4 e1e2 f5f4 g5f4 h7e4 h1g1 g4f2 f4g3 f2h3
JUG-24ch,Novi Travnik,1969.??.??,18,"Masic, Ljubomir","Nikolic, Predrag",1/2-1/2,,,A53,g1f3 g8f6 c2c4 d7d6 d2d4 c8g4 b1c3 b8d7 f3d2 e7e5 d4d5 f8e7 h2h3 g4h5 g2g3 d7c5 d1c2 h5g6 e2e4 e8g8 b2b4 c5a6 a2a3 c7c6 c1b2 a6c7 c2b3 c6d5 c4d5 a8c8 f1g2 d8d7 h3h4 f6h5 a3a4 f7f5 g2h3 c7e8 c3d1 d7d8 d1e3 f5e4 h3c8 d8c8 b3c4 c8d7 c4b5 d7c8 a1c1 e8c7 b5a5 e7d8 a5a7 h5f6 b4b5 f6g4 h1f1 g6h5 d2e4 g4h2 g3g4 h2f3 e1d1 h5g4 e4d6 f3d4 d1e1 d4f3 e1d1 f3h2 d1e1 h2f3
JUG-24ch,Novi Travnik,1969.??.??,19,"Nikolic, Predrag","Minic, Dragoljub",1/2-1/2,,,B70,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 a2a4 g7g6 f1e2 f8g7 e1g1 b7b6 f2f4 c8b7 e2f3 e7e5 d4e2 d8c7 e2g3 e8g8 f4f5 b8c6 c1g5 c6d4 d1d2 b6b5 f1f2 a8c8 a4b5 a6b5 g5f6 g7f6 a1a7
