Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Wch U20,Mamaia,1991.??.??,?,"Nisipeanu, Liviu Dieter","Cela, Altin",1-0,,,C90,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 h2h3 c6a5 d2d4 e5d4 e4e5 d6e5 f3e5 e8g8 c1d2 b5b4 d2g5 c8b7 g5f6 e7f6 e5f7 f8f7 b3f7 g8f7 d1h5 f7g8 h5a5 d8d6 b1d2 a8f8 d2e4 d6f4 f2f3 f6e7 a5a4 b7c8 a4c6 g8h8 a1d1 e7h4 e1e2 c8h3 g2h3 f4f3 c6c5 h7h6 c5b4 f8f4 b4d2 f4e4 e2e4 f3e4 d2d3 e4e6 d1f1 h4f6 a2a3 c7c5 d3f5 e6b6 f1e1 b6c6 f5g6
Wch U20,Mamaia,1991.??.??,?,"Nisipeanu, Liviu Dieter","Rocha, Sergio",1/2-1/2,,2285,B01,e2e4 d7d5 e4d5 g8f6 d2d4 c8g4 g1f3 d8d5 f1e2 b8c6 e1g1 e8c8 c2c4 d5f5 c1e3 e7e6 b1d2 h7h5 d1a4 c8b8 b2b4 f8b4 d2b3 f6e4 a1c1 e4c3 c1c3 b4c3 h2h3 g4f3 e2f3 c6d4 e3d4 c3d4 b3a5 d4b6 a5b7 d8d3 f3c6 d3d2 c4c5 b6c5 c6e4 d2d4 a4b3 d4b4 e4f5 b4b3 b7c5 b3c3 f1b1 b8c8 c5a6 c8d7 f5e4 f7f5 b1d1 d7e7 e4f3 g7g5 a6b4 g5g4 h3g4 h5g4 f3b7 a7a5 b4c6 e7f6 a2a4 c3a3 c6a5 a3a4 a5c6 a4a2 d1b1 a2d2 g2g3 e6e5 c6b4 h8b8 b4a6 b8d8 a6c7 d2d1 b1d1 d8d1 g1g2 f5f4 c7d5 f6g5 g3f4 e5f4 d5c3 d1c1 c3e4 g5h4 b7a6 c1c2 a6d3 c2b2 g2g1 b2a2 g1g2 a2a3 d3b5 a3a2 b5d3 g4g3 d3b5 a2b2 b5a6 b2c2 a6d3 c2a2 d3b5 a2a3 f2g3 f4g3 b5e2 a3a2 e4g3 a2e2
Wch U20,Mamaia,1991.??.??,?,"Nisipeanu, Liviu Dieter","Sinowjew, Juri",1/2-1/2,,2305,B47,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 b1c3 a7a6 g2g3 d8c7 f1g2 g8f6 e1g1 f8e7 g1h1 e8g8 f2f4 d7d6 h2h3 c8d7 g3g4 c6d4 d1d4 d7c6 g4g5 f6d7 d4f2 f8e8 c1e3 b7b5 f4f5 d7e5 f5f6 e7f8 f6g7 f8g7 e3d4 c7b7 a1e1 b5b4 c3d1 e8f8 f2g3 g8h8 d1f2 f7f5 g5f6 f8f6 f2d3 f6f1 e1f1 c6e4 f1g1 a8g8 d3e5 d6e5 d4e5 e4g2 g1g2 b7f7 h1h2 g7e5 g3e5 g8g7 c2c4 b4c3 e5c3 f7c7 g2g3 c7c3 g3c3 g7d7 h2g3 d7d2 c3b3 h8g7 b3b6 g7f6 g3f4 a6a5 f4e4 d2h2 b6a6 h2b2 a6a5 b2h2 a5a3 e6e5 a3f3
Wch U20,Mamaia,1991.??.??,?,"Pedzich, Dominik","Nisipeanu, Liviu Dieter",1-0,2385,,B52,e2e4 c7c5 g1f3 d7d6 f1b5 c8d7 b5d7 d8d7 e1g1 g8f6 d1e2 b8c6 c2c3 g7g6 d2d4 c5d4 c3d4 d6d5 e4e5 f6e4 c1e3 f8g7 f3e1 h7h6 f2f3 e4g5 b1c3 g5e6 a1d1 e8g8 f3f4 g8h7 g2g4 f7f5 e1g2 f8f7 g4f5 g6f5 e2h5 a8f8 g2h4 e6c7 g1h1 e7e6 f1g1 c6e7 h4f3 e7c6 g1g6 c6e7 f3g5 h7g8
Wch U20,Mamaia,1991.??.??,?,"Rocha, Wellington Carlos","Nisipeanu, Liviu Dieter",0-1,,,B81,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 g2g4 e6e5 d4f5 h7h5 g4g5 f6e4 f5g7 f8g7 c3e4 d6d5 e4c3 c8e6 f1g2 e5e4 e1g1 h5h4 f1e1 h4h3 g2f1 b8c6 f2f3 d8b6 g1h1 e8c8 f3e4 d5e4 d1e2 c6d4 e2f2 e4e3 e1e3 b6c6 h1g1 h8h4
Wch U20,Mamaia,1991.??.??,?,"Seres, Lajos","Nisipeanu, Liviu Dieter",0-1,2305,,E62,d2d4 g8f6 g1f3 g7g6 c2c4 f8g7 g2g3 e8g8 f1g2 d7d6 e1g1 b8c6 b1c3 e7e5 d4d5 c6e7 c4c5 f6e8 c5d6 c7d6 e2e4 h7h6 f3d2 f7f5 d2c4 f5f4 a2a4 g6g5 b2b3 g5g4 f2f3 h6h5 a1a2 e7g6 c1a3 g4f3 g2f3 f4g3 h2g3 h5h4 g3h4 g6h4 f3g2 f8f4 c3b5 d8g5 d1d3 f4g4 f1f2 g4g3 d3d2 g5g6 b5d6 c8h3 d6f5 g3g2 f2g2 h4f3 g1f1 f3d2 a2d2 g6h5 c4d6 e8d6 a3d6 h3f5 e4f5 h5f5 f1g1 a8c8
Wch U20,Mamaia,1991.??.??,?,"Stefansson, Hannes","Nisipeanu, Liviu Dieter",1-0,2470,,E97,c2c4 g8f6 b1c3 g7g6 e2e4 d7d6 d2d4 f8g7 f1e2 e8g8 g1f3 e7e5 e1g1 b8c6 d4d5 c6e7 f3d2 a7a5 a2a3 f6d7 a1b1 f7f5 b2b4 a5b4 a3b4 g8h8 c1b2 d7f6 f2f3 g7h6 c4c5 c8d7 d2c4 e7c8 b4b5 b7b6 c5d6 c7d6 d1c2 f8g8 b1a1 a8b8 e4f5 g6f5 e2d3 d8c7 g1h1 h6g7 a1a4 c8e7 c4d6 c7d6 b2a3 d6c7 a3e7 e5e4 d5d6 e4d3 d6c7 d3c2 c7b8q g8b8 a4c4 f6d5 c3d5 d7b5 c4c2 b5f1 d5b6 f1a6 e7c5 b8e8 c2c1 a6b7 h1g1 e8e2 c1d1 e2e8 c5d4 g7d4 d1d4 b7a6 d4d7 e8e1 g1f2 e1e2 f2g3 f5f4 g3h3 e2f2 d7d8 h8g7 b6d5 a6f1 d8d7 g7f8 d5f4 f2f3 h3g4 f3f4 g4f4 f1g2 d7h7 g2d5 f4g5 f8g8 g5h6 d5e4 h7g7 g8h8 g7e7 e4d5 h6g6 d5c4 e7d7 c4b3 d7h7 h8g8 h7c7 g8h8 h2h4 b3d5 c7h7 h8g8 h7e7 g8f8 e7e5 d5b3 g6h7 b3c2 h7h8 f8f7 e5c5 c2b1 h4h5 f7f6 h8g8 b1a2 g8f8
Wch U20,Mamaia,1991.??.??,?,"Elliott, D.","Nisipeanu, Liviu Dieter",1/2-1/2,,,B85,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1e3 a7a6 a2a4 b8c6 f1e2 f8e7 e1g1 e8g8 f2f4 d8c7 d1e1 c6d4 e3d4 e6e5 f4e5 d6e5 e1g3 e7c5 d4c5 c7c5 g1h1 c5e7 a1d1 b7b6 e2c4 c8b7 f1f5 a8c8 f5e5 e7c7 c4d5 f8d8 d5b7 d8d1 c3d1 c7b7 d1c3 h7h6 c3d5 f6d5 e4d5 f7f6 e5e1 b7d5 g3g6 d5f7 g6f7 g8f7 e1e2 c8e8 e2e8 f7e8 h1g1 e8d7 g1f2 d7d6 f2e3 d6c5 e3e4 g7g6 g2g4 c5b4 h2h4 b4a4 h4h5 g6h5 g4h5 b6b5 e4f5 b5b4 f5g6 f6f5 g6f5 b4b3 c2c4 a4b4 f5g6 a6a5 g6h6 a5a4 h6g7 a4a3 b2a3 b4c4 h5h6 b3b2 h6h7 b2b1q h7h8q b1a1 g7h7 a1h8 h7h8
Stockerau op-J,Stockerau,1991.??.??,?,"Loebler, Heimo","Nisipeanu, Liviu Dieter",0-1,,,E81,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e8g8 c1g5 d8e8 d1d2 e7e5 d4d5 f6h5 g1e2 f7f5 e4f5 g6f5 e1c1 a7a6 g5e3 b7b5 c4c5 b5b4 c3b1 a6a5 d2c2 f5f4 e3f2 c8f5 c2c4 e8g6 b1d2 f5d3 c4b3 a5a4 b3b4 a4a3 d2e4 b8a6 b4c3 a3b2 c3b2 f8b8 b2b8 a8b8 d1d3 a6c5 f2c5 d6c5 d3b3 b8b4 e2c3 g7f8 g2g4 h5f6 f1d3 f6e4 c3e4 g6b6 b3b4 b6b4 c1c2 c5c4 d3e2 b4a4 c2b1 f8a3
Stockerau op-J,Stockerau,1991.??.??,?,"Jarowski, K.","Nisipeanu, Liviu Dieter",0-1,,,B81,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 g2g4 e6e5 f1b5 c8d7 b5d7 d8d7 d4f5 h7h5 g4g5 f6e4 f5g7 f8g7 c3e4 d6d5 e4c3 d5d4 c3e4 d7c6 d1e2 b8d7 h1g1 e8c8 c1d2 h8g8 c2c3 d4d3 e2d3 d7c5 d3h3 c8b8 e4c5 c6c5 h3e3 c5d5 e3e2 f7f5 g5f6 g7h6 e1c1 d5d2 e2d2 d8d2 g1g8 d2d8 c1c2 d8g8 d1d6 g8g2 d6e6 e5e4 e6e4 g2f2 c2b3 f2f6 a2a4 f6f2 e4e8 b8c7 e8h8 h6c1 h8h5 f2b2 b3c4 c1f4 h2h3 f4d6 a4a5 c7c6 h5f5 a7a6 h3h4 b2b5 f5b5 a6b5 c4d4 d6f8 h4h5 f8g7 d4d3 c6c5
