Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Rostov,Rostov,1980.??.??,?,"Lanka, Zigurds","Novikov, Igor A",0-1,2340,2370,B99,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1g5 e7e6 f2f4 f8e7 d1f3 d8c7 e1c1 b8d7 f3g3 h7h6 g5h4 g7g5 f4g5 h8g8 d4f3 f6h7 g5g6 g8g6 h4e7 g6g3 e7d6 c7d8 h2g3 d8f6 e4e5 f6g7 f1d3 h7g5 c1b1 g5f3 g2f3 d7e5 c3d5 e6d5 d6e5 g7f8 c2c4 d5c4 d3e4 c8e6 e4b7 f8c5 e5d6 c5b5 b7a8 c4c3 h1h2 e6a2 b1a2 b5a4 d6a3 a4d1 b2c3 d1e1 a2b2 e1g3 a8c6 e8d8 h2d2 d8c8 a3d6 g3g1 c6d7 c8b7 b2a2 g1g6 c3c4 f7f5 a2a3 g6f6 a3a2 b7a7 d2d3 f6h4 d6c5 a7b7 a2b3 h4e1 d7f5 e1b1 b3c3 b1a1 c3c2 a1a2 c2d1 a2c4 f5e4 b7c8 c5d4 c4a2 d3d2 a2e6 d1e2 h6h5 d2c2 c8d7 c2c5 e6a2 e2e3 h5h4 c5c2 a2g8 d4e5 g8g5 e3d4 g5g1 d4d3 g1f1 d3e3 d7e6 e5h2 a6a5 e3f4 a5a4 f4g5 a4a3 f3f4 f1e1 f4f5 e6d7 e4c6 d7d8 h2f4 e1g1 g5f6 h4h3 c6d5 g1d4 f6e6 d4f4 f5f6 f4g4 e6e5 g4g5 e5e6
Rostov,Rostov,1980.??.??,?,"Novikov, Igor A","Chernin, Alexander",1-0,2370,,E81,e2e4 d7d6 d2d4 g8f6 f2f3 g7g6 c2c4 f8g7 b1c3 e8g8 c1g5 b8d7 d1d2 a7a6 f1d3 c7c5 g1e2 c5d4 e2d4 d7e5 d3e2 c8e6 b2b3 e5c6 g5e3 f6d7 a1c1 c6d4 e3d4 g7d4 d2d4 d8a5 e1g1 f8c8 f3f4 f7f6 g1h1 a5c5 d4d2 a6a5 c3d5 e6d5 e4d5 c8c7 e2d3 c5d4 d2e2 f6f5 e2e7 d4d3 e7d6 a8c8 d6e6 g8h8 d5d6 d7f8 e6f6 c7g7 c1d1 d3e2 f1e1
URS-ch U26,Jurmala,1983.??.??,?,"Kengis, Edvins","Novikov, Igor A",1-0,2445,2385,B97,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1g5 e7e6 f2f4 d8b6 d1d2 b6b2 a1b1 b2a3 f1e2 b8d7 e1g1 f8e7 e4e5 d6e5 f4e5 d7e5 g5f6 g7f6 c3e4 f6f5 b1b3 a3a4 d2c3 f7f6 e2h5 e5g6 e4c5 e7c5 c3c5 e8f7 d4e6 a4c6 c5c6 b7c6 e6d4 a8a7 b3b6 a7d7 d4f5 d7d5 f5g3 d5c5 f1f6 f7f6 g3e4 f6e5 e4c5 e5d6 c5a6 g6e5 b6b8 e5d7 b8a8 d7b6 a8a7 c8f5 a6b4 b6d5 b4d5 c6d5 c2c3 h8c8 a7a3
URS-ch U26,Jurmala,1983.??.??,?,"Kharitonov, Andrei Y","Novikov, Igor A",1/2-1/2,2440,2385,E14,d2d4 g8f6 g1f3 e7e6 c2c4 b7b6 e2e3 c8b7 f1d3 f8e7 b1c3 c7c5 e1g1 e8g8 d4d5 e6d5 c4d5 d7d6 e3e4 b8a6 f1e1 a6c7 f3d2 a8b8 a2a3 b6b5 b2b4 f6d7 c1b2 e7f6 d3f1 a7a5 b4c5 d7c5 d2b3 c5b3 d1b3 b7a6 c3a2 b5b4 a3b4 a6f1 e1f1 c7a6 b2f6
URS-ch U26,Jurmala,1983.??.??,?,"Gavrikov, Viktor","Novikov, Igor A",1/2-1/2,2485,2385,B93,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f2f4 e7e5 d4f3 b8d7 a2a4 d8c7 f1d3 f8e7 e1g1 e8g8 f3h4 g7g6 f4e5 d7e5 h4f3 c8e6 g1h1 f6d7 f3d4 e7f6 d3e2 e5c6 d4b3 c6e5 b3d4 e5c6 d4b3 c6e5 c1h6 f6g7 h6g7 g8g7 d1d4 a8d8 a1d1 d7f6 d4f2 f6d7 f2d4 d7f6 d4f2 c7e7 b3d4 d8c8 f2g3 g7h8 g3g5 h8g7 d4f5 e6f5 e4f5 f8e8 f5g6 h7g6 h2h3 c8c5 g5f6 e7f6 f1f6 g7f6 c3e4 f6e6 e4c5
URS-ch U26,Jurmala,1983.??.??,?,"Lanka, Zigurds","Novikov, Igor A",0-1,2365,2385,B97,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1g5 e7e6 f2f4 d8b6 d1d2 b6b2 a1b1 b2a3 f4f5 b8c6 f5e6 f7e6 d4c6 b7c6 e4e5 d6e5 g5f6 g7f6 c3e4 f8e7 f1e2 h7h5 e1g1 f6f5 e2f3 a8a7 g1h1 a7d7 e4f6 e7f6 f3c6 a3c5 c6d7 c8d7 b1b3 d7b5 f1d1 e8f7 d1b1 h5h4 b3c3 c5d4 c3c7 f7g6 d2e1 d4d6 c7c3 e5e4 g2g4 f6c3 e1c3 h8f8 g4f5 f8f5 c3h8 f5g5 h8g8 g6f6 g8h8 f6f7 a2a4 d6f4 h8h7 f7e8 h7h8 e8e7 h8h7 e7d6 b1d1 b5d3
URS-ch U26,Jurmala,1983.??.??,?,"Salov, Valery","Novikov, Igor A",1/2-1/2,2415,2385,E15,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8a6 b2b3 f8b4 c1d2 b4e7 f1g2 d7d5 d2c3 e8g8 e1g1 b8d7 f3e5 a6b7 c3b2 c7c5 b1d2 c5d4 b2d4 d7e5 d4e5 d8d7 a1c1 a8c8 c4d5 b7d5 g2d5 d7d5 d2f3 d5b7 d1d2 c8c1 f1c1 f8c8 c1c8 b7c8 e5b2 f6d7 f3e5 d7e5 b2e5
URS-ch U26,Jurmala,1983.??.??,?,"Novikov, Igor A","Andrianov, Nikolai",1-0,2385,2400,E15,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 f8b4 c1d2 a7a5 f1g2 c8a6 f3e5 a8a7 e1g1 e8g8 d2b4 a5b4 a2a3 d7d6 a3b4 d6e5 d4e5 f6g4 b4b5 g4e5 b2b3 d8e7 d1d4 e5d7 a1a3 d7c5 b3b4 c5d7 a3a4 e6e5 d4a1 c7c5 b5c6 a7c7 a4a6 b8c6 g2c6 c7c6 a1c3 e7e6 b1d2 e5e4 f1a1 f7f5 a6a8 c6c8 a8c8 f8c8 a1a7 d7f6 c3d4 f5f4 a7b7 c8e8 d4b6 e6b6 b7b6 e8d8 d2f1 f4f3 e2f3 e4f3 f1e3 d8d3 c4c5 d3c3 b6d6 g8f7 d6d1 f6e4 h2h3 g7g5 g3g4 f7e6 d1d4 c3c1 g1h2 e6e5 d4d5 e5e6 d5d4 e6e5 d4c4 c1c4 e3c4 e5d5 c4e3 d5c6 h2g1 c6b5 e3c2 e4d2 c2d4 b5b4 c5c6 d2c4 c6c7 c4d6 d4c6
URS-ch U26,Jurmala,1983.??.??,?,"Novikov, Igor A","Azmaiparashvili, Zurab",1-0,2385,2455,B08,d2d4 d7d6 e2e4 g7g6 g1f3 f8g7 f1e2 g8f6 b1c3 e8g8 e1g1 c8g4 c1e3 b8c6 d1d2 e7e5 d4e5 d6e5 a1d1 d8c8 d2c1 f8d8 d1d8 c8d8 f1d1 d8f8 h2h3 g4f3 e2f3 a7a6 c3b1 a8d8 d1d8 f8d8 c2c3 d8d3 b1d2 f6d7 c1f1 d3c2 f1b1 c2b1 d2b1 g7f8 f3g4 d7c5 e3c5 f8c5 g4c8 c6d8 b1d2 f7f6 b2b4 c5f8 d2b3 g8g7 g1f1 c7c6 f1e2 f8d6 b3a5 c6c5 a2a3 c5b4 c3b4 b7b6 a5c4 d6c7 c8a6 f6f5 e4f5 g6f5 c4e3 g7g6 a6c8 f5f4 e3d5 c7b8 d5b6 d8c6 c8b7 c6d4 e2d3 b8a7 b7e4 g6f6 b6c8 a7b8 e4h7 b8c7 d3c4 f6e6 a3a4 d4c6 h7e4 c6b8 a4a5 c7d8 c4b5 e6d7 c8b6 d7d6 a5a6 b8d7 b6d7 d8b6 d7b6
URS-ch U26,Jurmala,1983.??.??,?,"Novikov, Igor A","Chernin, Alexander",1/2-1/2,2385,2455,D43,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 e7e6 c1g5 h7h6 g5f6 d8f6 e2e3 b8d7 f1d3 d5c4 d3c4 f8d6 e1g1 f6e7 e3e4 e6e5 d4d5 d7b6 c4b3 c8g4 d5c6 b7c6 h2h3 g4f3 d1f3 e8g8 a1c1 a8c8 c1c2 c8c7 f1c1 f8c8 c3a4 g7g6 a4c5 d6c5 c2c5 b6d7 c5c3 g8g7 b3a4 e7e6 a4b3 e6e7 f3e3 c6c5 b3a4 d7f6 c3c4 f6h5 g2g3 g7h7 e3c3 h5g7 g1g2
