Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Helsinki olm,Helsinki,1952.??.??,?,"Lambert, Hans","Olafsson, Fridrik",1-0,,,C77,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 d2d3 b7b5 a4b3 f8e7 c2c3 d7d6 h2h3 e8g8 e1g1 c6a5 b3c2 c7c5 b2b4 c5b4 c3b4 a5c6 a2a3 d6d5 b1c3 d5d4 c3e2 f6e8 e2g3 e8d6 c2b3 c8e6 b3d5 d8b6 d1b3 g8h8 d5e6 f7e6 b3e6 d6f7 c1d2 b6b7 a1c1 c6d8 e6g4 b7b6 g3f5 e7f6 h3h4 a8a7 h4h5 d8e6 g2g3 b6d8 g1g2 d8e8 f1h1 h8g8 c1c2 a7c7 c2c7 e6c7 f5g7 e8c8 g7f5 g8h8 f3h4
Helsinki olm,Helsinki,1952.??.??,?,"Benkner, Otto","Olafsson, Fridrik",1/2-1/2,,,E90,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 h2h3 e8g8 g1f3 b8d7 c1f4 c7c5 d4d5 f6h5 f4h2 d7b6 f1e2 e7e5 d5e6 c8e6 g2g4 h5f6 h2d6 f8e8 e4e5 e6c4 e1g1 f6d7 b2b3 c4e2 d1e2 b6c8 a1d1 c8d6 d1d6 d8e7 d6d3 d7e5 d3e3 e5f3 e2f3 e7c7 c3d5 c7d6 f1d1 e8e5 d5c3 e5e3 f2e3 d6e5 c3a4 e5e7 d1d3 a8e8 g1f2 b7b6 a4c3 g7c3 d3c3 e8d8 c3c2 e7e5 f2g2 g8g7 c2f2 d8d7 f3c6 d7e7 f2f3 h7h5 g4h5 e7c7 c6a4 e5h5 a4f4 c7d7 e3e4 c5c4 f4f6 g7h7 e4e5 c4c3 e5e6 f7e6 f6c3 h5g5 g2f2 e6e5 c3c4 g5d2 c4e2 h7g7 a2a4 d2e2 f2e2 d7f7 f3c3 g7f6 c3c6 f6f5 b3b4 f7h7 a4a5 b6a5 b4a5 h7h3 c6a6 h3a3 a6a7 g6g5 a5a6 f5f4 a7f7 f4g3 a6a7 g5g4 f7g7 g3f4 g7f7 f4g3 f7g7 a3a6 g7f7 a6a4 f7g7 a4a3 g7f7 g3h2 f7h7 h2g2 h7g7 g4g3 g7f7 g2h2 f7h7 h2g1 h7g7 g3g2 g7h7 a3a5 h7g7 g1h2 g7h7 h2g3 h7g7 g3f4 g7g2 a5a7 g2g8 a7a2 e2e1 f4f3 g8h8 e5e4 h8h3 f3f4 h3b3
Helsinki olm,Helsinki,1952.??.??,?,"Olafsson, Fridrik","Poulsen, Christian",1-0,,,D36,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 c7c6 c1g5 b8d7 c4d5 e6d5 e2e3 f8e7 d1c2 e8g8 f1d3 f8e8 e1g1 h7h6 g5f4 f6h5 c3d5 h5f4 d5f4 e7d6 f4e2 d7f8 e2g3 c8g4 f3d2 d8h4 a1e1 a8d8 f2f4 f8e6 d2c4 d6c7 c4e5 c7b6 g1h1 c6c5 d4c5 e6c5 d3h7 g8f8 h7f5 g4h5 b2b4 c5e6 f5e6 e8e6 c2h7 h5g6 e5g6 f7g6 f4f5 e6e3 f5g6 f8e8 e1e3 b6e3 h7g8 e8d7 g8f7 d7c6 f7e6
Helsinki olm,Helsinki,1952.??.??,?,"Olafsson, Fridrik","Myhre, Erling",1/2-1/2,,,C67,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 d2d4 f8e7 d4e5 e8g8 d1d5 e4c5 c1e3 a7a6 b5e2 d7d6 e5d6 d8d6 d5h5 d6g6 h5g6 h7g6 b1c3 c8e6 f3g5 f8d8 g5e6 c5e6 a1d1 c6d4 e2d3 c7c6 c3e2 d4e2 d3e2 e7c5 e3c1 g8f8 c2c3 a6a5 g2g3 f8e7 g1g2 d8d1 f1d1 a8d8 d1d8 e7d8 f2f4 d8e7 g2f3 c5g1 h2h3 g1c5 e2d3 f7f5 c1d2 e7f6 g3g4 c5d6 d3c2 d6c7 a2a3 c7d6 c2d1 d6c7 b2b4 a5b4 a3b4 g6g5 f4g5 e6g5 d2g5 f6g5
Helsinki olm,Helsinki,1952.??.??,?,"Olafsson, Fridrik","Grob, Henry",1-0,,,D35,d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c1g5 b8d7 e2e3 f8e7 c4d5 e6d5 f1d3 e8g8 g1f3 h7h6 g5f4 a7a6 e1g1 c7c5 d4c5 d7c5 d3e2 c5e6 f4e5 b7b5 f3d4 c8b7 d4f5 d8d7 e2d3 f8d8 f2f3 e6c5 d3b1 b5b4 c3e2 a8c8 e2d4 f6e8 d1e1 c5e6 e1g3 e6d4 e3d4 e7g5 f3f4 f7f6 f4g5 f6e5 f5h6 g7h6 g5h6 e8g7 b1f5 d7e7 g3g6 d8f8 g6h7
Helsinki olm,Helsinki,1952.??.??,?,"Olafsson, Fridrik","Gaitanaros, G.",1/2-1/2,,,B08,e2e4 d7d6 d2d4 g7g6 g1f3 f8g7 f1c4 g8f6 b1c3 e8g8 d1e2 b8c6 d4d5 c6a5 c4d3 c7c5 e1g1 a7a6 a2a4 c8g4 h2h3 g4f3 e2f3 f6d7 f3g3 c5c4 d3e2 d7c5 g3e3 a8c8 g1h1 e7e5 e3g3 f7f5 f2f4 e5f4 c1f4 g7c3 g3c3 c5e4 c3d4 f8e8 a1e1 d8h4 d4b6 c8c5 f4d6 c5d5 d6h2 h4d8 b6d8 d5d8 h2f4 b7b5 a4b5 a6b5 g2g4 f5g4 h3g4 g8g7 e2f3 d8d4 h1g1 c4c3 b2c3 d4c4 f3e2 c4c5 f4e3 c5c8 e2b5 a5c6 b5d3 e4c3 e3g5 e8e1 f1e1 h7h6 g5c1 c6b4
Helsinki olm,Helsinki,1952.??.??,?,"Olafsson, Fridrik","Barden, Leonhard William",1/2-1/2,,,B26,e2e4 c7c5 g1f3 b8c6 b1c3 d7d6 g2g3 g7g6 f1g2 f8g7 e1g1 e7e5 d2d3 g8e7 c1e3 e8g8 c3e2 b7b6 d1d2 d6d5 e4d5 e7d5 e3h6 f7f6 h6g7 g8g7 f3e1 c8e6 c2c3 d8c7 d3d4 e5d4 c3d4 a8d8 a1c1 c7e7 e1f3 d5c7 d2e3 c7d5 e3d2 d5c7 d2e3 c7d5 e3d2
Helsinki olm,Helsinki,1952.??.??,?,"Benkner, Otto","Olafsson, Fridrik",1/2-1/2,,,E70,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 e8g8 e4e5 f6e8 c1e3 c7c5 d4c5 g7e5 d1d2 b8c6 g1f3 e5g7 h2h4 d7d6 e1c1 c8g4 f1e2 d8a5 f3d4 g4e2 d2e2 c6d4 e3d4 g7h6 c1b1 d6c5 d4e3 h6e3 e2e3 e8d6 c3d5 d6c4 d5e7 g8g7 e3c1 f8e8 e7d5 b7b5 c1f4 f7f5 f4c7 a5c7 d5c7 g7f6 c7a8 e8a8 h1e1 a7a5 d1d7 a5a4 d7c7 a8d8 c7c6 f6f7 c6c5 d8d2 c5b5 d2f2 b5b7 f7f6 b7b4 c4d2 b1c1 f2g2 b4a4 d2e4 e1e4 f5e4 a4e4 h7h6 e4b4 g6g5 h4g5 h6g5 c1d1 g5g4 d1e1 f6g5 e1f1 g2c2 a2a4 g5h4
Helsinki olm,Helsinki,1952.??.??,?,"Filip, Miroslav","Olafsson, Fridrik",1-0,,,D36,d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c1g5 b8d7 c4d5 e6d5 e2e3 f8e7 d1c2 c7c6 f1d3 e8g8 g1f3 f8e8 e1g1 d7f8 a1b1 g7g6 b2b4 a7a6 f1c1 f8e6 g5h4 e6g7 a2a4 c8f5 b4b5 a6b5 a4b5 f5d3 c2d3 g7f5 h4g3 f5g3 h2g3 e7a3 c1c2 f6d7 b5c6 b7c6 e3e4 d7f6 f3e5 f6e4 e5c6 d8g5 c3b5 a3d6 c2e2 a8c8 b5d6 e4d6 e2e8 c8e8 c6e5 e8c8 b1d1 d6e4 e5f3 g5e7 d3e3 e7f6 e3b3 f6d6 d1b1 g8g7 b3b7 c8c2 b1f1 e4g3 f2g3 d6g3 f3h4 c2c7 b7d5 g3e3 g1h1 c7e7 h4f3 e3h6 f3h2 h6e3 d5d8
Helsinki olm,Helsinki,1952.??.??,?,"Doerner, Charles","Olafsson, Fridrik",0-1,,,E80,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 c7c5 d4c5 d6c5 d1d8 e8d8 c1e3 b7b6 e1c1 f6d7 c3d5 h7h6 g1e2 b8c6 f3f4 e7e6 d5c3 a7a6 g2g3 d8c7 f1g2 c8b7 d1d2 a8d8 h1d1 c6a5 b2b3 f7f5 g2h3 d7f6 e4e5 f6g4 h3g4 f5g4 c3a4 d8d2 d1d2 g7f8 e2c3 b7f3 c3d1 h6h5 a4c3 f3c6 d1f2 b6b5 c4b5 a6b5 c3e2 c6d5 d2c2 c5c4 e2d4 f8a3 c1d1 h8b8 e3d2 a5c6 d4c6 c7c6 d1e2 a3e7 d2e3 c6d7 b3c4 b5c4 e3d4 b8b1 a2a4 e7b4 c2b2 b1e1
